event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	whole_plant_owner	owner_status	owner_confidence	exact_literal_card_formal_exemplar_layer	v69_support_class	concrete_german_meaning_in_context	meaning_in_context_confidence	strongest_alternative	strongest_contradiction	unsupported_nouns	image_geometry_guard	terminal_status	semantic_ceiling
11	H1	f10r	f10r.5	F002	H1-S002	9ad66e67803a12e745de	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:9ad66e67803a12e745de] > [CONTEXT_EXEMPLAR:PREPARATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm erneut von dem frischen ersten Auszug.	0.29	Technischer Pflanzenmaterial-Rivale: gelagerten Wurzelrest dem lokalen Posten aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	Auszug	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
12	H1	f10r	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:e8a6105b5c3a6220b440] > [CONTEXT_EXEMPLAR:ACTION_CONDITION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Erwärme ihn gelinde.	0.30	Technischer Pflanzenmaterial-Rivale: zweiten Auszug gelinde erwärmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	Wärme	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
13	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Führe ihn als denselben laufenden Ansatz fort.	0.46	Technischer Pflanzenmaterial-Rivale: formale Verknüpfung mit dem laufenden Wurzelauszug dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	Arbeitsansatz	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
14	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:STATE_AND_USE]	EXACT_WORKING_MNEMONIC	Sobald er zum Gebrauch bereit ist, gebrauche ihn.	0.46	Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten freigeben.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsreife.	Gebrauchsreife	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
15	H2	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7249edc4df3419c26999] > [CONTEXT_EXEMPLAR:PLANT_PART]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze.	0.36	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H2 als Oberteil-Los dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an junge Spitzen, Blütenstände, Blätter.	junge Spitzen|Blütenstände|Blätter	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
16	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:HARVEST_CONDITION]	EXACT_WORKING_MNEMONIC	Sammle sie, wenn sie sich eben öffnen.	0.46	Technischer Pflanzenmaterial-Rivale: Erntegut als verarbeitungsbereit markieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	Erntezeit	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
17	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	EXACT_WORKING_MNEMONIC	Führe sie als frischen Ansatz.	0.46	Technischer Pflanzenmaterial-Rivale: gepresste Arbeitsflüssigkeit dem lokalen Posten als aktiven Ansatz führen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	Arbeitsansatz	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
18	H2	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:f3c23f42baf625639e1e] > [CONTEXT_EXEMPLAR:ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Zerstoße das Kraut.	0.32	Technischer Pflanzenmaterial-Rivale: Stängel und obere Blätter grob quetschen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Kraut.	Kraut	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
19	H2	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:af816c04e65874a0f2fa] > [CONTEXT_EXEMPLAR:ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Presse den Saft durch ein Tuch.	0.32	Technischer Pflanzenmaterial-Rivale: austretende Pflanzenflüssigkeit auffangen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Pflanzensaft, Tuch.	Pflanzensaft|Tuch	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
20	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:PREPARATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Fange die erste Fraktion auf.	0.29	Technischer Pflanzenmaterial-Rivale: Pressgut mit Wasser nachziehen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Fraktion.	Fraktion	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
21	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:MEDIUM]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Gib Olivenöl hinzu.	0.24	Technischer Pflanzenmaterial-Rivale: beide Flüssigkeiten zusammenführen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Olivenöl.	Olivenöl	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
22	H2	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [CONTEXT_EXEMPLAR:DOSE]	EXACT_WORKING_MNEMONIC	Nimm das örtlich vorgeschriebene Maß.	0.46	Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	Dosis	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
23	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:ACTION_CONDITION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Erwärme gelinde.	0.30	Technischer Pflanzenmaterial-Rivale: Pressrückstand als Nebenfraktion dem lokalen Posten markieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	Wärme	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
24	H2	f10r	f10r.8	F004	H2-S002	10488b911aae52b3b334	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:10488b911aae52b3b334] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_CONDITION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm vor voller Blüte eine zweite Portion der Spitzen.	0.32	Technischer Pflanzenmaterial-Rivale: frühe Erntefraktion dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an junge Spitzen; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	junge Spitzen|Erntezeit	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
25	H2	f10r	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	EXACT_WORKING_MNEMONIC	Führe den ersten Ansatz weiter.	0.46	Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als aktiven Ansatz ansprechen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	Arbeitsansatz	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
26	H2	f10r	f10r.8	F004	H2-S002	497cbd9c7401810ff56b	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:497cbd9c7401810ff56b] > [CONTEXT_EXEMPLAR:DOSE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm eine Handvoll.	0.31	Technischer Pflanzenmaterial-Rivale: eine Teilmenge dem lokalen Posten in ein Vergleichsgefäß geben.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Handvoll.	Handvoll	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
27	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand.	0.46	Technischer Pflanzenmaterial-Rivale: formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	Arbeitsansatz	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
28	H2	f10r	f10r.8	F004	H2-S002	dec401773c1f0347793d	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dec401773c1f0347793d] > [CARD:VORIGES?] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	EXACT_WORKING_MNEMONIC	Nimm den vorherigen Posten hinzu.	0.46	Technischer Pflanzenmaterial-Rivale: vorige Charge dem lokalen Posten wieder aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind vorheriger Posten.	vorheriger Posten	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
29	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Führe beide als neuen aktiven Posten.	0.46	Technischer Pflanzenmaterial-Rivale: diese vorige Charge an Vergleich dem lokalen Posten verknüpfen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	Arbeitsansatz	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
30	H2	f10r	f10r.8	F004	H2-S002	2f1c5e56e8f0ff459065	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	Gib von beiden das gleiche örtliche Maß.	0.46	Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	Dosis	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
31	H2	f10r	f10r.8	F004	H2-S002	4d4559019a961b834aa1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:4d4559019a961b834aa1] > [CONTEXT_EXEMPLAR:ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Vereinige die beiden Fraktionen.	0.32	Technischer Pflanzenmaterial-Rivale: frühe Fraktion vollständig mazerieren.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Fraktionen.	Fraktionen	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
