record	at	word	reading	row_status
f29v	f29v.3:4	shey	⟦shey⟧	recorded
f29v	f29v.3:5	odaiin	⟦odaiin⟧	recorded
f29v	f29v.3:6	qotchy	zerkleinere Kraut [Bezug=f29v.4:4; MATCH]	recorded
f29v	f29v.3:7	taiin	⟦taiin⟧	recorded
f29v	f29v.3:8	s	⟦s⟧	recorded
f29v	f29v.3:9	she	⟦she⟧	recorded
f29v	f29v.3:10	otey	⟦otey⟧	recorded
f29v	f29v.3:11	sy	⟦sy⟧	recorded
f29v	f29v.4:1	ysho	⟦ysho⟧	recorded
f29v	f29v.4:2	otshy	⟦otshy⟧	recorded
f29v	f29v.4:3	okaiin	⟦okaiin⟧	recorded
f29v	f29v.4:4	cthy	Kraut [OBJECT; SG]	recorded
f29v	f29v.4:5	oltchy	⟦oltchy⟧	recorded
f29v	f29v.4:6	s	⟦s⟧	recorded
f29v	f29v.4:7	shot	⟦shot⟧	recorded
f29v	f29v.4:8	sho	vermische ? [Bezug=; MISSING]	recorded
f29v	f29v.4:9	okaiin	⟦okaiin⟧	recorded
