family	surface	card_type	occurrences	lines	pages	working_default_de	composition	claim_scope
MEASURE	otcheor	PRODUCTIVE_COMPOUND	2	2	2	eine Portion Ansatz abkühlen und bis zur Mittelstufe trocknen	O_PREP+T_COLD+CH_DRY+E_MIDDLE+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dols	PRODUCTIVE_COMPOUND	1	1	1	eine Charge Drogenstoff abmessen	D_MEASURE+OL_MATERIAL+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
MEASURE	ykchom	PRODUCTIVE_COMPOUND	1	1	1	erhitze und trockne hiervon eine Handvoll Ansatz	Y_REFERENCE+K_HOT+CH_DRY+OM_HANDFUL_PREP	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dcheeey	PRODUCTIVE_COMPOUND	1	1	1	eine Dosis bis zur letzten Stufe trocknen und abschließen	D_MEASURE+CH_DRY+EEE_LONG_OR_FINAL+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
MEASURE	cheeor	PRODUCTIVE_COMPOUND	13	13	13	eine Portion vollständig getrocknete Droge	CH_DRY+EE_END+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
MEASURE	chkor	PRODUCTIVE_COMPOUND	3	3	3	eine Portion heiß getrocknete Droge	CH_DRY+K_HOT+OR_PORTION	exact whole; composition predicts relatives only as a future explicit card
MEASURE	chekam	PRODUCTIVE_COMPOUND	1	1	1	ein Maß Droge bis zur Mittelstufe trocknen und erhitzen	CH_DRY+E_MIDDLE+K_HOT+AM_UNIT_I	exact whole; composition predicts relatives only as a future explicit card
MEASURE	daral	PRODUCTIVE_COMPOUND	3	3	3	erste Fraktion Rohdroge I abmessen	D_MEASURE+AR_FRACTION_I+AL_RAW_I	exact whole; composition predicts relatives only as a future explicit card
MEASURE	dalchom	PRODUCTIVE_COMPOUND	1	1	1	eine Handvoll Rohdroge I abmessen und trocknen	D_MEASURE+AL_RAW_I+CH_DRY+OM_HANDFUL_PREP	exact whole; composition predicts relatives only as a future explicit card
MEASURE	odam	PRODUCTIVE_COMPOUND	5	5	5	ein Maß Ansatz abmessen	O_PREP+D_MEASURE+AM_UNIT_I	exact whole; composition predicts relatives only as a future explicit card
MOIST_PREP	sholo	PRODUCTIVE_COMPOUND	1	1	1	eingeweichten Drogenstoff erneut ansetzen	SH_MOIST+OL_MATERIAL+O_PREP	exact whole; composition predicts relatives only as a future explicit card
PLANT_PART	dorchory	PRODUCTIVE_COMPOUND	1	1	1	eine Portion Pflanzenteil abmessen und abschließen	D_MEASURE+OR_PORTION+CHOR_PLANT_PART+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
PLANT_PART	ykchor	PRODUCTIVE_COMPOUND	5	5	4	erhitze hiervon den Pflanzenteil	Y_REFERENCE+K_HOT+CHOR_PLANT_PART	exact whole; composition predicts relatives only as a future explicit card
POWDER	polchdy	PRODUCTIVE_COMPOUND	2	2	2	Pulverstoff trocknen und fertigstellen	P_POWDER+OL_MATERIAL+CH_DRY+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
POWDER	opchol	PRODUCTIVE_COMPOUND	6	6	6	getrockneter Pulverstoff im Ansatz	O_PREP+P_POWDER+CH_DRY+OL_MATERIAL	exact whole; composition predicts relatives only as a future explicit card
POWDER	lchpchdy	PRODUCTIVE_COMPOUND	1	1	1	Holzdroge und Pulver trocknen, nachtrocknen und fertigstellen	L_WOOD+CH_DRY+P_POWDER+CH_DRY+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
PREPARATION	oeeody	PRODUCTIVE_COMPOUND	1	1	1	Ansatz vollständig bereiten, erneut ansetzen und fertigstellen	O_PREP+EE_END+O_PREP+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
PREPARATION	dairin	LEARNED_WHOLE	1	1	1	abgemessene zweite Fraktion, Zubereitungsform II	LEARNED_DAIRIN_WHOLE	exact whole; composition predicts relatives only as a future explicit card
PREPARATION	oeeeos	PRODUCTIVE_COMPOUND	1	1	1	Ansatzcharge der letzten Stufe	O_PREP+EEE_LONG_OR_FINAL+O_PREP+S_TERM_SPECIES	exact whole; composition predicts relatives only as a future explicit card
ROOT	rom	CONTEXT_SCOPED_SHORT_FORM	1	1	1	eine Handvoll Wurzelzubereitung	R_ROOT+OM_HANDFUL_PREP	exact whole; composition predicts relatives only as a future explicit card
ROOT	rokyd	PRODUCTIVE_COMPOUND	1	1	1	Wurzelansatz erhitzen und den Posten abschließen	R_ROOT+O_PREP+K_HOT+YD_POST_CLOSE	exact whole; composition predicts relatives only as a future explicit card
SEED	soshy	PRODUCTIVE_COMPOUND	2	2	2	Saatgutzubereitung leicht einweichen	SO_SEED_PREP+SH_MOIST+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
SEED	solkedy	PRODUCTIVE_COMPOUND	2	2	2	Saatgutansatz bis zur Mittelstufe erhitzen und fertigstellen	SOL_SEED_PREP+K_HOT+E_MIDDLE+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
SEED	san	CONTEXT_SCOPED_SHORT_FORM	3	3	3	ein Teil Saatgut	S_SEED+AN_I	exact whole; composition predicts relatives only as a future explicit card
SEED	skain	PRODUCTIVE_COMPOUND	1	1	1	Saatgut auf Heizstufe II	S_SEED+K_HOT+AIN_II	exact whole; composition predicts relatives only as a future explicit card
SEED	sqokeodaiin	PRODUCTIVE_COMPOUND	1	1	1	drei Dosen erhitzter Saatgutzubereitung der Mittelstufe	SQOKEO_SEED_HEAT_PREP+D_MEASURE+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
WOOD	lkeeol	PRODUCTIVE_COMPOUND	2	2	2	Holzdrogenstoff vollständig erhitzen	L_WOOD+K_HOT+EE_END+OL_MATERIAL	exact whole; composition predicts relatives only as a future explicit card
WOOD	chelal	PRODUCTIVE_COMPOUND	1	1	1	Holzdroge mit Rohdroge I bis zur Mittelstufe trocknen	CH_DRY+E_MIDDLE+L_WOOD+AL_RAW_I	exact whole; composition predicts relatives only as a future explicit card
