page	locus	section	target_occurrences	target_ordinals	target_surfaces	rendering_classes	zl3b_line	v44_token_glosses_de	v45_token_glosses_de	v45_working_translation_de	v44_unknown_tokens	v45_unknown_tokens	v45_complete
f103v	f103v.9	S	1	4	okeor	EXACT_WHOLE	pchal shal shorchdy okeor okaiin shedy pchedy qotchedy qotar ol lkar	[pchal:?] | Rohstoffklasse I, feucht am Gradanfang | [shorchdy:?] | [okeor:?] | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | getrocknetes Pulver | kalt und trocken in der Mitte des Grades, abgeschlossen | kalte Drogenfraktion I | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Holzfraktion I	[pchal:?] | Rohstoffklasse I, feucht am Gradanfang | [shorchdy:?] | eine Portion Ansatz bis zur Mittelstufe erhitzen | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | getrocknetes Pulver | kalt und trocken in der Mitte des Grades, abgeschlossen | kalte Drogenfraktion I | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Holzfraktion I	[pchal:?]; Rohstoff I, feucht am Gradanfang; [shorchdy:?]; eine Portion Ansatz bis zur Mittelstufe erhitzen; Ansatz auf Heizstufe III; bis zur mittleren Einweichstufe gebracht; getrocknetes Pulver; kalt und bis zur mittleren Trockenstufe gebracht; kalte Drogenfraktion I; Grundansatz; heiße Holzfraktion I	3	2	0
f104r	f104r.34	S	1	2	ksheody	KSHEODY_ACTION	pchol ksheody qokeshedy qokal chedy qokaiin otaiin cheody qokal taiin cholxy	trockener Pulverstoff/Trockengut | [ksheody:?] | [qokeshedy:?] | Rohstoffklasse I, heiß am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | kalt im Zubereitungsrahmen, Grad III | getrockneter Ansatz | Rohstoffklasse I, heiß am Gradanfang | kalt, Grad III | [cholxy:?]	trockener Pulverstoff/Trockengut | Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen | [qokeshedy:?] | Rohstoffklasse I, heiß am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | kalt im Zubereitungsrahmen, Grad III | getrockneter Ansatz | Rohstoffklasse I, heiß am Gradanfang | kalt, Grad III | [cholxy:?]	trockener Pulverstoff/Trockengut; Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen; [qokeshedy:?]; Rohstoff I, heiß am Gradanfang; bis zur mittleren Trockenstufe gebracht; heiß, Grad III; kalt im Zubereitungsrahmen, Grad III; getrockneter Ansatz; Rohstoff I, heiß am Gradanfang; kalt, Grad III; [cholxy:?]	3	2	0
f104r	f104r.5	S	1	12	qod	QOD_ACTION	kchdal qotaiin qoshedy ol chl ol cheday al lod pchdair opchdy qod	[kchdal:?] | kalt, Grad III | [qoshedy:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocknen | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [cheday:?] | Rohstoffklasse I | [lod:?] | [pchdair:?] | fertiges Trockenpulverpräparat | [qod:?]	[kchdal:?] | kalt, Grad III | [qoshedy:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocknen | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [cheday:?] | Rohstoffklasse I | [lod:?] | [pchdair:?] | fertiges Trockenpulverpräparat | die Zubereitung abschließen	[kchdal:?]; kalt, Grad III; [qoshedy:?]; Grundansatz; trockne Folgendes: Grundansatz; [cheday:?]; Rohstoff I; [lod:?]; [pchdair:?]; fertiges Trockenpulverpräparat; die Zubereitung abschließen	6	5	0
f104v	f104v.11	S	1	1	ycheedy	YCHEEDY_ACTION	ycheedy qoy ykchedor cheeky qokchd qotol qokol qokol daiin	[ycheedy:?] | [qoy:?] | [ykchedor:?] | trocken am Gradende, dann heiß am Gradanfang | abgemessene heiß-trockene Droge | kaltes Material | erhitzen | erhitzen | Qualitätsgrad III	trockne hiervon vollständig und stelle es fertig | [qoy:?] | [ykchedor:?] | trocken am Gradende, dann heiß am Gradanfang | abgemessene heiß-trockene Droge | kaltes Material | erhitzen | erhitzen | Qualitätsgrad III	trockne hiervon vollständig und stelle es fertig; [qoy:?]; [ykchedor:?]; trocken am Gradende, dann heiß am Gradanfang; abgemessene heiß-trockene Droge; kaltes Material; erhitze zweimal bis Grad III	3	2	0
f104v	f104v.12	S	1	5	oteeey	EXACT_WHOLE	polchechy oteoy chotchs cheeta oteeey oteedy qoty ched l cheol par oltedy chedam	[polchechy:?] | [oteoy:?] | [chotchs:?] | [cheeta:?] | [oteeey:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalt am Anfang des Grades | Trockenstufe Mitte, abgeschlossen | Pfund / Gewichtseinheit | trockener Drogenstoff | Pulverfraktion I | kalte Drogenbasis, Mittelstufe erreicht | [chedam:?]	[polchechy:?] | [oteoy:?] | [chotchs:?] | [cheeta:?] | Ansatz bis zur letzten Stufe abkühlen und abschließen | kalter Ansatz am Ende des Grades, abgeschlossen | kalt am Anfang des Grades | Trockenstufe Mitte, abgeschlossen | Pfund / Gewichtseinheit | trockener Drogenstoff | Pulverfraktion I | kalte Drogenbasis, Mittelstufe erreicht | [chedam:?]	[polchechy:?]; [oteoy:?]; [chotchs:?]; [cheeta:?]; Ansatz bis zur letzten Stufe abkühlen und abschließen; Ansatz auf Kühlendstufe abgeschlossen; leicht gekühlt; Trockenstufe Mitte, abgeschlossen; ein Pfund; trockener Drogenstoff; Pulverfraktion I; Holzdrogenansatz bis zur mittleren Kühlstufe, fertig; [chedam:?]	6	5	0
f104v	f104v.31	S	1	2	cheoraiin	EXACT_WHOLE	y cheoraiin cthey chol sheody qokair qoeey cheey lkeedy	Eintrag: | [cheoraiin:?] | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | trocken; nominal trockenes Gut/Material | angefeuchteter Ansatz, abgeschlossen | erhitze die zweite Fraktion | nimm die Endportion hinzu | trocken am Ende des Grades | Drogenholz, heiß am Gradende, abgeschlossen	Eintrag: | drei Portionen bis zur Mittelstufe getrockneter Droge | CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | trocken; nominal trockenes Gut/Material | angefeuchteter Ansatz, abgeschlossen | erhitze die zweite Fraktion | nimm die Endportion hinzu | trocken am Ende des Grades | Drogenholz, heiß am Gradende, abgeschlossen	Eintrag: drei Portionen bis zur Mittelstufe getrockneter Droge; Krautdroge, Form I; Blatt-/Krautdroge, Form I; Trockengut; angefeuchteter Ansatz, abgeschlossen; erhitze die zweite Fraktion; nimm die Endportion hinzu; vollständig getrocknet; Drogenholz, heiß am Gradende, abgeschlossen	1	0	1
f105r	f105r.2	S	1	10	okees	EXACT_WHOLE	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	[dshees:?] | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | [okees:?] | [odar:?] | getrockneter Ansatz | stelle die Zubereitung fertig	[dshees:?] | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | [odar:?] | getrockneter Ansatz | stelle die Zubereitung fertig	[dshees:?]; [yey:?]; vollständig getrocknet; Wurzel, Typ/Charge III; kalt-trockener Ansatz am Anfang des Grades, abgeschlossen; [qodor:?]; trockenes Drogenmaterial, Mittelstufe; Drogenportion; vollständig getrocknet; Charge vollständig erhitzten Ansatzes; [odar:?]; getrockneter Ansatz; stelle die Zubereitung fertig	5	4	0
f105v	f105v.10	S	1	16	odam	EXACT_WHOLE	ykeey ky che oiiin dal kaiin okairo l kair chedy s odar air al oral odam	erhitze hiervon bis zur Endstufe und schließe ab | heiß am Anfang des Grades | [che:?] | Zubereitung in Form IV | abgemessene Rohstoffmenge I | heiß, Grad III | [okairo:?] | Holzdroge in der gebundenen Anschlussform | heiße Drogenfraktion II | trocken in der Mitte des Grades, abgeschlossen | Samen-/Saatgutposten | [odar:?] | zweite Drogenfraktion | Rohstoffklasse I | Rohstoffportion, Klasse I | [odam:?]	erhitze hiervon bis zur Endstufe und schließe ab | heiß am Anfang des Grades | [che:?] | Zubereitung in Form IV | abgemessene Rohstoffmenge I | heiß, Grad III | [okairo:?] | Holzdroge in der gebundenen Anschlussform | heiße Drogenfraktion II | trocken in der Mitte des Grades, abgeschlossen | Samen-/Saatgutposten | [odar:?] | zweite Drogenfraktion | Rohstoffklasse I | Rohstoffportion, Klasse I | ein Maß Ansatz abmessen	erhitze hiervon bis zur Endstufe und schließe ab; leicht erhitzt; [che:?]; Zubereitung in Form IV; abgemessene Rohstoffmenge I; heiß, Grad III; [okairo:?]; Holzdroge in der gebundenen Anschlussform; bis zur mittleren Trockenstufe gebracht; Samen-/Saatgutposten; [odar:?]; zweite Drogenfraktion; Rohstoff I; Rohstoffportion, Klasse I; ein Maß Ansatz abmessen	4	3	0
f105v	f105v.13	S	1	7	okees	EXACT_WHOLE	saiin opchedy qokchdy otar al kair okees lkchdal	Samen/Saatgut, Typ/Charge III | vollständig getrocknetes Pulverpräparat | heiß und trocken am Anfang des Grades, abgeschlossen | kalte Drogenfraktion I im Ansatz | Rohstoffklasse I | heiße Drogenfraktion II | [okees:?] | [lkchdal:?]	Samen/Saatgut, Typ/Charge III | vollständig getrocknetes Pulverpräparat | heiß und trocken am Anfang des Grades, abgeschlossen | kalte Drogenfraktion I im Ansatz | Rohstoffklasse I | heiße Drogenfraktion II | Charge vollständig erhitzten Ansatzes | [lkchdal:?]	Samen/Saatgut, Typ/Charge III; vollständig getrocknetes Pulverpräparat; heiß und angetrocknet; kalte Drogenfraktion I im Ansatz; Rohstoff I; heiße Drogenfraktion II; Charge vollständig erhitzten Ansatzes; [lkchdal:?]	2	1	0
f105v	f105v.3	S	1	3	ytoiin	EXACT_WHOLE	dshedy qoedaiin ytoiin okair qotol dol okoldy qokedy opched oteedy qotaiin	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | [qoedaiin:?] | [ytoiin:?] | heiße Drogenfraktion II im Ansatz | kaltes Material | Materialmaß | erhitzten Ansatzstoff fertigstellen | heiß in der Mitte des Grades, abgeschlossen | [opched:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalt, Grad III	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | [qoedaiin:?] | kühle hiervon einen Ansatz in Zubereitungsform III | heiße Drogenfraktion II im Ansatz | kaltes Material | Materialmaß | erhitzten Ansatzstoff fertigstellen | heiß in der Mitte des Grades, abgeschlossen | [opched:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalt, Grad III	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; [qoedaiin:?]; kühle hiervon einen Ansatz in Zubereitungsform III; heiße Drogenfraktion II im Ansatz; kaltes Material; Materialmaß; erhitzten Ansatzstoff fertigstellen; bis zur mittleren Heizstufe gebracht; [opched:?]; Ansatz auf Kühlendstufe abgeschlossen; kalt, Grad III	3	2	0
f105v	f105v.9	S	1	5	okairy	EXACT_WHOLE	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ail l okam	Drogenholz, trocken gebunden, Form II | nimm eine Charge der letzten Stufe | hierzu: | Grad-/Maßwert III | [okairy:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen | kalt-trockener Ansatz in der Mitte des Grades | Grad-/Maßwert III | Drogenportion | Wurzel | Rohstoffklasse II | Pfund / Gewichtseinheit | ein Maß heißen Ansatzes	Drogenholz, trocken gebunden, Form II | nimm eine Charge der letzten Stufe | hierzu: | Grad-/Maßwert III | zweite Fraktion des erhitzten Ansatzes abschließen | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen | kalt-trockener Ansatz in der Mitte des Grades | Grad-/Maßwert III | Drogenportion | Wurzel | Rohstoffklasse II | Pfund / Gewichtseinheit | ein Maß heißen Ansatzes	Drogenholz, trocken gebunden, Form II; nimm eine Charge der letzten Stufe; hierzu: drei Maße; zweite Fraktion des erhitzten Ansatzes abschließen; kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen; Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen; kalt-trockener Ansatz in der Mitte des Grades; drei Maße; Drogenportion; Wurzel; Rohstoff II; ein Pfund; ein Maß heißen Ansatzes	1	0	1
f106r	f106r.14	S	1	8	okeor	EXACT_WHOLE	ychol okaiin olcheey dolchedy otair otal chedy okeor	trockne hiervon den Drogenstoff | heiß, Grad III, im Ansatzrahmen | Holzdrogenansatz vollständig trocknen | [dolchedy:?] | [otair:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | [okeor:?]	trockne hiervon den Drogenstoff | heiß, Grad III, im Ansatzrahmen | Holzdrogenansatz vollständig trocknen | [dolchedy:?] | [otair:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | eine Portion Ansatz bis zur Mittelstufe erhitzen	trockne hiervon den Drogenstoff; Ansatz auf Heizstufe III; Holzdrogenansatz vollständig trocknen; [dolchedy:?]; [otair:?]; Rohstoff I, leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht; eine Portion Ansatz bis zur Mittelstufe erhitzen	3	2	0
f106v	f106v.30	S	1	7	ksheody	KSHEODY_ACTION	otaiin okochey qody oeesysarx okeey oteedy ksheody qokeedy qotokody	kalt im Zubereitungsrahmen, Grad III | [okochey:?] | stelle die Zubereitung fertig | [oeesysarx:?] | heißer Ansatz am Ende des Grades | kalter Ansatz am Ende des Grades, abgeschlossen | [ksheody:?] | heiß am Ende des Grades, abgeschlossen | [qotokody:?]	kalt im Zubereitungsrahmen, Grad III | [okochey:?] | stelle die Zubereitung fertig | [oeesysarx:?] | heißer Ansatz am Ende des Grades | kalter Ansatz am Ende des Grades, abgeschlossen | Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen | heiß am Ende des Grades, abgeschlossen | [qotokody:?]	kalt im Zubereitungsrahmen, Grad III; [okochey:?]; stelle die Zubereitung fertig; [oeesysarx:?]; Ansatz auf Heizendstufe; Ansatz auf Kühlendstufe abgeschlossen; Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen; bis zur Heizendstufe gebracht; [qotokody:?]	4	3	0
f107r	f107r.11	S	1	2	cheeol	EXACT_WHOLE	cheeo cheeol qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram	[cheeo:?] | [cheeol:?] | heiß, Grad III | [ytain:?] | hierzu: | stark erhitzter Drogenstoff | Pfund / Gewichtseinheit | Portion III | heiß, Grad III, im Ansatzrahmen | heiße Drogenfraktion I im Ansatz | heiß, Grad III, im Ansatzrahmen | [otaram:?]	[cheeo:?] | vollständig getrockneter Drogenstoff | heiß, Grad III | [ytain:?] | hierzu: | stark erhitzter Drogenstoff | Pfund / Gewichtseinheit | Portion III | heiß, Grad III, im Ansatzrahmen | heiße Drogenfraktion I im Ansatz | heiß, Grad III, im Ansatzrahmen | [otaram:?]	[cheeo:?]; vollständig getrockneter Drogenstoff; heiß, Grad III; [ytain:?]; hierzu: stark erhitzter Drogenstoff; ein Pfund; Portion III; Ansatz auf Heizstufe III; heiße Drogenfraktion I im Ansatz; Ansatz auf Heizstufe III; [otaram:?]	4	3	0
