gdt752_contact_id	comparison_group	pair_id	prefix_character	prefix_surface	base_surface	page	physical_folio	locus	prefix_ordinal	base_ordinal	written_order	written_line_eva	prefix_outer_side	prefix_outer_extent	prefix_outer_boundary_reason	prefix_outer_boundary_complete	prefix_outer_anchor_count	prefix_outer_anchor_surfaces	prefix_outer_anchor_tags	prefix_outer_anchor_evidence	prefix_outer_field_channel	prefix_outer_slot_class	prefix_outer_slot_label_de	prefix_outer_quality_stage_support	prefix_outer_preparation_support	prefix_outer_carrier_support	prefix_outer_unknown_count	base_outer_side	base_outer_extent	base_outer_boundary_reason	base_outer_boundary_complete	base_outer_anchor_count	base_outer_anchor_surfaces	base_outer_anchor_tags	base_outer_anchor_evidence	base_outer_field_channel	base_outer_slot_class	base_outer_slot_label_de	base_outer_quality_stage_support	base_outer_preparation_support	base_outer_carrier_support	base_outer_unknown_count	both_outer_boundaries_complete	raw_exact_role_split_support	raw_exact_role_split_reverse	raw_broad_role_split_support	raw_broad_role_split_reverse	exact_role_split_support	exact_role_split_reverse	broad_role_split_support	broad_role_split_reverse	independent_side_evidence_status	complete_field_decision	working_pair_render_de	literal_identity	confirmed_lexeme	component_export_credit
G752-Q011	Q_PREFIX	G751-Q015	q	qokar	okar	f40r	f40	f40r.5	2	3	PREFIX_THEN_BASE	lokar qokar okar okol ol chedy qokchd ar ar or dag	L	0	STRICT_INITIAL_BEFORE_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	5	RADIUS5_CENSORED	0	1	qokchd	HOT|DRY|MATERIAL	R4 qokchd=abgemessene heiß-trockene Droge [HOT|DRY|MATERIAL;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	1	0	0	0	0	0	0	0	0	0	0	PARTIAL_REVERSE_SIDE	CENSORED__PARTIAL_REVERSE_SIDE	qokar: äußeres Feld OPEN; okar: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-Q012	Q_PREFIX	G751-Q015	q	qokar	okar	f55r	f55	f55r.2	7	8	PREFIX_THEN_BASE	okair or aiin chody ykair y qokar okar ol ykar ar al	L	5	RADIUS5_CENSORED	0	1	ykair	HOT|PART|MATERIAL	L2 ykair=nimm hiervon die zweite erhitzte Drogenfraktion [HOT|PART|MATERIAL;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	1	0	R	4	LINE_EDGE_AFTER_R4	1	1	ykar	HOT|PART|MATERIAL	R2 ykar=nimm hiervon die erste erhitzte Drogenfraktion [HOT|PART|MATERIAL;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	1	0	0	0	0	1	1	0	0	0	0	MIXED_PARTIAL	CENSORED__MIXED_PARTIAL	qokar: äußeres Feld DESCRIPTIVE_MATERIA; okar: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-Q013	Q_PREFIX	G751-Q015	q	qokar	okar	f86v6	f86	f86v6.28	2	3	PREFIX_THEN_BASE	qokaiin qokar okar qotar lor qokchdy dar shey d y tshedy qotol dytshy dy	L	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	1	STRICT_INITIAL_BEFORE_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	qokar: äußeres Feld OPEN; okar: äußeres Feld OPEN	OPEN	0	0
G752-Q014	Q_PREFIX	G751-Q015	q	qokar	okar	f95r2	f95	f95r2.6	8	9	PREFIX_THEN_BASE	y olkor ol shol qotar chdy chdy qokar okar qokar odaly	L	5	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	0	PAIR_SURFACE_BEFORE_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	CENSORED__NO_INDEPENDENT_SIDE_SIGNAL	qokar: äußeres Feld OPEN; okar: äußeres Feld OPEN	OPEN	0	0
G752-Q015	Q_PREFIX	G751-Q017	q	qokchey	okchey	f107v	f107	f107v.38	3	2	BASE_THEN_PREFIX	dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	R	5	RADIUS5_CENSORED	0	3	qokol|oteey|oteey	HOT|COLD|PREPARATION|PROCESS|END_STAGE	R3 qokol=erhitzen [HOT|PROCESS;W3_SOLID_WORKING_THEORY] || R4 oteey=kalter Ansatz am Ende des Grades [COLD|PREPARATION|END_STAGE;W3_SOLID_WORKING_THEORY] || R5 oteey=kalter Ansatz am Ende des Grades [COLD|PREPARATION|END_STAGE;W3_SOLID_WORKING_THEORY]	PRESCRIPTIVE_RECIPE	INGREDIENT_OR_COMMAND_CONTENT	Zutat-/Anweisungsinhalt offen	1	1	1	0	L	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	0	0	0	0	0	0	0	MIXED_PARTIAL	CENSORED__MIXED_PARTIAL	qokchey: äußeres Feld PRESCRIPTIVE_RECIPE; okchey: äußeres Feld OPEN	OPEN	0	0
G752-Q016	Q_PREFIX	G751-Q021	q	qokedy	okedy	f78v	f78	f78v.6	9	8	BASE_THEN_PREFIX	ety okeey or eey ykeey lchey qokain okedy qokedy qol	R	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	L	1	STRICT_INITIAL_BEFORE_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	qokedy: äußeres Feld OPEN; okedy: äußeres Feld OPEN	OPEN	0	0
G752-Q017	Q_PREFIX	G751-Q021	q	qokedy	okedy	f83r	f83	f83r.12	8	7	BASE_THEN_PREFIX	qockhol sheckhy otal qokeal sheckhdy al okedy qokedy qokal	R	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	L	5	RADIUS5_CENSORED	0	1	qokeal	HOT|MATERIAL|MIDDLE_STAGE	L3 qokeal=Rohstoffklasse I, heiß in der Gradmitte [HOT|MATERIAL|MIDDLE_STAGE;W2_PROVISIONAL_WORKING]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	1	1	0	0	0	0	0	0	0	0	0	PARTIAL_REVERSE_SIDE	CENSORED__PARTIAL_REVERSE_SIDE	qokedy: äußeres Feld OPEN; okedy: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-Q018	Q_PREFIX	G751-Q021	q	qokedy	okedy	f103r	f103	f103r.4	2	3	PREFIX_THEN_BASE	ychedy qokedy okedy qokeey okey chdar ol loty chedaraly	L	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	4	STRICT_INITIAL_BEFORE_R5	1	2	qokeey|okey	HOT|PREPARATION|MIDDLE_STAGE|END_STAGE	R1 qokeey=heiß am Ende des Grades [HOT|END_STAGE;W3_SOLID_WORKING_THEORY] || R2 okey=heißer Ansatz in der Mitte des Grades [HOT|PREPARATION|MIDDLE_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	0	1	0	0	0	0	0	0	0	0	MIXED_PARTIAL	MIXED_PARTIAL	qokedy: äußeres Feld OPEN; okedy: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-Q019	Q_PREFIX	G751-Q021	q	qokedy	okedy	f108r	f108	f108r.33	3	4	PREFIX_THEN_BASE	solkedy okchd qokedy okedy okeol chdy okar okedy okedy chlar	L	1	STRICT_INITIAL_BEFORE_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	R	3	PAIR_SURFACE_BEFORE_R4	1	1	okeol	HOT|PREPARATION|MIDDLE_STAGE	R1 okeol=Grundansatz bis zur mittleren Heizstufe erwärmt [HOT|PREPARATION|MIDDLE_STAGE;W2_PROVISIONAL_WORKING]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	0	1	0	0	0	0	0	0	0	0	MIXED_PARTIAL	MIXED_PARTIAL	qokedy: äußeres Feld OPEN; okedy: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-Q020	Q_PREFIX	G751-Q022	q	qokeedy	okeedy	f76v	f76	f76v.8	5	6	PREFIX_THEN_BASE	qokeedy ochedy roiin sheedy qokeedy okeedy olor okeedy qolkchey r ol	L	1	STRICT_INITIAL_BEFORE_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	1	PAIR_SURFACE_BEFORE_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	qokeedy: äußeres Feld OPEN; okeedy: äußeres Feld OPEN	OPEN	0	0
G752-Q021	Q_PREFIX	G751-Q022	q	qokeedy	okeedy	f103r	f103	f103r.36	4	3	BASE_THEN_PREFIX	okool chedy okeedy qokeedy qokeey shdy otey qokeey	R	4	LINE_EDGE_AFTER_R4	1	3	qokeey|otey|qokeey	HOT|COLD|PREPARATION|MIDDLE_STAGE|END_STAGE	R1 qokeey=heiß am Ende des Grades [HOT|END_STAGE;W3_SOLID_WORKING_THEORY] || R3 otey=kalter Ansatz in der Mitte des Grades [COLD|PREPARATION|MIDDLE_STAGE;W3_SOLID_WORKING_THEORY] || R4 qokeey=heiß am Ende des Grades [HOT|END_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	0	L	2	LINE_EDGE_AFTER_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	1	0	0	0	0	0	0	0	0	MIXED_PARTIAL	MIXED_PARTIAL	qokeedy: äußeres Feld DESCRIPTIVE_MATERIA; okeedy: äußeres Feld OPEN	OPEN	0	0
G752-Q022	Q_PREFIX	G751-Q022	q	qokeedy	okeedy	f108r	f108	f108r.40	4	3	BASE_THEN_PREFIX	okor aiin okeedy qokeedy okeeom cheykeeed chol qekeey or aiin chckhom	R	5	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	3	L	2	LINE_EDGE_AFTER_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	CENSORED__NO_INDEPENDENT_SIDE_SIGNAL	qokeedy: äußeres Feld OPEN; okeedy: äußeres Feld OPEN	OPEN	0	0
G752-Q023	Q_PREFIX	G751-Q022	q	qokeedy	okeedy	f108v	f108	f108v.50	6	5	BASE_THEN_PREFIX	dsheey oteey cheol teedar okeedy qokeedy checkhy oteey aiin okeey chey qokey	R	5	RADIUS5_CENSORED	0	1	oteey	COLD|PREPARATION|END_STAGE	R2 oteey=kalter Ansatz am Ende des Grades [COLD|PREPARATION|END_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	0	L	4	LINE_EDGE_AFTER_R4	1	3	teedar|oteey|dsheey	COLD|MOIST|PART|MATERIAL|PREPARATION|END_STAGE	L1 teedar=abgemessene kalte Fraktion I, Endstufe [COLD|PART|END_STAGE;W2_PROVISIONAL_WORKING] || L3 oteey=kalter Ansatz am Ende des Grades [COLD|PREPARATION|END_STAGE;W3_SOLID_WORKING_THEORY] || L4 dsheey=abgemessene, vollständig angefeuchtete Droge [MOIST|MATERIAL|END_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	0	0	0	0	1	1	0	0	0	0	AMBIGUOUS_BOTH_EXACT_SPLITS	CENSORED__AMBIGUOUS_BOTH_EXACT_SPLITS	qokeedy: äußeres Feld DESCRIPTIVE_MATERIA; okeedy: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-Q024	Q_PREFIX	G751-Q024	q	qokeey	okeey	f3r	f3	f3r.14	4	3	BASE_THEN_PREFIX	chor qodair okeey qokeey	R	0	LINE_EDGE_AFTER_R0	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	L	2	LINE_EDGE_AFTER_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	qokeey: äußeres Feld OPEN; okeey: äußeres Feld OPEN	OPEN	0	0
G752-Q025	Q_PREFIX	G751-Q024	q	qokeey	okeey	f76r	f76	f76r.16	4	5	PREFIX_THEN_BASE	qotes chedy shckhy qokeey okeey kain checkhy qokeedy qotey qotain chekair	L	3	LINE_EDGE_AFTER_R3	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	R	5	RADIUS5_CENSORED	0	1	qotey	COLD|MIDDLE_STAGE	R4 qotey=kalt in der Mitte des Grades [COLD|MIDDLE_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_QUALITY	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	0	0	0	0	0	0	0	0	0	0	0	0	PARTIAL_REVERSE_SIDE	CENSORED__PARTIAL_REVERSE_SIDE	qokeey: äußeres Feld OPEN; okeey: äußeres Feld DESCRIPTIVE_QUALITY	OPEN	0	0
G752-Q026	Q_PREFIX	G751-Q024	q	qokeey	okeey	f81v	f81	f81v.11	2	3	PREFIX_THEN_BASE	yshey qokeey okeey oky ykeey qoky oky lky olchy ky dsholyd	L	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	R	4	STRICT_INITIAL_BEFORE_R5	1	2	ykeey|qoky	HOT|PROCESS|BEGIN_STAGE|END_STAGE	R2 ykeey=erhitze hiervon bis zur Endstufe und schließe ab [HOT|PROCESS|END_STAGE;W3_SOLID_WORKING_THEORY] || R3 qoky=heiß am Anfang des Grades [HOT|BEGIN_STAGE;W3_SOLID_WORKING_THEORY]	PRESCRIPTIVE_PROCESS	INGREDIENT_OR_PROCESS_COMPLEMENT	Stoff-/Prozessergänzung offen	1	0	0	0	1	0	0	0	0	0	0	0	0	PARTIAL_REVERSE_SIDE	PARTIAL_REVERSE_SIDE	qokeey: äußeres Feld OPEN; okeey: äußeres Feld PRESCRIPTIVE_PROCESS	OPEN	0	0
G752-Q027	Q_PREFIX	G751-Q024	q	qokeey	okeey	f99r	f99	f99r.50	3	2	BASE_THEN_PREFIX	qokeeo okeey qokeey okesy qokeeo sar sheseky or al	R	2	STRICT_INITIAL_BEFORE_R3	1	1	qokeeo	HOT|PREPARATION|LEVEL_II	R2 qokeeo=heißer Ansatz, Bindungsstufe II [HOT|PREPARATION|LEVEL_II;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	1	L	1	LINE_EDGE_AFTER_R1	1	1	qokeeo	HOT|PREPARATION|LEVEL_II	L1 qokeeo=heißer Ansatz, Bindungsstufe II [HOT|PREPARATION|LEVEL_II;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	1	1	1	0	1	0	0	1	1	0	0	1	1	AMBIGUOUS_BOTH_EXACT_SPLITS	AMBIGUOUS_BOTH_EXACT_SPLITS	qokeey: äußeres Feld DESCRIPTIVE_MATERIA; okeey: äußeres Feld DESCRIPTIVE_MATERIA	OPEN	0	0
G752-Q028	Q_PREFIX	G751-Q024	q	qokeey	okeey	f103r	f103	f103r.27	3	2	BASE_THEN_PREFIX	qokechy okeey qokeey lkeeody sheey qokeey lkeol tchey qokeey okeey qokaly	R	0	STRICT_INITIAL_BEFORE_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	L	1	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	1	1	0	0	0	0	0	0	0	0	NO_INDEPENDENT_SIDE_SIGNAL	NO_INDEPENDENT_SIDE_SIGNAL	qokeey: äußeres Feld OPEN; okeey: äußeres Feld OPEN	OPEN	0	0
