passage_patch_id	span_id	target_occurrence_id	page	physical_folio	locus	right_surface	semantic_change_class	old_display_de	new_display_de	selected_whole_default_de	written_line_eva	inherited_gdt777_patch_de	gdt778_practical_patch_de	patch_legend	default_is_translation	confirmed_plaintext	component_export_credit
G778-P013	G778-S014	G769-T0189	f35v	f35	f35v.13	char	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Fraktionsstufe I	Fraktionsstufe I	ol char od ar chear	ol char od ar chear	⟦Fraktionsstufe I⟧ od ar chear	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P014	G778-S015	G769-T0206	f41v	f41	f41v.6	cheos	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Trockenzubereitungsposten	Trockenzubereitungsposten	tadaiin ol cheos yteedy okal old oteol qokal or oteody	tadaiin ol cheos yteedy okal old oteol qokal or oteody	tadaiin ⟦Trockenzubereitungsposten⟧ yteedy okal old oteol qokal or oteody	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P015	G778-S016	G769-T0207	f42v	f42	f42v.12	chaiin	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Trockenstufe III	Trockenstufe III	chotcheey chol ol chaiin oteeaiin chkchy taiin y	chotcheey chol ol chaiin oteeaiin chkchy taiin y	chotcheey chol ⟦Trockenstufe III⟧ oteeaiin chkchy taiin y	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P016	G778-S017	G769-T0231	f55v	f55	f55v.3	kar	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	erhitzter Anteil I	erhitzter Anteil I	qokeeey os ain qool al chedy sar aiin ol kar am	qokeeey os ain qool al chedy sar aiin ol kar am	qokeeey os ain qool al chedy sar aiin ⟦erhitzter Anteil I⟧ am	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P017	G778-S018	G769-T0247	f66r	f66	f66r.75	ar	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Anteil	Anteil	tcheo sheor oteody lpchees ol ar alkey otey ltsholy shecthy r ol	tcheo sheor oteody lpchees ol ar alkey otey ltsholy shecthy r ol	tcheo sheor oteody lpchees ⟦Anteil⟧ alkey otey ltsholy shecthy r ol	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P018	G778-S019	G769-T0262	f75r	f75	f75r.34	kain	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	erhitzte Form II	erhitzte Form II	s olkedy okal dar oty okar otar ol kain oltedy	s olkedy okal dar oty okar otar ol kain oltedy	s olkedy okal dar oty okar otar ⟦erhitzte Form II⟧ oltedy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P019	G778-S020	G769-T0276	f75v	f75	f75v.44	sheckhy	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	angefeuchtete Mischung	angefeuchtete Mischung	olshees ol sheckhy qokain ol chedy qol chedy qol keey qolchedy chealy	olshees ol sheckhy qokain ol chedy qol chedy qol keey qolchedy chealy	olshees ⟦angefeuchtete Mischung⟧ qokain ol chedy qol chedy qol keey qolchedy chealy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P020	G778-S021	G769-T0296	f77v	f77	f77v.9	chs	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	trockene Grundform	trockene Grundform	dcheol kshey qolchshy cheol olchedy ol chs ol sheedy qokedy chedy	dcheol kshey qolchshy cheol olchedy ol chs ol sheedy qokedy chedy	dcheol kshey qolchshy cheol olchedy ⟦trockene Grundform⟧ ol sheedy qokedy chedy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P021	G778-S022	G769-T0315	f78v	f78	f78v.4	chy	CONTEXTUAL_SHARPENING	Ansatz: trocken am Anfang des Grades	Ansatz: trockene Grundform	trockene Grundform	ol chy lshdy lcheckhy ol keedy lcheckhey l olkedykain ol	⟦Ansatz: trocken am Anfang des Grades⟧ lshdy lcheckhy ol keedy lcheckhey l olkedykain ol	⟦Ansatz: trockene Grundform⟧ lshdy lcheckhy ol keedy lcheckhey l olkedykain ol	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P022	G778-S023	G769-T0324	f78v	f78	f78v.19	chedar	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	abgemessener Trockenanteil I	abgemessener Trockenanteil I	lchedy ol chedar shedy lor shedaldy orain	lchedy ol chedar shedy lor shedaldy orain	lchedy ⟦abgemessener Trockenanteil I⟧ shedy lor shedaldy orain	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P023	G778-S024	G769-T0332	f78v	f78	f78v.27	ols	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Produktposten	Produktposten	lol kar shr r ol ols sheey ol chedy oltar olkaiin	lol kar shr r ol ols sheey ol chedy oltar olkaiin	lol kar shr r ⟦Produktposten⟧ sheey ol chedy oltar olkaiin	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P024	G778-S025	G769-T0338	f79r	f79	f79r.6	olkeey	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	erhitztes Material, Form II	erhitztes Material, Form II	shol okar ol olkeey qokey sain olcheey qol chey	shol okar ol olkeey qokey sain olcheey qol chey	shol okar ⟦erhitztes Material, Form II⟧ qokey sain olcheey qol chey	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P025	G778-S026	G769-T0346	f79r	f79	f79r.27	ory	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Portionsposten	Portionsposten	qokeedy sheey kas cheey olkaiin ol ory cholor oty oky	qokeedy sheey kas cheey olkaiin ol ory cholor oty oky	qokeedy sheey kas cheey olkaiin ⟦Portionsposten⟧ cholor oty oky	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P026	G778-S027	G769-T0358	f79v	f79	f79v.17	dar	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	abgemessener Anteil I	abgemessener Anteil I	qol sheey chol ol dar qokaiin cheekey qoky otain oram	qol sheey chol ol dar qokaiin cheekey qoky otain oram	qol sheey chol ⟦abgemessener Anteil I⟧ qokaiin cheekey qoky otain oram	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P027	G778-S028	G769-T0376	f80r	f80	f80r.27	olkain	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	erhitztes Material, Wert II	erhitztes Material, Wert II	lol shar otaiin olkaiin ol olkain oraiin olor checthy olor	lol shar otaiin olkaiin ol olkain oraiin olor checthy olor	lol shar otaiin olkaiin ⟦erhitztes Material, Wert II⟧ oraiin olor checthy olor	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P028	G778-S029	G769-T0399	f80v	f80	f80v.35	kain	CONTEXTUAL_SHARPENING	und	und; erhitzte Form II	erhitzte Form II	tol oltain olkar y qol qol kain okiin ol kain shey ldy	tol oltain olkar y qol qol kain okiin ⟦und⟧ kain shey ldy	tol oltain olkar y qol qol kain okiin ⟦und; erhitzte Form II⟧ shey ldy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P029	G778-S030	G769-T0416	f81r	f81	f81r.22	chedar	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	abgemessener Trockenanteil I	abgemessener Trockenanteil I	qotal chedy qol ol daiin ol chedar ol oly	qotal chedy qol ol daiin ol chedar ⟦und dann⟧ oly	qotal chedy qol ol daiin ⟦abgemessener Trockenanteil I⟧ ⟦und dann⟧ oly	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P030	G778-S031	G769-T0421	f81v	f81	f81v.2	kain	CONTEXTUAL_SHARPENING	und	und; erhitzte Form II	erhitzte Form II	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	qokedy okaiin kair okal sar ⟦und⟧ kain olkain al ⟦Bezugsfeld: Stoffträger⟧ dl	qokedy okaiin kair okal sar ⟦und; erhitzte Form II⟧ olkain al ⟦Bezugsfeld: Stoffträger⟧ dl	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P031	G778-S032	G769-T0428	f81v	f81	f81v.16	chy	CONTEXTUAL_SHARPENING	Ansatz: trocken am Anfang des Grades	Ansatz: trockene Grundform	trockene Grundform	lor shedy qoeedy ol chy rshdy lshedy dar chdy pchdy	lor shedy qoeedy ⟦Ansatz: trocken am Anfang des Grades⟧ rshdy lshedy dar chdy pchdy	lor shedy qoeedy ⟦Ansatz: trockene Grundform⟧ rshdy lshedy dar chdy pchdy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P032	G778-S033	G769-T0476	f86v6	f86	f86v6.14	ain	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Wertstufe II	Wertstufe II	ykchy cholkaiin chey ykeedy okal or chcfhy lkey okar dar ol ain	ykchy cholkaiin chey ykeedy okal or chcfhy lkey okar dar ol ain	ykchy cholkaiin chey ykeedy okal or chcfhy lkey okar dar ⟦Wertstufe II⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P033	G778-S035	G769-T0507	f94v	f94	f94v.10	air	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Anteil II	Anteil II	ol air cheey okchaiin shy tararain otody qodar oteey dar	ol air cheey okchaiin shy tararain otody qodar oteey dar	⟦Anteil II⟧ cheey okchaiin shy tararain otody qodar oteey dar	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P034	G778-S036	G769-T0508	f95r1	f95	f95r1.1	oldaiin	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Materialergebnis III	Materialergebnis III	kshdor chepchdy ofaiin ol oldaiin opshol qokaiin oty odain	kshdor chepchdy ofaiin ol oldaiin opshol qokaiin oty odain	kshdor chepchdy ofaiin ⟦Materialergebnis III⟧ opshol qokaiin oty odain	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P035	G778-S037	G769-T0510	f95r1	f95	f95r1.11	dar	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	abgemessener Anteil I	abgemessener Anteil I	ykaiin or chdy chekain ol dar ykar olkeey ldar chekal	ykaiin or chdy chekain ol dar ykar olkeey ldar chekal	ykaiin or chdy chekain ⟦abgemessener Anteil I⟧ ykar olkeey ldar chekal	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P036	G778-S038	G769-T0511	f95r2	f95	f95r2.3	otaiin	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	abgekühlte Zubereitung, Wert III	abgekühlte Zubereitung, Wert III	todaiin chor chckhy qokol chkar ol otaiin ofar okain aram	todaiin chor chckhy qokol chkar ol otaiin ofar okain aram	todaiin chor chckhy qokol chkar ⟦abgekühlte Zubereitung, Wert III⟧ ofar okain aram	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P037	G778-S039	G769-T0512	f95r2	f95	f95r2.6	shol	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Feuchtmaterial	Feuchtmaterial	y olkor ol shol qotar chdy chdy qokar okar qokar odaly	y olkor ol shol qotar chdy chdy qokar okar qokar odaly	y olkor ⟦Feuchtmaterial⟧ qotar chdy chdy qokar okar qokar odaly	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
