exact_tuple_id	surface	page	selected	alternative_1	alternative_2	selection_reason
428a5e3662aa57b4b256	schoal	f11r	where it grows in shaded woodland	it grows beside still water	it grows in moist shaded earth	Selected reading completes the containing article with class HABITAT and fewer new inherited arguments.
497cbd9c7401810ff56b	otol	f10r	one handful	one spoonful	one small handful	Selected reading completes the containing article with class MEASURE and fewer new inherited arguments.
577c03a928d674d420d7	shoyty	f11r	the genuine plant bears small blue flowers	its leaves are round and scalloped	its root spreads close to the ground	Selected reading completes the containing article with class IDENTIFICATION_FEATURE and fewer new inherited arguments.
61a075bc54793c1c781f	sotodan	f56r	use it immediately while fresh	use it while still warm	use it once after cooling	Selected reading completes the containing article with class APPLICATION_CONDITION and fewer new inherited arguments.
62ff059766b21c7de083	otytchol	f10r	drink it for pain of the stomach	drink it for griping of the belly	apply it to a painful swelling	Selected reading completes the containing article with class INDICATION_APPLICATION and fewer new inherited arguments.
65f320e75510b2f38182	dchey	f10r	the pictured twin-tubered blue-flowered simple	the pictured simple under its local workshop name	the pictured simple under a second inherited name	Selected reading completes the containing article with class ARTICLE_HEAD and fewer new inherited arguments.
6afeb5c9ab9f6cbdea0d	orain	f55v	use that portion while fresh	drink the measured preparation	lay the measured preparation on the place	Selected reading completes the containing article with class APPLICATION and fewer new inherited arguments.
6f7ff8287eddf4da9fdb	chedy	f55v	stir until evenly mixed	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
7249edc4df3419c26999	ycheor	f10r	it grows beside running water	it grows beside still water	it grows in moist shaded earth	Selected reading completes the containing article with class HABITAT and fewer new inherited arguments.
75a523fcf039b006f97b	kchal	f56r	keep the dried medicine in shade	keep it dried in a covered vessel	store it immersed in oil	Selected reading completes the containing article with class PRESERVATION and fewer new inherited arguments.
807591efc3d3f7ddbfab	cheoar	f55v	add white wine	with spring water	with clear wine	Selected reading completes the containing article with class MEDIUM and fewer new inherited arguments.
80ebbbbf238eee9f0aef	chty	f10r	pound and stir until evenly joined	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
834825c61d048a6b5628	chodaiin	f10r	preserve this portion in oil	keep it dried in a covered vessel	store it immersed in oil	Selected reading completes the containing article with class PRESERVATION and fewer new inherited arguments.
893c570f3fa3fce99711	kchol	f56r	white wine	with spring water	with clear wine	Selected reading completes the containing article with class MEDIUM and fewer new inherited arguments.
953ad19b79517fc8a211	tshol	f11r	gather the mat-forming simple in spring	gather it at first flowering	gather it after the dew has dried	Selected reading completes the containing article with class GATHERING_TIME and fewer new inherited arguments.
95987d6f198d6d247511	cheeckhody	f56r	bind it in place overnight; close	leave the binding until morning; end	wash the place and remove the binding; end	Selected reading completes the containing article with class APPLICATION_CLOSE and fewer new inherited arguments.
97cc9ac109148723c472	ody	f55v	steep until clear; close the first preparation	steep until clear and put it aside	boil to half and close the step	Selected reading completes the containing article with class STATE_GATE_CLOSE and fewer new inherited arguments.
9bb7122b386ebbc6138f	keol	f56r	of the pale flower heads	take the corresponding leaf or root part	take the visibly matching flower or seed part	Selected reading completes the containing article with class PLANT_PART and fewer new inherited arguments.
a48efd6c4491a046ba78	qotchy	f11r	take the fresh leafy part	take the corresponding leaf or root part	take the visibly matching flower or seed part	Selected reading completes the containing article with class PLANT_PART and fewer new inherited arguments.
a6939862e33ece5a0483	etyd	f10r	retain the remainder of the root	keep it dried in a covered vessel	store it immersed in oil	Selected reading completes the containing article with class PRESERVATION and fewer new inherited arguments.
a8af08e69edab8e54f15	shfydaiin	f11r	strain the infusion first through coarse cloth	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
ad3581d3144f69a5912d	sh	f56r	for the seed preparation	as for its seed	then take the flowering head	Selected reading completes the containing article with class PLANT_PART_ENTRY and fewer new inherited arguments.
af816c04e65874a0f2fa	qoctholy	f10r	boil it gently	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
b2812c8283c3a62438bd	kchy	f11r	use it against a swollen place	drink it for griping of the belly	apply it to a painful swelling	Selected reading completes the containing article with class INDICATION_APPLICATION and fewer new inherited arguments.
b5df9126607030b95175	shey	f11r	continue until the liquid runs clear	until it becomes clear	until half the liquid remains	Selected reading completes the containing article with class STATE_GATE and fewer new inherited arguments.
b5fcea1eaed06b2f2291	qokaiin	f55v	take up the next portion or instruction	continue with the next concrete preparation step	repeat the preceding concrete step once	Selected reading completes the containing article with class RECORD_ENTRY and fewer new inherited arguments.
b74e9e65637b7c8538dd	kchey	f56r	the leaves after cutting	take the corresponding leaf or root part	take the visibly matching flower or seed part	Selected reading completes the containing article with class PLANT_PART and fewer new inherited arguments.
b9d7b6d68209a9019e7a	chochor	f56r	gather the thistle-like simple in spring	gather it at first flowering	gather it after the dew has dried	Selected reading completes the containing article with class GATHERING_TIME and fewer new inherited arguments.
bdad9f9ea8b80f141496	cfhy	f11r	cut it before the blue flowers open	gather it at first flowering	gather it after the dew has dried	Selected reading completes the containing article with class GATHERING_TIME and fewer new inherited arguments.
c10aec6d4dd877ec8bd8	choy	f56r	growing on shaded stony ground	it grows beside still water	it grows in moist shaded earth	Selected reading completes the containing article with class HABITAT and fewer new inherited arguments.
c71c72da4e09e0833392	kchoar	f56r	mix it with honey	mix it with oil	mix it with vinegar	Selected reading completes the containing article with class MEDIUM_RELATION and fewer new inherited arguments.
d929a14ec45749b2e805	ykan	f55v	in white wine	with spring water	with clear wine	Selected reading completes the containing article with class MEDIUM and fewer new inherited arguments.
dd0ecaf5e27d81befffc	dal	f56r	on the afflicted place	continue with the next concrete preparation step	repeat the preceding concrete step once	Selected reading completes the containing article with class APPLICATION_TARGET and fewer new inherited arguments.
deb377381ceaf55ea310	cphy	f11r	strain it again through fine cloth	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
dec401773c1f0347793d	cholor	f10r	drawn from the foregoing batch	repeat it from the same batch	continue with the preceding batch	Selected reading completes the containing article with class REFERENCE and fewer new inherited arguments.
dedc383b600397a301ee	cthoor	f10r	keep the cut root in a covered jar	keep it dried in a covered vessel	store it immersed in oil	Selected reading completes the containing article with class PRESERVATION and fewer new inherited arguments.
df1098831679a8ad1b39	os	f10r	reduce the dried root to powder	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
e026af581c99322fbd46	talam	f55v	wash the broad leaf once; close	wash the root once and put it aside	rinse the vessel once and end the step	Selected reading completes the containing article with class PREPARATION_CLOSE and fewer new inherited arguments.
e8a6105b5c3a6220b440	qotchol	f10r	apply it while warm	use it while still warm	use it once after cooling	Selected reading completes the containing article with class APPLICATION_CONDITION and fewer new inherited arguments.
f3c23f42baf625639e1e	cthaiin	f10r	express the juice from the root	pound it and steep it in water	boil it and strain it once	Selected reading completes the containing article with class PREPARATION and fewer new inherited arguments.
f7dc90b2c31fd341f0a4	ykaiin	f55v	for its medicinal use	for drinking as a medicine	for an outward binding	Selected reading completes the containing article with class APPLICATION_ENTRY and fewer new inherited arguments.
faf321940aed922846a9	otchey	f56r	set apart the following equal share	set apart one equal portion	reserve one lesser portion	Selected reading completes the containing article with class MEASURE_ENTRY and fewer new inherited arguments.
