card_no	surfaces	semantic_component_parse	grade_component	grade_word_de	grade_position	scope_kind	scoped_action_component	scoped_action_word_de	occurrences	records	scope_rule_de
PROC136	shecthedchy	SH+E+CTH+CHD+Y	E	KURZ	2	ACTION_SCOPE	SH	HALTEN	1	B3	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC139	sheedy	SH+EE+DY	EE	LANG	2	ACTION_SCOPE	SH	HALTEN	1	B3	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC141	qokshedy	OK+SH+E+DY	E	KURZ	3	ACTION_SCOPE	SH	HALTEN	1	B3	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC143	shecthy	SH+E+CTH+Y	E	KURZ	2	ACTION_SCOPE	SH	HALTEN	1	B3	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC146	cheedar	EE+AR	EE	LANG	1	NONACTION_SCOPE	NONE	NONE	1	B3	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
PROC149	cheeety	EEE+T+Y	EEE	VOLL	1	ACTION_SCOPE	T	EINTRAGEN	1	B3	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC152	qotedaiin	OT+E+AIIN	E	KURZ	2	NONACTION_SCOPE	NONE	NONE	1	B3	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
PROC157	sheey	SH+EE+Y	EE	LANG	2	ACTION_SCOPE	SH	HALTEN	1	B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC158	okeeol	OK+EE+OL	EE	LANG	2	ACTION_SCOPE	OK	ANSETZEN	1	B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC159	lkedy	L+K+E+DY	E	KURZ	3	ACTION_SCOPE	K	ZUFUEHREN	1	B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC161	qockhey	O+CKH+E+Y	E	KURZ	3	NONACTION_SCOPE	NONE	NONE	1	B4	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
PROC164	solkey	SOLK+E+Y	E	KURZ	2	ACTION_SCOPE	SOLK	AUFFANGEN	1	B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC170	solkeey	SOLK+EE+Y	EE	LANG	2	ACTION_SCOPE	SOLK	AUFFANGEN	1	B6	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC171	qekey	E+K+E+Y	E	KURZ	1	ACTION_SCOPE	K	ZUFUEHREN	1	B6	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC171	qekey	E+K+E+Y	E	KURZ	3	ACTION_SCOPE	K	ZUFUEHREN	1	B6	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
