state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	cohort	surface	final_context_recipe	state_marker_sequence	effective_action_roots	effective_argument_roots	context_mode_card_id	context_mode	action_carry	action_source_type	action_source_event_id	action_source_card_distance	action_scope_frame_id	action_scope_kind	action_scope_phrase_de	argument_carry	argument_source_type	inherited_argument_root	explicit_argument_phrase_de	carried_argument_phrase_de	carried_argument_realization_count	control_prior_marker_count	control_action_context_witness	gdt568_action_voice_clause_de	context_voice_working_clause_de	owner_bound_control_clause_de	gdt568_owner_action_chain_de	context_voice_action_chain_de	context_voice_changed	state_atom_alignment	guard
11	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	OLD26_GDT407	teody	T+E+O+DY	DY	T	AIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0071	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIN	den Teilwert	denselben Teilwert	1	1	NOT_APPLICABLE	Lege den Teilwert fest; auf Grad I; zur Ausführung; schließe den Schritt.	Lege denselben Teilwert fest; auf Grad I; zur Ausführung; schließe den Schritt.	Lege den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung; schließe den Schritt.	lege den Teilwert fest	lege denselben Teilwert fest	YES	1:T=einstellen | 2:E=auf Grad I | 3:O=zur Ausführung | 4:DY=abschließen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
12	G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	ols	OL+S	OL	S	AIIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0074	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIIN	den Kennwert	denselben Kennwert	1	1	NOT_APPLICABLE	Weiter: wähle den Kennwert.	Weiter: wähle denselben Kennwert.	Weiter wähle den Kennwert [wie zuvor].	wähle den Kennwert	wähle denselben Kennwert	YES	1:OL=weiter | 2:S=wählen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
13	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	otairin	OT+AIR+IIN	OT	SH	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0081	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	YES	Danach: halte den laufenden Eintrag fest; entlang der Lesebahn; auf der Stufe.	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; entlang der Lesebahn; auf der Stufe.	Danach im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; entlang der Lesebahn; auf der bezeichneten Stufe.	halte den laufenden Eintrag fest	halte denselben laufenden Eintrag fest	YES	1:OT=danach | 2:AIR=entlang der Bahn | 3:IIN=auf der Stufe	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
14	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	oteol	OT+E+OL	OT+OL	SH	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0081	2	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	YES	Danach: halte den laufenden Eintrag fest; auf Grad I; weiterführen.	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; auf Grad I; weiterführen.	Danach und weiter im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	halte den laufenden Eintrag fest	halte denselben laufenden Eintrag fest	YES	1:OT=danach | 2:E=auf Grad I | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
15	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	oldain	OL+AIN	OL	SH	AIN	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0094	1	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Teilwert	NOT_APPLICABLE	0	0	YES	Weiter: halte den Teilwert fest.	Weiter im laufenden Gang: halte den Teilwert fest.	Weiter im laufenden Gang halte den Teilwert fest.	halte den Teilwert fest	halte den Teilwert fest	YES	1:OL=weiter | 2:AIN=den Anteil	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
16	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	chol	OL	OL	SH	AIN	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0094	5	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	YES	CONTEXT_CARRY	AIN	den Teilwert	denselben Teilwert	1	1	YES	Weiter: halte den Teilwert fest.	Weiter im laufenden Gang: halte denselben Teilwert fest.	Weiter im laufenden Gang halte den Teilwert [wie zuvor] fest.	halte den Teilwert fest	halte denselben Teilwert fest	YES	1:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
17	G407-E0113	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	kol	K+OL	OL	K	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0113	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	NOT_APPLICABLE	Weiter: ordne den laufenden Eintrag zu.	Weiter: ordne denselben laufenden Eintrag zu.	Weiter ordne den laufenden Eintrag [wie zuvor] zu.	ordne den laufenden Eintrag zu	ordne denselben laufenden Eintrag zu	YES	1:K=geben | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
18	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	chol	OL	OL	K	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0113	1	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	YES	Weiter: ordne den laufenden Eintrag zu.	Weiter im laufenden Gang: ordne denselben laufenden Eintrag zu.	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	ordne den laufenden Eintrag zu	ordne denselben laufenden Eintrag zu	YES	1:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
19	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	chol	OL	OL	K	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0113	2	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	YES	Weiter: ordne den laufenden Eintrag zu.	Weiter im laufenden Gang: ordne denselben laufenden Eintrag zu.	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	ordne den laufenden Eintrag zu	ordne denselben laufenden Eintrag zu	YES	1:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
20	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	chol	OL	OL	SH	OR	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0118	1	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	YES	CONTEXT_CARRY	OR	die Eintragseinheit	dieselbe Eintragseinheit	1	1	YES	Weiter: halte die Eintragseinheit fest.	Weiter im laufenden Gang: halte dieselbe Eintragseinheit fest.	Weiter im laufenden Gang halte die Eintragseinheit [wie zuvor] fest.	halte die Eintragseinheit fest	halte dieselbe Eintragseinheit fest	YES	1:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
21	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	pshol	P+SH+OL	OL	P|SH	AIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0132	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIN	den Teilwert	denselben Teilwert	2	2	NOT_APPLICABLE	Weiter: setze den Teilwert ein und halte den Teilwert fest.	Weiter: setze denselben Teilwert ein und halte denselben Teilwert fest.	Weiter setze den Teilwert [wie zuvor] ein und halte den Teilwert [wie zuvor] fest.	setze den Teilwert ein und halte den Teilwert fest	setze denselben Teilwert ein und halte denselben Teilwert fest	YES	1:P=einsetzen | 2:SH=halten | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
22	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	dydyd	Y+DY+D_LABEL	DY	SH	Y	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0132	1	GDT569-S03	BARE	Im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den laufenden Eintrag	NOT_APPLICABLE	0	0	YES	Halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang: Halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	halte den laufenden Eintrag fest	halte den laufenden Eintrag fest	YES	1:Y=den Posten | 2:DY=abschließen | 3:D_LABEL=hier	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
23	G407-E0137	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	shol	SH+OL	OL	SH	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0137	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	NOT_APPLICABLE	Weiter: halte den laufenden Eintrag fest.	Weiter: halte denselben laufenden Eintrag fest.	Weiter halte den laufenden Eintrag [wie zuvor] fest.	halte den laufenden Eintrag fest	halte denselben laufenden Eintrag fest	YES	1:SH=halten | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
24	G407-E0150	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	tol	T+OL	OL	T	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0150	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	NOT_APPLICABLE	Weiter: lege den laufenden Eintrag fest.	Weiter: lege denselben laufenden Eintrag fest.	Weiter lege den laufenden Eintrag [wie zuvor] fest.	lege den laufenden Eintrag fest	lege denselben laufenden Eintrag fest	YES	1:T=einstellen | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
25	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	cthols	CH+T+OL+S	OL	CH|T|S	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0151	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	3	3	NOT_APPLICABLE	Weiter: entnimm den laufenden Eintrag und lege den laufenden Eintrag fest und wähle den laufenden Eintrag.	Weiter: entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest und wähle denselben laufenden Eintrag.	Weiter entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor].	entnimm den laufenden Eintrag und lege den laufenden Eintrag fest und wähle den laufenden Eintrag	entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest und wähle denselben laufenden Eintrag	YES	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter | 4:S=wählen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
26	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OLD26_GDT407	otol	OT+OL	OT+OL	K	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0157	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	YES	Danach: ordne den laufenden Eintrag zu; weiterführen.	Danach im laufenden Gang: ordne denselben laufenden Eintrag zu; weiterführen.	Danach und weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	ordne den laufenden Eintrag zu	ordne denselben laufenden Eintrag zu	YES	1:OT=danach | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
27	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OLD26_GDT407	chol	OL	OL	CH	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0162	1	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	YES	Weiter: entnimm den laufenden Eintrag.	Weiter im laufenden Gang: entnimm denselben laufenden Eintrag.	Weiter im laufenden Gang entnimm den laufenden Eintrag [wie zuvor].	entnimm den laufenden Eintrag	entnimm denselben laufenden Eintrag	YES	1:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
28	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OLD26_GDT407	chol	OL	OL	R	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E0168	3	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den laufenden Eintrag	denselben laufenden Eintrag	1	1	YES	Weiter: kennzeichne den laufenden Eintrag.	Weiter im laufenden Gang: kennzeichne denselben laufenden Eintrag.	Weiter im laufenden Gang kennzeichne den laufenden Eintrag [wie zuvor].	kennzeichne den laufenden Eintrag	kennzeichne denselben laufenden Eintrag	YES	1:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
29	G407-E0184	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OLD26_GDT407	okol	OK+OL	OL	OK	AIIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0184	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIIN	den Kennwert	denselben Kennwert	1	1	NOT_APPLICABLE	Weiter: trage den Kennwert ein.	Weiter: trage denselben Kennwert ein.	Weiter trage den Kennwert [wie zuvor] ein.	trage den Kennwert ein	trage denselben Kennwert ein	YES	1:OK=setzen | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
30	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OLD26_GDT407	cthol	CH+T+OL	OL	CH|T	AIIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E0187	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIIN	den Kennwert	denselben Kennwert	2	2	NOT_APPLICABLE	Weiter: entnimm den Kennwert und lege den Kennwert fest.	Weiter: entnimm denselben Kennwert und lege denselben Kennwert fest.	Weiter entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest.	entnimm den Kennwert und lege den Kennwert fest	entnimm denselben Kennwert und lege denselben Kennwert fest	YES	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
