context_id	page	locus	section	language	hand	body	head	head_class	form	working_default_de	token_ordinal	line_position	previous	following	reader_exact	split_normalized	zl3b_line
G636-X024	f112r	f112r.29	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	aiin	1	1	sar aiin olshedy chokeey sal okaiin oteey qokeey olor al chealy
G636-X025	f112r	f112r.38	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	ain	1	1	sar ain olkeear okeody qokiin oteedy qokey okal okedy
G636-X026	f112r	f112r.44	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	ain	1	1	sar ain qokoekeeey yk koeechey okeeedy alair akcheey ar arody
G636-X027	f113r	f113r.28	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	al	1	1	sar al chal os akchy daiin cheeeo rain otain chol lcholkaiin cheokedy lodas
G636-X028	f113v	f113v.3	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	aiin	1	1	sar aiin chotar okeeodar qokain olol olam
G636-X029	f116r	f116r.13	S	B	3	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	ain	1	1	sar ain tey chetain shtey okey chedy qoteedy qokain shety okeedam
G636-X030	f17v	f17v.17	H	A	1	ar	s	ENTRY	sar	Samenfraktion I	2	MIDDLE	qoain	she	1	1	qoain sar she dol qopchaiin cthor
G636-X031	f24r	f24r.11	H	A	1	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	cheoiees	1	1	sar cheoiees okeem cheor qokain
G636-X032	f26r	f26r.7	H	B	2	ar	s	ENTRY	sar	Samenfraktion I	12	LAST	dalchedy	<EOS>	0	0	pcho qokedy dar sheo ypchseds s aiin sha p chedyfchy dalchedy sar
G636-X033	f26v	f26v.2	H	B	2	ar	s	ENTRY	sar	Samenfraktion I	5	MIDDLE	otedy	y	1	1	saraiir chekedy qokedy otedy sar y etedy qokedy or ae alys chedy
G636-X034	f33v	f33v.9	H	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	or	1	1	sar or aiin chor or shkair shol or chckhy ar aiin okain dal dy
G636-X035	f42v	f42v.4	H	A	1	ar	s	ENTRY	sar	Samenfraktion I	3	MIDDLE	chkchy	dy	0	1	qotchy chkchy sar dy odaiil ykchy o kol dg
G636-X036	f55v	f55v.3	H	B	2	ar	s	ENTRY	sar	Samenfraktion I	7	MIDDLE	chedy	aiin	0	0	qokeeey os ain qool al chedy sar aiin ol kar am
G636-X037	f58r	f58r.23	S	A	3	ar	s	ENTRY	sar	Samenfraktion I	9	LAST	choky	<EOS>	1	1	shol aleedy chotar okeal sheody qokalchar otal choky sar
G636-X038	f58r	f58r.29	S	A	3	ar	s	ENTRY	sar	Samenfraktion I	3	MIDDLE	cheor	alol	1	1	odalar cheor sar alol daly cheom chor ar aldam chal cheal r omy
G636-X039	f6v	f6v.1	H	A	1	ar	s	ENTRY	sar	Samenfraktion I	2	MIDDLE	koary	cheekar	0	0	koary sar cheekar qoor shor chapchy s chear char otchy
G636-X040	f75r	f75r.18	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	8	MIDDLE	char	oly	0	0	sol sheedy qol shedy qol otain char sar oly
G636-X041	f75r	f75r.22	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	9	LAST	chedy	<EOS>	0	0	odar shey qokain chedy or shey kar chedy sar
G636-X042	f76r	f76r.13	T	B	2	ar	s	ENTRY	sar	Samenfraktion I	13	LAST	chedy	<EOS>	1	1	qokeedy checthy chckhey okal okaiin sheckhey okeedy otey dal y kal chedy sar
G636-X043	f76v	f76v.17	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	olkeey	1	1	sar olkeey shokaiin sheolol otedy qekchdy qoeeedy qokedy lkedy chdy
G636-X044	f76v	f76v.29	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	sheedy	1	1	sar sheedy qokeedy qolkey lchdy schees shees al ches okaiin alaldy
G636-X045	f77r	f77r.28	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	5	MIDDLE	olcheedy	lom	1	1	olchey qotey qokain olcheedy sar lom
G636-X046	f77r	f77r.33	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	6	MIDDLE	qoteeedy	oiiiin	1	1	daiin chedy qol keedy qoteeedy sar oiiiin cheety dy
G636-X047	f78r	f78r.38	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	aiin	0	1	sar aiin oteedy ol aiin chedy
G636-X048	f79v	f79v.9	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	ol	0	0	sar ol sheey qokeedy qokechey qol
G636-X049	f80v	f80v.25	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	10	LAST	checthy	<EOS>	1	1	lshedy qoty olol cheey qokain okalchy tal or checthy sar
G636-X050	f81r	f81r.25	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	shedy	0	0	sar shedy qol otain okair okal chedy dy
G636-X051	f81r	f81r.6	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	ol	1	1	sar ol eses oteey shor qokeey ol
G636-X052	f81v	f81v.2	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	5	MIDDLE	okal	ol	1	1	qokedy okaiin kair okal sar ol kain olkain al ol rol dl
G636-X053	f82r	f82r.6	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	shedy	0	0	sar shedy qol shedaiin sheckhy okal sheky qotaiin chedol
G636-X054	f82v	f82v.32	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	al	1	1	sar al loraiin chey qokain o roiiin
G636-X055	f83r	f83r.19	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	shedaiin	0	0	sar shedaiin ockhey sain ched shedy qetal dal shedy shey lchedy
G636-X056	f83r	f83r.21	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	10	LAST	chckhdy	<EOS>	1	1	solkeedy qokedy otedy sol chedy lkedy qokchedy qokedy chckhdy sar
G636-X057	f83r	f83r.43	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	5	LAST	qotal	<EOS>	0	0	daiin sheol chedy qotal sar
G636-X058	f83v	f83v.16	B	B	2	ar	s	ENTRY	sar	Samenfraktion I	9	MIDDLE	chedy	al	1	1	daiin qokal sheckhey qokeey chal qokeey qokaiin chedy sar al
G636-X059	f86v3	f86v3.16	C	B	2	ar	s	ENTRY	sar	Samenfraktion I	6	MIDDLE	ykched	aldy	0	0	dcheody skeeody qokshey cheodain ykched sar aldy
G636-X060	f86v3	f86v3.17	C	B	2	ar	s	ENTRY	sar	Samenfraktion I	6	LAST	odaiin	<EOS>	1	1	dsheody qokchey dal or odaiin sar
G636-X061	f86v6	f86v6.35	T	B	2	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	aiin	0	0	sar aiin otar cheody qotaiin qokaiin ol tey qokaiin okar ol
G636-X062	f88r	f88r.8	P	A	1	ar	s	ENTRY	sar	Samenfraktion I	8	MIDDLE	daiin	s	1	1	ral sheom keol chear shekor qokor daiin sar s aiin oky sam
G636-X063	f89v1	f89v1.19	P	A	1	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	a	1	1	sar a daiin ckhy qotchy okol ycheo cthody okol olkaycthy
G636-X064	f8v	f8v.2	H	A	1	ar	s	ENTRY	sar	Samenfraktion I	2	MIDDLE	shcthal	chor	1	1	shcthal sar chor sheaiin shor chykchy otaiin y
G636-X065	f93v	f93v.9	H	A	1	ar	s	ENTRY	sar	Samenfraktion I	9	MIDDLE	ytchol	dar	1	1	odeeeodl cheodar oksho chody okchey cthol oly ytchol sar dar
G636-X066	f96v	f96v.11	H	A	1	ar	s	ENTRY	sar	Samenfraktion I	1	FIRST	<BOS>	os	1	1	sar os checkhey so
G636-X067	f99r	f99r.15	P	A	1	ar	s	ENTRY	sar	Samenfraktion I	9	LAST	olaiin	<EOS>	0	0	pcheody oteody daiin cpheey tshol dal cfheol olaiin sar
G636-X068	f99r	f99r.50	P	A	1	ar	s	ENTRY	sar	Samenfraktion I	6	MIDDLE	qokeeo	sheseky	1	1	qokeeo okeey qokeey okesy qokeeo sar sheseky or al
G636-X069	f103r	f103r.16	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	5	MIDDLE	cheey	okeey	1	1	dshol sholkar shdaiin cheey rar okeey shcfhedy opcheol oteedy tchey shky
G636-X070	f103v	f103v.30	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	10	LAST	fchedey	<EOS>	1	1	pchear okain opchedy pchol fchedy otedy poly lchedy fchedey rar
G636-X071	f103v	f103v.41	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	13	LAST	lchdy	<EOS>	0	0	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar
G636-X072	f103v	f103v.42	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	4	MIDDLE	chey	arol	1	1	yshey sheykain chey rar arol chsaly
G636-X073	f104r	f104r.20	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	6	MIDDLE	chol	cheody	1	1	dsheoy qocthey qokchdy qokaiin chol rar cheody cheeekan ar ain ar alam
G636-X074	f107r	f107r.19	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	3	MIDDLE	ol	sheey	1	1	oaiin ol rar sheey ylar aiin cholal dy cheeody okeeey cheodaiin aldy
G636-X075	f107v	f107v.43	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	9	MIDDLE	opchey	aiin	1	1	pol keeeo kaiisr qokeey chckhy lkchaly lkeey opchey rar aiin cheokaly
G636-X076	f108v	f108v.15	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	6	MIDDLE	ykeealkey	aiin	0	0	pcheor okear sheey qokeey ykeealkey rar aiin opsholal shedy ofaramoty
G636-X077	f108v	f108v.39	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	5	MIDDLE	chey	ain	1	1	sain chey lkedain chey rar ain al chear olor chedaiin oteey chedy rl
G636-X078	f111v	f111v.21	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	5	MIDDLE	qol	ain	1	1	sair air ain qol rar ain cheey lkeey lkain cheokain sheo qo qokain chear alam
G636-X079	f115v	f115v.13	S	B	3	ar	r	INGREDIENT	rar	Wurzelfraktion I	3	MIDDLE	pcheed	tcheody	1	1	pchdarody pcheed rar tcheody polched lpchdy tol rchees cphor orair kol
G636-X080	f77v	f77v.14	B	B	2	ar	r	INGREDIENT	rar	Wurzelfraktion I	10	MIDDLE	qol	ar	1	1	darcheedal qeedy qeedeey olchey lchey qedy or cheey qol rar ar
G636-X081	f77v	f77v.33	B	B	2	ar	r	INGREDIENT	rar	Wurzelfraktion I	3	MIDDLE	cheky	chedy	0	0	qokaiin cheky rar chedy qokal dar y qotal dal rain
G636-X082	f80r	f80r.39	B	B	2	ar	r	INGREDIENT	rar	Wurzelfraktion I	7	MIDDLE	ykeey	alshees	1	1	qokeedy qokail oteey otain shedy ykeey rar alshees
G636-X083	f106r	f106r.42	S	B	3	ar	l	INGREDIENT	lar	Holzfraktion I	10	LAST	shedy	<EOS>	1	1	pcheodar shol kain okchedy qoteey shotchy qoty lpaiin shedy lar
G636-X084	f108v	f108v.51	S	B	3	ar	l	INGREDIENT	lar	Holzfraktion I	11	LAST	okeey	<EOS>	1	1	ssheodain qokeeo okeey qoksheedy char air okeey qokeeolchey olkeey okeey lar
G636-X085	f115r	f115r.13	S	B	@	ar	l	INGREDIENT	lar	Holzfraktion I	7	MIDDLE	qotcho	airorlchy	1	1	tchedy qoolkeedy qokchedy qotchd lpchedy qotcho lar airorlchy cpholrory
G636-X086	f116r	f116r.2	S	B	3	ar	l	INGREDIENT	lar	Holzfraktion I	7	MIDDLE	shy	ar	1	1	shain cheor ain okeey okeey shy lar ar aiiin oky char ar okain ykanam
G636-X087	f76v	f76v.26	B	B	2	ar	l	INGREDIENT	lar	Holzfraktion I	9	MIDDLE	chckhy	aly	0	0	dshol qokaiin ches daiin checkhy oteoldy qokeey chckhy lar aly
G636-X088	f80r	f80r.23	B	B	2	ar	l	INGREDIENT	lar	Holzfraktion I	14	LAST	oky	<EOS>	0	0	yshey l shey kaiin lor aiiin shcthy pchey ty ol keedy tar oky lar
G636-X089	f82r	f82r.23	B	B	2	ar	l	INGREDIENT	lar	Holzfraktion I	9	LAST	lchedy	<EOS>	1	1	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar
G636-X090	f82r	f82r.25	B	B	2	ar	l	INGREDIENT	lar	Holzfraktion I	8	MIDDLE	lchedy	sheey	0	0	dol qoesedy sheeal sheedy lshed qockhey lchedy lar sheey ry
G636-X091	f107v	f107v.25	S	B	3	chey	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	11	MIDDLE	ky	rag	1	1	kaolkar kolkar okeol qokeor al tody opchey oty al ky pchey rag
G636-X092	f40r	f40r.1	H	B	2	chey	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	1	FIRST	<BOS>	k	1	1	pchey k eodar aldydy qoky okal shdy olkedy opches ar ordaiin
G636-X093	f75r	f75r.23	B	B	2	chey	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	1	FIRST	<BOS>	kshey	0	0	pchey kshey qokeey qokal sshey qol chedyqokam
G636-X094	f78r	f78r.17	B	B	2	chey	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	4	MIDDLE	kedy	tchdoltdy	1	1	soiin kar kedy pchey tchdoltdy
G636-X095	f79v	f79v.28	B	B	2	chey	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	1	FIRST	<BOS>	ksheol	1	1	pchey ksheol qokain ofchedy otalshdy olkair otaiin okeedy
G636-X096	f80r	f80r.23	B	B	2	chey	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	8	MIDDLE	shcthy	ty	0	0	yshey l shey kaiin lor aiiin shcthy pchey ty ol keedy tar oky lar
G636-X097	f85r1	f85r1.6	T	B	2	chey	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	3	MIDDLE	shey	qokeey	1	1	roraiin shey pchey qokeey chor ol shedy
G636-X098	f8r	f8r.9	H	A	1	chey	p	ENTRY	pchey	Pulver, trocken gebunden, Form I	4	MIDDLE	pcheey	ofchey	1	1	tchoep sho pcheey pchey ofchey dsheey sholdaiin shor
G636-X099	f27r	f27r.7	H	A	1	chey	s	ENTRY	schey	Samen/Saatgut, trocken gebunden, Form I	5	MIDDLE	pcho	ly	1	1	kchey chey kcheol pcho schey ly chals cham
G636-X100	f32r	f32r.14	H	A	1	chey	s	ENTRY	schey	Samen/Saatgut, trocken gebunden, Form I	1	FIRST	<BOS>	qot	0	0	schey qot shey daiin cths
G636-X101	f3r	f3r.4	H	A	1	chey	s	ENTRY	schey	Samen/Saatgut, trocken gebunden, Form I	1	FIRST	<BOS>	chor	1	1	schey chor chal chag cham cho
G636-X102	f56r	f56r.17	H	A	1	chey	s	ENTRY	schey	Samen/Saatgut, trocken gebunden, Form I	3	MIDDLE	qokcheey	d	1	1	chokeey qokcheey schey d aiin dy
G636-X103	f87v	f87v.2	H	A	1	chey	s	ENTRY	schey	Samen/Saatgut, trocken gebunden, Form I	1	FIRST	<BOS>	ctheey	1	1	schey ctheey qocthsy s dcheoky s cth
G636-X104	f30r	f30r.8	H	A	1	chey	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	9	LAST	dcheo	<EOS>	1	1	opchol ol chesey scheo r chey okeal dcheo rchey
G636-X105	f79v	f79v.18	B	B	2	chey	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	9	LAST	olkeedy	<EOS>	1	1	qokain sheey qokeey teey oteey lcheey qokeey olkeedy rchey
G636-X106	f79v	f79v.4	B	B	2	chey	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	6	MIDDLE	chedy	qoky	0	0	qokeedy qokeedy qotain sol chedy rchey qoky lchedy
G636-X107	f80r	f80r.36	B	B	2	chey	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	2	MIDDLE	qokeey	tain	1	1	qokeey rchey tain oteey qokain shekaiin sheckhy qolshey qokain ol lom
G636-X108	f80v	f80v.21	B	B	2	chey	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	5	MIDDLE	y	qokal	0	0	tar kain okal y rchey qokal olor aiin okal otam
G636-X109	f80v	f80v.38	B	B	2	chey	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	6	MIDDLE	olkchy	qcthy	1	1	polkedy lsheckhy olky ot olkchy rchey qcthy rchey ral
G636-X110	f80v	f80v.38	B	B	2	chey	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	8	MIDDLE	qcthy	ral	0	1	polkedy lsheckhy olky ot olkchy rchey qcthy rchey ral
G636-X111	f82r	f82r.9	B	B	2	chey	r	INGREDIENT	rchey	Wurzel/Wurzeldroge, trocken gebunden, Form I	4	MIDDLE	chkedy	dairchey	1	1	ssholshecthy qokaiin chkedy rchey dairchey qokaiin
G636-X112	f103r	f103r.47	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	4	MIDDLE	l	qokaly	1	1	ssheey okeeo l lchey qokaly lcheedy oloraiin
G636-X113	f103v	f103v.24	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	2	MIDDLE	ykeey	qokeey	1	1	ykeey lchey qokeey ror aiin olan otan otain otain ar y kain
G636-X114	f104v	f104v.10	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	11	LAST	cheeo	<EOS>	1	1	shol cheedy qokaiin qoteedy otaiin oteedy qotedor okain cheos cheeo lchey
G636-X115	f106r	f106r.25	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	4	MIDDLE	lo	qokaiin	1	1	soraiin cheeo lo lchey qokaiin shedy okain shear qokain chees ykarain
G636-X116	f106v	f106v.13	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	8	MIDDLE	shsy	ykaiin	1	1	olkeealkchedy qoeeey ral ches al ytar shsy lchey ykaiin shy lkam
G636-X117	f108v	f108v.25	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	6	MIDDLE	ol	ctheo	1	1	sheeol okeey kaiin okaiin ol lchey ctheo r aiin cheey qokeey qokeeaiin al
G636-X118	f108v	f108v.44	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	4	MIDDLE	qol	shey	0	0	y shey qol lchey shey qokear shey qokeey lsheey oteey sheey qol cheekeey lchg
G636-X119	f111r	f111r.14	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	3	MIDDLE	oteey	ykeeeos	1	1	dchedar oteey lchey ykeeeos aiin shear oteedy tedam oteey pchedey chedy lchedy
G636-X120	f111r	f111r.17	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	2	MIDDLE	otes	lshedy	1	1	otes lchey lshedy qoteedy olcheody qokeey chey kal chekeedy oteed keedy otam
G636-X121	f111r	f111r.19	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	4	MIDDLE	qokeedy	lcheoekam	1	1	saiin okeeol qokeedy lchey lcheoekam oaiin cheky qokeeodar checthdy qoted l loty
G636-X122	f111v	f111v.35	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	5	MIDDLE	lkain	lshekain	1	1	oain okaiin chcthy lkain lchey lshekain qotal shedy chkeey lkeeed lkain y
G636-X123	f113r	f113r.43	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	11	MIDDLE	chedy	lkar	1	1	ykcheor sheeod lkar ar al s aiin cheeey ol chedy lchey lkar am chedam
G636-X124	f115v	f115v.9	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	9	MIDDLE	lkchey	ror	1	1	ychees chdaiin chotain cholkeedy qotchy chody qotain lkchey lchey ror
G636-X125	f116r	f116r.28	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	2	MIDDLE	cheol	lkeey	1	1	cheol lchey lkeey sheal lshalshy qotalshy cthedy l ky chedy oteedy lched
G636-X126	f116r	f116r.35	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	5	MIDDLE	qokeey	olkey	1	1	shedy qokeey qokain qokeey lchey olkey raiin cthar shckhy qorar
G636-X127	f116r	f116r.37	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	9	MIDDLE	olkeey	qoky	1	1	pairain sheek l y oiin cheey lkeey olkeey lchey qoky lshedy cheam sham
G636-X128	f116r	f116r.9	S	B	3	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	2	MIDDLE	qokeey	qokeedy	1	1	qokeey lchey qokeedy qokain okeeylkaiin
G636-X129	f34r	f34r.9	H	B	2	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	7	MIDDLE	or	todaly	0	0	ykchdy qod ar ch ay or lchey todaly okaiin dardy
G636-X130	f40v	f40v.14	H	B	2	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	3	MIDDLE	o	kchedy	1	1	saiin o lchey kchedy okar qokchdy dy qokees am chdy
G636-X131	f50v	f50v.11	H	B	2	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	1	FIRST	<BOS>	kar	1	1	lchey kar ykchy kchdy
G636-X132	f66r	f66r.76	T	B	5	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	5	MIDDLE	qokedy	qokaly	1	1	daiin sheol qocthedy qokedy lchey qokaly shcthy qotal otchdy
G636-X133	f66r	f66r.81	T	B	5	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	1	FIRST	<BOS>	lkeedy	0	0	lchey lkeedy chety shekaly shckhar
G636-X134	f75r	f75r.20	B	B	2	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	5	MIDDLE	chey	lo	1	1	ry shey qor chey lchey lo ydain shey qokain
G636-X135	f76r	f76r.26	T	B	2	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	11	MIDDLE	cheedy	l	0	0	shedal shey qokey qolchedy qolain ain chey qokaiin okain cheedy lchey l oly dy
G636-X136	f76r	f76r.38	T	B	2	chey	l	INGREDIENT	lchey	Drogenholz, trocken gebunden, Form I	2	MIDDLE	oteey	chey	1	1	oteey lchey chey olsheol qokal chal
