codex_word_id	domain	source_slot	selected_word_de	used_units	unit_count	program_group_exposure	bridged_card_slots	licensing_dictionary_entries	licensing_entry_count	matching_prose_events	matching_event_ids	primary_anchor	secondary_support	working_status	meaning_scope_de
H_R11	HERBAL	CLOTH	Tuch	H2,H3,H4,H5	4	86	BIO_CLOTH,CLOTH	N08_LDDY,S01_DAIN	2	0	NONE	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	Auswring-/Seihträger
B_B01	BATH_SERVICE	BATHER	Badende	B1,B2,B3,B4	4	261	NONE	NONE	0	0	NONE	VISIBLE_OWNER_ANCHORED	NONE	KEEP_AS_VISIBLE_DEFAULT	sichtbarer Mensch im Becken
B_B02	BATH_SERVICE	BASIN	Becken	B1,B2,B3,B4	4	261	BASIN	S03_OS	1	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	sichtbare lokale Bad-/Arbeitsmulde
B_B03	BATH_SERVICE	BATH_WATER	Badwasser	B1,B2,B3,B4,B5,B6	6	281	WASH_LIQUID,WATER	N07_WASH,ROOT_AIR,ROOT_AR	3	1	E103	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	Flüssigkeit an Figurenstationen
B_B04	BATH_SERVICE	HERBAL_ADDITIVE	Kräuterzusatz	B1,B2	2	128	ADDITIVE	N04_HO,N11_DL,ROOT_HO	3	0	NONE	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	Zusatz aus dem Pflanzenregister
B_B05	BATH_SERVICE	BATH_HEAT	Badwärme	B1,B2,B3,B4,B5	5	272	TEMPERATURE	ROOT_AIIN,ROOT_CHK,ROOT_E,ROOT_EE,ROOT_EEE,ROOT_IIN,S02_ODY	7	0	NONE	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	Temperatur an Figurenstationen
B_B06	BATH_SERVICE	BATH_TIME	Badezeit	B1,B2,B5	3	139	DURATION	ROOT_AIIN,ROOT_E,ROOT_EE,ROOT_EEE,ROOT_IIN,ROOT_SH,ROOT_SHED	7	2	E122,E193	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	Dauer an Figurenstationen
B_B07	BATH_SERVICE	BODY_TARGET	Körperstelle	B1,B4	2	113	BODY_WORK_AREA	N07_WASH,N08_LDDY,N10_DAN,ROOT_AL	4	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	örtliches Ziel bei sichtbarer Figur
B_B08	BATH_SERVICE	PART_BATH	Teilbad	B1,B2	2	128	BODY_WORK_AREA,OUTER_APPLICATION	N07_WASH,N08_LDDY,N10_DAN,ROOT_AL	4	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	lokale Immersion im Einzelbecken
B_B09	BATH_SERVICE	CLOTH	Tuch	B3,B4,B6	3	142	BIO_CLOTH,CLOTH	N08_LDDY,S01_DAIN	2	2	E327,E379	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	Wasch-, Umschlag- oder Seihträger
B_B10	BATH_SERVICE	COMPRESS	Umschlag	B4	1	47	OUTER_APPLICATION	N08_LDDY,N10_DAN	2	0	NONE	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	gehaltenes Tuch an B4
B_B11	BATH_SERVICE	STRAINING_PASS	Seihgang	B1,B2,B3,B4,B6	5	270	FILTER	N01_CFH,N02_CPH,N07_WASH,ROOT_CKH,ROOT_CKHE	5	4	E165,E176,E330,E331	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	Tuch-/Durchlassoperation
B_B12	BATH_SERVICE	INLET	Einlass	B2,B4,B6	3	118	INLET	ROOT_AR,ROOT_CKH	2	4	E191,E199,E211,E215	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	sichtbare oder lokale Zufuhr
B_B13	BATH_SERVICE	OUTLET	Ablauf	B1,B2,B3,B4,B5	5	272	OUTLET	N09_SK,ROOT_CKH	2	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	sichtbarer oder lokaler Abzug
B_B14	BATH_SERVICE	WATER_RUN	Wasserlauf	B2,B4,B6	3	118	RUN	N09_SK,ROOT_AIR,ROOT_CKH	3	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	lokale Verbindung ohne globalen Kreislauf
B_B15	BATH_SERVICE	RECEIVER	Auffangbecken	B3,B4	2	133	RECEIVER	N09_SK,N12_TALAM,ROOT_SOLK	3	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	örtlicher Empfänger
B_B16	BATH_SERVICE	SERVICE_STATION	Dienststation	B4,B5,B6	3	67	STATION	ROOT_AL,S03_OS	2	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	figurenlose B5/B6-Hilfsstation
B_B17	BATH_SERVICE	SERVICE_TARGET	Arbeitsstelle	B4,B5,B6	3	67	TARGET	N10_DAN,ROOT_AL,ROOT_CHD	3	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	örtliches Ziel ohne Figur
C_A01	CELESTIAL	ELECTION_WHEEL	Wahlrad	A1	1	190	NONE	NONE	0	0	NONE	VISIBLE_OWNER_ANCHORED	NONE	KEEP_AS_VISIBLE_DEFAULT	lokales Rad auswählen
C_A02	CELESTIAL	CELESTIAL_SECTOR	Himmelssektor	A1	1	190	NONE	NONE	0	0	NONE	VISIBLE_OWNER_ANCHORED	NONE	KEEP_AS_VISIBLE_DEFAULT	sichtbarer Radabschnitt
C_A03	CELESTIAL	STAR_PLACE	Sternort	A1,A2	2	255	STAR_PLACE	ROOT_AL	1	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	lokaler Sternbesitzer
C_A04	CELESTIAL	CONDITION_FIELD	Bedingungsfeld	A1	1	190	CONDITION_PLACE	ROOT_AL	1	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	örtliche Bedingungsadresse
C_A05	CELESTIAL	RING_RUBRIC	Ringrubrik	A1	1	190	LOCAL_LABEL	S02_ODY	1	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	Textlage am Ring
C_A06	CELESTIAL	CELESTIAL_SIGN	Himmelszeichen	A1,A2	2	255	CELESTIAL_VALUE,LOCAL_LABEL	ROOT_AIIN,ROOT_IIN,S02_ODY	3	0	NONE	LOCAL_NOMENCLATOR_ONLY	VISIBLE_DIAGRAM_NAMESPACE	KEEP_AS_LOCAL_LABEL_CLASS	opakes lokales Etikett
C_A07	CELESTIAL	CALENDAR_SIGN	Kalenderzeichen	A1,A3	2	330	CALENDAR_VALUE,LOCAL_LABEL	ROOT_AIIN,ROOT_IIN,S02_ODY	3	0	NONE	LOCAL_NOMENCLATOR_ONLY	VISIBLE_DIAGRAM_NAMESPACE	KEEP_AS_LOCAL_LABEL_CLASS	örtlicher Kalenderreadout
C_A08	CELESTIAL	ELECTION_SIGN	Wahlzeichen	A1	1	190	CELESTIAL_VALUE,QUALITY_VALUE	ROOT_AIIN,ROOT_IIN	2	0	NONE	LOCAL_NOMENCLATOR_ONLY	VISIBLE_DIAGRAM_NAMESPACE	KEEP_AS_LOCAL_LABEL_CLASS	örtliches Ergebnis ohne Gunstwert
C_A09	CELESTIAL	STAR_TABLE	Sterntafel	A2	1	65	PANEL	S03_OS	1	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	mehrpaneelige Sternkarte
C_A10	CELESTIAL	FIELD_28	28er Feld	A2,A3	2	205	MANSION_PLACE,PANEL	ROOT_AL,S03_OS	2	0	NONE	VISIBLE_OWNER_ANCHORED	GENERIC_CARD_SLOT	KEEP_AS_VISIBLE_DEFAULT	ungeordnete lokale 28er Adresse
C_A11	CELESTIAL	ROSETTE_WHEEL	Rosettenrad	A3	1	140	NONE	NONE	0	0	NONE	VISIBLE_OWNER_ANCHORED	NONE	KEEP_AS_VISIBLE_DEFAULT	eines von drei getrennten Rädern
C_A12	CELESTIAL	WEATHER_SIGN	Wetterzeichen	A3	1	140	WEATHER_VALUE	ROOT_AIIN,ROOT_IIN	2	0	NONE	LOCAL_NOMENCLATOR_ONLY	VISIBLE_DIAGRAM_NAMESPACE	KEEP_AS_LOCAL_LABEL_CLASS	mittlere Wellen-/Wolkenrosette
C_A13	CELESTIAL	LIGHT_SIGN	Lichtzeichen	A3	1	140	LIGHT_VALUE	ROOT_AIIN,ROOT_IIN	2	0	NONE	LOCAL_NOMENCLATOR_ONLY	VISIBLE_DIAGRAM_NAMESPACE	KEEP_AS_LOCAL_LABEL_CLASS	rechte Strahlenrosette
C_A14	CELESTIAL	TIME_SIGN	Zeitzeichen	A3	1	140	CALENDAR_VALUE,DURATION	ROOT_AIIN,ROOT_E,ROOT_EE,ROOT_EEE,ROOT_IIN,ROOT_SH,ROOT_SHED	7	0	NONE	LOCAL_NOMENCLATOR_ONLY	VISIBLE_DIAGRAM_NAMESPACE	KEEP_AS_LOCAL_LABEL_CLASS	lokaler Zeitreadout
C_A15	CELESTIAL	PROPERTY_SIGN	Eigenschaftszeichen	A3	1	140	QUALITY_VALUE	ROOT_AIIN,ROOT_IIN	2	0	NONE	LOCAL_NOMENCLATOR_ONLY	VISIBLE_DIAGRAM_NAMESPACE	KEEP_AS_LOCAL_LABEL_CLASS	lokaler Eigenschaftsreadout
C_A16	CELESTIAL	LOCAL_KEY	Ortsschlüssel	A1,A2,A3	3	395	LOCAL_LABEL	S02_ODY	1	0	NONE	LOCAL_NOMENCLATOR_ONLY	VISIBLE_DIAGRAM_NAMESPACE	KEEP_AS_LOCAL_LABEL_CLASS	nur im aktiven Namensraum
