gdt751_occurrence_id	pair_id	pair_side	surface	paired_surface	page	physical_folio	locus	token_ordinal	line_token_count	normalized_position	line_position	line_first	line_last	paragraph_start_line	paragraph_end_line	paragraph_first_token	paragraph_last_token	section	language	hand	left_surface	right_surface	direct_pair_contact	canonical_axes_inherited	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G751-O0011	G751-Q001	Q_SIDE	qoaiin	oaiin	f86v6	f86	f86v6.44	7	10	0.666667	MIDDLE	0	0	0	0	0	0	T	B	2	kaiin	or	0	PART	shor qoky chorolk chokaiin qoal kaiin qoaiin or aiiin ykedy	OPEN	0	0
G751-O0012	G751-Q001	Q_SIDE	qoaiin	oaiin	f88v	f88	f88v.8	1	9	0.000000	FIRST	1	0	0	0	0	0	P	A	1	EDGE	cheoy	0	PART	qoaiin cheoy olcheody qoekeol cho chckhy qoeey key cheokam	OPEN	0	0
G751-O0013	G751-Q001	Q_SIDE	qoaiin	oaiin	f104r	f104	f104r.37	3	10	0.222222	MIDDLE	0	0	0	0	0	0	S	B	3	cheodal	okar	0	PART	okaiin cheodal qoaiin okar oraiin okar oteody qokaiin okal qotir	OPEN	0	0
G751-O0014	G751-Q001	Q_SIDE	qoaiin	oaiin	f105v	f105	f105v.36	4	11	0.300000	MIDDLE	0	0	0	0	0	0	S	B	3	okeeody	ytaiin	0	PART	laiin sheod okeeody qoaiin ytaiin otair chdal dy daim chdaiin oy	OPEN	0	0
G751-O0015	G751-Q001	Q_SIDE	qoaiin	oaiin	f108r	f108	f108r.27	3	10	0.222222	MIDDLE	0	0	0	0	0	0	S	B	3	orcheory	okeey	0	PART	ychedain orcheory qoaiin okeey qokeey chdal okedy qokedy okedam chdy	OPEN	0	0
G751-O0016	G751-Q001	Q_SIDE	qoaiin	oaiin	f112r	f112	f112r.20	1	11	0.000000	FIRST	1	0	0	0	0	0	S	B	3	EDGE	or	0	PART	qoaiin or aiin cheol keody qol keol okeeey dal aiin ody	OPEN	0	0
G751-O0017	G751-Q001	Q_SIDE	qoaiin	oaiin	f113r	f113	f113r.11	7	14	0.461538	MIDDLE	0	0	0	0	0	0	S	B	3	sheo	shoo	0	PART	daiin cholchey okecheey chokeo l sheo qoaiin shoo keeeol keody chor chor kal laram	OPEN	0	0
G751-O0018	G751-Q001	Q_SIDE	qoaiin	oaiin	f113r	f113	f113r.12	4	10	0.333333	MIDDLE	0	0	0	1	0	0	S	B	3	qoeey	shol	0	PART	y shoain qoeey qoaiin shol lkeeoar chodaiin otam chos aiin	OPEN	0	0
G751-O0019	G751-Q001	Q_SIDE	qoaiin	oaiin	f114r	f114	f114r.30	7	14	0.461538	MIDDLE	0	0	0	0	0	0	S	B	3	oeedaiin	ykedy	0	PART	y chedar okeedy lkeedy aiin oeedaiin qoaiin ykedy okair olkeedy qoain ain okeey ram	OPEN	0	0
G751-O0020	G751-Q001	Q_SIDE	qoaiin	oaiin	f115r	f115	f115r.32	6	11	0.500000	MIDDLE	0	0	0	0	0	0	S	B	@	qokeedy	chedy	0	PART	sor chey okaiin qokeey qokeedy qoaiin chedy qotaiin chety laiin chedy	OPEN	0	0
G751-O0021	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f5r	f5	f5r.1	4	9	0.375000	MIDDLE	0	0	1	0	0	0	H	A	1	chkoy	oar	0	AMOUNT|PREPARATION	kchody fchoy chkoy oaiin oar olsy chody dkshy dy	OPEN	0	0
G751-O0022	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f13v	f13	f13v.4	6	8	0.714286	MIDDLE	0	0	0	0	0	0	H	A	1	okos	okshy	0	AMOUNT|PREPARATION	o l s chey okos oaiin okshy qo	OPEN	0	0
G751-O0023	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f18v	f18	f18v.2	3	9	0.250000	MIDDLE	0	0	0	0	0	0	H	A	1	or	shy	0	AMOUNT|PREPARATION	qoeees or oaiin shy okshy qokchy qokchy s g	OPEN	0	0
G751-O0024	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f26r	f26	f26r.3	1	12	0.000000	FIRST	1	0	0	0	0	0	H	B	2	EDGE	shcthy	0	AMOUNT|PREPARATION	oaiin shcthy cthedy oloy ykeedy olchedy dal y sheey s aiin s	OPEN	0	0
G751-O0025	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f35v	f35	f35v.8	1	5	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	tchor	0	AMOUNT|PREPARATION	oaiin tchor cho chotchy dchold	OPEN	0	0
G751-O0026	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f49v	f49	f49v.34	2	4	0.333333	MIDDLE	0	0	0	1	0	0	H	A	1	shocho	sheo	0	AMOUNT|PREPARATION	shocho oaiin sheo choty	OPEN	0	0
G751-O0027	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f49v	f49	f49v.40	1	7	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	chy	0	AMOUNT|PREPARATION	oaiin chy daiin chol chaiin kshardy chokchy	OPEN	0	0
G751-O0028	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f49v	f49	f49v.46	1	8	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	cheky	0	AMOUNT|PREPARATION	oaiin cheky cho rchseesy kchor sol chctho s	OPEN	0	0
G751-O0029	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f51r	f51	f51r.13	1	7	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	ckhol	0	AMOUNT|PREPARATION	oaiin ckhol ykieol otchey cpheo daiin ykeoldy	OPEN	0	0
G751-O0030	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f54v	f54	f54v.11	1	3	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	qockhy	0	AMOUNT|PREPARATION	oaiin qockhy qokam	OPEN	0	0
G751-O0031	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f55v	f55	f55v.10	1	12	0.000000	FIRST	1	0	0	0	0	0	H	B	2	EDGE	ol	0	AMOUNT|PREPARATION	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	OPEN	0	0
G751-O0032	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f102v1	f102	f102v1.13	8	10	0.777778	MIDDLE	0	0	0	0	0	0	P	A	1	qokar	cheey	0	AMOUNT|PREPARATION	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	OPEN	0	0
G751-O0033	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f107r	f107	f107r.19	1	12	0.000000	FIRST	1	0	0	0	0	0	S	B	3	EDGE	ol	0	AMOUNT|PREPARATION	oaiin ol rar sheey ylar aiin cholal dy cheeody okeeey cheodaiin aldy	OPEN	0	0
G751-O0034	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f107v	f107	f107v.32	2	9	0.125000	MIDDLE	0	0	1	0	0	0	S	B	3	tay	okeeody	0	AMOUNT|PREPARATION	tay oaiin okeeody okaiin otaiin otchey qokaiin otedy qokam	OPEN	0	0
G751-O0035	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f113r	f113	f113r.46	1	10	0.000000	FIRST	1	0	0	0	0	0	S	B	3	EDGE	cheokeeas	0	AMOUNT|PREPARATION	oaiin cheokeeas lkaiin chkal kar cheeody qokeeody qokeey chos araiinol	OPEN	0	0
G751-O0036	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f114v	f114	f114v.33	3	10	0.222222	MIDDLE	0	0	1	0	0	0	S	B	3	sheey	sheol	0	AMOUNT|PREPARATION	kaiin sheey oaiin sheol qoteey qokeeedy cheo ctheey qokeeo lkealy	OPEN	0	0
G751-O0037	G751-Q001	UNPREFIXED_SIDE	oaiin	qoaiin	f114v	f114	f114v.34	3	10	0.222222	MIDDLE	0	0	0	0	0	0	S	B	3	ol	aiin	0	AMOUNT|PREPARATION	olkeechy ol oaiin aiin chocthey qotedal octhy sotey cheos air	OPEN	0	0
G751-O0038	G751-Q002	Q_SIDE	qoain	oain	f17v	f17	f17v.17	1	6	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	sar	0	PART	qoain sar she dol qopchaiin cthor	OPEN	0	0
G751-O0039	G751-Q002	Q_SIDE	qoain	oain	f50v	f50	f50v.4	2	12	0.090909	MIDDLE	0	0	0	0	0	0	H	B	2	dar	olaiin	0	PART	dar qoain olaiin ols aiin o l okeedy okchdy otar chckhey or	OPEN	0	0
G751-O0040	G751-Q002	Q_SIDE	qoain	oain	f103v	f103	f103v.40	4	10	0.333333	MIDDLE	0	0	0	0	0	0	S	B	3	shey	ol	0	PART	yteey sheal shey qoain ol keey qokaiin shckhy lchedy rain	OPEN	0	0
G751-O0041	G751-Q002	Q_SIDE	qoain	oain	f114r	f114	f114r.30	11	14	0.769231	MIDDLE	0	0	0	0	0	0	S	B	3	olkeedy	ain	0	PART	y chedar okeedy lkeedy aiin oeedaiin qoaiin ykedy okair olkeedy qoain ain okeey ram	OPEN	0	0
G751-O0042	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f44v	f44	f44v.5	1	9	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	shol	0	PART|PREPARATION	oain shol cthy cphaiin ykchor otchy qoty ytchear cthain	OPEN	0	0
G751-O0043	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f55r	f55	f55r.12	1	10	0.000000	FIRST	1	0	0	0	0	0	H	B	2	EDGE	ckhy	0	PART|PREPARATION	oain ckhy dl oiiin daiin okaiin chelal qokaiin okain r	OPEN	0	0
G751-O0044	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f88r	f88	f88r.9	1	11	0.000000	FIRST	1	0	0	0	0	0	P	A	1	EDGE	or	0	PART|PREPARATION	oain or om otam okeom cheeor qokeody dar or om cheody	OPEN	0	0
G751-O0045	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f93r	f93	f93r.23	1	4	0.000000	FIRST	1	0	0	0	0	0	H	A	1	EDGE	okor	0	PART|PREPARATION	oain okor shody teols	OPEN	0	0
G751-O0046	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f103r	f103	f103r.10	3	14	0.153846	MIDDLE	0	0	0	0	0	0	S	B	3	ol	okeol	0	PART|PREPARATION	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain	OPEN	0	0
G751-O0047	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f103r	f103	f103r.12	1	9	0.000000	FIRST	1	0	0	1	0	0	S	B	3	EDGE	shey	0	PART|PREPARATION	oain shey shckhy oteey qokeol keedy shar aiin otedy	OPEN	0	0
G751-O0048	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f107v	f107	f107v.39	4	10	0.333333	MIDDLE	0	0	0	0	0	0	S	B	3	olkaiin	cheary	0	PART|PREPARATION	okain cheor olkaiin oain cheary raiin okoiin odaiin okaiin y	OPEN	0	0
G751-O0049	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f111v	f111	f111v.35	1	12	0.000000	FIRST	1	0	0	0	0	0	S	B	3	EDGE	okaiin	0	PART|PREPARATION	oain okaiin chcthy lkain lchey lshekain qotal shedy chkeey lkeeed lkain y	OPEN	0	0
G751-O0050	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f112r	f112	f112r.5	9	10	0.888889	MIDDLE	0	0	0	0	0	0	S	B	3	am	oy	0	PART|PREPARATION	otair o kody otody otal okeeey otar am oain oy	OPEN	0	0
G751-O0051	G751-Q002	UNPREFIXED_SIDE	oain	qoain	f112v	f112	f112v.41	3	4	0.666667	MIDDLE	0	0	0	1	0	0	S	B	3	checkhey	chol	0	PART|PREPARATION	ykeedan checkhey oain chol	OPEN	0	0
G751-O0052	G751-Q003	Q_SIDE	qockhey	ockhey	f51r	f51	f51r.5	4	5	0.750000	MIDDLE	0	0	0	0	0	0	H	A	1	okeey	taiin	0	MIDDLE_STAGE|PREPARATION	tcheody qodaiin okeey qockhey taiin	OPEN	0	0
G751-O0053	G751-Q003	Q_SIDE	qockhey	ockhey	f51r	f51	f51r.12	6	7	0.833333	MIDDLE	0	0	0	0	0	0	H	A	1	okeor	pchodal	0	MIDDLE_STAGE|PREPARATION	yoees ckheey kol cheeal okeor qockhey pchodal	OPEN	0	0
G751-O0054	G751-Q003	Q_SIDE	qockhey	ockhey	f54v	f54	f54v.9	2	6	0.200000	MIDDLE	0	0	0	0	0	0	H	A	1	ydaiin	qodal	0	MIDDLE_STAGE|PREPARATION	ydaiin qockhey qodal ytam okal dy	OPEN	0	0
G751-O0055	G751-Q003	Q_SIDE	qockhey	ockhey	f76r	f76	f76r.47	6	11	0.500000	MIDDLE	0	0	0	0	0	0	T	B	2	sheey	olchdar	0	MIDDLE_STAGE|PREPARATION	dain chckhy or aiin sheey qockhey olchdar sheey otedy olain oky	OPEN	0	0
G751-O0056	G751-Q003	Q_SIDE	qockhey	ockhey	f80r	f80	f80r.34	6	10	0.555556	MIDDLE	0	0	1	0	0	0	B	B	2	ol	olchey	0	MIDDLE_STAGE|PREPARATION	ey rcheky shepchedy qokar ol qockhey olchey qokedy koroiin y	OPEN	0	0
G751-O0057	G751-Q003	Q_SIDE	qockhey	ockhey	f83r	f83	f83r.38	3	4	0.666667	MIDDLE	0	0	0	0	0	0	B	B	2	chey	dairydy	0	MIDDLE_STAGE|PREPARATION	or chey qockhey dairydy	OPEN	0	0
G751-O0058	G751-Q003	Q_SIDE	qockhey	ockhey	f88r	f88	f88r.7	3	8	0.285714	MIDDLE	0	0	1	0	0	0	P	A	1	ctheol	dory	0	MIDDLE_STAGE|PREPARATION	dorsheoy ctheol qockhey dory sheor sholfchor dal chcthol	OPEN	0	0
G751-O0059	G751-Q003	Q_SIDE	qockhey	ockhey	f99v	f99	f99v.34	5	11	0.400000	MIDDLE	0	0	0	0	0	0	P	A	1	olaiin	qokol	0	MIDDLE_STAGE|PREPARATION	yoiin ol ol olaiin qockhey qokol olshy qokeeor or aiin doldam	OPEN	0	0
G751-O0060	G751-Q003	Q_SIDE	qockhey	ockhey	f102v1	f102	f102v1.23	5	8	0.571429	MIDDLE	0	0	0	0	0	0	P	A	1	sheody	olcheor	0	MIDDLE_STAGE|PREPARATION	ksheody sho qokey sheody qockhey olcheor odain okchody	OPEN	0	0
G751-O0061	G751-Q003	Q_SIDE	qockhey	ockhey	f106r	f106	f106r.17	3	6	0.400000	MIDDLE	0	0	0	1	0	0	S	B	3	lshedy	qokedain	0	MIDDLE_STAGE|PREPARATION	yochor lshedy qockhey qokedain or aiinchodar	OPEN	0	0
G751-O0062	G751-Q003	Q_SIDE	qockhey	ockhey	f106v	f106	f106v.35	10	12	0.818182	MIDDLE	0	0	0	0	0	0	S	B	3	chedy	okaiin	0	MIDDLE_STAGE|PREPARATION	shody shockhy qokeey qokcho l kchedy shdy kchedy chedy qockhey okaiin al	OPEN	0	0
G751-O0063	G751-Q003	Q_SIDE	qockhey	ockhey	f108r	f108	f108r.15	8	11	0.700000	MIDDLE	0	0	0	0	0	0	S	B	3	qoeedy	d	0	MIDDLE_STAGE|PREPARATION	orain cheey chey qokeey chedy okchedy qoeedy qockhey d iirain okain	OPEN	0	0
G751-O0064	G751-Q003	UNPREFIXED_SIDE	ockhey	qockhey	f58v	f58	f58v.18	7	10	0.666667	MIDDLE	0	0	0	0	0	0	S	A	3	aiin	qokeey	0	MIDDLE_STAGE|PREPARATION	taiin chal sheal qockhy dar aiin ockhey qokeey qoaiin aral	OPEN	0	0
G751-O0065	G751-Q003	UNPREFIXED_SIDE	ockhey	qockhey	f83r	f83	f83r.19	3	11	0.200000	MIDDLE	0	0	0	0	0	0	B	B	2	shedaiin	sain	0	MIDDLE_STAGE|PREPARATION	sar shedaiin ockhey sain ched shedy qetal dal shedy shey lchedy	OPEN	0	0
G751-O0066	G751-Q003	UNPREFIXED_SIDE	ockhey	qockhey	f99v	f99	f99v.10	3	10	0.222222	MIDDLE	0	0	1	0	0	0	P	A	1	cheols	qoy	0	MIDDLE_STAGE|PREPARATION	sol cheols ockhey qoy qkoldy s ok oleees oteey dain	OPEN	0	0
G751-O0067	G751-Q003	UNPREFIXED_SIDE	ockhey	qockhey	f102v1	f102	f102v1.7	2	8	0.142857	MIDDLE	0	0	1	0	0	0	P	A	1	poaiin	pchol	0	MIDDLE_STAGE|PREPARATION	poaiin ockhey pchol doiin shey shockhsy sheocthy qokeody	OPEN	0	0
G751-O0068	G751-Q003	UNPREFIXED_SIDE	ockhey	qockhey	f107r	f107	f107r.41	3	6	0.400000	MIDDLE	0	0	0	1	0	0	S	B	3	ar	qokal	0	MIDDLE_STAGE|PREPARATION	qokaiin ar ockhey qokal otal otam	OPEN	0	0
G751-O0069	G751-Q004	Q_SIDE	qockhy	ockhy	f22r	f22	f22r.13	4	6	0.600000	MIDDLE	0	0	0	1	0	0	H	A	1	dain	ykol	0	BEGIN_STAGE|PREPARATION	dchor dy dain qockhy ykol okain	OPEN	0	0
G751-O0070	G751-Q004	Q_SIDE	qockhy	ockhy	f44r	f44	f44r.11	2	3	0.500000	MIDDLE	0	0	0	1	0	0	H	A	1	ytsho	okchody	0	BEGIN_STAGE|PREPARATION	ytsho qockhy okchody	OPEN	0	0
G751-O0071	G751-Q004	Q_SIDE	qockhy	ockhy	f45v	f45	f45v.4	2	6	0.200000	MIDDLE	0	0	0	1	0	0	H	A	1	okchy	dain	0	BEGIN_STAGE|PREPARATION	okchy qockhy dain dail dair shy	OPEN	0	0
G751-O0072	G751-Q004	Q_SIDE	qockhy	ockhy	f51v	f51	f51v.5	5	9	0.500000	MIDDLE	0	0	0	0	0	0	H	A	1	shodol	ykol	0	BEGIN_STAGE|PREPARATION	todaiin ytady qokol shodol qockhy ykol otaiin dar y	OPEN	0	0
G751-O0073	G751-Q004	Q_SIDE	qockhy	ockhy	f54v	f54	f54v.11	2	3	0.500000	MIDDLE	0	0	0	0	0	0	H	A	1	oaiin	qokam	0	BEGIN_STAGE|PREPARATION	oaiin qockhy qokam	OPEN	0	0
G751-O0074	G751-Q004	Q_SIDE	qockhy	ockhy	f58r	f58	f58r.39	6	9	0.625000	MIDDLE	0	0	0	0	0	0	S	A	3	sheol	qokaly	0	BEGIN_STAGE|PREPARATION	dtshol dytal okar olol sheol qockhy qokaly salol dalam	OPEN	0	0
G751-O0075	G751-Q004	Q_SIDE	qockhy	ockhy	f58v	f58	f58v.18	4	10	0.333333	MIDDLE	0	0	0	0	0	0	S	A	3	sheal	dar	0	BEGIN_STAGE|PREPARATION	taiin chal sheal qockhy dar aiin ockhey qokeey qoaiin aral	OPEN	0	0
G751-O0076	G751-Q004	Q_SIDE	qockhy	ockhy	f77v	f77	f77v.11	1	11	0.000000	FIRST	1	0	0	0	0	0	B	B	2	EDGE	dol	0	BEGIN_STAGE|PREPARATION	qockhy dol chdy dsheedal qokal chedy dal shedy qokeedy dal olchy	OPEN	0	0
G751-O0077	G751-Q004	Q_SIDE	qockhy	ockhy	f89v1	f89	f89v1.6	6	10	0.555556	MIDDLE	0	0	0	0	0	0	P	A	1	cthody	dain	0	BEGIN_STAGE|PREPARATION	dor sheey qokol cheol cthody qockhy dain yteey otar cthol	OPEN	0	0
G751-O0078	G751-Q004	Q_SIDE	qockhy	ockhy	f89v1	f89	f89v1.16	3	9	0.250000	MIDDLE	0	0	0	0	0	0	P	A	1	ykchol	okaldy	0	BEGIN_STAGE|PREPARATION	qokaiin ykchol qockhy okaldy okal dal chodar okaiin dalg	OPEN	0	0
G751-O0079	G751-Q004	Q_SIDE	qockhy	ockhy	f102r1	f102	f102r1.11	2	8	0.142857	MIDDLE	0	0	0	1	0	0	P	A	1	dcheo	sol	0	BEGIN_STAGE|PREPARATION	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	OPEN	0	0
G751-O0080	G751-Q004	Q_SIDE	qockhy	ockhy	f102v2	f102	f102v2.22	9	15	0.571429	MIDDLE	0	0	0	0	0	0	P	A	1	sheey	ol	0	BEGIN_STAGE|PREPARATION	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	OPEN	0	0
G751-O0081	G751-Q004	Q_SIDE	qockhy	ockhy	f105r	f105	f105r.29	3	12	0.181818	MIDDLE	0	0	0	0	0	0	S	B	3	olkeedy	r	0	BEGIN_STAGE|PREPARATION	oees olkeedy qockhy r aiin chol okair oteedy qopchedy odaiin ypchedy ytam	OPEN	0	0
G751-O0082	G751-Q004	Q_SIDE	qockhy	ockhy	f107r	f107	f107r.45	3	11	0.200000	MIDDLE	0	0	1	0	0	0	S	B	3	chedy	qokeedy	0	BEGIN_STAGE|PREPARATION	podky chedy qockhy qokeedy qokokil y chees opal kaiin otaiin otaram	OPEN	0	0
G751-O0083	G751-Q004	UNPREFIXED_SIDE	ockhy	qockhy	f14r	f14	f14r.6	5	5	1.000000	LAST	0	1	0	0	0	0	H	A	1	choor	EDGE	0	BEGIN_STAGE|PREPARATION	ychol oir okor choor ockhy	OPEN	0	0
G751-O0084	G751-Q004	UNPREFIXED_SIDE	ockhy	qockhy	f39v	f39	f39v.12	9	9	1.000000	LAST	0	1	0	0	0	0	H	B	2	cheodal	EDGE	0	BEGIN_STAGE|PREPARATION	paiin alaiin otal chd okar am okar cheodal ockhy	OPEN	0	0
G751-O0085	G751-Q004	UNPREFIXED_SIDE	ockhy	qockhy	f43v	f43	f43v.9	4	4	1.000000	LAST	0	1	0	1	0	1	H	B	2	aiin	EDGE	0	BEGIN_STAGE|PREPARATION	ytchdy olos aiin ockhy	OPEN	0	0
G751-O0086	G751-Q004	UNPREFIXED_SIDE	ockhy	qockhy	f55r	f55	f55r.13	2	7	0.166667	MIDDLE	0	0	0	1	0	0	H	B	2	lchdal	daiin	0	BEGIN_STAGE|PREPARATION	lchdal ockhy daiin otol otar shar ain	OPEN	0	0
G751-O0087	G751-Q004	UNPREFIXED_SIDE	ockhy	qockhy	f58v	f58	f58v.36	3	8	0.285714	MIDDLE	0	0	0	0	0	0	S	A	3	okeor	qokal	0	BEGIN_STAGE|PREPARATION	tcheody okeor ockhy qokal okal shokey qokeey dalar	OPEN	0	0
G751-O0088	G751-Q004	UNPREFIXED_SIDE	ockhy	qockhy	f113r	f113	f113r.35	12	14	0.846154	MIDDLE	0	0	0	0	0	0	S	B	3	okar	rchdy	0	BEGIN_STAGE|PREPARATION	y sh s sheeo lkeeos aiin qokeees okchedy qotaiin otar okar ockhy rchdy qosain	OPEN	0	0
G751-O0089	G751-Q005	Q_SIDE	qodain	odain	f49r	f49	f49r.4	2	4	0.333333	MIDDLE	0	0	1	0	0	0	H	A	1	ksho	chotshy	0	LEVEL_II	ksho qodain chotshy dodar	OPEN	0	0
G751-O0090	G751-Q005	Q_SIDE	qodain	odain	f95v1	f95	f95v1.13	2	5	0.250000	MIDDLE	0	0	0	1	0	0	H	B	3	lshee	okaiin	0	LEVEL_II	lshee qodain okaiin otody chcthy	OPEN	0	0
G751-O0091	G751-Q005	Q_SIDE	qodain	odain	f104r	f104	f104r.7	5	11	0.400000	MIDDLE	0	0	0	0	0	0	S	B	3	otchedy	shedy	0	LEVEL_II	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	OPEN	0	0
G751-O0092	G751-Q005	Q_SIDE	qodain	odain	f104r	f104	f104r.7	8	11	0.700000	MIDDLE	0	0	0	0	0	0	S	B	3	chedy	okar	0	LEVEL_II	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	OPEN	0	0
G751-O0093	G751-Q005	Q_SIDE	qodain	odain	f104r	f104	f104r.13	2	10	0.111111	MIDDLE	0	0	0	0	0	0	S	B	3	olcheol	chokar	0	LEVEL_II	olcheol qodain chokar okcho lkain okar cheody okeeody qodam chdy	OPEN	0	0
G751-O0094	G751-Q005	Q_SIDE	qodain	odain	f112r	f112	f112r.10	4	5	0.750000	MIDDLE	0	0	0	1	0	0	S	B	3	chedy	dam	0	LEVEL_II	dair al chedy qodain dam	OPEN	0	0
G751-O0095	G751-Q005	Q_SIDE	qodain	odain	f115r	f115	f115r.5	5	11	0.400000	MIDDLE	0	0	0	0	0	0	S	B	@	sheed	qoteedy	0	LEVEL_II	ycheedy chedar olkees sheed qodain qoteedy qokedy qokeed lchedar qotchedy ro	OPEN	0	0
G751-O0096	G751-Q005	Q_SIDE	qodain	odain	f115r	f115	f115r.36	5	8	0.571429	MIDDLE	0	0	0	1	0	0	S	B	@	chody	sheey	0	LEVEL_II	daiin cheey qoek chody qodain sheey dar oranol	OPEN	0	0
G751-O0097	G751-Q005	Q_SIDE	qodain	odain	f115r	f115	f115r.39	4	6	0.600000	MIDDLE	0	0	0	1	0	0	S	B	@	keey	cheody	0	LEVEL_II	y chey keey qodain cheody qokor	OPEN	0	0
