event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	atomic_card_value_de	product_or_job	complete_workshop_expansion_de	visible_owner	terminal_status
13	H1-S002	H1	f10r	chol	MC153	weiter	J1	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
14	H1-S002	H1	f10r	cthy	MC161	bereit	J1	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
15	H2-S001	H2	f10r	ycheor	MC075	Auszugsansatz	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
16	H2-S001	H2	f10r	cthy	MC161	bereit	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
17	H2-S001	H2	f10r	chor	MC080	Ansatz	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
18	H2-S001	H2	f10r	cthaiin	MC169	Sollvorbereitung	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
19	H2-S001	H2	f10r	qoctholy	MC115	Folgeposten	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
20	H2-S001	H2	f10r	dy	MC123	dies	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
21	H2-S001	H2	f10r	chy	MC123	dies	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
22	H2-S001	H2	f10r	taiin	MC039	Sollmaß	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
23	H2-S001	H2	f10r	shy	MC123	dies	J1	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
24	H2-S002	H2	f10r	qotchor	MC013	Folgeansatz	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
25	H2-S002	H2	f10r	chor	MC080	Ansatz	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
26	H2-S002	H2	f10r	otol	MC053	Fortgang	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
27	H2-S002	H2	f10r	chol	MC153	weiter	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
28	H2-S002	H2	f10r	cholor	MC157	derselbe Ansatz	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
29	H2-S002	H2	f10r	chol	MC153	weiter	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
30	H2-S002	H2	f10r	daiin	MC039	Sollmaß	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
31	H2-S002	H2	f10r	dar	MC055	davon	J1	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
32	H2-S003	H2	f10r	oykchor	MC027	Arbeitsansatz	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
33	H2-S003	H2	f10r	shor	MC080	Ansatz	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
34	H2-S003	H2	f10r	chor	MC080	Ansatz	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
35	H2-S003	H2	f10r	chy	MC123	dies	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
36	H2-S003	H2	f10r	kaiiin	MC048	Arbeitsstufe	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
37	H2-S003	H2	f10r	dy	MC123	dies	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
38	H2-S003	H2	f10r	chodaiin	MC087	Zugabemaß	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE
39	H3-S001	H3	f11r	tshol	MC098	Kochgut	J2	Nimm das bestimmte Kochgut vom blau bluehenden Waschkraut.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
40	H3-S001	H3	f11r	schoal	MC049	Sudansatz	J2	Setze daraus den Pflanzenwaschauszug an.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
41	H3-S001	H3	f11r	cfhy	MC129	Auswringen	J2	Wringe das ausgekochte Kraut aus.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
42	H3-S001	H3	f11r	shfydaiin	MC111	Stehzeit	J2	Lass die ausgedrueckte Fluessigkeit die vorgeschriebene Zeit stehen.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
43	H3-S001	H3	f11r	cphy	MC156	Nachseihen	J2	Seihe die abgesetzte Fluessigkeit nochmals.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
44	H3-S001	H3	f11r	shey	MC119	Klarauszug	J2	Behalte den klaren Waschauszug.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
45	H3-S001	H3	f11r	tchody	MC037	Endzugabe; Schluss	J2	Gib den vorgesehenen Endzusatz bei und schliesse den Zubereitungsschritt.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	TERMINAL
46	H3-S002	H3	f11r	shoyty	MC062	Zugabeteil	J2	Lege den weiteren Zugabeteil bereit.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
47	H3-S003	H3	f11r	dchol	MC142	vom vorigen	J2	Nimm vom vorigen klaren Ansatz.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
48	H3-S003	H3	f11r	chy	MC123	dies	J2	Halte diesen Ansatz als laufenden Posten.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
49	H3-S003	H3	f11r	kchy	MC117	Bearbeiten	J2	Bearbeite diesen Anteil weiter.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
50	H3-S003	H3	f11r	dy	MC123	dies	J2	Fuehre denselben Posten fort.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
51	H3-S003	H3	f11r	daiin	MC039	Sollmaß	J2	Bringe ihn auf das Sollmass.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
52	H3-S004	H3	f11r	qotchy	MC107	Folgeposten	J2	Wechsle zum Folgeposten.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
53	H3-S004	H3	f11r	okchol	MC041	Weiterverarbeitung	J2	Verarbeite den Folgeposten weiter.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
54	H3-S004	H3	f11r	cthy	MC161	bereit	J2	Halte die Zubereitung bereit.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
55	H3-S004	H3	f11r	dy	MC123	dies	J2	Dies ist der bereitgestellte Auszug fuer die Stationsarbeit.	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE
56	H4-S001	H4	f55v	qokaiin	MC120	bemessen	J3	Bemiss den warm bereiteten Pflanzen-Grundansatz.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
57	H4-S001	H4	f55v	chaiin	MC039	Sollmaß	J3	Bringe die Gesamtmenge auf das Sollmass.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
58	H4-S001	H4	f55v	ykain	MC047	erste Portion	J3	Teile die erste Vorratsportion ab.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
59	H4-S001	H4	f55v	ykan	MC148	zweite Portion	J3	Teile die zweite Vorratsportion ab.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
60	H4-S001	H4	f55v	ody	MC100	Abkühlen	J3	Lass beide Portionen abkuehlen und schliesse den Schritt.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL
61	H4-S002	H4	f55v	daiin	MC039	Sollmaß	J3	Pruefe die verwahrte Menge nochmals gegen das Sollmass.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
62	H4-S002	H4	f55v	chedy	MC074	überführen	J3	Fuehre die Portion in das Vorratsgefaess ueber.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
63	H4-S002	H4	f55v	talam	MC160	Verwahrort	J3	Stelle sie am vorgesehenen Verwahrort ab.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL
64	H4-S003	H4	f55v	ykaiin	MC170	Sollportion	J3	Nimm spaeter die vorgeschriebene Vorratsportion.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
65	H4-S003	H4	f55v	cheoar	MC085	Quellauszug	J3	Schoepfe sie aus dem vorhandenen Quellauszug.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
66	H4-S003	H4	f55v	cheeky	MC032	länger bearbeiten	J3	Arbeite die entnommene Portion laenger durch.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
67	H4-S003	H4	f55v	oldy	MC019	fertig	J3	Markiere diese Dosis als fertig.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL
68	H4-S004	H4	f55v	aiin	MC039	Sollmaß	J3	Bemiss die Dosis fuer den Folgeansatz.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
69	H4-S004	H4	f55v	okal	MC040	dorthin einsetzen	J3	Setze sie an der vorgesehenen Stelle ein.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
70	H4-S004	H4	f55v	oltchy	MC021	Folgebereitung	J3	Beginne damit die Folgezubereitung.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
71	H4-S004	H4	f55v	or	MC080	Ansatz	J3	Fuehre sie als neuen Ansatz.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
72	H4-S004	H4	f55v	y	MC123	dies	J3	Halte diesen Ansatz als laufenden Posten.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
73	H4-S004	H4	f55v	orain	MC072	Bereitungsanteil	J3	Fuege den bereitgestellten Anteil der Zubereitung zu.	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE
74	H5-S001	H5	f56r	chochor	MC125	Zugabeansatz	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
75	H5-S001	H5	f56r	cho	MC034	weitere Zutat	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
76	H5-S001	H5	f56r	chodaly	MC010	Zielzugabe	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
77	H5-S001	H5	f56r	daiin	MC039	Sollmaß	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
78	H5-S001	H5	f56r	sho	MC034	weitere Zutat	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
79	H5-S001	H5	f56r	kchol	MC090	Weiterverarbeitung	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
80	H5-S001	H5	f56r	otchor	MC013	Folgeansatz	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
81	H5-S001	H5	f56r	choky	MC026	einsetzen	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
82	H5-S001	H5	f56r	dal	MC154	dorthin	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
83	H5-S002	H5	f56r	schol	MC142	vom vorigen	J4	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
84	H5-S002	H5	f56r	choy	MC131	Zugabeposten	J4	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
85	H5-S002	H5	f56r	choky	MC026	einsetzen	J4	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
86	H5-S002	H5	f56r	cheeckhody	MC099	Langpassage; Schluss	J4	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	TERMINAL
87	H5-S003	H5	f56r	sh	MC114	Halten	J4	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
88	H5-S003	H5	f56r	cho	MC034	weitere Zutat	J4	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
89	H5-S003	H5	f56r	kchey	MC122	Kurzbearbeitung	J4	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
90	H5-S003	H5	f56r	qokokchy	MC015	erneut einsetzen	J4	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
91	H5-S004	H5	f56r	okchy	MC103	weiterbearbeiten	J4	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
92	H5-S004	H5	f56r	chokcheo	MC006	Auszug einsetzen	J4	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
93	H5-S004	H5	f56r	kchal	MC077	Zielbearbeitung	J4	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
94	H5-S005	H5	f56r	sho	MC034	weitere Zutat	J4	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
95	H5-S005	H5	f56r	chokchy	MC103	weiterbearbeiten	J4	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
96	H5-S005	H5	f56r	kchoar	MC136	Quellauszug	J4	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
97	H5-S005	H5	f56r	sotodan	MC068	Folgeanwendung	J4	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
98	H5-S006	H5	f56r	otchey	MC171	das nächste	J4	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
99	H5-S006	H5	f56r	keol	MC104	Kurzfortsetzung	J4	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
100	H5-S006	H5	f56r	daiin	MC039	Sollmaß	J4	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE
101	B1-S001	B1	f81v	qokedy	MC083	kurz einwirken; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
102	B1-S002	B1	f81v	okaiin	MC120	bemessen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
103	B1-S002	B1	f81v	kair	MC023	Beckenlauf	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
104	B1-S002	B1	f81v	okal	MC040	dorthin einsetzen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
105	B1-S002	B1	f81v	sar	MC055	davon	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
106	B1-S002	B1	f81v	ol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
107	B1-S002	B1	f81v	kain	MC105	Anteil	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
