surface	working_meaning_de	composition	strongest_rival_de	family
chcthey	Krautdroge bis zur mittleren Stufe trocknen	CH_DRY+CTH_HERB+E_MIDDLE+Y_START_OR_CLOSE	Krautdroge trocken auf mittlerer Stufe	ACTION
dcheoty	mitteltrockenen Ansatz abmessen und leicht abkühlen	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+T_COLD+Y_START_OR_CLOSE	abgemessener kalt-trockener Ansatz der Mittelstufe	ACTION
chdam	ein Maß Trockendroge abmessen	CH_DRY+D_MEASURE+AM_UNIT_I	ein Maß Trockendroge	MEASURE
sokal	erhitzter Saatgut-Rohstoff-I-Ansatz	S_SEED+O_PREP+K_HOT+AL_RAW_I	Saatgutansatz der Rohstoffklasse I	SEED
otcheody	kalt-trockenen Ansatz bis zur Mittelstufe bringen und fertigstellen	O_PREP+T_COLD+CH_DRY+E_MIDDLE+O_PREP+DY_FINISHED	fertiger kalt-trockener Ansatz der Mittelstufe	ACTION
cheedain	zwei Dosen vollständig getrockneter Droge	CH_DRY+EE_END+D_MEASURE+AIN_II	vollständig getrocknete Droge auf Stufe II	MEASURE
chot	abgekühlter Trockenansatz	CH_DRY+O_PREP+T_COLD	Trockenansatz abkühlen	COLD
ysheed	weiche hiervon vollständig ein und schließe ab	Y_REFERENCE+SH_MOIST+EE_END+D_TERM_CLOSE	diese Droge vollständig eingeweicht	ACTION
rodam	ein Maß Wurzelansatz abmessen	R_ROOT+O_PREP+D_MEASURE+AM_UNIT_I	ein Maß Wurzelzubereitung	MEASURE
ykeeochody	erhitze hiervon den Ansatz vollständig, trockne ihn, setze erneut an und stelle ihn fertig	Y_REFERENCE+K_HOT+EE_END+O_PREP+CH_DRY+O_PREP+DY_FINISHED	diesen Ansatz vollständig erhitzen, trocknen und fertigstellen	ACTION
chky	getrocknete Droge leicht erhitzen	CH_DRY+K_HOT+Y_START_OR_CLOSE	leicht heiß getrocknete Droge	ACTION
chytshy	leicht getrocknete Droge abkühlen und anfeuchten	LEARNED_CHYTSHY_WHOLE	kalt angefeuchtete Trockendroge	ACTION
ytol	kühle hiervon den Drogenstoff ab	Y_REFERENCE+T_COLD+OL_MATERIAL	kalter Drogenstoff dieser Droge	ACTION
kch	unter Wärme trocknen	K_HOT+CH_DRY	heiß getrocknete Droge	ACTION
qopchaiin	nimm drei Teile des getrockneten Pulveransatzes	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+AIIN_III	Pulveransatz auf Trockenstufe III	ACTION
choltaiin	Trockengut auf Kühlstufe III	CH_DRY+OL_MATERIAL+T_COLD+AIIN_III	drei Teile kalt behandeltes Trockengut	COLD
shdaiin	drei Dosen eingeweichte Droge	SH_MOIST+D_MEASURE+AIIN_III	eingeweichte Droge auf Stufe III	MEASURE
choees	Trockenansatz-Charge auf Endstufe	CH_DRY+O_PREP+EE_END+S_TERM_SPECIES	vollständig getrocknete Ansatzcharge	DRY
okoiin	erhitzter Ansatz in Zubereitungsform III	O_PREP+K_HOT+O_PREP+IIN_FORM_III	drei Teile erhitzter Ansatz	PREPARATION
tolshy	kalten Drogenstoff leicht anfeuchten	T_COLD+OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchteter kalter Drogenstoff	ACTION
ysheol	weiche hiervon den Drogenstoff bis zur Mittelstufe ein	Y_REFERENCE+SH_MOIST+E_MIDDLE+OL_MATERIAL	mittelfeuchter Drogenstoff dieser Droge	ACTION
keeees	Charge bis zur letzten Stufe erhitzter Droge	LEARNED_KEEEES_WHOLE	erhitze die Charge lange	HOT_PREP
ykol	erhitze hiervon den Drogenstoff	Y_REFERENCE+K_HOT+OL_MATERIAL	erhitzter Drogenstoff dieser Droge	ACTION
kcheor	eine Portion bis zur Mittelstufe heiß getrocknete Droge	K_HOT+CH_DRY+E_MIDDLE+OR_PORTION	eine Portion erhitzter Trockenansatz	MEASURE
ychor	nimm hiervon den Pflanzenteil	Y_REFERENCE+CHOR_PLANT_PART	Pflanzenteil dieser Droge	PLANT_PART
qoaiin	nimm drei Teile	QO_COMMAND+AIIN_III	Stufe III ausführen	ACTION
oaldary	die erste Fraktion des Rohstoff-I-Ansatzes abmessen und abschließen	O_PREP+AL_RAW_I+D_MEASURE+AR_FRACTION_I+Y_START_OR_CLOSE	abgeschlossene erste Rohstoff-I-Ansatzfraktion	ACTION
g	vorstehenden Rezeptposten abschließen	LEARNED_G_WHOLE	ein Gran; sekundär historisch auch ein Tropfen	ACTION
chcth	getrocknete Kraut- oder Blattdroge	CH_DRY+CTH_HERB	Krautdroge trocknen	DRY
daid	zweite Dosis abmessen und abschließen	LEARNED_DAID_WHOLE	abgemessene zweite Dosis	MEASURE
qochol	nimm getrockneten Drogenstoff	QO_COMMAND+CH_DRY+OL_MATERIAL	gib getrockneten Drogenstoff hinzu	ACTION
cthody	fertiger Krautansatz	CTH_HERB+O_PREP+DY_FINISHED	Krautansatz fertigstellen	PREPARATION
qoos	nimm eine Ansatzcharge	QO_COMMAND+O_PREP+S_TERM_SPECIES	führe den Ansatzposten aus	ACTION
yor	nimm hiervon eine Portion	Y_REFERENCE+OR_PORTION	eine Portion dieser Droge	ACTION
dkol	erhitzten Drogenstoff abmessen	D_MEASURE+K_HOT+OL_MATERIAL	abgemessener erhitzter Drogenstoff	ACTION
chm	eine Handvoll Trockendroge	LEARNED_CHM_WHOLE	ein kleiner Trockenposten	MEASURE
ctholdy	Krautdrogenstoff fertigstellen	CTH_HERB+OL_MATERIAL+DY_FINISHED	fertiger Krautdrogenstoff	ACTION
deey	die Enddosis abmessen	D_MEASURE+EE_END+Y_START_OR_CLOSE	vollständig abgemessene Dosis	MEASURE
dshodar	die erste Fraktion des eingeweichten Ansatzes abmessen	LEARNED_DSHODAR_WHOLE	eingeweichten Ansatz abmessen und danach Fraktion I trennen	ACTION
chekar	erste bis zur Mittelstufe getrocknete und erhitzte Fraktion	CH_DRY+E_MIDDLE+K_HOT+AR_FRACTION_I	die erste Trockenfraktion erhitzen	FRACTION
arl	erste Holzdrogenfraktion	AR_FRACTION_I+L_WOOD	erste Fraktion und ein Pfund	WOOD
yshos	weiche hiervon eine Ansatzcharge ein	Y_REFERENCE+SH_MOIST+O_PREP+S_TERM_SPECIES	angefeuchtete Ansatzcharge dieser Droge	ACTION
dchold	getrockneten Drogenstoff abmessen und abschließen	D_MEASURE+CH_DRY+OL_MATERIAL+D_TERM_CLOSE	abgemessener abgeschlossener Trockenstoff	ACTION
ochor	Pflanzenteil im Ansatz	O_PREP+CHOR_PLANT_PART	Trockenportion im Ansatz	PLANT_PART
kcholqod	erhitztes Trockengut als Ansatz fertigstellen	LEARNED_KCHOLQOD_WHOLE	erhitztes Trockengut abziehen und abschließen	ACTION
orchochor	eine Portion Pflanzenteil für einen Trockenansatz	OR_PORTION+CH_DRY+O_PREP+CHOR_PLANT_PART	eine Portion Pflanzenteile der Trockenfraktion	PLANT_PART
chokokor	Trockenansatz erhitzen, erneut ansetzen, wieder erhitzen und als Portion abteilen	CH_DRY+O_PREP+K_HOT+O_PREP+K_HOT+OR_PORTION	eine Portion wiedererhitzten Trockenansatzes	ACTION
dchdy	Trockendroge abmessen und fertigstellen	D_MEASURE+CH_DRY+DY_FINISHED	abgemessene fertig getrocknete Droge	ACTION
ycheor	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	Y_REFERENCE+CH_DRY+E_MIDDLE+OR_PORTION	bis zur Mittelstufe getrocknete Portion dieser Droge	ACTION
chag	ein Gran Trockendroge	LEARNED_CHAG_WHOLE	getrocknete Arzneispecies	MEASURE
chololy	seihe den getrockneten Drogenstoff ab	CH_DRY+OL_MATERIAL+OLY_STRAIN_ACTION	zwei Drogenstoffe leicht zusammen trocknen	EXTRACT
chekody	mitteltrockenen Ansatz erhitzen und fertigstellen	CH_DRY+E_MIDDLE+K_HOT+O_PREP+DY_FINISHED	fertig erhitzter Trockenansatz der Mittelstufe	ACTION
ay	ein gleicher Teil, abgeschlossen	A_PART_OR_LINK+Y_START_OR_CLOSE	leichte Grundstufe	MEASURE
dalain	zwei Teile Rohdroge I abmessen	D_MEASURE+AL_RAW_I+AIN_II	Rohdroge I in Dosis II	MEASURE
chtchy	Droge kalt trocknen und leicht nachtrocknen	CH_DRY+T_COLD+CH_DRY+Y_START_OR_CLOSE	kalt nachgetrocknete Droge	ACTION
qokody	Ansatz erhitzen und fertigstellen	QO_COMMAND+K_HOT+O_PREP+DY_FINISHED	fertiger erhitzter Ansatz	ACTION
qody	stelle die Zubereitung fertig	QO_COMMAND+DY_FINISHED	nimm die fertiggestellte Zubereitung	ACTION
om	eine Handvoll Ansatz	LEARNED_OM_WHOLE	Ansatz ohne festen Mengenwert	MEASURE
keesy	Saatgut vollständig erhitzen und abschließen	K_HOT+EE_END+S_SEED+Y_START_OR_CLOSE	vollständig erhitztes Saatgut	ACTION
qocthedy	Krautdroge bis zur Mittelstufe aufbereiten und abschließen	QO_COMMAND+CTH_HERB+E_MIDDLE+DY_FINISHED	fertige Krautdroge der Mittelstufe	ACTION
chosory	eine Portion Saatgut im Trockenansatz, abgeschlossen	LEARNED_CHOSORY_WHOLE	abgeschlossene Trockenansatz-Charge	SEED
koddy	erhitzten Ansatz abmessen und fertigstellen	LEARNED_KODDY_WHOLE	fertig erhitzte Ansatzdosis	ACTION
ycheoky	trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht	Y_REFERENCE+CH_DRY+E_MIDDLE+O_PREP+K_HOT+Y_START_OR_CLOSE	mitteltrockener, leicht erhitzter Ansatz dieser Droge	ACTION
chokan	Trockenansatz auf Heizstufe I bringen	CH_DRY+O_PREP+K_HOT+AN_I	Trockenansatz aus einem erhitzten Teil	ACTION
qockhey	Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten	QO_COMMAND+O_PREP+CKH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	Arzneikompositum-Ansatz auf mittlerer Stufe	ACTION
ke	bis zur mittleren Heizstufe erhitzen	K_HOT+E_MIDDLE	mittelstark erhitzte Droge	ACTION
keeyfar	vollständig erhitzte erste Blütenfraktion	LEARNED_KEEYFAR_WHOLE	die erste Blütenfraktion vollständig erhitzen	FLOWER
daiiny	drei Teile abmessen und abschließen	D_MEASURE+AIIN_III+Y_START_OR_CLOSE	drei abgemessene Teile	MEASURE
chokor	eine Portion erhitzten Trockenansatzes	CH_DRY+O_PREP+K_HOT+OR_PORTION	eine Portion heiß getrocknete Droge	MEASURE
chotchey	Trockenansatz kalt bis zur Mittelstufe nachtrocknen	CH_DRY+O_PREP+T_COLD+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	kalt nachgetrockneter Trockenansatz der Mittelstufe	ACTION
chotor	eine Portion abgekühlten Trockenansatzes	CH_DRY+O_PREP+T_COLD+OR_PORTION	eine Portion kalt getrocknete Droge	MEASURE
skaiiodar	die erste Fraktion des erhitzten Saatgutansatzes abmessen	LEARNED_SKAIIODAR_WHOLE	Saatgut auf Heizstufe III bringen und Ansatzfraktion I abmessen	ACTION
yodaiin	miss hiervon drei Dosen Ansatz ab	Y_REFERENCE+O_PREP+D_MEASURE+AIIN_III	drei Ansatzdosen dieser Droge	MEASURE
choldar	die erste Fraktion getrockneten Drogenstoffs abmessen	CH_DRY+OL_MATERIAL+D_MEASURE+AR_FRACTION_I	erste abgemessene Trockenstofffraktion	ACTION
qoked	bis zur Mittelstufe erhitzen und abschließen	QO_COMMAND+K_HOT+E_MIDDLE+D_TERM_CLOSE	Erhitzungsstufe Mitte abgeschlossen	ACTION
polshy	Pulverstoff leicht anfeuchten	P_POWDER+OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchteter Pulverstoff	ACTION
koldy	erhitzten Drogenstoff fertigstellen	K_HOT+OL_MATERIAL+DY_FINISHED	fertiger erhitzter Drogenstoff	ACTION
ld	Holzdrogenposten abschließen	L_WOOD+D_TERM_CLOSE	Holzdroge abziehen	ACTION
dlshedy	eine Dosis Holzdroge bis zur Mittelstufe einweichen und abschließen	D_MEASURE+L_WOOD+SH_MOIST+E_MIDDLE+DY_FINISHED	fertig eingeweichte Holzdrogendosis	ACTION
qokalchey	Rohdroge I erhitzen und bis zur Mittelstufe trocknen	QO_COMMAND+K_HOT+AL_RAW_I+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	heiß getrocknete Rohdroge I der Mittelstufe	ACTION
qopchey	nimm bis zur Mittelstufe getrocknetes Pulver	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	trockne Pulver bis zur Mittelstufe	ACTION
qochy	nimm leicht getrocknete Droge	QO_COMMAND+CH_DRY+Y_START_OR_CLOSE	trockne die Droge leicht an	ACTION
olsheed	Holzdrogenansatz vollständig einweichen und abschließen	O_PREP+L_WOOD+SH_MOIST+EE_END+D_TERM_CLOSE	vollständig eingeweichter Holzdrogenansatz	ACTION
chcphedy	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	LEARNED_CHCPHEDY_WHOLE	eine Blütenkompositum-Fraktion fertig trocknen	ACTION
checthey	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	CH_DRY+E_MIDDLE+CTH_HERB+E_MIDDLE+Y_START_OR_CLOSE	Krautdroge trocken auf mittlerer Stufe	ACTION
qolal	Rohdroge I hinzugeben	QOL_ADD+AL_RAW_I	Rohdroge I in den Holzdrogenansatz geben	ACTION
solkeey	Saatgutansatz vollständig erhitzen	SOL_SEED_PREP+K_HOT+EE_END+Y_START_OR_CLOSE	vollständig erhitzter Saatgutansatz	ACTION
dsheedal	vollständig eingeweichte Rohdroge I abmessen	LEARNED_DSHEEDAL_WHOLE	eine Dosis Rohdroge I vollständig einweichen	ACTION
lchor	holziger Pflanzenteil	L_WOOD+CHOR_PLANT_PART	eine Portion getrocknete Holzdroge	PLANT_PART
ldchey	Holzdroge abmessen und bis zur Mittelstufe trocknen	LEARNED_LDCHEY_WHOLE	abgemessene mitteltrockene Holzdroge	ACTION
cheolkaiin	Drogenstoff bis zur Mittelstufe trocknen und auf Heizstufe III bringen	CH_DRY+E_MIDDLE+OL_MATERIAL+K_HOT+AIIN_III	heiß getrockneter Drogenstoff auf Stufe III	ACTION
dalky	Rohdroge I abmessen und leicht erhitzen	D_MEASURE+AL_RAW_I+K_HOT+Y_START_OR_CLOSE	leicht erhitzte abgemessene Rohdroge I	ACTION
ykedy	erhitze hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+K_HOT+E_MIDDLE+DY_FINISHED	diese Droge auf mittlerer Heizstufe abgeschlossen	ACTION
qoke	bis zur Mittelstufe erhitzen	QO_COMMAND+K_HOT+E_MIDDLE	mittelstark erhitzte Droge	ACTION
qolkeshdy	erhitztes und bis zur Mittelstufe eingeweichtes Drogenmaterial hinzugeben	QOL_ADD+K_HOT+E_MIDDLE+SH_MOIST+DY_FINISHED	gib fertig eingeweichtes Heißgut hinzu	ACTION
otaldy	kalten Rohstoff-I-Ansatz fertigstellen	O_PREP+T_COLD+AL_RAW_I+DY_FINISHED	fertiger kalter Rohstoff-I-Ansatz	ACTION
oltal	kalter Holzdrogenansatz aus Rohdroge I	O_PREP+L_WOOD+T_COLD+AL_RAW_I	Holzdroge und Rohstoff I kalt ansetzen	WOOD
eey	Endstufe abschließen	EE_END+Y_START_OR_CLOSE	schließe den vorstehenden Rezeptposten ab	ACTION
scthey	Saatgut mit Krautdroge auf mittlerer Stufe	S_SEED+CTH_HERB+E_MIDDLE+Y_START_OR_CLOSE	Saat-Kraut-Kompositum in Grundform	SEED
chckhes	getrocknete Arzneikompositum-Charge auf mittlerer Stufe	CH_DRY+CKH_COMPOSITE+E_MIDDLE+S_TERM_SPECIES	Arzneikompositum aus getrocknetem Saatgut	PREPARATION
okaio	erhitzter Ansatz in Zubereitungsform II	LEARNED_OKAIO_WHOLE	ein Teil heißer Ansatz	HOT_PREP
cheokain	Trockenansatz bis zur Mittelstufe trocknen und auf Heizstufe II bringen	CH_DRY+E_MIDDLE+O_PREP+K_HOT+AIN_II	heißer Trockenansatz auf Stufe II	ACTION
oroiiin	eine Portion Ansatz in Zubereitungsform IV	OR_PORTION+O_PREP+IIIN_FORM_IV	vier Teile Ansatz	MEASURE
yefaiin	nimm hiervon drei Teile Blütenfraktion der Mittelstufe	Y_REFERENCE+E_MIDDLE+F_FLOWER+AIIN_III	Blütenfraktion der Mittelstufe in Klasse III	ACTION
ycheckhey	trockne hiervon mäßig, trockne das Arzneikompositum nochmals mäßig und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+CKH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	mitteltrockenes Arzneikompositum dieser Droge	ACTION
dshoy	eine leicht eingeweichte Ansatzdosis abmessen	D_MEASURE+SH_MOIST+O_PREP+Y_START_OR_CLOSE	weiche eine Ansatzdosis leicht ein	MEASURE
cthd	Krautdrogenposten abschließen	CTH_HERB+D_TERM_CLOSE	Krautansatz abgießen	ACTION
dainol	zwei Teile Drogenstoff abmessen	D_MEASURE+AIN_II+OL_MATERIAL	Drogenstoff in Dosis II	MEASURE
okalol	erhitzter Drogenstoff aus Rohstoff-I-Ansatz	O_PREP+K_HOT+AL_RAW_I+OL_MATERIAL	erhitzter Rohstoff-I-Grundansatz	HOT_PREP
cheykain	bis zur Mittelstufe getrocknete Droge auf Heizstufe II bringen	LEARNED_CHEYKAIN_WHOLE	mitteltrockene Droge der Heizklasse II	ACTION
okalchy	Rohstoff-I-Ansatz erhitzen und leicht trocknen	O_PREP+K_HOT+AL_RAW_I+CH_DRY+Y_START_OR_CLOSE	leicht heiß getrockneter Rohstoff-I-Ansatz	ACTION
qolky	leicht erhitzten Drogenstoff hinzugeben	QOL_ADD+K_HOT+Y_START_OR_CLOSE	Drogenstoff hinzugeben und leicht erhitzen	ACTION
ldol	Holzdrogenstoff abmessen	L_WOOD+D_MEASURE+OL_MATERIAL	Holzdrogenposten abschließen	ACTION
qopchedy	nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	nimm vollständig getrocknetes Pulver	ACTION
dsholyd	eingeweichten Drogenstoff abmessen und den Posten abschließen	LEARNED_DSHOLYD_WHOLE	abgemessener eingeweichter Drogenstoff	ACTION
qokeoy	Ansatz bis zur Mittelstufe erhitzen und abschließen	QO_COMMAND+K_HOT+E_MIDDLE+O_PREP+Y_START_OR_CLOSE	Ansatz auf mittlerer Heizstufe	ACTION
dytar	danach die erste Fraktion abkühlen	DY_FINISHED+T_COLD+AR_FRACTION_I	danach die kalte Fraktion I bereitstellen	ACTION
qolchedy	gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab	QOL_ADD+CH_DRY+E_MIDDLE+DY_FINISHED	gib fertig getrocknetes Drogenmaterial hinzu	ACTION
qotee	vollständig abkühlen	QO_COMMAND+T_COLD+EE_END	vollständig gekühlte Droge nehmen	ACTION
yteeedy	kühle hiervon bis zur letzten Stufe und schließe ab	Y_REFERENCE+T_COLD+EEE_LONG_OR_FINAL+DY_FINISHED	diese Droge lange und vollständig gekühlt	ACTION
yteeo	kühle hiervon den Ansatz vollständig	Y_REFERENCE+T_COLD+EE_END+O_PREP	vollständig gekühlter Ansatz dieser Droge	ACTION
daiinls	drei Dosen einer Holzdrogencharge abmessen	D_MEASURE+AIIN_III+L_WOOD+S_TERM_SPECIES	Holzdrogencharge auf Stufe III	MEASURE
acthy	ein Teil Krautdroge in Grundform	A_PART_OR_LINK+CTH_HERB+Y_START_OR_CLOSE	gleicher Anteil Krautdroge	MEASURE
chokar	erste heiß getrocknete Ansatzfraktion	CH_DRY+O_PREP+K_HOT+AR_FRACTION_I	die erste Trockenansatzfraktion erhitzen	FRACTION
chcfhy	leicht getrocknete Blütenfraktion	CH_DRY+F_FLOWER+Y_START_OR_CLOSE	Blütenfraktion leicht trocknen	FLOWER
qoeear	nimm die erste Fraktion der Endstufe	QO_COMMAND+EE_END+AR_FRACTION_I	die erste Fraktion vollständig behandeln	ACTION
qoteeos	nimm eine vollständig gekühlte Ansatzcharge	QO_COMMAND+T_COLD+EE_END+O_PREP+S_TERM_SPECIES	kühle die Ansatzcharge vollständig	ACTION
chotain	Trockenansatz auf Kühlstufe II	CH_DRY+O_PREP+T_COLD+AIN_II	zwei Teile gekühlter Trockenansatz	COLD
darala	einen gleichen Teil der ersten Rohstoff-I-Fraktion abmessen	D_MEASURE+AR_FRACTION_I+AL_RAW_I+A_PART_OR_LINK	erste Rohstoff-I-Fraktion in gleicher Teilung	MEASURE
shodaiin	drei Dosen Feuchtansatz	SH_MOIST+O_PREP+D_MEASURE+AIIN_III	drei Dosen eingeweichter Ansatz	MEASURE
odor	eine Portion Ansatz abmessen	O_PREP+D_MEASURE+OR_PORTION	abgemessene Ansatzportion	ACTION
cholky	getrockneten Drogenstoff leicht erhitzen	CH_DRY+OL_MATERIAL+K_HOT+Y_START_OR_CLOSE	leicht erhitzter Trockenstoff	ACTION
ykoldy	stelle hiervon erhitzten Drogenstoff fertig	Y_REFERENCE+K_HOT+OL_MATERIAL+DY_FINISHED	fertiger erhitzter Drogenstoff dieser Droge	ACTION
qokeol	erhitze den Drogenstoff bis zur Mittelstufe	QO_COMMAND+K_HOT+E_MIDDLE+OL_MATERIAL	bereite einen heißen Auszug	ACTION
kyty	leicht erhitzen und anschließend leicht abkühlen	LEARNED_KYTY_WHOLE	warm-kalt behandeltes Gut in Grundform	ACTION
daim	eine zweite Dosis abmessen	LEARNED_DAIM_WHOLE	ein weiteres Maß abmessen	MEASURE
