event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	inherited_action_root	old_clause_de	order_safe_clause_de	repair_rule	meaning_change
G407-E2189	P1009-S254	f76r	BIOLOGICAL	unbebilderter Textabschnitt A8	alor	AL+OR	CHD	Im laufenden Gang bearbeite die Stationseinheit; zur Zielstation.	Zur Zielstation: im laufenden Gang bearbeite die Stationseinheit.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2196	P1009-S255	f76r	BIOLOGICAL	unbebilderter Textabschnitt A9	lchey	L+Y	NONE	Bezug: den Stationsposten; über die sichtbare Verbindung.	Über die sichtbare Verbindung: Stationsposten.	REFERENCE_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2227	P1009-S264	f76r	BIOLOGICAL	unbebilderter Textabschnitt B	lcheey	L+EE+Y	OK	Im laufenden Gang setze den Stationsposten im Stationsgang an; über die sichtbare Verbindung; auf Grad II.	Über die sichtbare Verbindung: im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad II.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2384	P1009-S299	f76r	BIOLOGICAL	unbebilderter Textabschnitt D	ldaiin	L+AIIN	OK	Im laufenden Gang setze den Stationswert im Stationsgang an; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang setze den Stationswert im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2401	P1009-S302	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	loly	L+OL+Y	K	Weiter im laufenden Gang führe den Stationsposten zu; über die sichtbare Verbindung.	Weiter, über die sichtbare Verbindung: im laufenden Gang führe den Stationsposten zu.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2486	P1009-S333	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	lchey	L+Y	OK	Im laufenden Gang setze den Stationsposten im Stationsgang an; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang setze den Stationsposten im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2492	P1009-S335	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	laiin	L+AIIN	OK	Im laufenden Gang setze den Stationswert im Stationsgang an; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang setze den Stationswert im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2542	P1009-S349	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	daror	D_ADDR+AR+OR	CHD	Im laufenden Gang bearbeite die Stationseinheit; von der Ausgangsstation; an der bezeichneten Stelle.	Von der Ausgangsstation: im laufenden Gang bearbeite die Stationseinheit; an der bezeichneten Stelle.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2578	P1009-S360	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	qotary	OT+AR+Y	OK	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; von der Ausgangsstation.	Danach, von der Ausgangsstation: im laufenden Gang setze den Stationsposten im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2583	P1009-S360	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chealor	AL+OR	CH	Im laufenden Gang entnimm die Stationseinheit; zur Zielstation.	Zur Zielstation: im laufenden Gang entnimm die Stationseinheit.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2611	P1009-S365	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chealy	AL+Y	CHD	Im laufenden Gang bearbeite den Stationsposten; zur Zielstation.	Zur Zielstation: im laufenden Gang bearbeite den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2642	P1009-S373	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	laiin	L+AIIN	SH	Im laufenden Gang halte den Stationswert; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang halte den Stationswert.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2683	P1009-S382	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	loly	L+OL+Y	SH	Weiter im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	Weiter, über die sichtbare Verbindung: im laufenden Gang halte den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2780	G404-S019	f81r	BIOLOGICAL	F81R_UPPER_POOL	ly	L+Y	SH	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang halte den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2790	G404-S024	f81r	BIOLOGICAL	F81R_UPPER_POOL	loly	L+OL+Y	OK	Weiter im laufenden Gang setze den Stationsposten im Stationsgang an; über die sichtbare Verbindung.	Weiter, über die sichtbare Verbindung: im laufenden Gang setze den Stationsposten im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2838	G404-S042	f81r	BIOLOGICAL	F81R_LOWER_POOL	daly	AL+Y	R	Im laufenden Gang markiere den Stationsposten; zur Zielstation.	Zur Zielstation: im laufenden Gang markiere den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2860	G404-S043	f81r	BIOLOGICAL	F81R_LOWER_POOL	lchey	L+Y	S	Im laufenden Gang wähle den Stationsposten; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang wähle den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3066	P1009-S410	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	lor	L+OR	T	Im laufenden Gang stelle die Stationseinheit ein; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang stelle die Stationseinheit ein.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3148	P1009-S430	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	ly	L+Y	CHD	Im laufenden Gang bearbeite den Stationsposten; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang bearbeite den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3271	P1009-S455	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	lchey	L+Y	SH	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang halte den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3322	P1009-S468	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	araiin	AR+AIIN	S	Im laufenden Gang wähle den Stationswert; von der Ausgangsstation.	Von der Ausgangsstation: im laufenden Gang wähle den Stationswert.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3360	P1009-S473	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	lcheey	L+EE+Y	OK	Im laufenden Gang setze den Stationsposten im Stationsgang an; über die sichtbare Verbindung; auf Grad II.	Über die sichtbare Verbindung: im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad II.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3443	P1009-S498	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	lchey	L+Y	K	Im laufenden Gang führe den Stationsposten zu; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang führe den Stationsposten zu.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3526	P1009-S518	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	chary	AR+Y	CHD	Im laufenden Gang bearbeite den Stationsposten; von der Ausgangsstation.	Von der Ausgangsstation: im laufenden Gang bearbeite den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3600	P1009-S539	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	chldaiin	L+AIIN	CHD	Im laufenden Gang bearbeite den Stationswert; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang bearbeite den Stationswert.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3672	P1009-S558	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	olsaly	OL+AL+Y	T	Weiter im laufenden Gang stelle den Stationsposten ein; zur Zielstation.	Weiter, zur Zielstation: im laufenden Gang stelle den Stationsposten ein.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3744	P1009-S582	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	dairydy	AIR+Y+DY	K	Im laufenden Gang führe den Stationsposten zu; entlang der Stationsbahn; schließe den Schritt.	Entlang der Stationsbahn: im laufenden Gang führe den Stationsposten zu; schließe den Schritt.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3792	P1009-S589	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	ldalor	L+AL+OR	CH	Im laufenden Gang entnimm die Stationseinheit; über die sichtbare Verbindung und zur Zielstation.	Über die sichtbare Verbindung und zur Zielstation: im laufenden Gang entnimm die Stationseinheit.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3942	P1009-S595	f88v	PHARMA	erste Gefaess-/Zutatengruppe	lchey	L+Y	OK	Im laufenden Gang setze den Drogenposten als Ansatz an; über die Gefäßverbindung.	Über die Gefäßverbindung: im laufenden Gang setze den Drogenposten als Ansatz an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E3968	P1009-S596	f88v	PHARMA	erste Gefaess-/Zutatengruppe	daraly	D_ADDR+AR+AL+Y	K	Im laufenden Gang gib den Drogenposten zu; vom Ausgangsgefäß und zum Zielgefäß; an der bezeichneten Stelle.	Vom Ausgangsgefäß und zum Zielgefäß: im laufenden Gang gib den Drogenposten zu; an der bezeichneten Stelle.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E4023	P1009-S604	f88v	PHARMA	zweite Gefaess-/Zutatengruppe	dairodain	D_ADDR+AIR+O+D_ADDR+AIN	K	Im laufenden Gang gib den Drogenanteil zu; entlang der Transferbahn; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entlang der Transferbahn: im laufenden Gang gib den Drogenanteil zu; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E4077	P1009-S610	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe A	daldaiin	AL+AIIN	OK	Im laufenden Gang setze den Mengenwert als Ansatz an; zum Zielgefäß.	Zum Zielgefäß: im laufenden Gang setze den Mengenwert als Ansatz an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E4151	P1009-S614	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe C	daly	AL+Y	OK	Im laufenden Gang setze den Drogenposten als Ansatz an; zum Zielgefäß.	Zum Zielgefäß: im laufenden Gang setze den Drogenposten als Ansatz an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E4157	P1009-S614	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe C	ldain	L+AIN	CH	Im laufenden Gang nimm den Drogenanteil; über die Gefäßverbindung.	Über die Gefäßverbindung: im laufenden Gang nimm den Drogenanteil.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E4411	G404-S063	f95v	HERBAL	F95V_WHOLE_PLANT	alor	AL+OR	CHD	Im laufenden Gang bearbeite die Arbeitseinheit; zur Zielstelle.	Zur Zielstelle: im laufenden Gang bearbeite die Arbeitseinheit.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E4443	G404-S065	f95v	HERBAL	F95V_WHOLE_PLANT	otalain	OT+AL+AIN	K	Danach im laufenden Gang gib den Materialanteil zu; zur Zielstelle.	Danach, zur Zielstelle: im laufenden Gang gib den Materialanteil zu.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
