statement_id	record_unit_id	node_path	master_says_de	apprentice_selects_visible_cards	apprentice_reads_back_values	rules_used	event_ids	event_count
B3-S033	B3	N5	Abziehen; Schluss.	ldy	abziehen; Schluss	CLOSE	E308	1
B3-S034	B3	N5	Arbeitsstufe bereitstellen, Teil und Folgemaß am Zwischenziel kurz absetzen; Schluss.	soiiin checthy chety otaiin olsaly shedy	Arbeitsstufe | bereit | Teil | Folgemaß | Zwischenziel | kurz absetzen; Schluss	E_GRADE|CLOSE	E309|E310|E311|E312|E313|E314	6
B4-S001	B4	N5	Am Hauptpaar länger einwirken lassen; Schluss.	qokeedy	lange einwirken; Schluss	E_GRADE|CLOSE	E315	1
B4-S002	B4	N5	Den Weiterposten zuerst länger, dann kurz einwirken lassen; Schluss.	qolchey qokeey qokedy	Weiterposten | lange einwirken | kurz einwirken; Schluss	E_GRADE|CLOSE	E316|E317|E318	3
B4-S003	B4	N5	Überführen, danach das Nächste dorthin bringen, länger einwirken, einsetzen, weiterführen und kurz absetzen; Schluss.	chedy otal otchey qokeey qoky tol shedy	überführen | danach dorthin | das nächste | lange einwirken | einsetzen | weiter | kurz absetzen; Schluss	CHED_TRANSFER|E_GRADE|CLOSE	E319|E320|E321|E322|E323|E324|E325	7
B4-S004	B4	N5	Den Posten befestigen; Schluss.	qokylddy	befestigen; Schluss	CLOSE	E326	1
B4-S005	B4	N5	Die Einlage überführen und länger einwirken lassen; Schluss.	dain chedy qokeedy	Einlage | überführen | lange einwirken; Schluss	CHED_TRANSFER|E_GRADE|CLOSE	E327|E328|E329	3
B4-S006	B4	N5	Einmal durchlassen; Schluss.	shckhedy	durchlassen; Schluss	CLOSE	E330	1
B4-S007	B4	N5	Ein zweites Mal durchlassen; Schluss.	shckhedy	durchlassen; Schluss	CLOSE	E331	1
B4-S008	B4	N5	Auf Sollmaß bringen, länger bearbeiten, länger halten und kurz einwirken lassen; Schluss.	saiin cheeky sheey qokedy	Sollwert | länger bearbeiten | Langhalt | kurz einwirken; Schluss	AIIN_SOLLWERT|E_GRADE|CLOSE	E332|E333|E334|E335	4
B4-S009	B4	N5	Kurz absetzen lassen; Schluss.	shedy	kurz absetzen; Schluss	E_GRADE|CLOSE	E336	1
B4-S010	B4	N5	Schluss.	oldy	Schluss	CLOSE	E337	1
B4-S011	B4	N6	Sollwert kurz wärmen, länger weiterführen, Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss.	saiin cheky okeeol okain chdy sol lkedy	Sollwert | kurz wärmen | Langfortsetzung | Anteil zugeben | überführen | weiter | Kurzabzug; Schluss	AIIN_SOLLWERT|CHED_TRANSFER|E_GRADE|CLOSE	E338|E339|E340|E341|E342|E343|E344	7
B4-S012	B4	N6	Abführen; Schluss.	lchedy	abführen; Schluss	CHED_TRANSFER|CLOSE	E345	1
B4-S013	B4	N6	Weiter einsetzen und kurz absetzen lassen; Schluss.	qokol shedy	Weiter einsetzen | kurz absetzen; Schluss	E_GRADE|CLOSE	E346|E347	2
B4-S014	B4	N6	Diesen Ansatz durch den kurzen Gang führen und den Lauf schließen.	or chey qockhey dairydy	Ansatz | dies | Kurzdurchgang | Laufschluss	E_GRADE|CLOSE	E348|E349|E350|E351	4
B4-S015	B4	N6→N7	Am linken N6-Arm Anteil, Ergebnis und Zielpassage setzen; nach Besitzerbruch am rechten N7-Knoten kurz sammeln und abführen; Schluss.	qokain shey kain chckhal solkey lchedy	Anteil zugeben | Ergebnis | Portion | Zielpassage | Kurzsammlung | abführen; Schluss	CHED_TRANSFER|E_GRADE|CLOSE|OWNER_BREAK	E352|E353|E354|E355|E356|E357	6
B4-S016	B4	N7	Weiteren Anteil dorthin bringen, davon ausgießen und kurz absetzen; Schluss.	qolkain dal skar shedy	weiterer Anteil | dorthin | Quellausguss | kurz absetzen; Schluss	E_GRADE|CLOSE	E358|E359|E360|E361	4
B5-S001	B5	N8	Danach den linken Endtransfer abschließen.	otchdy	Nachtransfer; Schluss	CHED_TRANSFER|CLOSE	E362	1
B5-S002	B5	N8	Den nächsten Posten in den linken Endweg einführen; Schluss.	qokchdy	einführen; Schluss	CLOSE	E363	1
B5-S003	B5	N8	Am Ziel absetzen und dorthin weiterleiten; den weiteren Abzug zum Ziel übertragen, auf Sollwert bringen, bis zur Endstufe fortsetzen und übergeben.	shedal dal cheol lol chdal aiin sol daiiin chedy	am Ziel absetzen | dorthin | weiter | Weiterabzug | Zieltransfer | Sollwert | weiter | Endstufe | überführen	AIIN_SOLLWERT|CHED_TRANSFER	E364|E365|E366|E367|E368|E369|E370|E371|E372	9
B6-S001	B6	N9	Am rechten Endknoten länger sammeln, kurz bearbeiten und zum Endposten weitergeben; auf Sollwert bringen und die Einlage als diesen Posten zum Endziel führen.	solkeey qekey raly ol daiin ol dain chey ldalor	Langsammlung | kurz bearbeiten | Endposten | weiter | Sollwert | weiter | Einlage | dies | Endziel	AIIN_SOLLWERT|E_GRADE	E373|E374|E375|E376|E377|E378|E379|E380|E381	9
