statement_id	record_unit_id	page	workflow_phase	boundary_from_previous	visible_owner	visible_surface_sequence	atomic_card_chain_de	fluent_workshop_translation_de	terminal_status	speculative_day_link
B2-S007	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	OWNER_RESET	mittlere linke Geräte-/Inline-Knotenstation	dshedy	Kurzabsetzen; Schluss	An der mittleren linken Gerätestation lasse den Posten kurz absetzen; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S008	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	FRESH_AFTER_CLOSE	mittlere linke Geräte-/Inline-Knotenstation	sotaiin qokar shedy	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	Nimm für den Folgeschritt das bemessene Gut aus der Quelle und lasse es kurz absetzen.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S009	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	FRESH_AFTER_CLOSE	mittlere linke Geräte-/Inline-Knotenstation	solshedy	Folgeabsetzen; Schluss	Lasse eine weitere Absetzung folgen; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S010	B2	f82r	IV_MIDDLE_LEFT_CLARIFICATION	FRESH_AFTER_CLOSE	mittlere linke Geräte-/Inline-Knotenstation	qokeey qoky ls cheey	lange einwirken | einsetzen | Auslass | Klarauszug	Lasse den Posten länger einwirken, setze ihn ein, leite ihn zum Auslass und behalte den klaren Auszug.	NONCLOSE	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S011	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	OWNER_RESET	ungelöste mittlere rechte Linie-/Liegepodeststation	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	An der mittleren rechten Liege- oder Linienstation gib eine Portion zu, nimm davon eine zweite Portion und lasse beide länger einwirken.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S012	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	FRESH_AFTER_CLOSE	ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Abführgut | Klarauszug | kurz vorbereiten | lange einwirken | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	Nimm das abgeführte Gut und den klaren Auszug, bereite sie kurz vor, lasse sie länger einwirken, ziehe die klare Fraktion ab, bemiss sie und setze den ganzen Posten im unteren Feld ein.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S013	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	FRESH_AFTER_CLOSE	unteres grünes Mehrfigurenfeld	lchedy	abführen; Schluss	Führe den verbrauchten Posten aus dem unteren Feld ab; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S014	B2	f82r	V_MIDDLE_RIGHT_TO_LOWER_FIELD	FRESH_AFTER_CLOSE	unteres grünes Mehrfigurenfeld	lar	Quellabzug	Nimm den Abzug aus der Quelle für den nächsten Schritt auf.	NONCLOSE	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S015	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	OWNER_RESET	lokale Randstationen des unteren Feldes	tshey qokeedy	Klarlauf | lange einwirken; Schluss	An den Randstationen führe den Abzug bis zum klaren Lauf und lasse ihn länger einwirken.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S016	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	FRESH_AFTER_CLOSE	lokale Randstationen des unteren Feldes	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin | Quellabführung | Teilen | Sollmaß | Langfolge | bemessen | kurz einwirken | Zuführung; Schluss	Bringe ihn an die bezeichnete Stelle, führe aus der Quelle ab, teile nach Sollmaß, bemiss die lange Folge, lasse sie kurz einwirken und führe sie dem Ziel zu.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S017	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	FRESH_AFTER_CLOSE	lokale Randstationen des unteren Feldes	rsheal daldy	Kurzhalt am Ziel | Zielschluss	Halte den Posten kurz am Ziel und schließe dort ab.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S018	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	FRESH_AFTER_CLOSE	lokale Randstationen des unteren Feldes	qokeedy	lange einwirken; Schluss	Lasse den nächsten Posten länger einwirken; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S019	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	FRESH_AFTER_CLOSE	lokale Randstationen des unteren Feldes	rshedy	Waschschluss	Schließe den Waschgang ab.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S020	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	FRESH_AFTER_CLOSE	lokale Randstationen des unteren Feldes	qoteedy	lange Folgestufe; Schluss	Halte die folgende Stufe länger; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S021	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	FRESH_AFTER_CLOSE	lokale Randstationen des unteren Feldes	qokeedy	lange einwirken; Schluss	Lasse den letzten behandelten Posten länger einwirken; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S022	B2	f82r	VI_LOWER_EDGE_WASH_AND_DRAIN	FRESH_AFTER_CLOSE	lokale Randstationen des unteren Feldes	lochedy	Abführung; Schluss	Führe den Rest ab und schließe die Stationsfolge.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
