edge_id	batch_id	source_row_id	page	physical_folio	locus	predecessor_ordinal	right_ordinal	predecessor_surface	right_surface	head_id	body	register_id	score_eligible	component_export_credit
G776-E0080	GDT776_TARGET_MEDIAL	G776-T0022	f105v	f105	f105v.7	4	5	ol	olkaiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0081	GDT776_H3_CONTROL	G776-C0059	f106r	f106	f106r.11	6	7	raiin	chokar	H3	aiin	S|B|3	0	0
G776-E0082	GDT776_H4_CONTROL	G776-C0060	f106r	f106	f106r.12	2	3	lcheedy	olkeey	H4	cheedy	S|B|3	0	0
G776-E0083	GDT776_H4_CONTROL	G776-C0061	f106r	f106	f106r.17	2	3	lshedy	qockhey	H4	shedy	S|B|3	0	0
G776-E0084	GDT776_H4_CONTROL	G776-C0062	f106r	f106	f106r.24	6	7	lky	chedar	H4	ky	S|B|3	0	0
G776-E0085	GDT776_H4_CONTROL	G776-C0063	f106r	f106	f106r.25	3	4	lo	lchey	H4	o	S|B|3	0	0
G776-E0086	GDT776_H4_CONTROL	G776-C0064	f106r	f106	f106r.25	4	5	lchey	qokaiin	H4	chey	S|B|3	0	0
G776-E0087	GDT776_H4_CONTROL	G776-C0065	f106r	f106	f106r.27	4	5	lky	raiin	H4	ky	S|B|3	0	0
G776-E0088	GDT776_H3_CONTROL	G776-C0066	f106r	f106	f106r.27	5	6	raiin	chy	H3	aiin	S|B|3	0	0
G776-E0089	GDT776_H3_CONTROL	G776-C0067	f106r	f106	f106r.27	7	8	rody	chlar	H3	ody	S|B|3	0	0
G776-E0090	GDT776_TARGET_MEDIAL	G776-T0023	f106r	f106	f106r.28	2	3	ol	lcho	TARGET_OL	NONE	S|B|3	0	0
G776-E0091	GDT776_H3_CONTROL	G776-C0068	f106r	f106	f106r.28	5	6	raiin	qokaiin	H3	aiin	S|B|3	0	0
G776-E0092	GDT776_H4_CONTROL	G776-C0069	f106r	f106	f106r.3	2	3	lchedy	lkchedy	H4	chedy	S|B|3	0	0
G776-E0093	GDT776_H4_CONTROL	G776-C0070	f106r	f106	f106r.30	2	3	lkaiin	cho	H4	kaiin	S|B|3	0	0
G776-E0094	GDT776_H3_CONTROL	G776-C0071	f106r	f106	f106r.31	4	5	ral	cheol	H3	al	S|B|3	0	0
G776-E0095	GDT776_H3_CONTROL	G776-C0072	f106r	f106	f106r.34	4	5	ro	lpchey	H3	o	S|B|3	0	0
G776-E0096	GDT776_H4_CONTROL	G776-C0073	f106r	f106	f106r.35	3	4	lkar	chdy	H4	kar	S|B|3	0	0
G776-E0097	GDT776_H4_CONTROL	G776-C0074	f106r	f106	f106r.38	10	11	lchdy	dol	H4	chdy	S|B|3	0	0
G776-E0098	GDT776_TARGET_MEDIAL	G776-T0024	f106r	f106	f106r.39	3	4	ol	aiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0099	GDT776_H4_CONTROL	G776-C0075	f106r	f106	f106r.9	5	6	lchedy	qocheo	H4	chedy	S|B|3	0	0
G776-E0100	GDT776_H3_CONTROL	G776-C0076	f106v	f106	f106v.13	3	4	ral	ches	H3	al	S|B|3	0	0
G776-E0101	GDT776_H4_CONTROL	G776-C0077	f106v	f106	f106v.13	8	9	lchey	ykaiin	H4	chey	S|B|3	0	0
G776-E0102	GDT776_H3_CONTROL	G776-C0078	f106v	f106	f106v.14	2	3	raiin	char	H3	aiin	S|B|3	0	0
G776-E0103	GDT776_TARGET_MEDIAL	G776-T0025	f106v	f106	f106v.33	5	6	ol	aiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0104	GDT776_H3_CONTROL	G776-C0079	f106v	f106	f106v.38	8	9	rody	raiin	H3	ody	S|B|3	0	0
G776-E0105	GDT776_H3_CONTROL	G776-C0080	f106v	f106	f106v.38	9	10	raiin	oty	H3	aiin	S|B|3	0	0
G776-E0106	GDT776_H4_CONTROL	G776-C0081	f106v	f106	f106v.4	2	3	lsheo	aiin	H4	sheo	S|B|3	0	0
G776-E0107	GDT776_TARGET_MEDIAL	G776-T0026	f106v	f106	f106v.46	7	8	ol	oky	TARGET_OL	NONE	S|B|3	0	0
G776-E0108	GDT776_H3_CONTROL	G776-C0082	f106v	f106	f106v.46	9	10	raiin	cheoar	H3	aiin	S|B|3	0	0
G776-E0109	GDT776_H3_CONTROL	G776-C0083	f106v	f106	f106v.8	3	4	rol	aiin	H3	ol	S|B|3	0	0
G776-E0110	GDT776_H4_CONTROL	G776-C0084	f107r	f107	f107r.10	4	5	lchedy	qokal	H4	chedy	S|B|3	0	0
G776-E0111	GDT776_H4_CONTROL	G776-C0085	f107r	f107	f107r.10	6	7	lor	sheal	H4	or	S|B|3	0	0
G776-E0112	GDT776_H3_CONTROL	G776-C0086	f107r	f107	f107r.15	9	10	raiin	airal	H3	aiin	S|B|3	0	0
G776-E0113	GDT776_H4_CONTROL	G776-C0087	f107r	f107	f107r.17	3	4	losaiin	chey	H4	osaiin	S|B|3	0	0
G776-E0114	GDT776_H3_CONTROL	G776-C0088	f107r	f107	f107r.18	8	9	rolchy	sheey	H3	olchy	S|B|3	0	0
G776-E0115	GDT776_TARGET_MEDIAL	G776-T0027	f107r	f107	f107r.19	2	3	ol	rar	TARGET_OL	NONE	S|B|3	0	0
G776-E0116	GDT776_H3_CONTROL	G776-C0089	f107r	f107	f107r.19	3	4	rar	sheey	H3	ar	S|B|3	0	0
G776-E0117	GDT776_H4_CONTROL	G776-C0090	f107r	f107	f107r.21	10	11	lkaiin	aiin	H4	kaiin	S|B|3	0	0
G776-E0118	GDT776_H4_CONTROL	G776-C0091	f107r	f107	f107r.22	6	7	lshedy	qokal	H4	shedy	S|B|3	0	0
G776-E0119	GDT776_H4_CONTROL	G776-C0092	f107r	f107	f107r.24	6	7	lkain	qokeeo	H4	kain	S|B|3	0	0
G776-E0120	GDT776_H4_CONTROL	G776-C0093	f107r	f107	f107r.28	9	10	lkaiin	ykaiin	H4	kaiin	S|B|3	0	0
G776-E0121	GDT776_H3_CONTROL	G776-C0094	f107r	f107	f107r.30	9	10	rary	ky	H3	ary	S|B|3	0	0
G776-E0122	GDT776_H4_CONTROL	G776-C0095	f107r	f107	f107r.33	10	11	lkar	okal	H4	kar	S|B|3	0	0
G776-E0123	GDT776_H4_CONTROL	G776-C0096	f107r	f107	f107r.35	6	7	lkaiin	chedy	H4	kaiin	S|B|3	0	0
G776-E0124	GDT776_H3_CONTROL	G776-C0097	f107r	f107	f107r.36	4	5	rkeey	chaiin	H3	keey	S|B|3	0	0
G776-E0125	GDT776_H4_CONTROL	G776-C0098	f107r	f107	f107r.36	11	12	lkaiin	lkar	H4	kaiin	S|B|3	0	0
G776-E0126	GDT776_H4_CONTROL	G776-C0099	f107r	f107	f107r.39	9	10	lkain	al	H4	kain	S|B|3	0	0
G776-E0127	GDT776_H4_CONTROL	G776-C0100	f107r	f107	f107r.47	3	4	lol	loeey	H4	ol	S|B|3	0	0
G776-E0128	GDT776_H4_CONTROL	G776-C0101	f107r	f107	f107r.48	3	4	lky	otain	H4	ky	S|B|3	0	0
G776-E0129	GDT776_H4_CONTROL	G776-C0102	f107r	f107	f107r.48	9	10	lky	otaiin	H4	ky	S|B|3	0	0
G776-E0130	GDT776_H4_CONTROL	G776-C0103	f107r	f107	f107r.49	7	8	lkaiin	okair	H4	kaiin	S|B|3	0	0
G776-E0131	GDT776_H4_CONTROL	G776-C0104	f107r	f107	f107r.50	3	4	lkeey	chol	H4	keey	S|B|3	0	0
G776-E0132	GDT776_H4_CONTROL	G776-C0105	f107r	f107	f107r.8	6	7	lkaiin	qokaiin	H4	kaiin	S|B|3	0	0
G776-E0133	GDT776_H4_CONTROL	G776-C0106	f107v	f107	f107v.1	7	8	lkal	chey	H4	kal	S|B|3	0	0
G776-E0134	GDT776_H4_CONTROL	G776-C0107	f107v	f107	f107v.12	2	3	lcheol	chol	H4	cheol	S|B|3	0	0
G776-E0135	GDT776_H4_CONTROL	G776-C0108	f107v	f107	f107v.15	4	5	lkaiin	okain	H4	kaiin	S|B|3	0	0
G776-E0136	GDT776_H4_CONTROL	G776-C0109	f107v	f107	f107v.16	9	10	lkar	aiiraly	H4	kar	S|B|3	0	0
G776-E0137	GDT776_H3_CONTROL	G776-C0110	f107v	f107	f107v.18	7	8	raiin	otaiin	H3	aiin	S|B|3	0	0
G776-E0138	GDT776_TARGET_MEDIAL	G776-T0028	f107v	f107	f107v.2	3	4	ol	daiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0139	GDT776_TARGET_MEDIAL	G776-T0029	f107v	f107	f107v.21	2	3	ol	kaiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0140	GDT776_H4_CONTROL	G776-C0111	f107v	f107	f107v.3	10	11	lkaiin	otal	H4	kaiin	S|B|3	0	0
G776-E0141	GDT776_H4_CONTROL	G776-C0112	f107v	f107	f107v.30	7	8	lkaiin	lkeeey	H4	kaiin	S|B|3	0	0
G776-E0142	GDT776_H4_CONTROL	G776-C0113	f107v	f107	f107v.34	4	5	lchedy	raiin	H4	chedy	S|B|3	0	0
G776-E0143	GDT776_H3_CONTROL	G776-C0114	f107v	f107	f107v.34	5	6	raiin	sheey	H3	aiin	S|B|3	0	0
G776-E0144	GDT776_H4_CONTROL	G776-C0115	f107v	f107	f107v.35	3	4	lkey	chcthy	H4	key	S|B|3	0	0
G776-E0145	GDT776_H4_CONTROL	G776-C0116	f107v	f107	f107v.35	5	6	lkar	shedy	H4	kar	S|B|3	0	0
G776-E0146	GDT776_H4_CONTROL	G776-C0117	f107v	f107	f107v.36	3	4	lcheor	sheol	H4	cheor	S|B|3	0	0
G776-E0147	GDT776_H4_CONTROL	G776-C0118	f107v	f107	f107v.40	4	5	lor	aiin	H4	or	S|B|3	0	0
G776-E0148	GDT776_H4_CONTROL	G776-C0119	f107v	f107	f107v.43	7	8	lkeey	opchey	H4	keey	S|B|3	0	0
G776-E0149	GDT776_H3_CONTROL	G776-C0120	f107v	f107	f107v.43	9	10	rar	aiin	H3	ar	S|B|3	0	0
G776-E0150	GDT776_H4_CONTROL	G776-C0121	f107v	f107	f107v.45	8	9	lkar	aiin	H4	kar	S|B|3	0	0
G776-E0151	GDT776_H3_CONTROL	G776-C0122	f108r	f108	f108r.13	2	3	raiin	ar	H3	aiin	S|B|3	0	0
G776-E0152	GDT776_H4_CONTROL	G776-C0123	f108r	f108	f108r.18	2	3	lkal	daiin	H4	kal	S|B|3	0	0
G776-E0153	GDT776_TARGET_MEDIAL	G776-T0030	f108r	f108	f108r.22	6	7	ol	shedy	TARGET_OL	NONE	S|B|3	0	0
G776-E0154	GDT776_H4_CONTROL	G776-C0124	f108r	f108	f108r.22	10	11	lor	aiin	H4	or	S|B|3	0	0
G776-E0155	GDT776_TARGET_MEDIAL	G776-T0031	f108r	f108	f108r.25	12	13	ol	rain	TARGET_OL	NONE	S|B|3	0	0
G776-E0156	GDT776_H4_CONTROL	G776-C0125	f108r	f108	f108r.37	4	5	lkeey	chedy	H4	keey	S|B|3	0	0
G776-E0157	GDT776_H4_CONTROL	G776-C0126	f108r	f108	f108r.45	5	6	lchedy	okeey	H4	chedy	S|B|3	0	0
G776-E0158	GDT776_H4_CONTROL	G776-C0127	f108r	f108	f108r.49	2	3	lchedy	qokeedy	H4	chedy	S|B|3	0	0
G776-E0159	GDT776_H4_CONTROL	G776-C0128	f108r	f108	f108r.50	3	4	lkaiin	chdy	H4	kaiin	S|B|3	0	0
G776-E0160	GDT776_H4_CONTROL	G776-C0129	f108v	f108	f108v.1	5	6	lky	ltal	H4	ky	S|B|3	0	0
G776-E0161	GDT776_H3_CONTROL	G776-C0130	f108v	f108	f108v.13	6	7	raiin	chckhy	H3	aiin	S|B|3	0	0
G776-E0162	GDT776_H4_CONTROL	G776-C0131	f108v	f108	f108v.16	4	5	lkeey	okeol	H4	keey	S|B|3	0	0
G776-E0163	GDT776_TARGET_MEDIAL	G776-T0032	f108v	f108	f108v.24	4	5	ol	r	TARGET_OL	NONE	S|B|3	0	0
G776-E0164	GDT776_H4_CONTROL	G776-C0132	f108v	f108	f108v.26	9	10	lkar	char	H4	kar	S|B|3	0	0
G776-E0165	GDT776_TARGET_MEDIAL	G776-T0033	f108v	f108	f108v.27	8	9	ol	cheal	TARGET_OL	NONE	S|B|3	0	0
G776-E0166	GDT776_TARGET_MEDIAL	G776-T0034	f108v	f108	f108v.3	2	3	ol	lkedy	TARGET_OL	NONE	S|B|3	0	0
G776-E0167	GDT776_H4_CONTROL	G776-C0133	f108v	f108	f108v.33	4	5	lchs	shed	H4	chs	S|B|3	0	0
G776-E0168	GDT776_H4_CONTROL	G776-C0134	f108v	f108	f108v.34	9	10	lchedy	qokeey	H4	chedy	S|B|3	0	0
G776-E0169	GDT776_H3_CONTROL	G776-C0135	f108v	f108	f108v.39	5	6	rar	ain	H3	ar	S|B|3	0	0
G776-E0170	GDT776_H4_CONTROL	G776-C0136	f108v	f108	f108v.44	9	10	lsheey	oteey	H4	sheey	S|B|3	0	0
G776-E0171	GDT776_H4_CONTROL	G776-C0137	f108v	f108	f108v.49	4	5	lkaiin	cheal	H4	kaiin	S|B|3	0	0
G776-E0172	GDT776_H4_CONTROL	G776-C0138	f108v	f108	f108v.53	4	5	lshy	otedy	H4	shy	S|B|3	0	0
G776-E0173	GDT776_H4_CONTROL	G776-C0139	f108v	f108	f108v.6	3	4	lokeey	lchedy	H4	okeey	S|B|3	0	0
G776-E0174	GDT776_H4_CONTROL	G776-C0140	f108v	f108	f108v.6	4	5	lchedy	loety	H4	chedy	S|B|3	0	0
G776-E0175	GDT776_H3_CONTROL	G776-C0141	f108v	f108	f108v.7	10	11	raiin	am	H3	aiin	S|B|3	0	0
G776-E0176	GDT776_H3_CONTROL	G776-C0142	f111r	f111	f111r.1	9	10	ror	am	H3	or	S|B|3	0	0
G776-E0177	GDT776_H4_CONTROL	G776-C0143	f111r	f111	f111r.13	2	3	lchdy	lshedy	H4	chdy	S|B|3	0	0
G776-E0178	GDT776_H4_CONTROL	G776-C0144	f111r	f111	f111r.13	5	6	lr	al	H4	r	S|B|3	0	0
G776-E0179	GDT776_H4_CONTROL	G776-C0145	f111r	f111	f111r.14	3	4	lchey	ykeeeos	H4	chey	S|B|3	0	0
G776-E0180	GDT776_H4_CONTROL	G776-C0146	f111r	f111	f111r.17	2	3	lchey	lshedy	H4	chey	S|B|3	0	0
G776-E0181	GDT776_H4_CONTROL	G776-C0147	f111r	f111	f111r.17	3	4	lshedy	qoteedy	H4	shedy	S|B|3	0	0
G776-E0182	GDT776_H4_CONTROL	G776-C0148	f111r	f111	f111r.19	4	5	lchey	lcheoekam	H4	chey	S|B|3	0	0
G776-E0183	GDT776_H4_CONTROL	G776-C0149	f111r	f111	f111r.24	4	5	lchal	lkechey	H4	chal	S|B|3	0	0
G776-E0184	GDT776_H4_CONTROL	G776-C0150	f111r	f111	f111r.27	8	9	lkeey	daiin	H4	keey	S|B|3	0	0
G776-E0185	GDT776_H3_CONTROL	G776-C0151	f111r	f111	f111r.29	4	5	rky	chey	H3	ky	S|B|3	0	0
G776-E0186	GDT776_H4_CONTROL	G776-C0152	f111r	f111	f111r.3	4	5	lchedy	qokeey	H4	chedy	S|B|3	0	0
G776-E0187	GDT776_H4_CONTROL	G776-C0153	f111r	f111	f111r.30	7	8	lkar	aiin	H4	kar	S|B|3	0	0
G776-E0188	GDT776_H4_CONTROL	G776-C0154	f111r	f111	f111r.4	12	13	lor	ar	H4	or	S|B|3	0	0
G776-E0189	GDT776_H3_CONTROL	G776-C0155	f111r	f111	f111r.41	2	3	raiin	cheody	H3	aiin	S|B|3	0	0
G776-E0190	GDT776_H4_CONTROL	G776-C0156	f111r	f111	f111r.41	7	8	lchedy	qokeeal	H4	chedy	S|B|3	0	0
G776-E0191	GDT776_H4_CONTROL	G776-C0157	f111r	f111	f111r.46	3	4	lkeey	oteed	H4	keey	S|B|3	0	0
G776-E0192	GDT776_H4_CONTROL	G776-C0158	f111r	f111	f111r.46	8	9	lkar	al	H4	kar	S|B|3	0	0
G776-E0193	GDT776_H4_CONTROL	G776-C0159	f111r	f111	f111r.49	9	10	lkeey	qokaiin	H4	keey	S|B|3	0	0
G776-E0194	GDT776_TARGET_MEDIAL	G776-T0035	f111r	f111	f111r.5	3	4	ol	shedy	TARGET_OL	NONE	S|B|3	0	0
