cross_relation_ordinal	focus_host_id	event_id	statement_id	physical_page	register	owner_id	surface	final_recipe	relation_root	relation_atom_position	relation_phrase_de	head_event_id	head_card_ordinal	head_root	head_atom_position	head_nominal_de	attachment_geometry	current_visible_actions	same_root_different_occurrence	voice_status_before_gdt581	guard	gdt581_voice_disposition
11	G407-A03895	G407-E3572	G407-S586	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	altedy	AL+T+E+D_ADDR+Y	AL	1	zur Zielstation	G407-E3571	1	S	1	Wählen	PREVIOUS_CARD_ACTION	T	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
12	G407-A03922	G407-E3594	G407-S593	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	dalchdy	AL+CHD+DY	AL	1	zur Zielstation	G407-E3593	10	T	3	Festlegen	PREVIOUS_CARD_ACTION	CHD	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
13	G407-A03932	G407-E3604	G407-S597	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	chealror	AL+R+OR	AL	1	zur Zielstation	G407-E3603	5	T	2	Festlegen	PREVIOUS_CARD_ACTION	R	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
14	G407-A04274	G407-E3907	G407-S652	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	alsy	AL+S+Y	AL	1	zum Zielgefäß	G407-E3905	17	SH	1	Halten	INHERITED_ACTION	S	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
15	G407-A04352	G407-E3963	G407-S654	f88v	PHARMA	erste Gefaess-/Zutatengruppe	archeey	AR+CH+EE+Y	AR	1	vom Ausgangsgefäß	G407-E3962	13	CH	4	Entnehmen	PREVIOUS_CARD_ACTION	CH	YES	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
16	G407-A04545	G407-E4121	G407-S669	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe B	dalchom	AL+CHD+DY	AL	1	zum Zielgefäß	G407-E4118	11	OK	1	Setzen	INHERITED_ACTION	CHD	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
17	G407-A04563	G407-E4136	G407-S670	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe B	dals	AL+S	AL	1	zum Zielgefäß	G407-E4131	10	OK	1	Setzen	INHERITED_ACTION	S	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
18	G407-A04878	G407-E4419	G407-S690	f95v	HERBAL	F95V_WHOLE_PLANT	archytaiin	AR+CH+Y+T+AIIN	AR	1	vom Ausgangsmaterial	G407-E4418	9	P	4	Einsetzen	PREVIOUS_CARD_ACTION	CH|T	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
19	G407-A04938	G407-E4467	G407-S695	f95v	HERBAL	F95V_WHOLE_PLANT	alfshed	AL+LOCAL_CHAR_F+SH+E+D_ADDR	AL	1	zur Zielstelle	G407-E4465	6	OK	1	Setzen	INHERITED_ACTION	SH	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
20	G515-A00341	G515-E0367	G515-S042	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	dalky	AL+K+Y	AL	1	zur Zielspalte	G515-E0366	9	SH	2	Halten	PREVIOUS_CARD_ACTION	K	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
21	G515-A00356	G515-E0379	G515-S042	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	dalalshedy	AL+AL+SH+E+DY	AL	1	zur Zielspalte	G515-E0378	21	T	3	Festlegen	PREVIOUS_CARD_ACTION	SH	NO	ALREADY_EXPLICIT_GDT580	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	SAFE_ALREADY_EXPLICIT_GDT580
22	G515-A00357	G515-E0379	G515-S042	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	dalalshedy	AL+AL+SH+E+DY	AL	2	zur Zielspalte	G515-E0378	21	T	3	Festlegen	PREVIOUS_CARD_ACTION	SH	NO	ALREADY_EXPLICIT_GDT580	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	SAFE_ALREADY_EXPLICIT_GDT580
23	G515-A00402	G515-E0423	G515-S047	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_03	dalcheeeky	AL+CH+K+EEE+Y	AL	1	zur Zielspalte	G515-E0419	6	CHD	1	Bearbeiten	INHERITED_ACTION	CH|K	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
24	G515-A00460	G515-E0470	G515-S056	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_04	dolarshy	D_ADDR+OL+AR+SH+Y	AR	3	von der Ausgangszeile	G515-E0466	8	CH	1	Entnehmen	INHERITED_ACTION	SH	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
25	G515-A00547	G515-E0537	G515-S068	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_05	alkey	AL+K+E+Y	AL	1	zur Zielspalte	G515-E0534	8	S	5	Wählen	INHERITED_ACTION	K	NO	HEAD_NOT_OCCURRENCE_EXPLICIT	SAME_STATEMENT__SAME_OWNER__SAME_PAGE__HEAD_OCCURRENCE_REQUIRED	EXPLICIT_HEAD_BLOCK_REPAIR
