component_recipe	surface	renderer_microfunction	intended_trigger_de	occurrence_marks	identities	pages	sections	entry_class	forward_rule
OT+CHD+DY	otchedy	CHAIN_FINAL_FOLLOW_CLOSE	den letzten Folgeschritt einer Kette schließen	1	PROC145	f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht CHAIN_FINAL_FOLLOW_CLOSE ist, schreibe otchedy für OT+CHD+DY.
OT+CHD+DY	qotchedy	STANDALONE_FOLLOW_CLOSE	einen alleinstehenden Folgeschritt umsetzen und schließen	1	PROC145	f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht STANDALONE_FOLLOW_CLOSE ist, schreibe qotchedy für OT+CHD+DY.
OT+Y	otchey	APPLICATION_FOLLOW_REFERENT	den Folgeposten einer Anwendungsfolge aufnehmen	1	PROC065	f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht APPLICATION_FOLLOW_REFERENT ist, schreibe otchey für OT+Y.
OT+Y	qotchy	PRODUCTION_FOLLOW_REFERENT	den Folgeposten einer Herstellungsfolge aufnehmen	1	PROC036	f11r	WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht PRODUCTION_FOLLOW_REFERENT ist, schreibe qotchy für OT+Y.
SH+EE+Y	cheey	GENERAL_LONG_HOLD	den Posten gewöhnlich lang halten	5	PROC031	f11r | f82r | f83r	HOW | WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht GENERAL_LONG_HOLD ist, schreibe cheey für SH+EE+Y.
SH+EE+Y	sheey	MARKED_LONG_HOLD	einen lokal markierten langen Halt ausführen	2	A3:G053 | PROC157	f69v | f83r	HOW | WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht MARKED_LONG_HOLD ist, schreibe sheey für SH+EE+Y.
Y	chey	MATERIAL_OR_QUALITY_REFERENT	den aktuellen Stoff- oder Qualitätsposten tragen	16	A3:G072 | A3:G078 | A3:G103 | PROC019	f11r | f55v | f69v | f81v | f82r | f83r	HOW | WHAT | WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht MATERIAL_OR_QUALITY_REFERENT ist, schreibe chey für Y.
Y	chy	STATE_OR_BODY_REFERENT	den aktuellen Zustands- oder Körperposten tragen	1	A3:G085	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht STATE_OR_BODY_REFERENT ist, schreibe chy für Y.
Y	dy	ECHOED_CURRENT_REFERENT	den unmittelbar wiederaufgenommenen Posten tragen; kein Schluss	2	A3:G062 | A3:G066	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht ECHOED_CURRENT_REFERENT ist, schreibe dy für Y.
Y	y	BARE_CURRENT_REFERENT	den bloßen aktuellen Posten aufnehmen	4	A3:G055 | A3:G061 | A3:G065 | A3:G070	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht BARE_CURRENT_REFERENT ist, schreibe y für Y.
