hazard_ordinal	anchor_event_id	statement_id	physical_page	completed_action_count	join_hazard_class	completion_layer_profile	primary_governor_keys	action_slot_ids	action_roots	object_lemmas_de	integrated_clauses_de	required_join_key
11	G407-E2471	G407-S340	f77r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E2471@1:SH|ACTION:G407-E2471@3:T	RUNNING:G407-E2471@1|RUNNING:G407-E2471@3	SH+T	Stationsansatz|Körper	Halte denselben Stationsansatz im Bad auf Grad II || Lass den Körper anschließend abkühlen	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
12	G407-E2549	G407-S362	f77r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E2549@1:S|ACTION:G407-E2549@3:CHD	RUNNING:G407-E2549@1|RUNNING:G407-E2549@3	S+CHD	Stationsansatz|Stationsansatz	Wähle denselben Stationsansatz aus || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
13	G407-E2706	G407-S392	f77r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E2706@1:S|ACTION:G407-E2706@4:S	RUNNING:G407-E2706@1|RUNNING:G407-E2706@4	S+S	Stationsansatz|Stationsansatz	Wähle denselben Stationsansatz an der Stations-Hauptstelle aus || Wähle denselben Stationsansatz auf der Anwendungsstufe aus	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
14	G407-E2755	G407-S397	f81r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E2755@2:S|ACTION:G407-E2755@4:S	RUNNING:G407-E2755@2|RUNNING:G407-E2755@4	S+S	Stationsansatz|Stationsansatz	Wähle den Stationsansatz auf Grad I aus || Wähle den Stationsansatz aus	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
15	G407-E2760	G407-S397	f81r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E2760@2:SH|ACTION:G407-E2760@4:S	RUNNING:G407-E2760@2|RUNNING:G407-E2760@4	SH+S	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle || Wähle denselben Stationsansatz aus	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
16	G407-E2882	G407-S430	f81r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E2882@2:T|ACTION:G407-E2882@5:S	RUNNING:G407-E2882@2|RUNNING:G407-E2882@5	T+S	Stationsbedingung|Stationsansatz	Reguliere die Stationsbedingung an der Stations-Arbeitsstelle || Wähle den Stationsansatz aus	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
17	G407-E3013	G407-S455	f81v	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E3013@2:SH|ACTION:G407-E3013@4:T	RUNNING:G407-E3013@2|RUNNING:G407-E3013@4	SH+T	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad an der Stations-Hauptstelle || Lass denselben Stationsansatz anschließend auf Grad II und an der Stations-Arbeitsstelle abkühlen	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
18	G407-E3061	G407-S468	f81v	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3061@1:S|ACTION:G407-E3061@6:T	RUNNING:G407-E3061@1|RUNNING:G407-E3061@6	S+T	Körper|Stationsansatz	Wähle denselben Körper an der Stations-Hauptstelle aus || Reguliere den Stationsansatz an der Stations-Arbeitsstelle	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
19	G407-E3109	G407-S480	f81v	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E3109@2:SH|ACTION:G407-E3109@4:T	RUNNING:G407-E3109@2|RUNNING:G407-E3109@4	SH+T	Stationsansatz|Körper	Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung || Lass den Körper anschließend abkühlen	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
20	G407-E3129	G407-S485	f81v	3	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:3	ACTION:G407-E3129@1:S|ACTION:G407-E3129@4:T|ACTION:G407-E3129@8:T	RUNNING:G407-E3129@1|RUNNING:G407-E3129@4|RUNNING:G407-E3129@8	S+T+T	Strom|Strom|Stationsansatz	Leite den Strom zur Zielstation oder ins Zielbecken um || Temperiere denselben Strom auf Grad I und an der Stations-Arbeitsstelle || Reguliere den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
21	G407-E3159	G407-S489	f81v	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3159@1:T|ACTION:G407-E3159@2:CHD	RUNNING:G407-E3159@1|RUNNING:G407-E3159@2	T+CHD	Stationsbedingung|Stationsansatz	Reguliere die Stationsbedingung || Behandle denselben Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
22	G407-E3243	G407-S507	f82r	4	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:2|GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3243@1:S|ACTION:G407-E3243@2:SH|ACTION:G407-E3243@5:SH|ACTION:G407-E3243@8:T	RUNNING:G407-E3243@1|RUNNING:G407-E3243@2|RUNNING:G407-E3243@5|RUNNING:G407-E3243@8	S+SH+SH+T	Stationsansatz|Stationsansatz|Stationsansatz|Stationsansatz	Wähle den Stationsansatz aus || Halte den Stationsansatz im Bad in Anwendungsform || Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung || Reguliere den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
23	G407-E3329	G407-S527	f82r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E3329@3:S|ACTION:G407-E3329@6:SH	RUNNING:G407-E3329@3|RUNNING:G407-E3329@6	S+SH	Stationsansatz|Stationsansatz	Wähle denselben Stationsansatz an der Stations-Hauptstelle aus || Halte den Stationsansatz im Bad über den Stationskontakt oder die Leitung	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
24	G407-E3341	G407-S531	f82r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E3341@1:S|ACTION:G407-E3341@4:SH	RUNNING:G407-E3341@1|RUNNING:G407-E3341@4	S+SH	Stationsansatz|Stationsansatz	Wähle den Stationsansatz an der Stations-Hauptstelle aus || Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und über den Stationskontakt oder die Leitung	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
25	G407-E3455	G407-S557	f83r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3455@1:T|ACTION:G407-E3455@2:CHD	RUNNING:G407-E3455@1|RUNNING:G407-E3455@2	T+CHD	Stationsbedingung|Stationsansatz	Reguliere die Stationsbedingung || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
26	G407-E3488	G407-S565	f83r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E3488@1:SH|ACTION:G407-E3488@3:T	RUNNING:G407-E3488@1|RUNNING:G407-E3488@3	SH+T	Stationsansatz|Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I || Reguliere denselben Stationsansatz anschließend von der Ausgangsstation oder aus dem Ausgangsbecken	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
27	G407-E3523	G407-S576	f83r	3	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3523@1:SH|ACTION:G407-E3523@4:T|ACTION:G407-E3523@5:CHD	RUNNING:G407-E3523@1|RUNNING:G407-E3523@4|RUNNING:G407-E3523@5	SH+T+CHD	Stationsansatz|Stationsbedingung|Stationsansatz	Halte den Stationsansatz im Bad auf Grad I || Reguliere die Stationsbedingung || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
28	G407-E3590	G407-S593	f83r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E3590@1:SH|ACTION:G407-E3590@4:T	RUNNING:G407-E3590@1|RUNNING:G407-E3590@4	SH+T	Stationsansatz|Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I || Reguliere den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
29	G407-E3597	G407-S596	f83r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3597@1:T|ACTION:G407-E3597@2:CHD	RUNNING:G407-E3597@1|RUNNING:G407-E3597@2	T+CHD	Stationsbedingung|Stationsansatz	Reguliere die Stationsbedingung || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
30	G407-E3610	G407-S597	f83r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3610@1:S|ACTION:G407-E3610@4:T	RUNNING:G407-E3610@1|RUNNING:G407-E3610@4	S+T	Stationsansatz|Stationsansatz	Wähle denselben Stationsansatz aus || Reguliere den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
31	G407-E3659	G407-S613	f83r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3659@1:T|ACTION:G407-E3659@2:CHD	RUNNING:G407-E3659@1|RUNNING:G407-E3659@2	T+CHD	Stationsbedingung|Stationsansatz	Reguliere die Stationsbedingung || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
32	G407-E3664	G407-S616	f83r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E3664@1:SH|ACTION:G407-E3664@4:T	RUNNING:G407-E3664@1|RUNNING:G407-E3664@4	SH+T	Stationsansatz|Stationsansatz	Halte den Stationsansatz im Bad auf Grad I || Temperiere den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
33	G407-E3665	G407-S616	f83r	2	CROSS_LAYER_EVENT_COLLISION	GDT596_SH_OBJECT_PHRASEBOOK:1|GDT597_NONSH_OBJECT_PHRASEBOOK:1	ACTION:G407-E3665@1:SH|ACTION:G407-E3665@4:T	RUNNING:G407-E3665@1|RUNNING:G407-E3665@4	SH+T	Stationsansatz|Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I || Reguliere den Stationsansatz und die Stationseinheit	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
34	G407-E3697	G407-S627	f83r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3697@1:S|ACTION:G407-E3697@3:CHD	RUNNING:G407-E3697@1|RUNNING:G407-E3697@3	S+CHD	Strom|Stationsansatz	Leite den Strom zur Zielstation oder ins Zielbecken um || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
35	G407-E3707	G407-S631	f83r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3707@1:T|ACTION:G407-E3707@3:CHD	RUNNING:G407-E3707@1|RUNNING:G407-E3707@3	T+CHD	Stationsansatz|Stationsansatz	Temperiere denselben Stationsansatz auf Grad I || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
36	G407-E3749	G407-S641	f83r	2	WITHIN_LAYER_MULTI_ACTION_EVENT	GDT597_NONSH_OBJECT_PHRASEBOOK:2	ACTION:G407-E3749@1:S|ACTION:G407-E3749@3:CHD	RUNNING:G407-E3749@1|RUNNING:G407-E3749@3	S+CHD	Stationseinheit|Stationsansatz	Wähle die Stationseinheit aus || Behandle den Stationsansatz	EXACT_ACTION_SLOT_ID__EVENT_ID_IS_NOT_UNIQUE
