semantic_delta_card_id	source_comparison_card_id	target_matrix_cell_id	target_action_recipe	target_register	support_recipe	support_register	support_register_relation	support_channel	alignment_mode	support_depth	aligned_shared_tokens	aligned_shared_portable_values_de	target_only_positions	target_only_tokens	target_only_portable_values_de	target_only_owner_values_de	carrier_only_positions	carrier_only_tokens	carrier_only_portable_values_de	carrier_only_owner_values_de	delta_operation	sentence_effect_de	source_inherited_argument_root	source_template	selected_old_clause_de	target_current_default_phrase_de	token_effect_checks	token_effect_checks_passed	semantic_phrase_delta_consistent	source_roundtrip_exact	target_phrase_changed	target_evidence_status_retained	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G504-D11	G502-F11	G498-M299	CHD+CHD+Y	CELESTIAL	CHD+Y	CELESTIAL	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2	CHD	BEARBEITEN	EINTRAG BEARBEITEN	NONE	NONE	NONE	NONE	COUNTED_REPEAT	Der zweite gleiche Handlungskopf wird flüssig als zweimal realisiert.	NONE	ACTION_ARGUMENT	Bearbeite den Positionsposten.	Bearbeite den Positionsposten zweimal.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D12	G502-F12	G498-M390	CHD+OR+Y	PHARMA	CHD+Y	PHARMA	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2	OR	EINHEIT	ANSATZEINHEIT	NONE	NONE	NONE	NONE	ADD_UNIT_ARGUMENT	Der Zielsatz ergänzt die owner-lokale Einheit als zweites Argument.	NONE	ACTION_ARGUMENT	Bearbeite den Drogenposten.	Bearbeite die Ansatzeinheit und den Drogenposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D13	G502-F13	G498-M206	CHD+AL+Y	SOURCE_SECTION_T	CHD+Y	SOURCE_SECTION_T	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2	AL	ZIELORT	ZIELSPALTE	NONE	NONE	NONE	NONE	ADD_DESTINATION	Der Zielsatz ergänzt genau die owner-lokale Zielangabe.	NONE	ACTION_ARGUMENT	Bearbeite den laufenden Eintrag.	Bearbeite den laufenden Eintrag; zur Zielspalte.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D14	G502-F14	G498-M300	CHD+CHD+Y	PHARMA	CHD+Y	PHARMA	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2	CHD	BEARBEITEN	ANSATZ BEARBEITEN	NONE	NONE	NONE	NONE	COUNTED_REPEAT	Der zweite gleiche Handlungskopf wird flüssig als zweimal realisiert.	NONE	ACTION_ARGUMENT	Bearbeite den Drogenposten.	Bearbeite den Drogenposten zweimal.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D15	G502-F15	G498-M296	CHD+CHD+Y	SOURCE_SECTION_T	CHD+Y	SOURCE_SECTION_T	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2	CHD	BEARBEITEN	EINTRAG BEARBEITEN	NONE	NONE	NONE	NONE	COUNTED_REPEAT	Der zweite gleiche Handlungskopf wird flüssig als zweimal realisiert.	NONE	ACTION_ARGUMENT	Bearbeite den laufenden Eintrag.	Bearbeite den laufenden Eintrag zweimal.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D16	G502-F16	G498-M196	K+AL+Y	SOURCE_SECTION_T	K+Y	SOURCE_SECTION_T	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	K+Y	GEBEN · POSTEN	2	AL	ZIELORT	ZIELSPALTE	NONE	NONE	NONE	NONE	ADD_DESTINATION	Der Zielsatz ergänzt genau die owner-lokale Zielangabe.	NONE	ACTION_ARGUMENT	Ordne den laufenden Eintrag zu.	Ordne den laufenden Eintrag zu; zur Zielspalte.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D17	G502-F17	G498-M254	CHD+CH+E+Y	CELESTIAL	CHD+Y	CELESTIAL	SAME_REGISTER	LOCAL_ACTION_PARTIAL_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2,3	CH+E	NEHMEN · GRAD I	POSITION AUFNEHMEN · GRAD I	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION_AND_GRADE	Der Zielsatz ergänzt eine weitere Handlung samt Grad I.	NONE	ACTION_ARGUMENT	Bearbeite den Positionsposten.	Bearbeite den Positionsposten und nimm den Positionsposten auf; auf Grad I.	2	2	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D18	G502-F18	G498-M255	CHD+CH+E+Y	PHARMA	CHD+Y	PHARMA	SAME_REGISTER	LOCAL_ACTION_PARTIAL_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2,3	CH+E	NEHMEN · GRAD I	DROGENPOSTEN NEHMEN · GRAD I	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION_AND_GRADE	Der Zielsatz ergänzt eine weitere Handlung samt Grad I.	NONE	ACTION_ARGUMENT	Bearbeite den Drogenposten.	Bearbeite den Drogenposten und nimm den Drogenposten; auf Grad I.	2	2	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D19	G502-F19	G498-M234	CH+CH+E+Y	CELESTIAL	CH+E	CELESTIAL	SAME_REGISTER	LOCAL_ACTION_PARTIAL_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CH+E	NEHMEN · GRAD I	2,4	CH+Y	NEHMEN · POSTEN	POSITION AUFNEHMEN · POSITIONSPOSTEN	NONE	NONE	NONE	NONE	COUNTED_REPEAT_AND_EXPLICITIZE_POST	Zweimal realisiert die Wiederholung; der zuvor geerbte Posten wird explizit.	Y	GRADED_ACTION	Nimm den Positionsposten [wie zuvor] auf; auf Grad I.	Nimm den Positionsposten zweimal auf; auf Grad I.	2	2	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D20	G502-F20	G498-M284	SH+CHD+Y	CELESTIAL	SH+Y	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	SH+Y	HALTEN · POSTEN	2	CHD	BEARBEITEN	EINTRAG BEARBEITEN	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	NONE	ACTION_ARGUMENT	Halte den Stationsposten.	Halte den Positionsposten und bearbeite den Positionsposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D21	G502-F21	G498-M270	P+CH+E+Y	PHARMA	O+P+CH+E+OL	PHARMA	SAME_REGISTER	ORDERED_PAIR_TARGET_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	P+CH+E	EINSETZEN · NEHMEN · GRAD I	4	Y	POSTEN	DROGENPOSTEN	1,5	O+OL	AUSFÜHRUNG · FORTSETZEN	AUSFÜHRUNG · ANSATZ FORTSETZEN	PAIR_REPLACE_CARRIER_CONTEXT_WITH_POST	Das alte Handlungspaar bleibt; Ausführung/Fortsetzung weichen dem expliziten Posten.	OR	MULTI_ACTION	Weiter setze die Ansatzeinheit [wie zuvor] ein und nimm die Ansatzeinheit [wie zuvor]; als Ausführung und auf Grad I.	Setze den Drogenposten ein und nimm den Drogenposten; auf Grad I.	3	3	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D22	G502-F22	G498-M294	S+CHD+Y	CELESTIAL	S+OL+CHD+Y	BIOLOGICAL	CROSS_REGISTER	ORDERED_PAIR_OTHER_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	S+CHD+Y	WÄHLEN · BEARBEITEN · POSTEN	NONE	NONE	NONE	NONE	2	OL	FORTSETZEN	STATION WEITERFÜHREN	PAIR_DROP_CONTINUATION	Das alte Handlungspaar bleibt; nur die fremde Fortsetzungsangabe fällt weg.	NONE	MULTI_ACTION	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	Wähle den Positionsposten und bearbeite den Positionsposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D23	G502-F23	G498-M279	CH+CHD+Y	CELESTIAL	CHD+Y	CELESTIAL	SAME_REGISTER	LOCAL_FRAME_BACKBONE_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	1	CH	NEHMEN	POSITION AUFNEHMEN	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	NONE	ACTION_ARGUMENT	Bearbeite den Positionsposten.	Nimm den Positionsposten auf und bearbeite den Positionsposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D24	G502-F24	G498-M405	P+OR+Y	PHARMA	P+Y	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	P+Y	EINSETZEN · POSTEN	2	OR	EINHEIT	ANSATZEINHEIT	NONE	NONE	NONE	NONE	ADD_UNIT_ARGUMENT	Der Zielsatz ergänzt die owner-lokale Einheit als zweites Argument.	NONE	ACTION_ARGUMENT	Setze den Stationsposten ein.	Setze die Ansatzeinheit und den Drogenposten ein.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D25	G502-F25	G498-M285	SH+CHD+Y	PHARMA	SH+Y	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	SH+Y	HALTEN · POSTEN	2	CHD	BEARBEITEN	ANSATZ BEARBEITEN	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	NONE	ACTION_ARGUMENT	Halte den Stationsposten.	Halte den Drogenposten und bearbeite den Drogenposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D26	G502-F26	G498-M281	SH+CHD+Y	SOURCE_SECTION_T	SH+Y	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	SH+Y	HALTEN · POSTEN	2	CHD	BEARBEITEN	EINTRAG BEARBEITEN	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	NONE	ACTION_ARGUMENT	Halte den Stationsposten.	Halte den laufenden Eintrag fest und bearbeite den laufenden Eintrag.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D27	G502-F27	G498-M269	P+CH+E+Y	CELESTIAL	O+P+AR+CH+Y	CELESTIAL	SAME_REGISTER	ORDERED_PAIR_TARGET_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	P+CH+Y	EINSETZEN · NEHMEN · POSTEN	3	E	GRAD I	GRAD I	1,3	O+AR	AUSFÜHRUNG · AUSGANG	AUSFÜHRUNG · AUSGANGSPOSITION	PAIR_REPLACE_CARRIER_CONTEXT_WITH_GRADE	Das alte Handlungspaar bleibt; Ausführung/Ausgang weichen Grad I.	NONE	MULTI_ACTION	Setze den Positionsposten ein und nimm den Positionsposten auf; von der Ausgangsposition; als Ausführung.	Setze den Positionsposten ein und nimm den Positionsposten auf; auf Grad I.	3	3	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D28	G502-F28	G498-M295	S+CHD+Y	PHARMA	S+OL+CHD+Y	BIOLOGICAL	CROSS_REGISTER	ORDERED_PAIR_OTHER_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	S+CHD+Y	WÄHLEN · BEARBEITEN · POSTEN	NONE	NONE	NONE	NONE	2	OL	FORTSETZEN	STATION WEITERFÜHREN	PAIR_DROP_CONTINUATION	Das alte Handlungspaar bleibt; nur die fremde Fortsetzungsangabe fällt weg.	NONE	MULTI_ACTION	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	Wähle den Drogenposten und bearbeite den Drogenposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D29	G502-F29	G498-M291	S+CHD+Y	SOURCE_SECTION_T	S+OL+CHD+Y	BIOLOGICAL	CROSS_REGISTER	ORDERED_PAIR_OTHER_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	S+CHD+Y	WÄHLEN · BEARBEITEN · POSTEN	NONE	NONE	NONE	NONE	2	OL	FORTSETZEN	STATION WEITERFÜHREN	PAIR_DROP_CONTINUATION	Das alte Handlungspaar bleibt; nur die fremde Fortsetzungsangabe fällt weg.	NONE	MULTI_ACTION	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	Wähle den laufenden Eintrag und bearbeite den laufenden Eintrag.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D30	G502-F30	G498-M280	CH+CHD+Y	PHARMA	CHD+Y	PHARMA	SAME_REGISTER	LOCAL_FRAME_BACKBONE_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	1	CH	NEHMEN	DROGENPOSTEN NEHMEN	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	NONE	ACTION_ARGUMENT	Bearbeite den Drogenposten.	Nimm den Drogenposten und bearbeite den Drogenposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D31	G502-F31	G498-M276	CH+CHD+Y	SOURCE_SECTION_T	CHD+Y	SOURCE_SECTION_T	SAME_REGISTER	LOCAL_FRAME_BACKBONE_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	1	CH	NEHMEN	ENTNEHMEN	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	NONE	ACTION_ARGUMENT	Bearbeite den laufenden Eintrag.	Entnimm den laufenden Eintrag und bearbeite den laufenden Eintrag.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D32	G502-F32	G498-M369	CH+OR+Y	CELESTIAL	CH+OR	HERBAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	CH+OR	NEHMEN · EINHEIT	3	Y	POSTEN	POSITIONSPOSTEN	NONE	NONE	NONE	NONE	ADD_SECOND_POST_ARGUMENT	Der Zielsatz ergänzt den owner-lokalen Posten neben der Einheit.	NONE	ACTION_ARGUMENT	Nimm die Arbeitseinheit.	Nimm die Positionseinheit und den Positionsposten auf.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D33	G502-F33	G498-M379	K+OR+Y	CELESTIAL	K+Y	HERBAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	K+Y	GEBEN · POSTEN	2	OR	EINHEIT	POSITIONSEINHEIT	NONE	NONE	NONE	NONE	ADD_UNIT_ARGUMENT	Der Zielsatz ergänzt die owner-lokale Einheit als zweites Argument.	NONE	ACTION_ARGUMENT	Gib den Pflanzenposten zu.	Ordne die Positionseinheit und den Positionsposten zu.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
