record	locus	at	word	version	render	read_status	row_status
F83_P1	f83r.7	f83r.7:3	qeeedy	F	[qeeedy — offen]	OPEN	recorded
F83_P1	f83r.7	f83r.7:4	qoky	F	[qoky — offen]	OPEN	recorded
F83_P1	f83r.7	f83r.7:5	o	F	[o — offen]	OPEN	recorded
F83_P1	f83r.7	f83r.7:6	qol	F	[qol — offen]	OPEN	recorded
F83_P1	f83r.7	f83r.7:7	rsheedy	F	[rsheedy — offen]	OPEN	recorded
F83_P1	f83r.7	f83r.7:8	qokedy	F	Material@NONE ist klar; MISSING_TARGET	HYPOTHESIS	recorded
F83_P1	f83r.7	f83r.7:9	qoteedy	F	[qoteedy — offen]	OPEN	recorded
F83_P1	f83r.7	f83r.7:10	qoteedy	F	[qoteedy — offen]	OPEN	recorded
F83_P1	f83r.8	f83r.8:1	pchedal	F	[pchedal — offen]	OPEN	recorded
F83_P1	f83r.8	f83r.8:2	otedy	F	[otedy — offen]	OPEN	recorded
F83_P1	f83r.8	f83r.8:3	shecthedchy	F	[shecthedchy — offen]	OPEN	recorded
F83_P1	f83r.8	f83r.8:4	qoky	F	[qoky — offen]	OPEN	recorded
F83_P1	f83r.8	f83r.8:5	chedy	F	erwärme Material@f83r.6:8	HYPOTHESIS	recorded
F83_P1	f83r.8	f83r.8:6	chary	F	[chary — offen]	OPEN	recorded
F83_P2	f83r.9	f83r.9:1	pchor	F	[pchor — offen]	OPEN	recorded
F83_P2	f83r.9	f83r.9:2	checphedy	F	[checphedy — offen]	OPEN	recorded
F83_P2	f83r.9	f83r.9:3	qokedy	F	Material@f83r.11:2 ist klar; UNSUPPORTED	HYPOTHESIS	recorded
F83_P2	f83r.9	f83r.9:4	lsheedy	F	[lsheedy — offen]	OPEN	recorded
F83_P2	f83r.9	f83r.9:5	qokchdy	F	[qokchdy — offen]	OPEN	recorded
F83_P2	f83r.9	f83r.9:6	r	F	[r — offen]	OPEN	recorded
F83_P2	f83r.9	f83r.9:7	shedkedy	F	[shedkedy — offen]	OPEN	recorded
F83_P2	f83r.9	f83r.9:8	qopshdy	F	[qopshdy — offen]	OPEN	recorded
F83_P2	f83r.9	f83r.9:9	qopy	F	[qopy — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:1	olkeey	F	[olkeey — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:2	rchs	F	[rchs — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:3	cheeb	F	[cheeb — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:4	ols	F	[ols — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:5	aiin	F	[aiin — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:6	skal	F	[skal — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:7	dain	F	[dain — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:8	cthal	F	[cthal — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:9	s	F	[s — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:10	aiin	F	[aiin — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:11	chky	F	[chky — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:12	lal	F	[lal — offen]	OPEN	recorded
F83_P2	f83r.10	f83r.10:13	sam	F	[sam — offen]	OPEN	recorded
F83_P2	f83r.11	f83r.11:1	sor	F	[sor — offen]	OPEN	recorded
F83_P2	f83r.11	f83r.11:2	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P2	f83r.11	f83r.11:3	qokaiin	F	[qokaiin — offen]	OPEN	recorded
F83_P2	f83r.11	f83r.11:4	chkain	F	[chkain — offen]	OPEN	recorded
F83_P2	f83r.11	f83r.11:5	shcthey	F	[shcthey — offen]	OPEN	recorded
F83_P2	f83r.11	f83r.11:6	qokedy	F	Material@f83r.11:9 ist klar; UNSUPPORTED	HYPOTHESIS	recorded
F83_P2	f83r.11	f83r.11:7	okair	F	[okair — offen]	OPEN	recorded
F83_P2	f83r.11	f83r.11:8	sheedy	F	[sheedy — offen]	OPEN	recorded
F83_P2	f83r.11	f83r.11:9	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P2	f83r.11	f83r.11:10	lo	F	[lo — offen]	OPEN	recorded
F83_P2	f83r.12	f83r.12:1	qockhol	F	[qockhol — offen]	OPEN	recorded
F83_P2	f83r.12	f83r.12:2	sheckhy	F	[sheckhy — offen]	OPEN	recorded
F83_P2	f83r.12	f83r.12:3	otal	F	[otal — offen]	OPEN	recorded
F83_P2	f83r.12	f83r.12:4	qokeal	F	[qokeal — offen]	OPEN	recorded
F83_P2	f83r.12	f83r.12:5	sheckhdy	F	[sheckhdy — offen]	OPEN	recorded
F83_P2	f83r.12	f83r.12:6	al	F	[al — offen]	OPEN	recorded
F83_P2	f83r.12	f83r.12:7	okedy	F	[okedy — offen]	OPEN	recorded
F83_P2	f83r.12	f83r.12:8	qokedy	F	Material@f83r.13:3 ist klar; UNSUPPORTED	HYPOTHESIS	recorded
F83_P2	f83r.12	f83r.12:9	qokal	F	[qokal — offen]	OPEN	recorded
F83_P2	f83r.13	f83r.13:1	salcheol	F	[salcheol — offen]	OPEN	recorded
F83_P2	f83r.13	f83r.13:2	tar	F	[tar — offen]	OPEN	recorded
F83_P2	f83r.13	f83r.13:3	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P2	f83r.13	f83r.13:4	s	F	[s — offen]	OPEN	recorded
F83_P2	f83r.13	f83r.13:5	altedy	F	[altedy — offen]	OPEN	recorded
F83_P2	f83r.13	f83r.13:6	sair	F	[sair — offen]	OPEN	recorded
F83_P2	f83r.13	f83r.13:7	qokedy	F	Material@NONE ist klar; MISSING_TARGET	HYPOTHESIS	recorded
F83_P2	f83r.13	f83r.13:8	qedy	F	[qedy — offen]	OPEN	recorded
F83_P2	f83r.13	f83r.13:9	lchcphedy	F	[lchcphedy — offen]	OPEN	recorded
F83_P2	f83r.13	f83r.13:10	ldar	F	[ldar — offen]	OPEN	recorded
F83_P2	f83r.14	f83r.14:1	qokchedy	F	[qokchedy — offen]	OPEN	recorded
F83_P2	f83r.14	f83r.14:2	qokeedy	F	entnimm Probe, Ergebnis 1 aus f83r.13:3; zwei Teile: f83r.14:3,f83r.14:6	HYPOTHESIS	recorded
F83_P2	f83r.14	f83r.14:3	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P2	f83r.14	f83r.14:4	qokshedy	F	[qokshedy — offen]	OPEN	recorded
F83_P2	f83r.14	f83r.14:5	dal	F	[dal — offen]	OPEN	recorded
F83_P2	f83r.14	f83r.14:6	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P2	f83r.14	f83r.14:7	qokaiin	F	[qokaiin — offen]	OPEN	recorded
F83_P2	f83r.14	f83r.14:8	shcthy	F	[shcthy — offen]	OPEN	recorded
F83_P2	f83r.14	f83r.14:9	dal	F	[dal — offen]	OPEN	recorded
F83_P2	f83r.14	f83r.14:10	sy	F	[sy — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:1	saiin	F	[saiin — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:2	shedal	F	[shedal — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:3	shecthy	F	[shecthy — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:4	chey	F	[chey — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:5	tal	F	[tal — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:6	shcthy	F	[shcthy — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:7	dalchdy	F	[dalchdy — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:8	qotchedy	F	[qotchedy — offen]	OPEN	recorded
F83_P2	f83r.15	f83r.15:9	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P2	f83r.16	f83r.16:1	tchedy	F	[tchedy — offen]	OPEN	recorded
F83_P2	f83r.16	f83r.16:2	qokchdy	F	[qokchdy — offen]	OPEN	recorded
F83_P2	f83r.16	f83r.16:3	cheedar	F	[cheedar — offen]	OPEN	recorded
F83_P2	f83r.16	f83r.16:4	chldaiin	F	[chldaiin — offen]	OPEN	recorded
F83_P2	f83r.16	f83r.16:5	chedy	F	erwärme Material@f83r.15:9	HYPOTHESIS	recorded
F83_P2	f83r.16	f83r.16:6	qokain	F	[qokain — offen]	OPEN	recorded
F83_P2	f83r.16	f83r.16:7	checthy	F	[checthy — offen]	OPEN	recorded
F83_P2	f83r.16	f83r.16:8	chealror	F	[chealror — offen]	OPEN	recorded
F83_P2	f83r.17	f83r.17:1	dcheokedy	F	[dcheokedy — offen]	OPEN	recorded
F83_P2	f83r.17	f83r.17:2	lkeed	F	[lkeed — offen]	OPEN	recorded
F83_P2	f83r.17	f83r.17:3	shckhey	F	[shckhey — offen]	OPEN	recorded
F83_P2	f83r.17	f83r.17:4	ytaiin	F	[ytaiin — offen]	OPEN	recorded
F83_P2	f83r.17	f83r.17:5	shechy	F	[shechy — offen]	OPEN	recorded
F83_P2	f83r.17	f83r.17:6	schety	F	[schety — offen]	OPEN	recorded
F83_P3	f83r.18	f83r.18:1	pdalshdy	F	[pdalshdy — offen]	OPEN	recorded
F83_P3	f83r.18	f83r.18:2	shocphedy	F	[shocphedy — offen]	OPEN	recorded
F83_P3	f83r.18	f83r.18:3	otor	F	[otor — offen]	OPEN	recorded
F83_P3	f83r.18	f83r.18:4	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P3	f83r.18	f83r.18:5	opshedy	F	[opshedy — offen]	OPEN	recorded
F83_P3	f83r.18	f83r.18:6	otshdy	F	[otshdy — offen]	OPEN	recorded
F83_P3	f83r.18	f83r.18:7	qokedol	F	[qokedol — offen]	OPEN	recorded
F83_P3	f83r.18	f83r.18:8	shdy	F	[shdy — offen]	OPEN	recorded
F83_P3	f83r.18	f83r.18:9	soldy	F	[soldy — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:1	sar	F	[sar — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:2	shedaiin	F	[shedaiin — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:3	ockhey	F	[ockhey — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:4	sain	F	[sain — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:5	ched	F	[ched — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:6	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P3	f83r.19	f83r.19:7	qetal	F	[qetal — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:8	dal	F	[dal — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:9	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P3	f83r.19	f83r.19:10	shey	F	[shey — offen]	OPEN	recorded
F83_P3	f83r.19	f83r.19:11	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P3	f83r.20	f83r.20:1	solkeedy	F	[solkeedy — offen]	OPEN	recorded
F83_P3	f83r.20	f83r.20:2	qoteedy	F	[qoteedy — offen]	OPEN	recorded
F83_P3	f83r.20	f83r.20:3	qokeey	F	Flüssigkeit	HYPOTHESIS	recorded
F83_P3	f83r.20	f83r.20:4	qokedy	F	Material@NONE ist klar; MISSING_TARGET	HYPOTHESIS	recorded
F83_P3	f83r.20	f83r.20:5	sol	F	[sol — offen]	OPEN	recorded
F83_P3	f83r.20	f83r.20:6	cheeety	F	[cheeety — offen]	OPEN	recorded
F83_P3	f83r.20	f83r.20:7	qokedy	F	Material@NONE ist klar; MISSING_TARGET	HYPOTHESIS	recorded
F83_P3	f83r.20	f83r.20:8	qoky	F	[qoky — offen]	OPEN	recorded
F83_P3	f83r.20	f83r.20:9	saiin	F	[saiin — offen]	OPEN	recorded
F83_P3	f83r.21	f83r.21:1	solkeedy	F	[solkeedy — offen]	OPEN	recorded
F83_P3	f83r.21	f83r.21:2	qokedy	F	Material@NONE ist klar; MISSING_TARGET	HYPOTHESIS	recorded
F83_P3	f83r.21	f83r.21:3	otedy	F	[otedy — offen]	OPEN	recorded
F83_P3	f83r.21	f83r.21:4	sol	F	[sol — offen]	OPEN	recorded
F83_P3	f83r.21	f83r.21:5	chedy	F	erwärme Material@f83r.20:3	HYPOTHESIS	recorded
F83_P3	f83r.21	f83r.21:6	lkedy	F	[lkedy — offen]	OPEN	recorded
F83_P3	f83r.21	f83r.21:7	qokchedy	F	[qokchedy — offen]	OPEN	recorded
F83_P3	f83r.21	f83r.21:8	qokedy	F	Material@NONE ist klar; MISSING_TARGET	HYPOTHESIS	recorded
F83_P3	f83r.21	f83r.21:9	chckhdy	F	[chckhdy — offen]	OPEN	recorded
F83_P3	f83r.21	f83r.21:10	sar	F	[sar — offen]	OPEN	recorded
F83_P3	f83r.22	f83r.22:1	schedair	F	[schedair — offen]	OPEN	recorded
F83_P3	f83r.22	f83r.22:2	otchedy	F	[otchedy — offen]	OPEN	recorded
F83_P3	f83r.22	f83r.22:3	qokeedy	F	entnimm Probe, Ergebnis 1 aus f83r.20:3; zwei Teile: f83r.23:4	HYPOTHESIS	recorded
F83_P3	f83r.22	f83r.22:4	chedain	F	[chedain — offen]	OPEN	recorded
F83_P3	f83r.22	f83r.22:5	chedy	F	erwärme Material@f83r.20:3	HYPOTHESIS	recorded
F83_P3	f83r.22	f83r.22:6	qotedaiin	F	[qotedaiin — offen]	OPEN	recorded
F83_P3	f83r.22	f83r.22:7	otaiin	F	[otaiin — offen]	OPEN	recorded
F83_P3	f83r.22	f83r.22:8	otedy	F	[otedy — offen]	OPEN	recorded
F83_P3	f83r.22	f83r.22:9	ldy	F	[ldy — offen]	OPEN	recorded
F83_P3	f83r.23	f83r.23:1	tchedy	F	[tchedy — offen]	OPEN	recorded
F83_P3	f83r.23	f83r.23:2	qotedy	F	[qotedy — offen]	OPEN	recorded
F83_P3	f83r.23	f83r.23:3	qokal	F	[qokal — offen]	OPEN	recorded
F83_P3	f83r.23	f83r.23:4	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P3	f83r.23	f83r.23:5	qokedy	F	Material@f83r.24:6 ist klar; UNSUPPORTED	HYPOTHESIS	recorded
F83_P3	f83r.23	f83r.23:6	shecthedy	F	[shecthedy — offen]	OPEN	recorded
F83_P3	f83r.23	f83r.23:7	shecthy	F	[shecthy — offen]	OPEN	recorded
F83_P3	f83r.23	f83r.23:8	otor	F	[otor — offen]	OPEN	recorded
F83_P3	f83r.23	f83r.23:9	chedy	F	erwärme Material@f83r.23:4	HYPOTHESIS	recorded
F83_P3	f83r.24	f83r.24:1	soiiin	F	[soiiin — offen]	OPEN	recorded
F83_P3	f83r.24	f83r.24:2	checthy	F	[checthy — offen]	OPEN	recorded
F83_P3	f83r.24	f83r.24:3	chety	F	[chety — offen]	OPEN	recorded
F83_P3	f83r.24	f83r.24:4	otaiin	F	[otaiin — offen]	OPEN	recorded
F83_P3	f83r.24	f83r.24:5	olsaly	F	[olsaly — offen]	OPEN	recorded
F83_P3	f83r.24	f83r.24:6	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P4	f83r.25	f83r.25:1	qokeedy	F	entnimm Probe, Ergebnis 1 aus NONE; zwei Teile: f83r.25:3	HYPOTHESIS	recorded
F83_P4	f83r.25	f83r.25:2	qolchey	F	[qolchey — offen]	OPEN	recorded
F83_P4	f83r.25	f83r.25:3	qokeey	F	Flüssigkeit	HYPOTHESIS	recorded
F83_P4	f83r.25	f83r.25:4	qokedy	F	Material@f83r.26:2 ist klar; UNSUPPORTED	HYPOTHESIS	recorded
F83_P4	f83r.25	f83r.25:5	chedy	F	erwärme Material@f83r.25:3	HYPOTHESIS	recorded
F83_P4	f83r.25	f83r.25:6	otal	F	[otal — offen]	OPEN	recorded
F83_P4	f83r.26	f83r.26:1	otchey	F	[otchey — offen]	OPEN	recorded
F83_P4	f83r.26	f83r.26:2	qokeey	F	Flüssigkeit	HYPOTHESIS	recorded
F83_P4	f83r.26	f83r.26:3	qoky	F	[qoky — offen]	OPEN	recorded
F83_P4	f83r.26	f83r.26:4	tol	F	[tol — offen]	OPEN	recorded
F83_P4	f83r.26	f83r.26:5	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P4	f83r.26	f83r.26:6	qokylddy	F	[qokylddy — offen]	OPEN	recorded
F83_P4	f83r.27	f83r.27:1	dain	F	[dain — offen]	OPEN	recorded
F83_P4	f83r.27	f83r.27:2	chedy	F	erwärme Material@f83r.26:5	HYPOTHESIS	recorded
F83_P4	f83r.27	f83r.27:3	qokeedy	F	entnimm Probe, Ergebnis 1 aus f83r.26:5; zwei Teile: f83r.27:4,f83r.27:5	HYPOTHESIS	recorded
F83_P4	f83r.27	f83r.27:4	shckhedy	F	Teilportion	HYPOTHESIS	recorded
F83_P4	f83r.27	f83r.27:5	shckhedy	F	Teilportion	HYPOTHESIS	recorded
F83_P4	f83r.28	f83r.28:1	saiin	F	[saiin — offen]	OPEN	recorded
F83_P4	f83r.28	f83r.28:2	cheeky	F	[cheeky — offen]	OPEN	recorded
F83_P4	f83r.28	f83r.28:3	sheey	F	beobachtet klar: Material@f83r.27:5; DIRECT_ONLY	HYPOTHESIS	recorded
F83_P4	f83r.28	f83r.28:4	qokedy	F	Material@f83r.28:5 ist klar; UNSUPPORTED	HYPOTHESIS	recorded
F83_P4	f83r.28	f83r.28:5	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P4	f83r.28	f83r.28:6	oldy	F	[oldy — offen]	OPEN	recorded
F83_P4	f83r.29	f83r.29:1	salchedy	F	[salchedy — offen]	OPEN	recorded
F83_P4	f83r.29	f83r.29:2	cheey	F	[cheey — offen]	OPEN	recorded
F83_P4	f83r.29	f83r.29:3	qody	F	[qody — offen]	OPEN	recorded
F83_P4	f83r.29	f83r.29:4	kesd	F	[kesd — offen]	OPEN	recorded
F83_P4	f83r.29	f83r.29:5	oldy	F	[oldy — offen]	OPEN	recorded
F83_P4	f83r.30	f83r.30:1	s	F	[s — offen]	OPEN	recorded
F83_P4	f83r.30	f83r.30:2	okeedy	F	[okeedy — offen]	OPEN	recorded
F83_P4	f83r.30	f83r.30:3	qokeedy	F	entnimm Probe, Ergebnis 1 aus f83r.28:5; zwei Teile: ?	HYPOTHESIS	recorded
F83_P4	f83r.30	f83r.30:4	qoky	F	[qoky — offen]	OPEN	recorded
F83_P4	f83r.30	f83r.30:5	saii	F	[saii — offen]	OPEN	recorded
F83_P5	f83r.31	f83r.31:1	techedy	F	[techedy — offen]	OPEN	recorded
F83_P5	f83r.31	f83r.31:2	qotchedy	F	[qotchedy — offen]	OPEN	recorded
F83_P5	f83r.31	f83r.31:3	okeedy	F	[okeedy — offen]	OPEN	recorded
F83_P5	f83r.31	f83r.31:4	ldy	F	[ldy — offen]	OPEN	recorded
F83_P5	f83r.32	f83r.32:1	cheol	F	[cheol — offen]	OPEN	recorded
F83_P5	f83r.32	f83r.32:2	qokchedy	F	[qokchedy — offen]	OPEN	recorded
F83_P5	f83r.32	f83r.32:3	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P5	f83r.32	f83r.32:4	qokey	F	[qokey — offen]	OPEN	recorded
F83_P5	f83r.33	f83r.33:1	sy	F	[sy — offen]	OPEN	recorded
F83_P5	f83r.33	f83r.33:2	s	F	[s — offen]	OPEN	recorded
F83_P5	f83r.33	f83r.33:3	aiin	F	[aiin — offen]	OPEN	recorded
F83_P5	f83r.33	f83r.33:4	sheekchy	F	[sheekchy — offen]	OPEN	recorded
F83_P5	f83r.33	f83r.33:5	qokey	F	[qokey — offen]	OPEN	recorded
F83_P5	f83r.33	f83r.33:6	sain	F	[sain — offen]	OPEN	recorded
F83_P5	f83r.34	f83r.34:1	shky	F	[shky — offen]	OPEN	recorded
F83_P5	f83r.34	f83r.34:2	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P5	f83r.34	f83r.34:3	dolshed	F	[dolshed — offen]	OPEN	recorded
F83_P5	f83r.34	f83r.34:4	qokchy	F	[qokchy — offen]	OPEN	recorded
F83_P5	f83r.35	f83r.35:1	saiin	F	[saiin — offen]	OPEN	recorded
F83_P5	f83r.35	f83r.35:2	cheky	F	[cheky — offen]	OPEN	recorded
F83_P5	f83r.35	f83r.35:3	okeeol	F	[okeeol — offen]	OPEN	recorded
F83_P5	f83r.35	f83r.35:4	okain	F	[okain — offen]	OPEN	recorded
F83_P5	f83r.35	f83r.35:5	chdy	F	[chdy — offen]	OPEN	recorded
F83_P5	f83r.36	f83r.36:1	sor	F	[sor — offen]	OPEN	recorded
F83_P5	f83r.36	f83r.36:2	aiin	F	[aiin — offen]	OPEN	recorded
F83_P5	f83r.36	f83r.36:3	shy	F	[shy — offen]	OPEN	recorded
F83_P5	f83r.36	f83r.36:4	shey	F	[shey — offen]	OPEN	recorded
F83_P5	f83r.36	f83r.36:5	lshedy	F	[lshedy — offen]	OPEN	recorded
F83_P5	f83r.36	f83r.36:6	qoky	F	[qoky — offen]	OPEN	recorded
F83_P5	f83r.37	f83r.37:1	sol	F	[sol — offen]	OPEN	recorded
F83_P5	f83r.37	f83r.37:2	lkedy	F	[lkedy — offen]	OPEN	recorded
F83_P5	f83r.37	f83r.37:3	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P5	f83r.37	f83r.37:4	qokol	F	[qokol — offen]	OPEN	recorded
F83_P5	f83r.37	f83r.37:5	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P5	f83r.38	f83r.38:1	or	F	[or — offen]	OPEN	recorded
F83_P5	f83r.38	f83r.38:2	chey	F	[chey — offen]	OPEN	recorded
F83_P5	f83r.38	f83r.38:3	qockhey	F	[qockhey — offen]	OPEN	recorded
F83_P5	f83r.38	f83r.38:4	dairydy	F	[dairydy — offen]	OPEN	recorded
F83_P5	f83r.39	f83r.39:1	qokain	F	[qokain — offen]	OPEN	recorded
F83_P5	f83r.39	f83r.39:2	shey	F	[shey — offen]	OPEN	recorded
F83_P5	f83r.39	f83r.39:3	kain	F	[kain — offen]	OPEN	recorded
F83_P5	f83r.39	f83r.39:4	chckhal	F	[chckhal — offen]	OPEN	recorded
F83_P5	f83r.40	f83r.40:1	solchedy	F	[solchedy — offen]	OPEN	recorded
F83_P5	f83r.40	f83r.40:2	olchedy	F	[olchedy — offen]	OPEN	recorded
