component_recipe	register	event_count	owner_count	context_state_key_count	distinct_clause_count	context_required	naive_first_event_id	naive_first_clause_mismatch_count	safe_context_free_reading_de
A_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E1940	0	Hier.
A_ADDR+AL	CELESTIAL	1	1	1	1	NO	G407-E1173	0	Am Zielort hier.
A_ADDR+LOCAL_CHAR_I+M_LOCAL	PHARMA	2	2	2	2	YES	G407-E4152	1	Hier, mit der lokalen Variante und hier.
A_ADDR+S	BIOLOGICAL	3	3	2	2	YES	G407-E1843	2	Wähle hier.
A_ADDR+S	PHARMA	1	1	1	1	NO	G407-E4318	0	Wähle hier.
A_ADDR+S+E	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0018	0	Wähle auf Grad I hier.
A_ADDR+SH+Y+T+EE+D_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E3013	0	Halte den Posten; stelle den Posten ein auf Grad II hier und hier.
A_ADDR+T+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0004	0	Stelle den Wert ein hier.
A_ADDR+T+CH+OR	CELESTIAL	1	1	1	1	NO	G407-E1217	0	Stelle die Einheit ein; nimm die Einheit hier.
A_ADDR+T+EE+Y	CELESTIAL	1	1	1	1	NO	G407-E1063	0	Stelle den Posten ein auf Grad II hier.
A_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1653	0	Posten hier.
A_ADDR+Y	CELESTIAL	1	1	1	1	NO	G407-E1027	0	Posten hier.
CARRIER_Q+E+AIIN	PHARMA	1	1	1	1	NO	G407-E4127	0	Beginne: wert auf Grad I.
CARRIER_Q+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3575	0	Beginne: auf Grad I; schließe den Schritt.
CARRIER_Q+E+K+AIIN	BIOLOGICAL	1	1	1	1	NO	G407-E3490	0	Beginne: gib den Wert auf Grad I.
CARRIER_Q+E+K+EE+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3233	0	Beginne: gib den Posten auf Grad I und auf Grad II.
CARRIER_Q+E+P+CHD+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2678	0	Beginne: setze den Posten ein; bearbeite den Posten auf Grad I.
CARRIER_Q+E+T+AL	BIOLOGICAL	1	1	1	1	NO	G407-E3626	0	Beginne: stelle am Zielort ein auf Grad I.
CARRIER_Q+E+T+CH+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3131	0	Beginne: stelle den Posten ein; nimm den Posten auf Grad I.
CARRIER_Q+E+T+IIN	BIOLOGICAL	1	1	1	1	NO	G407-E2585	0	Beginne: stelle ein auf Grad I und auf der bezeichneten Stufe.
CARRIER_Q+E+Y+K+EE+Y	CELESTIAL	1	1	1	1	NO	G407-E1007	0	Beginne: gib den Posten und den Posten auf Grad I und auf Grad II.
CARRIER_Q+EE+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2469	0	Beginne: posten auf Grad II.
CARRIER_Q+EEE+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3513	0	Beginne: posten auf Grad III hier.
CARRIER_Q+EEE+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1990	0	Beginne: posten auf Grad III.
CARRIER_Q+K+O+Y	CELESTIAL	1	1	1	1	NO	G407-E0995	0	Beginne: gib den Posten als Ausführung.
CARRIER_Q+O+AIIN	BIOLOGICAL	1	1	1	1	NO	G407-E1896	0	Beginne mit der Ausführung des Werts.
CARRIER_Q+O+AIIN	HERBAL	2	2	2	2	YES	G407-E0699	1	Beginne mit der Ausführung des Werts.
CARRIER_Q+O+AIIN	PHARMA	3	3	2	2	YES	G407-E3947	1	Beginne mit der Ausführung des Werts.
CARRIER_Q+O+AIN	HERBAL	1	1	1	1	NO	G407-E4573	0	Beginne mit der Ausführung des Anteils.
CARRIER_Q+O+A_ADDR+Y	PHARMA	2	1	2	2	YES	G407-E4145	1	Beginne mit der Ausführung des Postens hier.
CARRIER_Q+O+CH+EE+Y	CELESTIAL	1	1	1	1	NO	G407-E1048	0	Beginne: nimm den Posten auf Grad II als Ausführung.
CARRIER_Q+O+CH+EE+Y	PHARMA	1	1	1	1	NO	G407-E4342	0	Beginne: nimm den Posten auf Grad II als Ausführung.
CARRIER_Q+O+CH+K+OL	BIOLOGICAL	1	1	1	1	NO	G407-E3559	0	Weiter: Beginne: nimm; gib als Ausführung.
CARRIER_Q+O+CH+K+OL	PHARMA	2	2	2	2	YES	G407-E3855	1	Weiter: Beginne: nimm; gib als Ausführung.
CARRIER_Q+O+CH+K+Y	CELESTIAL	1	1	1	1	NO	G407-E1019	0	Beginne: nimm den Posten; gib den Posten als Ausführung.
CARRIER_Q+O+CH+T+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3105	0	Beginne: nimm den Posten; stelle den Posten ein auf Grad I als Ausführung.
CARRIER_Q+O+CH+T+OL+Y	HERBAL	1	1	1	1	NO	G407-E0262	0	Weiter: Beginne: nimm den Posten; stelle den Posten ein als Ausführung.
CARRIER_Q+O+CH+T+OL+Y	PHARMA	1	1	1	1	NO	G407-E4063	0	Weiter: Beginne: nimm den Posten; stelle den Posten ein als Ausführung.
CARRIER_Q+O+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3699	0	Beginne den bezeichneten Gang; schließe den Schritt.
CARRIER_Q+O+DY	HERBAL	1	1	1	1	NO	G407-E0486	0	Beginne den bezeichneten Gang; schließe den Schritt.
CARRIER_Q+O+DY	PHARMA	1	1	1	1	NO	G407-E4224	0	Beginne den bezeichneten Gang; schließe den Schritt.
CARRIER_Q+O+D_ADDR+CHD	BIOLOGICAL	1	1	1	1	NO	G407-E3258	0	Beginne: bearbeite als Ausführung hier.
CARRIER_Q+O+D_ADDR+O+AM_ADDR	HERBAL	1	1	1	1	NO	G407-E0664	0	Beginne: hier und hier.
CARRIER_Q+O+D_ADDR+OR	HERBAL	1	1	1	1	NO	G407-E0316	0	Beginne mit der Ausführung der Einheit hier.
CARRIER_Q+O+E+AIR	PHARMA	1	1	1	1	NO	G407-E4109	0	Beginne: entlang der Bahn auf Grad I.
CARRIER_Q+O+E+K+E+OR	PHARMA	1	1	1	1	NO	G407-E3928	0	Beginne: gib die Einheit auf Grad I und auf Grad I als Ausführung.
CARRIER_Q+O+E+K+OL	PHARMA	2	1	1	1	NO	G407-E3853	0	Weiter: Beginne: gib auf Grad I als Ausführung.
CARRIER_Q+O+E+S+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3377	0	Beginne: wähle auf Grad I und auf Grad I als Ausführung; schließe den Schritt.
CARRIER_Q+O+EE+D_ADDR+Y	BIOLOGICAL	2	2	1	1	NO	G407-E2629	0	Beginne mit der Ausführung des Postens auf Grad II hier.
CARRIER_Q+O+IIN+S	PHARMA	1	1	1	1	NO	G407-E4195	0	Beginne: wähle auf der bezeichneten Stufe als Ausführung.
CARRIER_Q+O+LOCAL_CHAR_F+AIIN	HERBAL	1	1	1	1	NO	G407-E4402	0	Beginne mit der Ausführung des Werts mit der lokalen Variante.
CARRIER_Q+O+LOCAL_CHAR_F+AIR	CELESTIAL	1	1	1	1	NO	G407-E0997	0	Beginne: entlang der Bahn mit der lokalen Variante.
CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN	HERBAL	1	1	1	1	NO	G407-E4462	0	Beginne: bearbeite den Wert als Ausführung mit der lokalen Variante.
CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3062	0	Beginne: bearbeite den Posten als Ausführung mit der lokalen Variante.
CARRIER_Q+O+OL	BIOLOGICAL	1	1	1	1	NO	G407-E1937	0	Weiter: Beginne den bezeichneten Gang.
CARRIER_Q+O+OL	HERBAL	1	1	1	1	NO	G407-E0705	0	Weiter: Beginne den bezeichneten Gang.
CARRIER_Q+O+OR	PHARMA	2	2	2	2	YES	G407-E3838	1	Beginne mit der Ausführung der Einheit.
CARRIER_Q+O+P	BIOLOGICAL	1	1	1	1	NO	G407-E3014	0	Beginne: setze ein als Ausführung.
CARRIER_Q+O+P+CH+OL	BIOLOGICAL	1	1	1	1	NO	G407-E2809	0	Weiter: Beginne: setze ein; nimm als Ausführung.
CARRIER_Q+O+P+CHD+Y	BIOLOGICAL	6	5	1	1	NO	G407-E1885	0	Beginne: setze den Posten ein; bearbeite den Posten als Ausführung.
CARRIER_Q+O+P+OL	BIOLOGICAL	1	1	1	1	NO	G407-E3251	0	Weiter: Beginne: setze ein als Ausführung.
CARRIER_Q+O+P+SH+D_ADDR+Y	BIOLOGICAL	2	2	1	1	NO	G407-E1840	0	Beginne: setze den Posten ein; halte den Posten als Ausführung hier.
CARRIER_Q+O+P+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3535	0	Beginne: setze den Posten ein als Ausführung.
CARRIER_Q+O+SH+EE+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3177	0	Beginne: halte den Posten auf Grad II als Ausführung hier.
CARRIER_Q+S+G_LABEL	CELESTIAL	1	1	1	1	NO	G407-E0974	0	Beginne: wähle mit der lokalen Variante.
CH	BIOLOGICAL	1	1	1	1	NO	G407-E1811	0	Nimm.
CH	HERBAL	1	1	1	1	NO	G407-E0739	0	Nimm.
CH+AIIN	HERBAL	4	3	1	1	NO	G407-E0245	0	Nimm den Wert.
CH+AIIN	PHARMA	1	1	1	1	NO	G407-E4160	0	Nimm den Wert.
CH+AIR	HERBAL	1	1	1	1	NO	G407-E0228	0	Nimm entlang der Bahn.
CH+AL	BIOLOGICAL	4	4	3	3	YES	G407-E1441	3	Nimm am Zielort.
CH+AL	CELESTIAL	2	2	2	2	YES	G407-E1096	1	Nimm am Zielort.
CH+AL	HERBAL	1	1	1	1	NO	G407-E0798	0	Nimm am Zielort.
CH+AL	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0117	0	Nimm am Zielort.
CH+AL+S	HERBAL	1	1	1	1	NO	G407-E4448	0	Nimm; wähle am Zielort.
CH+AL+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2256	0	Nimm den Posten am Zielort.
CH+AL+Y	PHARMA	2	2	1	1	NO	G407-E4021	0	Nimm den Posten am Zielort.
CH+AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E2420	0	Nimm hier.
CH+AM_ADDR	PHARMA	1	1	1	1	NO	G407-E4097	0	Nimm hier.
CH+A_ADDR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0167	0	Nimm hier.
CH+A_ADDR+S	CELESTIAL	1	1	1	1	NO	G407-E1283	0	Nimm; wähle hier.
CH+CH+K+AL	BIOLOGICAL	1	1	1	1	NO	G407-E3748	0	Nimm; nimm; gib am Zielort.
CH+CH+K+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3648	0	Nimm den Posten; nimm den Posten; gib den Posten hier.
CH+CH+K+D_ADDR+Y	HERBAL	1	1	1	1	NO	G407-E0714	0	Nimm den Posten; nimm den Posten; gib den Posten hier.
CH+CH+K+E+Y	BIOLOGICAL	4	4	1	1	NO	G407-E1952	0	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I.
CH+CH+P+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E1914	0	Nimm; nimm; setze ein auf Grad I; schließe den Schritt.
CH+CH+P+E+Y	BIOLOGICAL	2	2	1	1	NO	G407-E2631	0	Nimm den Posten; nimm den Posten; setze den Posten ein auf Grad I.
CH+CH+P+E+Y	PHARMA	1	1	1	1	NO	G407-E4113	0	Nimm den Posten; nimm den Posten; setze den Posten ein auf Grad I.
CH+CH+P+Y	BIOLOGICAL	2	1	1	1	NO	G407-E1837	0	Nimm den Posten; nimm den Posten; setze den Posten ein.
CH+CH+P+Y	HERBAL	1	1	1	1	NO	G407-E0609	0	Nimm den Posten; nimm den Posten; setze den Posten ein.
CH+CH+S	CELESTIAL	1	1	1	1	NO	G407-E1292	0	Nimm; nimm; wähle.
CH+CH+S	HERBAL	1	1	1	1	NO	G407-E0799	0	Nimm; nimm; wähle.
CH+CH+T	HERBAL	1	1	1	1	NO	G407-E0630	0	Nimm; nimm; stelle ein.
CH+CH+T+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3758	0	Nimm den Posten; nimm den Posten; stelle den Posten ein hier.
CH+CH+T+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E1728	0	Nimm; nimm; stelle ein auf Grad I; schließe den Schritt.
CH+CH+T+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3407	0	Nimm den Posten; nimm den Posten; stelle den Posten ein auf Grad I.
CH+CH+T+OL	PHARMA	1	1	1	1	NO	G407-E3803	0	Weiter: Nimm; nimm; stelle ein.
CH+CH+T+Y	BIOLOGICAL	9	6	1	1	NO	G407-E1474	0	Nimm den Posten; nimm den Posten; stelle den Posten ein.
CH+CH+T+Y	HERBAL	4	4	1	1	NO	G407-E0246	0	Nimm den Posten; nimm den Posten; stelle den Posten ein.
CH+CH+T+Y+K+E+DY	HERBAL	1	1	1	1	NO	G407-E4486	0	Nimm den Posten; nimm den Posten; stelle den Posten ein; gib den Posten auf Grad I; schließe den Schritt.
CH+E	CELESTIAL	1	1	1	1	NO	G407-E1392	0	Nimm auf Grad I.
CH+E+AR	BIOLOGICAL	1	1	1	1	NO	G407-E2089	0	Nimm vom Ausgang auf Grad I.
CH+E+AR	HERBAL	2	2	2	2	YES	G407-E0508	1	Nimm vom Ausgang auf Grad I.
CH+E+AR	PHARMA	3	2	3	3	YES	G407-E3807	2	Nimm vom Ausgang auf Grad I.
CH+E+AR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0042	0	Nimm vom Ausgang auf Grad I.
CH+E+A_ADDR+D_ADDR	PHARMA	1	1	1	1	NO	G407-E4178	0	Nimm auf Grad I hier und hier.
CH+E+CH+K+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2385	0	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I und auf Grad I.
CH+E+CH+K+O	BIOLOGICAL	1	1	1	1	NO	G407-E3261	0	Nimm; nimm; gib auf Grad I als Ausführung.
CH+E+CH+K+Y	BIOLOGICAL	5	5	1	1	NO	G407-E1499	0	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I.
CH+E+CH+K+Y	CELESTIAL	1	1	1	1	NO	G407-E1328	0	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I.
CH+E+CH+K+Y	PHARMA	1	1	1	1	NO	G407-E4052	0	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I.
CH+E+CH+P+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3528	0	Nimm; nimm; setze ein auf Grad I und auf Grad I; schließe den Schritt.
CH+E+LOCAL_CHAR_F+AR	HERBAL	1	1	1	1	NO	G407-E4509	0	Nimm vom Ausgang auf Grad I mit der lokalen Variante.
CH+E+LOCAL_CHAR_G	BIOLOGICAL	1	1	1	1	NO	G407-E3496	0	Nimm auf Grad I mit der lokalen Variante.
CH+E+O	BIOLOGICAL	1	1	1	1	NO	G407-E2126	0	Nimm auf Grad I als Ausführung.
CH+E+O	CELESTIAL	2	2	1	1	NO	G407-E1224	0	Nimm auf Grad I als Ausführung.
CH+E+O	PHARMA	3	2	2	2	YES	G407-E4193	2	Nimm auf Grad I als Ausführung.
CH+E+O+AL	PHARMA	2	1	2	2	YES	G407-E4188	1	Nimm am Zielort auf Grad I als Ausführung.
CH+E+O+AM_ADDR	PHARMA	4	2	2	2	YES	G407-E3834	2	Nimm auf Grad I als Ausführung hier.
CH+E+O+AR	HERBAL	1	1	1	1	NO	G407-E0779	0	Nimm vom Ausgang auf Grad I als Ausführung.
CH+E+O+CH+K+Y	PHARMA	2	1	1	1	NO	G407-E4013	0	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I als Ausführung.
CH+E+O+CH+P+Y	PHARMA	1	1	1	1	NO	G407-E4146	0	Nimm den Posten; nimm den Posten; setze den Posten ein auf Grad I als Ausführung.
CH+E+O+D_ADDR+AIN	PHARMA	1	1	1	1	NO	G407-E4184	0	Nimm den Anteil auf Grad I als Ausführung hier.
CH+E+O+K	PHARMA	1	1	1	1	NO	G407-E4307	0	Nimm; gib auf Grad I als Ausführung.
CH+E+O+K+AL	PHARMA	1	1	1	1	NO	G407-E3936	0	Nimm; gib am Zielort auf Grad I als Ausführung.
CH+E+O+K+AM_ADDR	PHARMA	1	1	1	1	NO	G407-E3955	0	Nimm; gib auf Grad I als Ausführung hier.
CH+E+O+K+OR+CH+E+Y	CELESTIAL	1	1	1	1	NO	G407-E1044	0	Nimm die Einheit und den Posten; gib die Einheit und den Posten; nimm die Einheit und den Posten auf Grad I und auf Grad I als Ausführung.
CH+E+O+K+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3339	0	Nimm den Posten; gib den Posten auf Grad I als Ausführung.
CH+E+O+K+Y	CELESTIAL	1	1	1	1	NO	G407-E1149	0	Nimm den Posten; gib den Posten auf Grad I als Ausführung.
CH+E+O+K+Y	PHARMA	2	2	1	1	NO	G407-E4101	0	Nimm den Posten; gib den Posten auf Grad I als Ausführung.
CH+E+O+L	BIOLOGICAL	14	7	3	3	YES	G407-E2134	12	Nimm über die Verbindung auf Grad I als Ausführung.
CH+E+O+L	CELESTIAL	3	3	1	1	NO	G407-E1078	0	Nimm über die Verbindung auf Grad I als Ausführung.
CH+E+O+L	HERBAL	1	1	1	1	NO	G407-E0674	0	Nimm über die Verbindung auf Grad I als Ausführung.
CH+E+O+L	PHARMA	11	3	2	2	YES	G407-E3828	5	Nimm über die Verbindung auf Grad I als Ausführung.
CH+E+O+L+S	CELESTIAL	1	1	1	1	NO	G407-E1094	0	Nimm; wähle über die Verbindung auf Grad I als Ausführung.
CH+E+O+L+Y	PHARMA	1	1	1	1	NO	G407-E4223	0	Nimm den Posten über die Verbindung auf Grad I als Ausführung.
CH+E+O+LOCAL_CHAR_J+A_ADDR+AM_ADDR	PHARMA	1	1	1	1	NO	G407-E3835	0	Nimm auf Grad I als Ausführung mit der lokalen Variante, hier und hier.
CH+E+O+R	BIOLOGICAL	3	2	2	2	YES	G407-E2156	1	Nimm; markiere auf Grad I als Ausführung.
CH+E+O+R	CELESTIAL	4	4	1	1	NO	G407-E1032	0	Nimm; markiere auf Grad I als Ausführung.
CH+E+O+R	PHARMA	9	5	3	3	YES	G407-E3879	8	Nimm; markiere auf Grad I als Ausführung.
CH+E+O+R+OL	PHARMA	1	1	1	1	NO	G407-E3966	0	Weiter: Nimm; markiere auf Grad I als Ausführung.
CH+E+O+S	CELESTIAL	1	1	1	1	NO	G407-E1017	0	Nimm; wähle auf Grad I als Ausführung.
CH+E+O+S	PHARMA	3	3	3	3	YES	G407-E3830	2	Nimm; wähle auf Grad I als Ausführung.
CH+E+O+T+E+Y	PHARMA	1	1	1	1	NO	G407-E3919	0	Nimm den Posten; stelle den Posten ein auf Grad I und auf Grad I als Ausführung.
CH+E+O+Y	HERBAL	1	1	1	1	NO	G407-E0715	0	Nimm den Posten auf Grad I als Ausführung.
CH+E+O+Y	PHARMA	12	7	1	1	NO	G407-E3826	0	Nimm den Posten auf Grad I als Ausführung.
CH+E+OL+CH+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2115	0	Weiter: Nimm den Posten; nimm den Posten auf Grad I und auf Grad I.
CH+E+OL+T+AR	BIOLOGICAL	1	1	1	1	NO	G407-E3162	0	Weiter: Nimm; stelle vom Ausgang ein auf Grad I.
CH+E+P	BIOLOGICAL	1	1	1	1	NO	G407-E1848	0	Nimm; setze ein auf Grad I.
CH+E+P+OL	BIOLOGICAL	1	1	1	1	NO	G407-E3458	0	Weiter: Nimm; setze ein auf Grad I.
CH+E+P+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2051	0	Nimm den Posten; setze den Posten ein auf Grad I.
CH+E+P+Y	PHARMA	1	1	1	1	NO	G407-E4065	0	Nimm den Posten; setze den Posten ein auf Grad I.
CH+E+S	BIOLOGICAL	4	4	2	2	YES	G407-E1897	2	Nimm; wähle auf Grad I.
CH+E+S	CELESTIAL	2	1	1	1	NO	G407-E1334	0	Nimm; wähle auf Grad I.
CH+E+T+CH+Y	PHARMA	1	1	1	1	NO	G407-E3922	0	Nimm den Posten; stelle den Posten ein; nimm den Posten auf Grad I.
CH+E+T+E+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3037	0	Nimm den Posten; stelle den Posten ein auf Grad I und auf Grad I hier.
CH+E+T+E+LOCAL_CHAR_G	HERBAL	1	1	1	1	NO	G407-E0491	0	Nimm; stelle ein auf Grad I und auf Grad I mit der lokalen Variante.
CH+E+T+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2410	0	Nimm den Posten; stelle den Posten ein auf Grad I und auf Grad I.
