surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	working_meaning_de	decision
ockhedy	f39v	f39v.13	dain ockhedy otedy okedy lchdy okaiin daiiin y	dain ockhedy otedy okedy lchdy okaiin daiiiny	dain oe y ote y oke y lchdy okaiin daiiin y	READER_VARIANT	Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chockhey	f100v	f100v.17	chockhey sholkcheol qokeol okol chol chotor chso solcthy	chockhey cholkcheol qokeol okol chol chotor chso solcthy	chocthey sholkcheol qokeol okol chol chotor chso solcthy	READER_VARIANT	Arzneikompositum im Trockenansatz in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
cheockhy	f87v	f87v.3	y cheockhy okey cthy yteeor os	ycheockhy okey cthy yteeor ctos	ycheockhy okey cthy yteeor os	READER_VARIANT	trocken angesetztes Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheockhey	f104r	f104r.23	ol sheockhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol	ol sheo ckhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol	ol sheockhey chol kechd okeedal lkain cholkeeo y otchor aiir chol kar alol	ALL_THREE_SPLIT_NORMALIZED	feucht angesetztes Arzneikompositum in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chokeey	f25v	f25v.5	dar chokeey dshor dshey qochol dol cho daiin daiin	dar chakeey dshor dshey qochol dol cho daiin daiin	dar chokeey dshor dshey qochol dol cho d aiin daiin	READER_VARIANT	heiß-trockener Ansatz am Gradende	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chokedy	f108r	f108r.2	qokeedy chokedy chockhed qokeor shedy otal otaiin otedy qokechy ofchdy qody	qokeedy chokody chockhed qokeor shedy otal otaiin otedy qokechy ofchdy qody	qokeedy chotedy chockhed qokeor shedy otal otaiin otedy qokechy ofchdy qody	READER_VARIANT	heiß-trockener Ansatz in der Gradmitte, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chokedy	f115v	f115v.26	dcheedy kchedy lcheey ror al chokedy dol qokeeeos qolkeedy qokar ar	dcheedy kchedy lcheey ror al chokedy dol qokeeeos qolkeedy qokar ar	dcheedy kchedy lcheey ror al choke y dol qokeeeos qolkee y qokar ar	READER_VARIANT	heiß-trockener Ansatz in der Gradmitte, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
cheokedy	f113r	f113r.28	sar al chal os akchy daiin cheeeo rain otain chol lcholkaiin cheokedy lodas	sar al chal os akchy daiin cheeeo rain otiiin chol lcholkaiin cheokedy lodar	sar al chal os akchy daiin cheeeorain otain chol lcholkaiin cheoke y lo ar	READER_VARIANT	trocken angesetzte heiße Zubereitung in der Gradmitte, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shokey	f103r	f103r.43	tar cheal ol sheey qotal sheal qokal sheedy okeshedy shokey qokaiin	tar cheal ol sheey qotal sheal qokal sheedy okeshedy shokey qokaiin	tar cheal ol sheey qotal sheal qokal shee y okeshedy okey qokaiin	READER_VARIANT	heiß-feuchter Ansatz in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shokeey	f47r	f47r.8	shokeey chy tchod choy sho chtchy char ctham	shokeey chy tchod choy sho chtchyf char ctham	sho keey chy tchod choy sho cht chy kchar ctham	ALL_THREE_SPLIT_NORMALIZED	heiß-feuchter Ansatz am Gradende	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheoky	f77r	f77r.23	sheoky qokaiin chedy lchedy olshedy qokeedy chedy qokal	sheoky qokaiin chedy lchedy olshedy qokeedy chedy qokol	eoky qokaiin che y lche y olshe y qokeedy chedy qokal	READER_VARIANT	feucht angesetzte heiße Zubereitung am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheoky	f80r	f80r.48	sal shy loiin cheey qotl shety sheoky qokaiin cheey ram	sal shy loiin cheey qotl shety cheoky qokain cheey ram	sal shy loiin cheey qotl shety sheoky qokiiin cheey ram	READER_VARIANT	feucht angesetzte heiße Zubereitung am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
osal	f88r	f88r.2	osal	oral	osal	READER_VARIANT	Ansatz aus Saatrohstoff, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oral	f112r	f112r.40	sain okal lkeedy okar okchedy qokal keedy chkey oty oral	sain okal lkeedy okar okchedy qokal keedy chkey oto aral	sain okal lkeedy okar okchedy qokal keedy chkey oto aral	READER_VARIANT	Ansatz aus Wurzelrohstoff, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oral	f112v	f112v.2	oar oral okeeshy qokeey okain qokal okeol oty oraiin	oar osal okeeshy qokeey okain qokal okeol oty oraiin	oar sal okeeshy qokeey okain qokal okeol ot oraiin	READER_VARIANT	Ansatz aus Wurzelrohstoff, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oral	f79r	f79r.19	sol cheey chol sain oral shey qokain sheyky shoty oly	sol cheey chol sain or al shey qokain sheyky shoky oly	sol cheey chol sain or al shey qokain sheyky shoky oly	ALL_THREE_SPLIT_NORMALIZED	Ansatz aus Wurzelrohstoff, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oral	f79v	f79v.33	por ar or yteey teey okar oshey qoky chey okeey ldy oral	por ar or yteey teey otar oshey qoky chey okeey ldy orol	por ar or yteey teey okar oshey qoky chey keey ldy orol	READER_VARIANT	Ansatz aus Wurzelrohstoff, Form I	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
