family	surface	composition	predicted_reading_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	planned_status	final_status
QUALITY_NEUTRAL_CKH_GRID	ckheedy	CKH_LEARNED+ee+d+y	Arzneikompositum am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
O_PREP_CKH_GRID	ockheey	O_PREP+CKH_LEARNED+ee+y	Ansatz eines Arzneikompositums am Gradende	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
O_PREP_CKH_GRID	ockhdy	O_PREP+CKH_LEARNED+d+y	Ansatz eines Arzneikompositums am Gradanfang, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
O_PREP_CKH_GRID	ockheedy	O_PREP+CKH_LEARNED+ee+d+y	Ansatz eines Arzneikompositums am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	chockheey	ch+O_PREP+CKH_LEARNED+ee+y	Arzneikompositum im Trockenansatz am Gradende	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	chockhdy	ch+O_PREP+CKH_LEARNED+d+y	Arzneikompositum im Trockenansatz am Gradanfang, abgeschlossen	1	1	0	0	ZERO_EXACT_HOLD	ZERO_EXACT_HOLD
QUALIFIED_O_PREP_CKH_GRID	chockheedy	ch+O_PREP+CKH_LEARNED+ee+d+y	Arzneikompositum im Trockenansatz am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	cheockheey	ch+E_ATTR+O_PREP+CKH_LEARNED+ee+y	trocken angesetztes Arzneikompositum am Gradende	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	cheockhdy	ch+E_ATTR+O_PREP+CKH_LEARNED+d+y	trocken angesetztes Arzneikompositum am Gradanfang, abgeschlossen	0	0	0	0	BRIDGE_ONLY_HOLD	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	cheockhedy	ch+E_ATTR+O_PREP+CKH_LEARNED+e+d+y	trocken angesetztes Arzneikompositum in der Gradmitte, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	cheockheedy	ch+E_ATTR+O_PREP+CKH_LEARNED+ee+d+y	trocken angesetztes Arzneikompositum am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	shockheey	sh+O_PREP+CKH_LEARNED+ee+y	Arzneikompositum im Feuchtansatz am Gradende	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	shockhdy	sh+O_PREP+CKH_LEARNED+d+y	Arzneikompositum im Feuchtansatz am Gradanfang, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	shockhedy	sh+O_PREP+CKH_LEARNED+e+d+y	Arzneikompositum im Feuchtansatz in der Gradmitte, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	shockheedy	sh+O_PREP+CKH_LEARNED+ee+d+y	Arzneikompositum im Feuchtansatz am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	sheockheey	sh+E_ATTR+O_PREP+CKH_LEARNED+ee+y	feucht angesetztes Arzneikompositum am Gradende	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	sheockhdy	sh+E_ATTR+O_PREP+CKH_LEARNED+d+y	feucht angesetztes Arzneikompositum am Gradanfang, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_CKH_GRID	sheockhedy	sh+E_ATTR+O_PREP+CKH_LEARNED+e+d+y	feucht angesetztes Arzneikompositum in der Gradmitte, abgeschlossen	1	1	0	0	ZERO_EXACT_HOLD	ZERO_EXACT_HOLD
QUALIFIED_O_PREP_CKH_GRID	sheockheedy	sh+E_ATTR+O_PREP+CKH_LEARNED+ee+d+y	feucht angesetztes Arzneikompositum am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
O_PREP_K_CONTROL_LADDER	oky	O_PREP+K_HEISS+y	heißer Ansatz am Gradanfang	89	66	80	80	V28_ANCHOR	V28_ANCHOR
O_PREP_K_CONTROL_LADDER	okey	O_PREP+K_HEISS+e+y	heißer Ansatz in der Gradmitte	40	24	36	36	V28_ANCHOR	V28_ANCHOR
O_PREP_K_CONTROL_LADDER	okeey	O_PREP+K_HEISS+ee+y	heißer Ansatz am Gradende	138	49	116	117	V28_ANCHOR	V28_ANCHOR
O_PREP_K_CONTROL_LADDER	okdy	O_PREP+K_HEISS+d+y	heißer Ansatz am Gradanfang, abgeschlossen	1	1	1	1	V28_ANCHOR	V28_ANCHOR
O_PREP_K_CONTROL_LADDER	okedy	O_PREP+K_HEISS+e+d+y	heißer Ansatz in der Gradmitte, abgeschlossen	87	42	47	47	V28_ANCHOR	V28_ANCHOR
O_PREP_K_CONTROL_LADDER	okeedy	O_PREP+K_HEISS+ee+d+y	heißer Ansatz am Gradende, abgeschlossen	94	46	49	49	V28_ANCHOR	V28_ANCHOR
QUALIFIED_O_PREP_K_GRID	choky	ch+O_PREP+K_HEISS+y	heiß-trockener Ansatz am Gradanfang	32	28	30	30	V28_ANCHOR	V28_ANCHOR
QUALIFIED_O_PREP_K_GRID	chokdy	ch+O_PREP+K_HEISS+d+y	heiß-trockener Ansatz am Gradanfang, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_K_GRID	cheokdy	ch+E_ATTR+O_PREP+K_HEISS+d+y	trocken angesetzte heiße Zubereitung am Gradanfang, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_K_GRID	cheokeedy	ch+E_ATTR+O_PREP+K_HEISS+ee+d+y	trocken angesetzte heiße Zubereitung am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_K_GRID	shokdy	sh+O_PREP+K_HEISS+d+y	heiß-feuchter Ansatz am Gradanfang, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_K_GRID	shokedy	sh+O_PREP+K_HEISS+e+d+y	heiß-feuchter Ansatz in der Gradmitte, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_K_GRID	shokeedy	sh+O_PREP+K_HEISS+ee+d+y	heiß-feuchter Ansatz am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_K_GRID	sheokeey	sh+E_ATTR+O_PREP+K_HEISS+ee+y	feucht angesetzte heiße Zubereitung am Gradende	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_K_GRID	sheokdy	sh+E_ATTR+O_PREP+K_HEISS+d+y	feucht angesetzte heiße Zubereitung am Gradanfang, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
QUALIFIED_O_PREP_K_GRID	sheokedy	sh+E_ATTR+O_PREP+K_HEISS+e+d+y	feucht angesetzte heiße Zubereitung in der Gradmitte, abgeschlossen	1	1	0	0	ZERO_EXACT_HOLD	ZERO_EXACT_HOLD
