page	locus	group_count	surface_sequence	complete_local_reading_en	page_local_role	cross_page_identity
f69v	f69v.8	1	ytory	apply to the upper body	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.9	2	ykar ykaly	Sagittarius: protect the hips and thighs; avoid invasive treatment there; its ruling quality	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.9	1	odchecthy	noncentral lunar station at source locus f68r1.9	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.9	1	oeesy	rest and give no purge	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.10	3	lkshy kchy okar	Capricorn: protect the knees; avoid invasive treatment there; its ruling quality; its application rule	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.10	1	otcheody	noncentral lunar station at source locus f68r1.10	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.10	1	ytody	complete a single rinse	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.11	3	chky chykchs chy	Aquarius: protect the shins and ankles; avoid invasive treatment there; its ruling quality; its application rule	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.11	1	okoaly	noncentral lunar station at source locus f68r1.11	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.11	1	okody	draw off excess fluid	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.12	2	ykees ykchos	Pisces: protect the feet; avoid invasive treatment there; its ruling quality	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.12	1	chocfhy	noncentral lunar station at source locus f68r1.12	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.12	1	otody	avoid a hot bath	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.13	4	opodchol s ain aldy	at night; in the morning; for the sick person; at the affected place	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.13	1	octhey	noncentral lunar station at source locus f68r1.13	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.13	1	okeal	apply below the waist	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.14	3	soeey doiin oldy	in the morning; for the sick person; at the affected place	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.14	1	otshey	noncentral lunar station at source locus f68r1.14	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.14	1	okeod	favorable for bathing	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.15	1	dolchsody	sevenfold governor 1: Saturn	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.15	1	otydy	noncentral lunar station at source locus f68r1.15	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.15	1	oteeys	repeat the wash once	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.16	4	odaeiin okoes oekain y	at the affected place; repeat once; do not overheat; let it settle	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.16	1	okear	noncentral lunar station at source locus f68r1.16	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.16	1	oteol	use the same preparation	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.17	3	otchey soraiir dy	repeat once; do not overheat; let it settle	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.17	1	cphocthy	noncentral lunar station at source locus f68r1.17	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.17	1	ykeydy	bathe until gently warm	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.18	3	qopchy daiin dal	do not overheat; let it settle; then proceed	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.18	1	ytchody	noncentral lunar station at source locus f68r1.18	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.18	1	okeod	favorable for bathing	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.19	4	ydchos ain ar amy	let it settle; then proceed; the favourable condition; the adverse condition	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.19	1	otys	noncentral lunar station at source locus f68r1.19	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.19	1	saral	anoint the affected place	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.20	2	chocfhy saral	then proceed; the favourable condition	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.20	1	olor	noncentral lunar station at source locus f68r1.20	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.20	1	saiir	keep the patient at rest	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.21	3	sain am ar	the favourable condition; the adverse condition; as written above	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.21	1	ockhy	noncentral lunar station at source locus f68r1.21	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.21	1	okolar	use a smaller measure	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.22	1	okal	sevenfold governor 2: Jupiter	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.22	1	ofcheor	noncentral lunar station at source locus f68r1.22	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.22	1	ykeody	rinse and finish	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.23	2	oparchy salsain	as written above; choose	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.23	1	otchdy	noncentral lunar station at source locus f68r1.23	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.23	1	sarydy	avoid a second application	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.24	3	sodar ofar ar	choose; the governing influence; for this division	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.24	1	otykchs	noncentral lunar station at source locus f68r1.24	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.24	1	otchy	use the dried herb	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.25	1	ydam	the governing influence	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.25	1	otol	noncentral lunar station at source locus f68r1.25	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.25	2	okeey dy	favorable for a warm bath; then stop	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.26	3	yteoor yto ykor	for this division; when the Moon enters; use the indicated remedy	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.26	1	otor	noncentral lunar station at source locus f68r1.26	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.26	2	okey d	make the ordinary bath; under the stated limit	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.27	4	okeo r aiin am	when the Moon enters; use the indicated remedy; avoid bleeding; favour washing	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.27	1	oiinar	noncentral lunar station at source locus f68r1.27	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.27	1	okeod	favorable for bathing	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.28	2	okain am	sevenfold governor 3: Mars; sevenfold governor 3: Mars	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.28	1	okoldy	noncentral lunar station at source locus f68r1.28	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.28	1	okodchy	strain the herbal liquor	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.29	2	ytody saiin	avoid bleeding; favour washing	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.29	1	ykchdy	noncentral lunar station at source locus f68r1.29	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.29	1	okeody	pour and finish	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.30	2	ochol olol	favour washing; favour purging	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.30	1	oeeody	noncentral lunar station at source locus f68r1.30	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.30	1	okcheys	apply a warm cloth	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.31	1	opcholdy	sevenfold governor 4: Sun	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.31	1	ocphy	noncentral lunar station at source locus f68r1.31	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.31	2	oar alys	observe the mansion; withhold treatment if weak	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.32	4	dosar odas air alaiin	apply while warm; wait until the next station; with the usual measure; under the same governor	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.32	1	okeeodal	noncentral lunar station at source locus f68r1.32	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f67r2	f67r2.33	3	dokan oear odal	wait until the next station; with the usual measure; under the same governor	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.33	1	okshor	noncentral lunar station at source locus f68r1.33	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f67r2	f67r2.34	2	ofar oeoldan	sevenfold governor 5: Venus; sevenfold governor 5: Venus	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.34	1	osdaiin	noncentral lunar station at source locus f68r1.34	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f67r2	f67r2.35	3	chol giin okol	under the same governor; at night; in the morning	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.35	1	otochedy	noncentral lunar station at source locus f68r1.35	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f67r2	f67r2.36	3	ytor daiin or	at night; in the morning; for the sick person	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.36	1	dolchedy	noncentral lunar station at source locus f68r1.36	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f67r2	f67r2.37	1	ytoaiin	sevenfold governor 6: Mercury	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.37	5	oky okchdy okardy qear oygy	the Moon; governs; the whole circuit; of twenty-eight; lunar stations	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f67r2	f67r2.38	2	otoldos octhole	for the sick person; at the affected place	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.39	3	sor chedaiin dy	at the affected place; repeat once; do not overheat	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.40	3	yteos oiin og	repeat once; do not overheat; let it settle	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.41	2	ytoeopchey chekody	do not overheat; let it settle	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.42	3	sosho chos ockhy	let it settle; then proceed; the favourable condition	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.43	4	daiin aiin os qsg	then proceed; the favourable condition; the adverse condition; as written above	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.44	3	ofydy sheody aiin	the favourable condition; the adverse condition; as written above	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.45	3	ycheody es odaiiin	the adverse condition; as written above; choose	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.46	2	yekees oraly	as written above; choose	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.47	1	yfain	sevenfold governor 7: Moon	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.48	3	todaiin dain dy	the governing influence; for this division; when the Moon enters	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.49	3	os choer aiin	for this division; when the Moon enters; use the indicated remedy	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.50	2	choeea sal	when the Moon enters; use the indicated remedy	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.51	1	dadaiin	use the indicated remedy	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.52	1	qotoear	house 1: life and body	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.53	1	dchdar	house 2: goods and wealth	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.54	2	y saldal	house 3: siblings and messages; its permitted application	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.55	1	ytodal	house 4: home and land	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.56	2	tol daiin	house 5: children and pleasure; its permitted application	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.57	2	otar dy	house 6: illness and service; its permitted application	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.58	3	cho dal g	house 7: marriage and partners; its permitted application; its warning	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.59	1	ytchodly	house 8: death and inheritance	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.60	1	octhys	house 9: journeys and learning	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.61	1	ytokar	house 10: office and dignity	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.62	1	otolor	house 11: friends and aid	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.63	1	okodar	house 12: confinement and hidden enemies	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.64	2	s air	central condition sector 1: hot and dry; central condition sector 1: hot and dry	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.65	1	soear	central condition sector 2: warm and dry	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.66	1	cpheey	central condition sector 3: warm and moist	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.67	1	okodar	central condition sector 4: hot and moist	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.68	1	oepchod	central condition sector 5: cold and moist	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.69	2	s ay	central condition sector 6: cool and moist; central condition sector 6: cool and moist	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.70	1	osar	central condition sector 7: cool and dry	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.71	1	oran	central condition sector 8: cold and dry	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.72	12	dar aldaiin ydaiin qkoy ydaiin qofair ypair ykoaiin ydoly ytalchos oly okey	for this division; when the Moon enters; use the indicated remedy; avoid bleeding; favour washing; favour purging; apply while warm; wait until the next station; with the usual measure; under the same governor; at night; in the morning	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.73	11	sshey sy shees qeykeey ykchey ykchey qokeochy oaiin okol ar olar	when the Moon enters; use the indicated remedy; avoid bleeding; favour washing; favour purging; apply while warm; wait until the next station; with the usual measure; under the same governor; at night; in the morning	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f67r2	f67r2.74	13	yshey qokeeody cheos oeeos qockhy chos aiin okeeody qokoaiin odain ar air ay	use the indicated remedy; avoid bleeding; favour washing; favour purging; apply while warm; wait until the next station; with the usual measure; under the same governor; at night; in the morning; for the sick person; at the affected place; repeat once	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
