source_id	work	record_type	date_band	region	language	slot_signature	whole_plus_code_layout	entry_count_scope	primary_url	secondary_url	local_evidence_path	evidence_summary	caveat	relation_credit
HSR011	Wellcome MS.492 pharmacological corpus	PRIMARY_MANUSCRIPT	1460-1475	Tuscany	Latin|Italian	INGREDIENT|UNIT|ROMAN_VALUE|ANA	RECIPE_LIST_WITH_SEPARATE_UNIT_AND_NUMBER	TARGETED_F80V_F194R_ROWS	https://wellcomecollection.org/works/enyfjnay	NONE	experiments/yolo/gdt626_mobile_operation_lexicon/artifacts/HISTORICAL_NUMERAL_COMPARATORS.tsv	Attests final-j Roman sequences and separate ana, unit and number slots.	Several decades late and numerals are normally graphically separate.	0
HSR012	Wellcome MS.307 recipe collection	PRIMARY_MANUSCRIPT	late 14th century	Northern Italy	Latin	INGREDIENT|ANA|UNIT|NUMBER|SEED	WHOLE_INGREDIENT_PLUS_COMPACT_DOSE_FIELD	TARGETED_F44R_F45V_ROWS	https://wellcomecollection.org/works/rexwctzt	NONE	experiments/yolo/gdt626_mobile_operation_lexicon/artifacts/HISTORICAL_NUMERAL_COMPARATORS.tsv	Separates equal-amount marker from unit and value in compact recipes.	Repeated in GDT626 and GDT636; no Voynich unit identification.	0
HSR013	Wellcome MS.683 medical recipes	PRIMARY_MANUSCRIPT	mid 15th century	North-east Italy	Latin	RECIPE|INGREDIENT|ANA|GRAIN|DRACHM|ROMAN_VALUE|PRODUCT_FORM	TERSE_COMMAND_PLUS_NAMED_PRODUCT_AND_DOSE	TARGETED_COMPARATOR_ROWS_NOT_FULL_ENTRY_COUNT	https://wellcomecollection.org/works/w6ne7k4t	NONE	experiments/yolo/gdt626_mobile_operation_lexicon/artifacts/HISTORICAL_NUMERAL_COMPARATORS.tsv	Supports bound amount slots and terse recipes beside named preparations.	Repeated in GDT626 and GDT734; does not identify an attachment direction.	0
HSR014	Manchester English MS.404 medical recipes	PRIMARY_MANUSCRIPT	15th century	England	Middle English	INGREDIENT|NUMBER|SEED|RECIPE	RECIPE_WITH_ADDITIVE_FINAL_J_NUMERAL	TARGETED_F5V_ROW	https://luna.manchester.ac.uk/luna/servlet/detail/Man4MedievalVC~4~4~112916~103710%3AMedical-recipes	NONE	experiments/yolo/gdt626_mobile_operation_lexicon/artifacts/HISTORICAL_NUMERAL_COMPARATORS.tsv	Attests iij and iiij in a medical recipe context.	Does not establish palaeographic identity with EVA minim tails.	0
HSR015	Salzburg UB M I 89 medical compilation	PRIMARY_MANUSCRIPT	turn of 14th and 15th century	Bavaria|Austria	Latin	PULVIS|SEMEN|RECIPE|DRUG_NAME	MIXED_MATERIA_HEADWORDS_IN_ONE_COMPILATION	TARGETED_F148V_F155V_F266R_ROWS	https://manuscripta.at/_scripts/php/msDescription2_m1_NEU.php?ID=8162&IDinitia=	https://manuscripta.at/diglit/AT7400-MI89/0298|https://manuscripta.at/diglit/AT7400-MI89/0533	experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/HISTORICAL_HEAD_MODEL.tsv	Shows pulvis and semen vocabulary coexisting in a period technical compilation.	Supports vocabulary ecology only, not p or s sign values.	0
HSR016	Vatican Pal.lat.1256 Synonyma and apothecary hybrid	PRIMARY_MANUSCRIPT	15th century	Latin Europe	Latin	DRUG_NAME|SYNONYM|SUBSTITUTE|DOSE|RECIPE	LEARNED_WHOLES_PLUS_RUBRIC_AND_DOSE_FIELDS	CANDIDATE_WITNESS_NOT_LOCALLY_ENTRY_COUNTED	https://digi.vatlib.it/view/MSS_Pal.lat.1256	NONE	experiments/yolo/gdt734_v99r7_recurrent_unknown_family_dispatch/artifacts/HISTORICAL_MICROENTRY_COMPARATORS.tsv	Supports learned names, synonym groups, substitutes and dose rubrics in one technical object.	Locally registered as an architectural comparator, not diplomatically extracted.	0
HSR017	Wellcome MS.5262 recipe collection	PRIMARY_MANUSCRIPT	15th century	Europe	Latin	RECIPE_COMMAND|POWDER|OINTMENT|PLASTER|PILL	COMMANDS_ALTERNATE_WITH_NAMED_PRODUCT_FORMS	CANDIDATE_WITNESS_NOT_LOCALLY_ENTRY_COUNTED	https://wellcomecollection.org/works/nuckbt25	NONE	experiments/yolo/gdt734_v99r7_recurrent_unknown_family_dispatch/artifacts/HISTORICAL_MICROENTRY_COMPARATORS.tsv	Supports separation of action wording from nominal preparation forms.	Catalogue-level comparator; no target word follows.	0
HSR018	GNM Hs. 1481a medical recipe witness	PRIMARY_MANUSCRIPT	15th century	German lands	German|Latin	INGREDIENT|ANA|GRAIN|RELATIVE_AMOUNT	INGREDIENT_LIST_PLUS_BOUND_QUANTITY_SLOT	CATALOGUE_SCOPE_NOT_ENTRY_COUNTED	https://kdih.badw.de/datenbank/handschrift/39/2/5	NONE	experiments/yolo/gdt734_v99r7_recurrent_unknown_family_dispatch/artifacts/HISTORICAL_MICROENTRY_COMPARATORS.tsv	Institutional catalogue comparator for bound amount notation.	No diplomatic row deck is cached locally.	0
HSR019	Alphita medico-botanical glossary	EDITED_MEDIEVAL_GLOSSARY	medieval source tradition; 1887 edition	England|Latin Europe	Latin	HEADWORD|SYNONYM|PLANT_PART|PROPERTY|CROSS_REFERENCE	ALPHABETIC_LEARNED_WHOLES_WITH_GLOSSES_AND_EQUIVALENTS	EDITED_GLOSSARY_243_PAGES_NOT_ROW_EXTRACTED	https://wellcomecollection.org/works/e45my5w6	https://wellcomecollection.org/works/d3vj2pnc	NONE	Institutional digital edition exposes a large alphabetic medico-botanical synonym and definition lexicon.	Modern edition of medieval material; must be row-extracted before quantitative comparison.	0
HSR020	Sinonoma Bartholomei	EDITED_MEDIEVAL_GLOSSARY	14th-century manuscript tradition; 1882 edition	England	Latin	HEADWORD|SYNONYM|PLANT_NAME|CROSS_REFERENCE	ALPHABETIC_WHOLE_NAME_EQUIVALENCE_LIST	OCR_SLICE_89200_CHARS_11768_TOKENS	https://www.pmb.ox.ac.uk/21-breviarium-bartholomei	https://www.biodiversitylibrary.org/bibliography/21781	NONE	Pembroke identifies MS 2 as the unique known Sinonoma witness; the public BHL edition exposes the glossary for field counting.	Edition OCR is not a diplomatic manuscript transcription; keep separate from Alphita despite textual relationship.	0
HSR021	Wellcome MS.624 Circa instans	PRIMARY_MANUSCRIPT	1440s-1450s	Germany	Latin	SIMPLE_DRUG_NAME|PROPERTY|QUALITY|USE	ALPHABETIC_SIMPLE_MEDICINE_ARTICLES	CATALOGUE_SCOPE_NOT_ENTRY_COUNTED	https://wellcomecollection.org/works/m36jrrsj	NONE	experiments/yolo/gdt634_known_core_terminal_semantics/artifacts/HISTORICAL_STEM_ANALOGIES.tsv	Institutional catalogue identifies an alphabetic Circa instans witness of simples and properties.	Slightly late and not yet diplomatically extracted into slot rows.	0
HSR022	Wellcome MS.625 Circa instans excerpt and index	PRIMARY_MANUSCRIPT	mid 15th century	German lands	Latin|German	HERB_NAME|SYNONYM|USE|INDEX_LOCATOR	SHORT_ARTICLES_PLUS_FOUR_COLUMN_INDEX	26_FOLIOS_CATALOGUE_SCOPE	https://wellcomecollection.org/works/azu6rju6	NONE	NONE	Institutional catalogue records a German Circa instans excerpt and a four-column index.	Beginning is missing; catalogue description is not a semantic transcription.	0
