page	locus	token_ordinal	surface	occurrence_within_token	canonical_lemma	matched_text	token_char_start	token_char_end	v62_source_matched_text	v62_source_gloss_de	v67_token_gloss_de	action_licensed	provenance_status
f115r	f115r.23	3	qokeod	2	abschließen	abschließen	27	38	abschließen	heißen Auszug bereiten und abschließen	heißen Auszug bereiten und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f115r	f115r.23	5	qokcho	1	erhitzen	erhitze	0	7	erhitze	erhitze, trockne und setze an	erhitze, trockne und setze an	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f115r	f115r.23	5	qokcho	2	trocknen	trockne	9	16	trockne	erhitze, trockne und setze an	erhitze, trockne und setze an	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f115r	f115r.23	5	qokcho	3	ansetzen	setze an	21	29	setze an	erhitze, trockne und setze an	erhitze, trockne und setze an	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f116r	f116r.12	1	qoin	1	nehmen	nehmen	15	21	nehmen	zweiten Ansatz nehmen	zweiten Ansatz nehmen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f23r	f23r.6	5	yky	1	erhitzen	erhitzen	14	22	erhitzen	hierzu leicht erhitzen	hierzu leicht erhitzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f23r	f23r.6	11	ytcho	1	herstellen	herstellen	35	45	herstellen	hieraus einen Kalt-Trockenansatz herstellen	hieraus eine kalte Trockenmischung herstellen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f23r	f23r.6	12	ldals	1	abmessen	abmessen	27	35	abmessen	eine Charge Holzrohdroge I abmessen	eine Charge Holzrohstoff I abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f24v	f24v.15	1	dchey	1	trocknen	trocknen	45	53	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f26r	f26r.2	4	ykecthey	1	erhitzen	erhitzen	39	47	erhitzen	hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f26r	f26r.2	4	ykecthey	2	abschließen	abschließen	52	63	abschließen	hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f26r	f26r.2	6	ytedy	1	abkühlen	abkühlen	28	36	abkühlen	hiervon bis zur Mittelstufe abkühlen und abschließen	hiervon bis zur Mittelstufe abkühlen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f26r	f26r.2	6	ytedy	2	abschließen	abschließen	41	52	abschließen	hiervon bis zur Mittelstufe abkühlen und abschließen	hiervon bis zur Mittelstufe abkühlen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f26r	f26r.2	8	checthedy	1	trocknen	trocknen	17	25	trocknen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f26r	f26r.2	8	checthedy	2	trocknen	trocknen	42	50	trocknen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f26r	f26r.2	8	checthedy	3	abschließen	abschließen	55	66	abschließen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f27r	f27r.9	1	dchey	1	trocknen	trocknen	45	53	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f30r	f30r.9	1	dchey	1	trocknen	trocknen	45	53	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f30r	f30r.9	2	qochar	1	nehmen	nehmen	25	31	nehmen	erste Trockenfraktion nehmen	trockenen Drogenanteil I nehmen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f30r	f30r.9	5	chcthey	1	trocknen	trocknen	35	43	trocknen	Krautdroge bis zur mittleren Stufe trocknen	Krautdroge bis zur mittleren Stufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f30r	f30r.9	7	cheky	1	erhitzen	erhitzen	44	52	erhitzen	bis zur mittleren Trockenstufe, dann leicht erhitzen	bis zur mittleren Trockenstufe, dann leicht erhitzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f49r	f49r.16	1	qocho	1	nehmen	nehmen	18	24	nehmen	Trockenansatz nehmen	getrocknete Droge nehmen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f49r	f49r.16	4	qotchody	1	abkühlen	abkühlen	0	8	abkühlen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f49r	f49r.16	4	qotchody	2	trocknen	trocknen	30	38	trocknen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f49r	f49r.16	4	qotchody	3	ansetzen	ansetzen	47	55	ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f56r	f56r.6	1	ykcho	1	bereiten	bereiten	35	43	bereiten	hieraus einen heiß-trockenen Ansatz bereiten	hieraus eine warme Trockenmischung bereiten	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f75r	f75r.3	4	qey	1	nehmen	nehmen	49	55	nehmen	die vorstehende Mittelstufenportion anschließend nehmen	die vorstehende Mittelstufenportion anschließend nehmen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f75r	f75r.3	6	sheeky	1	einweichen	einweichen	12	22	einweichen	vollständig einweichen, erhitzen und abschließen	vollständig einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f75r	f75r.3	6	sheeky	2	erhitzen	erhitzen	24	32	erhitzen	vollständig einweichen, erhitzen und abschließen	vollständig einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f75r	f75r.3	6	sheeky	3	abschließen	abschließen	37	48	abschließen	vollständig einweichen, erhitzen und abschließen	vollständig einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f76v	f76v.10	1	cphdor	1	abmessen	abmessen	30	38	abmessen	eine Portion Arzneikompositum abmessen	eine Portion Arzneikompositum abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f76v	f76v.10	3	qopchdy	1	nehmen	nehmen	27	33	nehmen	fertig getrocknetes Pulver nehmen	fertig getrocknetes Pulver nehmen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f77r	f77r.38	3	qoeedy	1	nehmen	nimm	0	4	nimm	nimm die Endportion hinzu	nimm die Endportion hinzu	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f77r	f77r.38	6	qol	1	zugeben	zugeben	12	19	zugeben	Drogenstoff zugeben	Drogenstoff zugeben	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f77r	f77r.38	9	qol	1	zugeben	zugeben	12	19	zugeben	Drogenstoff zugeben	Drogenstoff zugeben	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f77v	f77v.7	2	qolsheedy	1	zugeben	zugeben	38	45	zugeben	vollständig eingeweichten Drogenstoff zugeben und abschließen	vollständig eingeweichten Drogenstoff zugeben und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f77v	f77v.7	2	qolsheedy	2	abschließen	abschließen	50	61	abschließen	vollständig eingeweichten Drogenstoff zugeben und abschließen	vollständig eingeweichten Drogenstoff zugeben und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f77v	f77v.7	3	qy	1	nehmen	nehmen	8	14	nehmen	hiervon nehmen	hiervon nehmen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f77v	f77v.7	5	ycheedy	1	trocknen	trocknen	25	33	trocknen	hiervon bis zur Endstufe trocknen	hiervon bis zur Endstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f77v	f77v.7	11	qolky	1	hinzugeben	hinzugeben	29	39	hinzugeben	leicht erhitzten Drogenstoff hinzugeben	leicht erhitzten Drogenstoff hinzugeben	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f7r	f7r.2	1	dcheey	1	trocknen	trocknen	23	31	trocknen	eine Dosis vollständig trocknen und abschließen	eine Dosis vollständig trocknen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f7r	f7r.2	1	dcheey	2	abschließen	abschließen	36	47	abschließen	eine Dosis vollständig trocknen und abschließen	eine Dosis vollständig trocknen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f7r	f7r.2	5	dold	1	abmessen	abmessen	12	20	abmessen	Drogenstoff abmessen und abschließen	Drogenstoff abmessen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f7r	f7r.2	5	dold	2	abschließen	abschließen	25	36	abschließen	Drogenstoff abmessen und abschließen	Drogenstoff abmessen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	3	sheky	1	einweichen	einweichen	20	30	einweichen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	3	sheky	2	erhitzen	erhitzen	32	40	erhitzen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	3	sheky	3	abschließen	abschließen	45	56	abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	6	sheky	1	einweichen	einweichen	20	30	einweichen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	6	sheky	2	erhitzen	erhitzen	32	40	erhitzen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	6	sheky	3	abschließen	abschließen	45	56	abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	7	chetain	1	trocknen	trocknen	16	24	trocknen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	7	chetain	2	bringen	bringen	48	55	bringen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	11	sheky	1	einweichen	einweichen	20	30	einweichen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	11	sheky	2	erhitzen	erhitzen	32	40	erhitzen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	11	sheky	3	abschließen	abschließen	45	56	abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80r	f80r.17	13	da	1	abmessen	abmessen	15	23	abmessen	eine Teilmenge abmessen	eine Teilmenge abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80v	f80v.35	5	qol	1	zugeben	zugeben	12	19	zugeben	Drogenstoff zugeben	Drogenstoff zugeben	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f80v	f80v.35	6	qol	1	zugeben	zugeben	12	19	zugeben	Drogenstoff zugeben	Drogenstoff zugeben	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f83v	f83v.12	4	lldar	1	abmessen	abmessen	23	31	abmessen	erste Holzdrogenfraktion abmessen	Anteil I der Holzdroge abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.13	3	tcheody	1	abkühlen	abkühlen	0	8	abkühlen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.13	3	tcheody	2	trocknen	trocknen	30	38	trocknen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.13	3	tcheody	3	ansetzen	ansetzen	43	51	ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.13	10	qokady	1	erhitzen	erhitzen	20	28	erhitzen	einen gleichen Teil erhitzen	einen gleichen Teil erhitzen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.18	4	qopchol	1	nehmen	nimm	0	4	nimm	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.19	1	dchey	1	trocknen	trocknen	45	53	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.19	3	olkechy	1	erhitzen	erhitzen	17	25	erhitzen	Holzdrogenansatz mäßig erhitzen, trocknen und abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.19	3	olkechy	2	trocknen	trocknen	27	35	trocknen	Holzdrogenansatz mäßig erhitzen, trocknen und abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.19	3	olkechy	3	abschließen	abschließen	40	51	abschließen	Holzdrogenansatz mäßig erhitzen, trocknen und abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.19	4	qokam	1	nehmen	nimm	0	4	nimm	nimm ein Maß und erhitze es	nimm ein Maß und erhitze es	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v3	f86v3.19	4	qokam	2	erhitzen	erhitze	17	24	erhitze	nimm ein Maß und erhitze es	nimm ein Maß und erhitze es	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v5	f86v5.2	7	qopchol	1	nehmen	nimm	0	4	nimm	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v5	f86v5.2	10	ytol	1	abkühlen	kühle hiervon den Drogenstoff ab	0	32	kühle hiervon den Drogenstoff ab	kühle hiervon den Drogenstoff ab	kühle hiervon den Drogenstoff ab	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v5	f86v5.24	3	ykain	1	erhitzen	erhitze	0	7	erhitze	erhitze hiervon auf Stufe II	erhitze hiervon auf Stufe II	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v5	f86v5.4	1	ypchesy	1	trocknen	trocknen	40	48	trocknen	hiervon Samenpulver bis zur Mittelstufe trocknen	hiervon Samenpulver bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v6	f86v6.25	1	yteedy	1	abkühlen	abkühlen	25	33	abkühlen	hiervon bis zur Endstufe abkühlen	hiervon bis zur Endstufe abkühlen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v6	f86v6.25	4	qodar	1	abmessen	abmessen	15	23	abmessen	die erste Ansatzfraktion abmessen	Drogenanteil I abmessen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v6	f86v6.25	5	ykaiin	1	erhitzen	erhitze	0	7	erhitze	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v6	f86v6.31	10	otytam	1	nehmen	nehmen	27	33	nehmen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f86v6	f86v6.31	10	otytam	2	kühlen	kühlen	45	51	kühlen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
f88r	f88r.19	1	dchey	1	trocknen	trocknen	45	53	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	EXACT_V67_TOKEN_SPAN_TO_GDT689_ACTION_ORDINAL
