family_id	base_dictation	contrast_cue	contrast_kind	target_controlled_phrase	target_joint_tuple_ids	full_dictation	fixed_formula	teaching_rule
B04	Fortsetzung + FOLGE+LANG	STUFE	REPEATED_SEMANTIC_CUE	BEZUG[Langfolgestufe]	ff178343c18e287ce3b7	Fortsetzung + FOLGE+LANG + STUFE	B04::BEZUG[Langfolgestufe]	COMPOSE
B04	Fortsetzung + FOLGE+POSTEN	GLEICHER_POSTEN	REPEATED_SEMANTIC_CUE	BEZUG[Weiterposten]	e2eb77ca9d9e1a8ba29a	Fortsetzung + FOLGE+POSTEN + GLEICHER_POSTEN	B04::BEZUG[Weiterposten]	COMPOSE
B04	Fortsetzung + FOLGE+POSTEN	NÄCHSTER_POSTEN	REPEATED_SEMANTIC_CUE	BEZUG[Folgeposten]	a48efd6c4491a046ba78|faf321940aed922846a9	Fortsetzung + FOLGE+POSTEN + NÄCHSTER_POSTEN	B04::BEZUG[Folgeposten]	COMPOSE
B04	Fortsetzung + FOLGE+POSTEN	NÄCHSTES_WEITER	REPEATED_SEMANTIC_CUE	BEZUG[Folgefortsetzungsposten]	af816c04e65874a0f2fa	Fortsetzung + FOLGE+POSTEN + NÄCHSTES_WEITER	B04::BEZUG[Folgefortsetzungsposten]	COMPOSE
D04	Wärmen + LANG	HANDLUNG	GRAMMATICAL_ASPECT	ZUSTAND[Langwärmen]	a84fbe3ad380df345b97|f0db6d30cd34f4cb2a4d	Wärmen + LANG + HANDLUNG	D04::ZUSTAND[Langwärmen]	COMPOSE
D04	Wärmen + LANG	ZUSTAND	GRAMMATICAL_ASPECT	ZUSTAND[Langwärme]	2c1a5fd92b9e3c762242	Wärmen + LANG + ZUSTAND	D04::ZUSTAND[Langwärme]	COMPOSE
M01	Sollmaß + MASS	EINSTELLUNG	REPEATED_SEMANTIC_CUE	MASS[Sollstellung]	b5fcea1eaed06b2f2291	Sollmaß + MASS + EINSTELLUNG	M01::MASS[Sollstellung]	COMPOSE
M01	Sollmaß + MASS	MENGE	REPEATED_SEMANTIC_CUE	MASS[Sollmaß]	2f1c5e56e8f0ff459065	Sollmaß + MASS + MENGE	M01::MASS[Sollmaß]	COMPOSE
M02	Portion + POSTEN+PORTION	NORMALE_PORTION	NOMENCLATOR_MNEMONIC	MASS[Postenportion]	403c1592f918c8f23b88	Portion + POSTEN+PORTION + NORMALE_PORTION	M02::MASS[Postenportion]	MEMORIZE_WHOLE_CARD
M02	Portion + POSTEN+PORTION	ZWEITE_PORTION	REPEATED_SEMANTIC_CUE	MASS[Postenzweitportion]	d929a14ec45749b2e805	Portion + POSTEN+PORTION + ZWEITE_PORTION	M02::MASS[Postenzweitportion]	COMPOSE
M03	Zugabe + ZUGABE	AUSZUG	REPEATED_SEMANTIC_CUE	MASS[Auszugzugabe]	087a47b5423438cd6b6a	Zugabe + ZUGABE + AUSZUG	M03::MASS[Auszugzugabe]	COMPOSE
M03	Zugabe + ZUGABE	EINLEGEN	GRAMMATICAL_ASPECT	MASS[Einlage]	53cd0637c6820ba5e91f	Zugabe + ZUGABE + EINLEGEN	M03::MASS[Einlage]	COMPOSE
M03	Zugabe + ZUGABE	ZUGEBEN	GRAMMATICAL_ASPECT	MASS[Zugabe]	1645e612504fcef59ced	Zugabe + ZUGABE + ZUGEBEN	M03::MASS[Zugabe]	COMPOSE
M03	Zugabe + ZUGABE	ZUSATZSTOFF	GRAMMATICAL_ASPECT	MASS[Zusatz]	0f18de177ed7c878bf95	Zugabe + ZUGABE + ZUSATZSTOFF	M03::MASS[Zusatz]	COMPOSE
T01	Transfer + OHNE_ZUSATZ	AUSZUG_NEHMEN	REPEATED_SEMANTIC_CUE	TRANSFER[Auszugnahme]	807591efc3d3f7ddbfab	Transfer + OHNE_ZUSATZ + AUSZUG_NEHMEN	T01::TRANSFER[Auszugnahme]	COMPOSE
T01	Transfer + OHNE_ZUSATZ	LAUF_BEENDEN	REPEATED_SEMANTIC_CUE	TRANSFER[Laufschluss]	8aedd154964a78e555d6	Transfer + OHNE_ZUSATZ + LAUF_BEENDEN	T01::TRANSFER[Laufschluss]	COMPOSE
T01	Transfer + TRANSFER	NEUTRAL	NOMENCLATOR_MNEMONIC	TRANSFER[Transfer]	d225b7a7b95da7aee437	Transfer + TRANSFER + NEUTRAL	T01::TRANSFER[Transfer]	MEMORIZE_WHOLE_CARD
T01	Transfer + TRANSFER	UMSETZEN	REPEATED_SEMANTIC_CUE	TRANSFER[Umsetzen]	6f7ff8287eddf4da9fdb	Transfer + TRANSFER + UMSETZEN	T01::TRANSFER[Umsetzen]	COMPOSE
T01	Transfer + TRANSFER	UMSETZEN_SCHLIESSEN	REPEATED_SEMANTIC_CUE	TRANSFER[Umsetzschluss]	54e32e9c1414b20640e9	Transfer + TRANSFER + UMSETZEN_SCHLIESSEN	T01::TRANSFER[Umsetzschluss]	COMPOSE
T01	Transfer + TRANSFER	ÜBERFÜHREN	NOMENCLATOR_MNEMONIC	TRANSFER[überführen]	259b2b3b0bf859882e2c	Transfer + TRANSFER + ÜBERFÜHREN	T01::TRANSFER[überführen]	MEMORIZE_WHOLE_CARD
T03	Abführung + ABFÜHREN	ABZIEHEN	NOMENCLATOR_MNEMONIC	TRANSFER[abziehen]	04a3877f0fc81b7597c9	Abführung + ABFÜHREN + ABZIEHEN	T03::TRANSFER[abziehen]	MEMORIZE_WHOLE_CARD
T03	Abführung + ABFÜHREN	ERGEBNIS	GRAMMATICAL_ASPECT	TRANSFER[Abzug]	2b7fa918d1b2f5c656e3	Abführung + ABFÜHREN + ERGEBNIS	T03::TRANSFER[Abzug]	COMPOSE
T03	Abführung + ABFÜHREN	GUT	GRAMMATICAL_ASPECT	TRANSFER[Abführgut]	0ab57b7166de99db3a55	Abführung + ABFÜHREN + GUT	T03::TRANSFER[Abführgut]	COMPOSE
T03	Abführung + ABFÜHREN	VORGANG	GRAMMATICAL_ASPECT	TRANSFER[Abführung]	ba8142680851f24c9ff2|f2af6326898fb5b490a4	Abführung + ABFÜHREN + VORGANG	T03::TRANSFER[Abführung]	COMPOSE
T03	Abführung + ABFÜHREN	WEGFÜHREN	GRAMMATICAL_ASPECT	TRANSFER[abführen]	de7321bface5628e35d6	Abführung + ABFÜHREN + WEGFÜHREN	T03::TRANSFER[abführen]	COMPOSE
T03	Abführung + QUELLE+ABFÜHREN	ERGEBNIS	GRAMMATICAL_ASPECT	TRANSFER[Quellabzug]	29e0eb222ef2fb99523a	Abführung + QUELLE+ABFÜHREN + ERGEBNIS	T03::TRANSFER[Quellabzug]	COMPOSE
T03	Abführung + QUELLE+ABFÜHREN	VORGANG	GRAMMATICAL_ASPECT	TRANSFER[Quellabführung]	0f15effeca7ab10bb026	Abführung + QUELLE+ABFÜHREN + VORGANG	T03::TRANSFER[Quellabführung]	COMPOSE
T04	Durchgang + DURCHGANG	BECKEN	OWNER_VISIBLE	TRANSFER[Beckenlauf]	22fb87a5a83e5c3fb510	Durchgang + DURCHGANG + BECKEN	T04::TRANSFER[Beckenlauf]	COMPOSE
T04	Durchgang + DURCHGANG	LEITEN	GRAMMATICAL_ASPECT	TRANSFER[durchleiten]	2cc8bb3c2af19607888f	Durchgang + DURCHGANG + LEITEN	T04::TRANSFER[durchleiten]	COMPOSE
T04	Durchgang + DURCHGANG	PASSIEREN_LASSEN	GRAMMATICAL_ASPECT	TRANSFER[durchlassen]	d68bc8de3bcee09db23c	Durchgang + DURCHGANG + PASSIEREN_LASSEN	T04::TRANSFER[durchlassen]	COMPOSE
T04	Durchgang + KURZ+DURCHGANG	ABSCHNITT	GRAMMATICAL_ASPECT	TRANSFER[Kurzpassage]	c1913ec4ff84148da6d3	Durchgang + KURZ+DURCHGANG + ABSCHNITT	T04::TRANSFER[Kurzpassage]	COMPOSE
T04	Durchgang + KURZ+DURCHGANG	VORGANG	GRAMMATICAL_ASPECT	TRANSFER[Kurzdurchgang]	ecce30bc8dcc400bf2c8	Durchgang + KURZ+DURCHGANG + VORGANG	T04::TRANSFER[Kurzdurchgang]	COMPOSE
T05	Absetzen + ABSETZEN	NACH_EINSATZ	REPEATED_SEMANTIC_CUE	TRANSFER[Einsatzabsetzen]	db167f8e9b53eefb58f8	Absetzen + ABSETZEN + NACH_EINSATZ	T05::TRANSFER[Einsatzabsetzen]	COMPOSE
T05	Absetzen + ABSETZEN	SCHLIESSEN	REPEATED_SEMANTIC_CUE	TRANSFER[Absetzschluss]	7f68f60279efe6b28cd7	Absetzen + ABSETZEN + SCHLIESSEN	T05::TRANSFER[Absetzschluss]	COMPOSE
T05	Absetzen + ABSETZEN	ZEIT	REPEATED_SEMANTIC_CUE	TRANSFER[Standzeit]	a8af08e69edab8e54f15	Absetzen + ABSETZEN + ZEIT	T05::TRANSFER[Standzeit]	COMPOSE
T07	Klären + KLÄREN+ABFÜHREN	KLAR	REPEATED_SEMANTIC_CUE	TRANSFER[Klarabzug]	5fca8fc3dee57e1d8c1f	Klären + KLÄREN+ABFÜHREN + KLAR	T07::TRANSFER[Klarabzug]	COMPOSE
T07	Klären + KLÄREN+ABFÜHREN	TRENNEN	REPEATED_SEMANTIC_CUE	TRANSFER[Trennabzug]	c1db6b0a28d5cbb5d3d2	Klären + KLÄREN+ABFÜHREN + TRENNEN	T07::TRANSFER[Trennabzug]	COMPOSE
T09	Waschgang + WASCHEN	WASCHEN	REPEATED_SEMANTIC_CUE	TRANSFER[Waschgang]	2e7e89e0bd12b999c280|be0974b366c981dc1eef	Waschgang + WASCHEN + WASCHEN	T09::TRANSFER[Waschgang]	COMPOSE
T09	Waschgang + WASCHEN	WASSER_ZU	OWNER_VISIBLE	TRANSFER[Wasserzulauf]	12efe866f335461823a6	Waschgang + WASCHEN + WASSER_ZU	T09::TRANSFER[Wasserzulauf]	COMPOSE
Z01	Zielstelle + ZIEL	ALLGEMEIN	NOMENCLATOR_MNEMONIC	ZIEL[Stelle]	dd0ecaf5e27d81befffc	Zielstelle + ZIEL + ALLGEMEIN	Z01::ZIEL[Stelle]	MEMORIZE_WHOLE_CARD
Z01	Zielstelle + ZIEL	EINGABE	GRAMMATICAL_ASPECT	ZIEL[Zieleingabe]	428a5e3662aa57b4b256	Zielstelle + ZIEL + EINGABE	Z01::ZIEL[Zieleingabe]	COMPOSE
Z01	Zielstelle + ZIEL	EINSATZ	GRAMMATICAL_ASPECT	ZIEL[Zieleinsatz]	308e8ea2d5d190c498e8|4a7a6326ac95a8809302	Zielstelle + ZIEL + EINSATZ	Z01::ZIEL[Zieleinsatz]	COMPOSE
Z01	Zielstelle + ZIEL	MARKE	REPEATED_SEMANTIC_CUE	ZIEL[Zielmarke]	4da0f0f7b5fc7ac20067	Zielstelle + ZIEL + MARKE	Z01::ZIEL[Zielmarke]	COMPOSE
Z01	Zielstelle + ZIEL	SCHLIESSEN	REPEATED_SEMANTIC_CUE	ZIEL[Zielschluss]	78b3b3140714da19090d	Zielstelle + ZIEL + SCHLIESSEN	Z01::ZIEL[Zielschluss]	COMPOSE
Z01	Zielstelle + ZIEL	ZWISCHEN	REPEATED_SEMANTIC_CUE	ZIEL[Zwischenziel]	7811a7daff25d476e28d	Zielstelle + ZIEL + ZWISCHEN	Z01::ZIEL[Zwischenziel]	COMPOSE
Z02	Einsetzen + OHNE_ZUSATZ	GRUNDHANDLUNG	NOMENCLATOR_MNEMONIC	ZIEL[Einsetzen]	276a7c2d74d1143446f4|9ad66e67803a12e745de	Einsetzen + OHNE_ZUSATZ + GRUNDHANDLUNG	Z02::ZIEL[Einsetzen]	MEMORIZE_WHOLE_CARD
Z02	Einsetzen + OHNE_ZUSATZ	LAUF	REPEATED_SEMANTIC_CUE	ZIEL[Laufeinsatz]	7d2404c835b10a2c06af	Einsetzen + OHNE_ZUSATZ + LAUF	Z02::ZIEL[Laufeinsatz]	COMPOSE
Z02	Einsetzen + OHNE_ZUSATZ	NEU	REPEATED_SEMANTIC_CUE	ZIEL[Neueinsatz]	87411f84689b4f93a303	Einsetzen + OHNE_ZUSATZ + NEU	Z02::ZIEL[Neueinsatz]	COMPOSE
Z02	Einsetzen + OHNE_ZUSATZ	WIEDER	REPEATED_SEMANTIC_CUE	ZIEL[Wiedereinsatz]	1322bc176443fc2a8a86|232195d6ff2f326322f7	Einsetzen + OHNE_ZUSATZ + WIEDER	Z02::ZIEL[Wiedereinsatz]	COMPOSE
