surface	default_de	alternate_1_de	alternate_2_de	confidence	analogy_tier	functional_axes	cache_occurrences	reader_exact_occurrences	reader_exact_pages	positive_evidence	counterevidence	source_evidence	card_class	renderer_scope	selected_by_exploratory_policy	literal_identity	confirmed_lexeme	component_export_credit	numeric_identity_confirmed	specific_substance_confirmed	default_is_translation
okes	Heißansatz	Heißzubereitung, Endstufe	Mittelstufenansatz	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|PREPARATION	1	1	1	Die vollständigen Distanz-1-Karten oees, okees, okey und okos teilen PREPARATION und überwiegend HOT.	Singleton; AMOUNT, MIDDLE_STAGE und END_STAGE bleiben Rivalachsen; die neue Mengenfeldkarte eees liegt nur in Distanz 2 und verhindert eine Identitätslesung.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT780_COMPLETE_WHOLE:eees	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
kcheeky	heiß und trocken, Endstufe	Trockenzubereitung	heiß und trocken, Anfangsstufe	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|DRY|END_STAGE	1	1	1	Die vollständigen Distanz-1-Karten cheeky und kcheey teilen HOT|DRY und tragen END_STAGE.	Singleton; BEGIN_STAGE bleibt direkter Rival; Zustand, Zubereitung und Vorgang sind funktional noch nicht getrennt.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
chedor	trockene Stoffportion	trockener Anteil	fertige Trockenportion	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|AMOUNT|MATERIAL	3	2	2	Sechs vollständige Distanz-1-Karten einschließlich chdor, chedar, chedol, chedyor, cheeor und cheor ergeben DRY|AMOUNT|MATERIAL; zwei Vorkommen auf zwei Seiten sind reader-exakt.	PART, PROCESS, CLOSE und Stufenrollen bleiben Rivalen; nur 2 von 3 Cacheoberflächen sind reader-exakt.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
chealor	trockener Arzneistoff	trockene Portion	trockener Endzustand	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	DRY|MATERIAL	1	1	1	Sechs vollständige Distanz-2-Karten einschließlich cheal, chealy, chedyor, cheeor, cheor und cholor ergeben DRY|MATERIAL.	Singleton ohne Distanz-1-Nachbar; AMOUNT, PART, CLOSE, MIDDLE_STAGE und END_STAGE bleiben Rivalachsen; die trockene Zielumgebung zählt nicht als unabhängige Bestätigung.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD	A2_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
okalor	erhitzter Arzneiansatz	kalter Arzneiansatz	Arzneistoffportion	C1_ROLE_C0_IDENTITY	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT|MATERIAL|PREPARATION	2	2	2	Die bereits publizierte Ganzwortkarte GDT745-C018 zählt zwei reader-exakte Vorkommen auf zwei Seiten; ihr Radius-2-Kreis trägt HOT|MATERIAL|PREPARATION.	Der einzige Distanz-1-Nachbar otalor ist ausdrücklich COLD; die externe exakte Stelle liefert keinen informativen unabhängigen Rollenanker; die konkrete Arznei- oder Stoffidentität bleibt offen.	GDT745-C018|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK	EXISTING_GDT745_COMPLETE_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
eses	Zubereitung	Mengenfeld	Endzubereitung	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	PREPARATION	1	1	1	Im rohen alten Dreierpool tragen 2/3 vollständige Nachbarkarten PREPARATION; die später unabhängig gestützte vollständige Karte eees=Mengenfeld liegt in Distanz 1 und bleibt ein neuer AMOUNT_OR_VALUE_FIELD-Rivale.	Singleton; das um eees ergänzte Ganzwortumfeld besitzt keinen Achsenkonsens: zwei ältere PREPARATION-Karten stehen dem späteren Mengen-/Wertfeld-Rivalen gegenüber; weder Zubereitung noch Menge, Einheit oder Zahl ist identifiziert.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT780_COMPLETE_WHOLE:eees	A2_CLEAN_COMPLETE_WHOLE_PROJECTION_WITH_LATER_CONFLICT	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
sheckhal	feuchte Arzneimischung	trockene Mischung	heiß-feuchtes Rohmaterial	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	MOIST|MATERIAL|PREPARATION	2	2	2	Fünf vollständige Distanz-2-Karten einschließlich chckhal, checkhol, sheckhey, sheckhy und shekal ergeben MOIST|MATERIAL|PREPARATION; beide Cachevorkommen sind reader-exakt und medial.	Kein Distanz-1-Nachbar; HOT, DRY, BEGIN_STAGE und MIDDLE_STAGE bleiben Rivalachsen; nur ein zielunabhängiges exaktes Vorkommen; cutoff-gebunden tragen 3/5 Nachbarkarten MOIST und 3/5 MATERIAL.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK	A2_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
shdair	Arzneistoff	feuchte Stoffportion	trockene Stoffmenge	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	MATERIAL	2	2	2	Zehn vollständige Distanz-2-Karten liefern als einzigen gemeinsamen Kern MATERIAL; beide Cachevorkommen sind reader-exakt und medial.	Der Nachbarkreis streitet über HOT, DRY, MOIST, AMOUNT, PART, PROCESS und Stufe; kein Distanz-1-Nachbar und nur ein zielunabhängiges exaktes Vorkommen; cutoff-gebunden tragen 6/10 Nachbarkarten MATERIAL.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK	A2_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
sheoly	Feuchtzustand	Feuchtzubereitung	eingeweichtes Material	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MOIST	1	1	1	Die vollständigen Distanz-1-Karten sheoky, sheol, sheoldy und sheoy teilen MOIST; die GDT780-Ganzwortkarte sheeol hält END_STAGE als getrennte Rivalachse sichtbar.	Singleton; HOT, MATERIAL, PREPARATION, PROCESS, CLOSE und sämtliche Stufenrollen bleiben offen; Feuchte benennt weder Medium noch Operation.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT780_COMPLETE_WHOLE:sheeol	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
chsky	heiß und trocken	Trockenzubereitung	Erwärmungsvorgang	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|DRY	3	1	1	Die vollständigen Distanz-1-Karten cheky, chky, choky und chyky teilen HOT|DRY.	Nur 1 von 3 Cacheoberflächen ist reader-exakt, und dieses eine Vorkommen ist die ol-Zielstelle; MATERIAL, PREPARATION, PROCESS und Stufe bleiben Rivalen; externe ZL3b-Stellen sind keine exakten Replikationen.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK	A3_CLEAN_COMPLETE_WHOLE_PROJECTION_READER_VARIANT_RISK	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
chorcholsal	getrocknete Stoffzubereitung	getrockneter Stoffanteil	fertiges Trockenprodukt	C0_TARGET_FRAME_C0_IDENTITY	A0_NO_CLEAN_NEIGHBOR	DRY|PART|MATERIAL|PREPARATION	1	1	1	Die einzige beobachtete Zielspanne steht im vollständigen Rahmen chol cheor ol chorcholsal; die bereits lizenzierten ganzen Nachbarn tragen DRY sowie PART|MATERIAL und motivieren ausschließlich einen lokalen Arbeitsdefault.	Kein sauberes vollständiges W2/W3-Nachbarwort in Editdistanz 2; Singleton; sämtliche positive Bedeutungsevidenz stammt aus der Zielzeile und ist nicht unabhängig; keine Segmentierung des langen Wortes ist erlaubt.	GDT780-I023|GDT780_25_EXACT_CARDLESS_INTAKE|GDT779_COMPLETE_WHOLES:chol,cheor	A0_TARGET_FRAME_ONLY_EXPLORATORY_DEFAULT	EXACT_ENUMERATED_OL_CHORCHOLSAL_SPAN_ONLY	1	OPEN	0	0	0	0	0
cheokchey	Trockenzubereitung, Mittelstufe	heißer Ansatz	Trocknungsvorgang	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	DRY|PREPARATION|MIDDLE_STAGE	1	1	1	Die nächste vollständige Karte cheolchey und acht Radius-2-Karten ergeben DRY|PREPARATION|MIDDLE_STAGE; spätere vollständige Karten im chey-Zustandsraum halten Trocken- und Zubereitungsrollen sichtbar.	Singleton; HOT, COLD, MATERIAL, PROCESS, BEGIN_STAGE und END_STAGE bleiben Rivalachsen; die Mengenfolge in der Zielzeile ist keine unabhängige Bestätigung.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK	A2_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
okachey	erhitzte Trockenzubereitung	Feuchtzubereitung	Trocknungsvorgang	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT|DRY|PREPARATION	1	1	1	Die nächste vollständige Karte okchey und acht Radius-2-Karten ergeben HOT|DRY|PREPARATION.	Singleton; MOIST, AMOUNT, MATERIAL, PROCESS, CLOSE und alle Stufenrollen bleiben Rivalen; das feuchte sho der Zielzeile ist target-lokal und bleibt ausdrücklicher Gegenentwurf.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD	A2_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
