visible_surface	occurrences	detected_literal_atoms	covered_characters	transfer_class	forward_prediction	owners	representative_astro_reading_de	creative_default_de	review_note
dolchedy	1	OL+CHD	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_28	Sternplatz A2_STAR_STATION_28: im selben Ring, Band oder Satz fortsetzen + Wert oder Platzbezug uebertragen; lokaler Namensrest d/y.	Fortsetzen + Umsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
eckhear	1	CKHE+AR	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_RIGHT_PANEL_HEADER	Sektorplatz A2_RIGHT_PANEL_HEADER: durch Sektor, Ring oder Pruefweg fuehren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.	Seihen/Trennen + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
iokeeor	1	OK+OR	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_MIDDLE_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest i.	Aktivieren + Ansatz/Satz	owner supplies the celestial/calendar object; no direction or cross-page key inferred
octhole	1	CTH+OL	5/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_LOCAL_FIELD_38	Sternplatz A1_LEFT_LOCAL_FIELD_38: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest octh/e.	Bereitwert + Fortsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okaiiin	1	OK+IIN	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_MULTIPANEL_HEADER_FRAGMENT_04	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_04: Diagrammposten setzen oder aktivieren + Grad- oder Bedingungsstufe; lokaler Namensrest ai.	Aktivieren + Stufe	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okar	4	OK+AR	4/4	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_RIGHT_SECTOR_SLOT_03|A1_RIGHT_SECTOR_SLOT_10|A3_LEFT_WHEEL_RING_TEXT	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	Aktivieren + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okardy	1	OK+AR	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_CENTRAL_LEGEND_UNRESOLVED	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dy.	Aktivieren + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okchoal	1	KCH+AL	5/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_LEFT_PANEL_HEADER	Sternplatz A2_LEFT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Himmelsobjekt oder Eingangsbedingung + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest c.	Bearbeiten + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okeal	1	OK+AL	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_LEFT_RADIAL_SLOT_10	Radstelle A3_LEFT_RADIAL_SLOT_10: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest e.	Aktivieren + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okear	1	OK+AR	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_08	Sternplatz A2_STAR_STATION_08: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.	Aktivieren + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okeeodal	1	OK+AL	4/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_24	Sternplatz A2_STAR_STATION_24: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.	Aktivieren + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okeodal	1	OK+AL	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest eod.	Aktivieren + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okoaly	1	OK+AL	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_03	Sternplatz A2_STAR_STATION_03: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest o/y.	Aktivieren + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okodaly	1	OK+AL	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_CENTRE_KEY_UNRESOLVED	Zentrumsmarke A2_CENTRE_KEY_UNRESOLVED: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od/y.	Aktivieren + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okodar	2	OK+AR	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_OUTER_STAR_STATION_12|A1_RIGHT_PHASE_STATION_04	Sternplatz A1_LEFT_OUTER_STAR_STATION_12: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest od.	Aktivieren + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okol	2	OK+OL	4/4	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_LOCAL_FIELD_35|A1_RIGHT_OUTER_RING_TEXT	Sternplatz A1_LEFT_LOCAL_FIELD_35: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen.	Aktivieren + Fortsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okolar	1	OK+OL+AR	6/6	FORWARD_PREDICTED_EMBEDDED	OL+AR	A3_LEFT_RADIAL_SLOT_18	Radstelle A3_LEFT_RADIAL_SLOT_18: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.	Aktivieren + Fortsetzen + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okoldy	1	OK+OL	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_20	Sternplatz A2_STAR_STATION_20: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dy.	Aktivieren + Fortsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
okshor	1	OK+HO	5/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_25	Sternplatz A2_STAR_STATION_25: Diagrammposten setzen oder aktivieren + Position oder Bedingung halten + Bedingungs-, Tabellen- oder Wahlansatz.	Aktivieren + Eingangsposten	owner supplies the celestial/calendar object; no direction or cross-page key inferred
olar	1	OL+AR	4/4	FORWARD_PREDICTED_EXACT	OL+AR	A1_RIGHT_OUTER_RING_TEXT	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.	Fortsetzen + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
oraly	1	OR+AL	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_LOCAL_FIELD_46	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.	Ansatz/Satz + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otaldal	1	OT+AL+AL	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest d.	Folge + Ziel + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otcheody	1	OT+CHEO	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_02	Sternplatz A2_STAR_STATION_02: naechster Platz oder folgende Bedingung; lokaler Namensrest cheody.	Folge + Auszug/Ausgabe	owner supplies the celestial/calendar object; no direction or cross-page key inferred
oteeal	1	OT+AL	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld.	Folge + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
oteoarar	1	OT+AR+AR	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest eo.	Folge + Quelle + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
oteol	1	OT+OL	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_LEFT_RADIAL_SLOT_13	Radstelle A3_LEFT_RADIAL_SLOT_13: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest e.	Folge + Fortsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otoar	1	OT+AR	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.	Folge + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otochedy	1	OT+CHD	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_27	Sternplatz A2_STAR_STATION_27: naechster Platz oder folgende Bedingung + Wert oder Platzbezug uebertragen; lokaler Namensrest o/y.	Folge + Umsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otokeeey	1	OT+OK	4/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_LEFT_WHEEL_RING_TEXT	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest y.	Folge + Aktivieren	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otoldos	1	OT+OL	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_LOCAL_FIELD_38	Sternplatz A1_LEFT_LOCAL_FIELD_38: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dos.	Folge + Fortsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otolor	1	OT+OL+OR	6/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_OUTER_STAR_STATION_11	Sternplatz A1_LEFT_OUTER_STAR_STATION_11: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen + Bedingungs-, Tabellen- oder Wahlansatz.	Folge + Fortsetzen + Ansatz/Satz	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otoly	1	OT+OL	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.	Folge + Fortsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otor	2	OT+OR	4/4	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_LEFT_PANEL_HEADER|A2_STAR_STATION_18	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.	Folge + Ansatz/Satz	owner supplies the celestial/calendar object; no direction or cross-page key inferred
otykchs	1	OT+KCH	5/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_STAR_STATION_16	Sternplatz A2_STAR_STATION_16: Teilsektor oder Untereintrag + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest o/s.	Folge + Bearbeiten	owner supplies the celestial/calendar object; no direction or cross-page key inferred
qokoaiin	1	OK+AIIN	6/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest q/o.	Aktivieren + Sollwert/Maß	owner supplies the celestial/calendar object; no direction or cross-page key inferred
qotair	1	OT+AIR	5/6	FORWARD_PREDICTED_EXACT	OT+AIR	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest q.	Folge + Lauf/Bahn	owner supplies the celestial/calendar object; no direction or cross-page key inferred
qoteor	1	OT+OR	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest q/e.	Folge + Ansatz/Satz	owner supplies the celestial/calendar object; no direction or cross-page key inferred
qotoear	1	OT+AR	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_OUTER_STAR_STATION_01	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.	Folge + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
salsain	1	AL+AIN	5/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_LOCAL_FIELD_23	Sternplatz A1_LEFT_LOCAL_FIELD_23: Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s/s.	Ziel + Portion	owner supplies the celestial/calendar object; no direction or cross-page key inferred
saral	2	AR+AL	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_LOCAL_FIELD_20|A3_LEFT_RADIAL_SLOT_16	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.	Quelle + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
shokchy	1	HO+KCH	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_LEFT_PANEL_HEADER	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest s/y.	Eingangsposten + Bearbeiten	owner supplies the celestial/calendar object; no direction or cross-page key inferred
ytalchos	1	AL+HO	5/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_OUTER_RING_TEXT	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest yt/c/s.	Ziel + Eingangsposten	owner supplies the celestial/calendar object; no direction or cross-page key inferred
ytokar	1	OK+AR	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_OUTER_STAR_STATION_10	Sternplatz A1_LEFT_OUTER_STAR_STATION_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yt.	Aktivieren + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
