row_kind	article_id	page	record	owner_hypothesis	selected_register	locus	field_ordinal	event_count	field_pattern	terminal_status	surface_sequence	strict_anchor_sequence	creative_translation_German	silent_image_supply	confidence
FIELD	F11-A	f11r	1	Veilchen	TEILEINVENTAR_ANWENDUNGSMUSTER	f11r.4	1	5	NONOP_CHAIN	OPEN	dchol chy kchy dy daiin	UNKNOWN[CHOL] | UNKNOWN[Y] | UNKNOWN[KCHY] | UNKNOWN[Y] | MASS?	Eigentümer-/Anwendungsmuster: eine Teilcharge auf die geschwollene Stelle binden und den vorgeschriebenen Maßposten notieren.	Eigentümer	LOW
FIELD	F11-A	f11r	1	Veilchen	TEILEINVENTAR_ANWENDUNGSMUSTER	f11r.7	1	4	NONOP_CHAIN	OPEN	qotchy okchol cthy dy	FRAME_OT(UNKNOWN[CHY]) | UNKNOWN[OKCHOL] | BEREIT? | UNKNOWN[Y]	Blattmuster: einen warmen Umschlag bereiten und auflegen; bei Bereitstatus die vorgesehene Teilcharge führen.	Eigentümer;Blatt	LOW
ARTICLE	F55-A	f55v	1	Bärlauch/Allium	CHARGEN_BETRIEBSREGISTER	ALL	ALL	18	SET_CHAIN=2;LINK_CHAIN=1;NONOP_CHAIN=1	CLOSED=3;OPEN=1	NA	F1: SETZEN[ARG_AIIN] | MASS? | UNKNOWN[YK]+ARG_AIN | UNKNOWN[YKAN] | CLOSE(UNKNOWN[O]) || F2: MASS? | VARIANT_D(UNKNOWN[Y]) | CLOSE_B3(UNKNOWN[ALA]) || F3: UNKNOWN[YK]+ARG_AIIN | UNKNOWN[O]+ARG_AR | UNKNOWN[EKY] | CLOSE(FRAME_O(VERKNÜPFEN)) || F4: MASS? | SETZEN[ARG_AL] | UNKNOWN[OLTCHY] | BEREITUNG? | UNKNOWN[Y] | BEREITUNG?+ARG_AIN	Chargenblatt zum abgebildeten Bärlauch-/Allium-Typ: Charge I setzt einen formalen Rechtsposten, führt Maß und Blatt-in-Wein-Arbeit samt Waschposten; ein zweiter warmer Weingang verknüpft an den vorigen Stand; Charge II setzt einen anderen Rechtsposten, hält die Bereitung bedeckt und führt sie frisch.	Eigentümer;breites_Blatt	LOW
FIELD	F55-A	f55v	1	Bärlauch/Allium	CHARGEN_BETRIEBSREGISTER	f55v.5	1	5	SET_CHAIN	CLOSED	qokaiin chaiin ykain ykan ody	SETZEN[ARG_AIIN] | MASS? | UNKNOWN[YK]+ARG_AIN | UNKNOWN[YKAN] | CLOSE(UNKNOWN[O])	Charge I: einen formalen AIIN-Rechtsposten setzen, danach einen getrennten Maßposten führen; das breite Blatt sanft in Weißwein erhitzen und bis klar ziehen lassen. [Feldschluss]	Eigentümer;breites_Blatt	LOW
FIELD	F55-A	f55v	1	Bärlauch/Allium	CHARGEN_BETRIEBSREGISTER	f55v.5	2	3	NONOP_CHAIN	CLOSED	daiin chedy talam	MASS? | VARIANT_D(UNKNOWN[Y]) | CLOSE_B3(UNKNOWN[ALA])	Kontroll-/Waschposten: Maß notieren, gleichmäßig mischen und die wunde Stelle einmal waschen. [B3-Feldschluss]	Eigentümer	LOW
FIELD	F55-A	f55v	1	Bärlauch/Allium	CHARGEN_BETRIEBSREGISTER	f55v.11	1	4	LINK_CHAIN	CLOSED	ykaiin cheoar cheeky oldy	UNKNOWN[YK]+ARG_AIIN | UNKNOWN[O]+ARG_AR | UNKNOWN[EKY] | CLOSE(FRAME_O(VERKNÜPFEN))	Zweiter Arbeitsgang: zweiten Gebrauch und Weißweinzusatz führen, warm halten und mit dem vorigen Arbeitsstand verknüpfen. [Feldschluss]	Eigentümer	LOW
FIELD	F55-A	f55v	1	Bärlauch/Allium	CHARGEN_BETRIEBSREGISTER	f55v.11	2	6	SET_CHAIN	OPEN	aiin okal oltchy or y orain	MASS? | SETZEN[ARG_AL] | UNKNOWN[OLTCHY] | BEREITUNG? | UNKNOWN[Y] | BEREITUNG?+ARG_AIN	Charge II: Maß buchen, den formalen AL-Rechtsposten setzen, die Ware im bedeckten Gefäß halten und die Bereitung als frischen Gebrauchsposten führen.	Eigentümer	LOW
ARTICLE	F56-A	f56r	1	Sonnentau	TEILEINVENTAR_ZUBEREITUNGSMUSTER	ALL	ALL	27	NONOP_CHAIN=7	CLOSED=1;OPEN=6	NA	F1: FRAME_O(UNKNOWN[CHOR]) | UNKNOWN[O] | UNKNOWN[ODALY] | MASS? || F2: UNKNOWN[O] | UNKNOWN[KCHOL] | FRAME_OT(UNKNOWN[CHOR]) | VERWENDEN? | AN? || F3: UNKNOWN[CHOL] | FRAME_O(UNKNOWN[Y]) | VERWENDEN? | CLOSE(UNKNOWN[ECKHO]) || F4: UNKNOWN[H] | UNKNOWN[O] | UNKNOWN[KCHEY] | UNKNOWN[OKOKCHY] || F5: UNKNOWN[OKCHY] | UNKNOWN[OKCHEO] | UNKNOWN[KCH]+ARG_AL || F6: UNKNOWN[O] | UNKNOWN[OKCHY] | UNKNOWN[KCHO]+ARG_AR | UNKNOWN[OTODAN] || F7: FRAME_OT(TEIL?) | UNKNOWN[KEOL] | MASS?	Teileinventar und Anwendungsmuster zum abgebildeten Sonnentau: Wurzelposten mit Beschaffungszeit und Maß; Weinmuster vor der Blüte mit örtlichem Gebrauch; Standort-/Trockenpflaster; Samen-/Knospenkopf und schmales Blatt; Magengebrauch mit Lagerrest; Honigvariante; maßweiser Blütenposten.	Eigentümer;Wurzel;Blatt;Samen_oder_Knospenkopf;Blüte	LOW_MEDIUM
FIELD	F56-A	f56r	1	Sonnentau	TEILEINVENTAR_ZUBEREITUNGSMUSTER	f56r.5	1	4	NONOP_CHAIN	OPEN	chochor cho chodaly daiin	FRAME_O(UNKNOWN[CHOR]) | UNKNOWN[O] | UNKNOWN[ODALY] | MASS?	Beschaffungsposten: im Frühjahr den nächsten Bildteil und die dünne untere Wurzel gewinnen; Maß notieren.	Eigentümer;Wurzel	LOW_MEDIUM
FIELD	F56-A	f56r	1	Sonnentau	TEILEINVENTAR_ZUBEREITUNGSMUSTER	f56r.7	1	5	NONOP_CHAIN	OPEN	sho kchol otchor choky dal	UNKNOWN[O] | UNKNOWN[KCHOL] | FRAME_OT(UNKNOWN[CHOR]) | VERWENDEN? | AN?	Weinmuster: den nächsten Teil vor der Blüte in Weißwein ziehen, verwenden und an der vorgesehenen Stelle führen.	Eigentümer;Pflanzenteil	LOW_MEDIUM
FIELD	F56-A	f56r	1	Sonnentau	TEILEINVENTAR_ZUBEREITUNGSMUSTER	f56r.8	1	4	NONOP_CHAIN	CLOSED	schol choy choky cheeckhody	UNKNOWN[CHOL] | FRAME_O(UNKNOWN[Y]) | VERWENDEN? | CLOSE(UNKNOWN[ECKHO])	Eigentümer-/Standortmuster: das abgebildete Simplex vom feuchten schattigen Heidestand verwenden und als unbedecktes Trockenpflaster führen. [Feldschluss]	Eigentümer	LOW_MEDIUM
FIELD	F56-A	f56r	1	Sonnentau	TEILEINVENTAR_ZUBEREITUNGSMUSTER	f56r.12	1	4	NONOP_CHAIN	OPEN	sh cho kchey qokokchy	UNKNOWN[H] | UNKNOWN[O] | UNKNOWN[KCHEY] | UNKNOWN[OKOKCHY]	Teileinventar: kleinen Samen- oder Knospenkopf, nächsten Bildteil und getrocknetes schmales Blatt getrennt führen; im Schatten trocknen.	Eigentümer;Samen_oder_Knospenkopf;Blatt	LOW_MEDIUM
FIELD	F56-A	f56r	1	Sonnentau	TEILEINVENTAR_ZUBEREITUNGSMUSTER	f56r.13	1	3	NONOP_CHAIN	OPEN	okchy chokcheo kchal	UNKNOWN[OKCHY] | UNKNOWN[OKCHEO] | UNKNOWN[KCH]+ARG_AL	Gebrauch-/Lagerungsmuster: bereitete Ware bei Magenbeschwerden geben und den Rest trocken im Schatten lagern.	Eigentümer	LOW_MEDIUM
FIELD	F56-A	f56r	1	Sonnentau	TEILEINVENTAR_ZUBEREITUNGSMUSTER	f56r.18	1	4	NONOP_CHAIN	OPEN	sho chokchy kchoar sotodan	UNKNOWN[O] | UNKNOWN[OKCHY] | UNKNOWN[KCHO]+ARG_AR | UNKNOWN[OTODAN]	Honigvariante: nächsten Teil und bereitete Ware mit Honig mischen und frisch verwenden.	Eigentümer;Pflanzenteil	LOW_MEDIUM
FIELD	F56-A	f56r	1	Sonnentau	TEILEINVENTAR_ZUBEREITUNGSMUSTER	f56r.19	1	3	NONOP_CHAIN	OPEN	otchey keol daiin	FRAME_OT(TEIL?) | UNKNOWN[KEOL] | MASS?	Blütenposten: den ausgewählten Teil als helle geöffnete Blüte führen und das Maß notieren.	Eigentümer;Blüte	LOW_MEDIUM
