page	locus	section	target_occurrences	target_ordinals	target_surfaces	rendering_classes	zl3b_line	v41_token_glosses_de	v42_token_glosses_de	v42_working_translation_de	v41_unknown_tokens	v42_unknown_tokens	v42_complete
f102v1	f102v1.19	P	1	5	okeeol	EXACT_WHOLE	foidaiin dair or sheol okeeol qoteol oroey olkey	[foidaiin:?] | abgemessene Fraktion II | Drogenportion | feuchtes Material | [okeeol:?] | [qoteol:?] | [oroey:?] | [olkey:?]	[foidaiin:?] | abgemessene Fraktion II | Drogenportion | feuchtes Material | vollständig erhitzter Ansatzstoff | [qoteol:?] | [oroey:?] | [olkey:?]	[foidaiin:?]; abgemessene Fraktion II; Drogenportion; feuchtes Material; vollständig erhitzter Ansatzstoff; [qoteol:?]; [oroey:?]; [olkey:?]	5	4	0
f102v1	f102v1.21	P	1	6	cheodaiin	EXACT_WHOLE	qoeeody ychey okeody deody okody cheodaiin cheody ram	[qoeeody:?] | [ychey:?] | [okeody:?] | [deody:?] | [okody:?] | [cheodaiin:?] | getrockneter Ansatz | Wurzel/Wurzeldroge: Maß-/Einheitsform I	[qoeeody:?] | [ychey:?] | [okeody:?] | [deody:?] | [okody:?] | drei Dosen Trockenansatz auf mittlerer Trockenstufe | getrockneter Ansatz | Wurzel/Wurzeldroge: Maß-/Einheitsform I	[qoeeody:?]; [ychey:?]; [okeody:?]; [deody:?]; [okody:?]; drei Dosen Trockenansatz auf mittlerer Trockenstufe; getrockneter Ansatz; Wurzel/Wurzeldroge: Maß-/Einheitsform I	6	5	0
f102v1	f102v1.22	P	1	6	chsey	CHSEY_ACTION	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	[ykeeody:?] | Trockenansatz, Dosis III | [qokeos:?] | trockener Drogenstoff | [qool:?] | [chsey:?] | [oteody:?] | heiß-trockener Ansatz am Anfang des Grades	[ykeeody:?] | Trockenansatz, Dosis III | [qokeos:?] | trockener Drogenstoff | [qool:?] | Saatgut bis zur mittleren Stufe trocknen | [oteody:?] | heiß-trockener Ansatz am Anfang des Grades	[ykeeody:?]; Trockenansatz, Dosis III; [qokeos:?]; trockener Drogenstoff; [qool:?]; Saatgut bis zur mittleren Stufe trocknen; [oteody:?]; heiß-trockener Ansatz am Anfang des Grades	5	4	0
f102v2	f102v2.13	P	1	1	opchy	LABEL_SIGLUM	opchy	[opchy:?]	[Trockenpulverpräparat in Grundstufe-Zeichen]	[Trockenpulverpräparat in Grundstufe-Zeichen]	1	0	1
f102v2	f102v2.21	P	1	1	ycheey	YCHEEY_ACTION	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	[ycheey:?] | Samen-/Saatgutposten | miss vom Ansatz ab | [eey:?] | [okeeor:?] | trockener Drogenstoff | [os:?] | Zubereitungsform III | [oeees:?] | [okear:?] | trocken in der Mitte des Grades | heiß am Ende des Grades | Samen/Saatgut, Typ/Charge III | [oteo:?]	trockne hiervon bis zur Endstufe | Samen-/Saatgutposten | miss vom Ansatz ab | [eey:?] | [okeeor:?] | trockener Drogenstoff | [os:?] | Zubereitungsform III | [oeees:?] | [okear:?] | trocken in der Mitte des Grades | heiß am Ende des Grades | Samen/Saatgut, Typ/Charge III | [oteo:?]	trockne hiervon bis zur Endstufe; Samen-/Saatgutposten; miss vom Ansatz ab; [eey:?]; [okeeor:?]; trockener Drogenstoff; [os:?]; Zubereitungsform III; [oeees:?]; [okear:?]; bis zur mittleren Trockenstufe; bis zur Heizendstufe; Samen/Saatgut, Typ/Charge III; [oteo:?]	7	6	0
f102v2	f102v2.22	P	1	9	qockhy	QOCKHY_ACTION	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	Grad-/Maßwert II | Drogenportion | Menge III | trockener Drogenstoff | Samen-/Saatgutposten | [oiir:?] | trocken; nominal trockenes Gut/Material | feucht am Ende des Grades | [qockhy:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [keo:?] | Wurzel | [okeody:?] | [okeor:?] | Trockenansatz	Grad-/Maßwert II | Drogenportion | Menge III | trockener Drogenstoff | Samen-/Saatgutposten | [oiir:?] | trocken; nominal trockenes Gut/Material | feucht am Ende des Grades | bereite einen Arzneikompositum-Ansatz in Grundstufe | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [keo:?] | Wurzel | [okeody:?] | [okeor:?] | Trockenansatz	zwei Maße; Drogenportion; drei Teile; trockener Drogenstoff; Samen-/Saatgutposten; [oiir:?]; Trockengut; vollständig eingeweicht; bereite einen Arzneikompositum-Ansatz in Grundstufe; Grundansatz; [keo:?]; Wurzel; [okeody:?]; [okeor:?]; Trockenansatz	5	4	0
f102v2	f102v2.33	P	1	8	chos	EXACT_WHOLE	qokeor sho keeeos cheor o s al chos aiiin o ky okaraiin	[qokeor:?] | feuchter Ansatz | [keeeos:?] | trockener Drogenteil | Ansatz mit s | Samen-/Saatgutposten | Rohstoffklasse I | [chos:?] | Menge-/Klassenwert IV | leicht erhitzter Ansatz | heiß am Anfang des Grades | [okaraiin:?]	[qokeor:?] | feuchter Ansatz | [keeeos:?] | trockener Drogenteil | Ansatz mit s | Samen-/Saatgutposten | Rohstoffklasse I | eine Charge Trockenansatz | Menge-/Klassenwert IV | leicht erhitzter Ansatz | heiß am Anfang des Grades | [okaraiin:?]	[qokeor:?]; feuchter Ansatz; [keeeos:?]; trockener Drogenteil; Ansatz mit s; Rohstoff I; eine Charge Trockenansatz; vier Teile; leicht erhitzter Ansatz; [okaraiin:?]	4	3	0
f102v2	f102v2.38	P	3	6|8|10	chos|ykeey|rain	EXACT_WHOLE|YKEEY_ACTION|EXACT_WHOLE	dar cheey ckheey qokeor okey chos sho ykeey okeeo rain	abgemessene Fraktion I | trocken am Ende des Grades | Arzneikompositum am Gradende | [qokeor:?] | heißer Ansatz in der Mitte des Grades | [chos:?] | feuchter Ansatz | [ykeey:?] | [okeeo:?] | [rain:?]	abgemessene Fraktion I | trocken am Ende des Grades | Arzneikompositum am Gradende | [qokeor:?] | heißer Ansatz in der Mitte des Grades | eine Charge Trockenansatz | feuchter Ansatz | erhitze hiervon bis zur Endstufe und schließe ab | [okeeo:?] | Wurzeldroge in Charge II	abgemessene Fraktion I; vollständig getrocknet; Arzneikompositum am Gradende; [qokeor:?]; Ansatz bis zur mittleren Heizstufe; eine Charge Trockenansatz; feuchter Ansatz; erhitze hiervon bis zur Endstufe und schließe ab; [okeeo:?]; Wurzeldroge in Charge II	5	2	0
f102v2	f102v2.7	P	1	1	okol	LABEL_SIGLUM	okol	[okol:?]	[heißer Ansatzstoff-Zeichen]	[heißer Ansatzstoff-Zeichen]	1	0	1
f103r	f103r.21	S	1	10	okaly	OKALY_ACTION	pcheam sokedy dalkar otal qokal chepy okedy qoky pchedy okaly qokeedy lor	[pcheam:?] | [sokedy:?] | [dalkar:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Rohstoffklasse I, heiß am Gradanfang | [chepy:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | getrocknetes Pulver | [okaly:?] | heiß am Ende des Grades, abgeschlossen | Holzportion	[pcheam:?] | [sokedy:?] | [dalkar:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Rohstoffklasse I, heiß am Gradanfang | [chepy:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | getrocknetes Pulver | Rohstoff-I-Ansatz leicht erhitzen und abschließen | heiß am Ende des Grades, abgeschlossen | Holzportion	[pcheam:?]; [sokedy:?]; [dalkar:?]; Rohstoff I, leicht gekühlt im Ansatz; Rohstoff I, heiß am Gradanfang; [chepy:?]; Ansatz bis zur mittleren Heizstufe, abgeschlossen; leicht erhitzt; getrocknetes Pulver; Rohstoff-I-Ansatz leicht erhitzen und abschließen; bis zur Heizendstufe gebracht; Holzportion	5	4	0
f103r	f103r.22	S	1	12	opchy	EXACT_WHOLE	dalshy okain shckhody shdal qokeedy shedy qotar chcthy chep ar otar opchy	[dalshy:?] | heiß im Zubereitungsrahmen, Grad II | [shckhody:?] | feuchte abgemessene Rohstoffmenge I am Gradanfang | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | kalte Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | trockenes Pulver | Drogenfraktion I | kalte Drogenfraktion I im Ansatz | [opchy:?]	[dalshy:?] | heiß im Zubereitungsrahmen, Grad II | [shckhody:?] | feuchte abgemessene Rohstoffmenge I am Gradanfang | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | kalte Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | trockenes Pulver | Drogenfraktion I | kalte Drogenfraktion I im Ansatz | Trockenpulverpräparat in Grundstufe	[dalshy:?]; heiß im Zubereitungsrahmen, Grad II; [shckhody:?]; feuchte abgemessene Rohstoffmenge I am Gradanfang; bis zur Heizendstufe gebracht; bis zur mittleren Einweichstufe gebracht; kalte Drogenfraktion I; getrocknete Krautdroge; trockenes Pulver; Drogenfraktion I; kalte Drogenfraktion I im Ansatz; Trockenpulverpräparat in Grundstufe	3	2	0
f103r	f103r.24	S	1	1	tchoky	TCHOKY_ACTION	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky	[tchoky:?] | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | vollständig getrocknetes Pulverpräparat | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	kühle den Trockenansatz und erwärme ihn anschließend leicht | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | vollständig getrocknetes Pulverpräparat | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	kühle den Trockenansatz und erwärme ihn anschließend leicht; Rohstoff I im Ansatz, heiß in der Gradmitte; bis zur mittleren Einweichstufe gebracht; Rohstoff I, heiß am Gradanfang; kalter Ansatz am Anfang des Grades; vollständig getrocknetes Pulverpräparat; kalt im qo-Rahmen, Grad II; feuchte Krautdroge; Ansatz bis zur mittleren Kühlstufe; zwei Maße; Ansatz auf Kühlendstufe; leicht erhitzter Ansatz	1	0	1
f103r	f103r.33	S	1	9	yteedy	YTEEDY_ACTION	qokeey chechy qokey shckhy choldy qokal y shedy yteedy qotail shedy	heiß am Ende des Grades | [chechy:?] | heiß in der Mitte des Grades | Arzneikompositum: feucht, Gradanfang | fertig getrocknete Droge | Rohstoffklasse I, heiß am Gradanfang | ; hierzu: | feucht in der Mitte des Grades, abgeschlossen | [yteedy:?] | [qotail:?] | feucht in der Mitte des Grades, abgeschlossen	heiß am Ende des Grades | [chechy:?] | heiß in der Mitte des Grades | Arzneikompositum: feucht, Gradanfang | fertig getrocknete Droge | Rohstoffklasse I, heiß am Gradanfang | ; hierzu: | feucht in der Mitte des Grades, abgeschlossen | kühle hiervon vollständig ab und schließe | [qotail:?] | feucht in der Mitte des Grades, abgeschlossen	bis zur Heizendstufe; [chechy:?]; bis zur mittleren Heizstufe; Arzneikompositum: feucht, Gradanfang; fertig getrocknete Droge; Rohstoff I, heiß am Gradanfang; hierzu: bis zur mittleren Einweichstufe gebracht; kühle hiervon vollständig ab und schließe; [qotail:?]; bis zur mittleren Einweichstufe gebracht	3	2	0
f103r	f103r.34	S	1	2	oshey	EXACT_WHOLE	sheod oshey cheedalaiin	[sheod:?] | [oshey:?] | [cheedalaiin:?]	[sheod:?] | Ansatz bis zur mittleren Stufe eingeweicht | [cheedalaiin:?]	[sheod:?]; Ansatz bis zur mittleren Stufe eingeweicht; [cheedalaiin:?]	3	2	0
f103r	f103r.47	S	1	6	lcheedy	LCHEEDY_ACTION	ssheey okeeo l lchey qokaly lcheedy oloraiin	vollständig eingeweichtes Saatgut | [okeeo:?] | Grundstoff des vorstehenden Ansatzes | Drogenholz, trocken gebunden, Form I | [qokaly:?] | [lcheedy:?] | [oloraiin:?]	vollständig eingeweichtes Saatgut | [okeeo:?] | Grundstoff des vorstehenden Ansatzes | Drogenholz, trocken gebunden, Form I | [qokaly:?] | Holzdroge vollständig trocknen und abschließen | [oloraiin:?]	vollständig eingeweichtes Saatgut; Grundstoff des vorstehenden Ansatzes; Drogenholz, trocken gebunden, Form I; [qokaly:?]; Holzdroge vollständig trocknen und abschließen; [oloraiin:?]	4	3	0
f103r	f103r.49	S	1	12	leeesain	EXACT_WHOLE	okeey lr ain l ol sheed qokeey sheol qokeedy shedy qoky leeesain am	heißer Ansatz am Ende des Grades | Wurzelholz | Menge-/Klassenwert II | Pfund / Gewichtseinheit | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Einweichung vollständig abgeschlossen | heiß am Ende des Grades | feuchtes Material | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | [leeesain:?] | Maßeinheit I	heißer Ansatz am Ende des Grades | Wurzelholz | Menge-/Klassenwert II | Pfund / Gewichtseinheit | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Einweichung vollständig abgeschlossen | heiß am Ende des Grades | feuchtes Material | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | Holzdroge mit Saatgut auf Langstufe, Charge II | Maßeinheit I	Ansatz auf Heizendstufe; Wurzelholz; zwei Teile; ein Pfund; Grundansatz; Einweichung vollständig abgeschlossen; bis zur Heizendstufe; feuchtes Material; bis zur Heizendstufe gebracht; bis zur mittleren Einweichstufe gebracht; leicht erhitzt; Holzdroge mit Saatgut auf Langstufe, Charge II; Maßeinheit I	1	0	1
f103r	f103r.8	S	1	5	rain	EXACT_WHOLE	daroal okey chedy okey rain okechy qoisal qotar adchey ofeeo ltdy olkechdy lo	[daroal:?] | heißer Ansatz in der Mitte des Grades | trocken in der Mitte des Grades, abgeschlossen | heißer Ansatz in der Mitte des Grades | [rain:?] | [okechy:?] | [qoisal:?] | kalte Drogenfraktion I | [adchey:?] | [ofeeo:?] | [ltdy:?] | [olkechdy:?] | Holzabsud	[daroal:?] | heißer Ansatz in der Mitte des Grades | trocken in der Mitte des Grades, abgeschlossen | heißer Ansatz in der Mitte des Grades | Wurzeldroge in Charge II | [okechy:?] | [qoisal:?] | kalte Drogenfraktion I | [adchey:?] | [ofeeo:?] | [ltdy:?] | [olkechdy:?] | Holzabsud	[daroal:?]; Ansatz bis zur mittleren Heizstufe; bis zur mittleren Trockenstufe gebracht; Ansatz bis zur mittleren Heizstufe; Wurzeldroge in Charge II; [okechy:?]; [qoisal:?]; kalte Drogenfraktion I; [adchey:?]; [ofeeo:?]; [ltdy:?]; [olkechdy:?]; Holzabsud	8	7	0
f103v	f103v.10	S	1	6	oy	EXACT_WHOLE	or cheey qokeeshy okeey loiin oy otedy lor aiin sheor qotain olldy	Drogenportion | trocken am Ende des Grades | [qokeeshy:?] | heißer Ansatz am Ende des Grades | Drogenholzzubereitung, Form III | [oy:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | Holzportion | Menge III | feuchter Drogenteil | kalt im qo-Rahmen, Grad II | [olldy:?]	Drogenportion | trocken am Ende des Grades | [qokeeshy:?] | heißer Ansatz am Ende des Grades | Drogenholzzubereitung, Form III | Ansatz in Grundform | kalter Ansatz in der Mitte des Grades, abgeschlossen | Holzportion | Menge III | feuchter Drogenteil | kalt im qo-Rahmen, Grad II | [olldy:?]	Drogenportion; vollständig getrocknet; [qokeeshy:?]; Ansatz auf Heizendstufe; Drogenholzzubereitung, Form III; Ansatz in Grundform; Ansatz auf mittlerer Kühlstufe abgeschlossen; Holzportion; drei Teile; feuchter Drogenteil; kalt im qo-Rahmen, Grad II; [olldy:?]	3	2	0
f103v	f103v.11	S	1	5	shed	SHED_ACTION	qokeedy olkeeshy qoky qokal shed	heiß am Ende des Grades, abgeschlossen | [olkeeshy:?] | heiß am Anfang des Grades | Rohstoffklasse I, heiß am Gradanfang | [shed:?]	heiß am Ende des Grades, abgeschlossen | [olkeeshy:?] | heiß am Anfang des Grades | Rohstoffklasse I, heiß am Gradanfang | Einweichen bis zur mittleren Stufe abschließen	bis zur Heizendstufe gebracht; [olkeeshy:?]; leicht erhitzt; Rohstoff I, heiß am Gradanfang; Einweichen bis zur mittleren Stufe abschließen	2	1	0
f103v	f103v.24	S	1	1	ykeey	YKEEY_ACTION	ykeey lchey qokeey ror aiin olan otan otain otain ar y kain	[ykeey:?] | Drogenholz, trocken gebunden, Form I | heiß am Ende des Grades | Wurzelportion | Menge III | [olan:?] | kalt im Zubereitungsrahmen, Grad I | kalt im Zubereitungsrahmen, Grad II | kalt im Zubereitungsrahmen, Grad II | Drogenfraktion I | ; hierzu: | heiß, Grad II	erhitze hiervon bis zur Endstufe und schließe ab | Drogenholz, trocken gebunden, Form I | heiß am Ende des Grades | Wurzelportion | Menge III | [olan:?] | kalt im Zubereitungsrahmen, Grad I | kalt im Zubereitungsrahmen, Grad II | kalt im Zubereitungsrahmen, Grad II | Drogenfraktion I | ; hierzu: | heiß, Grad II	erhitze hiervon bis zur Endstufe und schließe ab; Drogenholz, trocken gebunden, Form I; bis zur Heizendstufe; Wurzelportion; drei Teile; [olan:?]; kalt im Zubereitungsrahmen, Grad I; kalt im Zubereitungsrahmen, Grad II; kalt im Zubereitungsrahmen, Grad II; Drogenfraktion I; hierzu: heiß, Grad II	2	1	0
f103v	f103v.25	S	1	9	aram	EXACT_WHOLE	sain olkeeey qokan oteedy qotain otal oty opar aram oteeam	Saatgut, Typ/Charge II | [olkeeey:?] | heiß im qo-Rahmen, Grad I | kalter Ansatz am Ende des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | Rohstoffklasse I im Ansatz, kalt am Gradanfang | kalter Ansatz am Anfang des Grades | [opar:?] | [aram:?] | [oteeam:?]	Saatgut, Typ/Charge II | [olkeeey:?] | heiß im qo-Rahmen, Grad I | kalter Ansatz am Ende des Grades, abgeschlossen | kalt im qo-Rahmen, Grad II | Rohstoffklasse I im Ansatz, kalt am Gradanfang | kalter Ansatz am Anfang des Grades | [opar:?] | ein Maß der ersten Drogenfraktion | [oteeam:?]	Saatgut, Typ/Charge II; [olkeeey:?]; heiß im qo-Rahmen, Grad I; Ansatz auf Kühlendstufe abgeschlossen; kalt im qo-Rahmen, Grad II; Rohstoff I, leicht gekühlt im Ansatz; kalter Ansatz am Anfang des Grades; [opar:?]; ein Maß der ersten Drogenfraktion; [oteeam:?]	4	3	0
f103v	f103v.26	S	1	1	yteey	YTEEY_ACTION	yteey qokeey sheety oteey lshedy oteaiin	[yteey:?] | heiß am Ende des Grades | vollständig angefeuchtet und gekühlt | kalter Ansatz am Ende des Grades | eingeweichtes Drogenholz | [oteaiin:?]	kühle hiervon bis zur Endstufe ab | heiß am Ende des Grades | vollständig angefeuchtet und gekühlt | kalter Ansatz am Ende des Grades | eingeweichtes Drogenholz | [oteaiin:?]	kühle hiervon bis zur Endstufe ab; bis zur Heizendstufe; vollständig angefeuchtet und gekühlt; Ansatz auf Kühlendstufe; eingeweichtes Drogenholz; [oteaiin:?]	2	1	0
