unified_index	register	page	unit_or_locus	visible_owner	source_id	desired_value_de	writing_layer	recipe_or_key	writer_action	resulting_visible_surface	result_status
12	PROSE	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E012	zum Folgegang wechseln	PURE_COMPOSITION	OL+OT[SUBTYPE=SWITCH_TO_FOLLOWING_PROCESS]	Build OL+OT[SUBTYPE=SWITCH_TO_FOLLOWING_PROCESS]; WRITE_REGISTERED_CANONICAL_CARD	qotchol	GENERATED_OR_COPIED_EXACTLY
13	PROSE	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E013	weiter	PURE_COMPOSITION	OL[SUBTYPE=PLAIN_CONTINUATION]	Build OL[SUBTYPE=PLAIN_CONTINUATION]; WRITE_REGISTERED_CANONICAL_CARD	chol	GENERATED_OR_COPIED_EXACTLY
14	PROSE	f10r	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E014	bereit	PURE_COMPOSITION	Y+CTH	Build Y+CTH; WRITE_REGISTERED_CANONICAL_CARD	cthy	GENERATED_OR_COPIED_EXACTLY
15	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E015	aktueller Auszugsansatz	PURE_COMPOSITION	OR+CHEO	Build OR+CHEO; WRITE_REGISTERED_CANONICAL_CARD	ycheor	GENERATED_OR_COPIED_EXACTLY
16	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E016	bereit	PURE_COMPOSITION	Y+CTH	Build Y+CTH; WRITE_REGISTERED_CANONICAL_CARD	cthy	GENERATED_OR_COPIED_EXACTLY
17	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E017	Ansatz	PURE_COMPOSITION	OR	Build OR; WRITE_REGISTERED_CANONICAL_CARD	chor	GENERATED_OR_COPIED_EXACTLY
18	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E018	die Sollvorbereitung setzen	PURE_COMPOSITION	AIIN+CTH	Build AIIN+CTH; WRITE_REGISTERED_CANONICAL_CARD	cthaiin	GENERATED_OR_COPIED_EXACTLY
19	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E019	danach mit diesem Posten weiter	PURE_COMPOSITION	OL+OT+Y	Build OL+OT+Y; WRITE_REGISTERED_CANONICAL_CARD	qoctholy	GENERATED_OR_COPIED_EXACTLY
20	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E020	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	dy	GENERATED_OR_COPIED_EXACTLY
21	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E021	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	chy	GENERATED_OR_COPIED_EXACTLY
22	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E022	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	taiin	GENERATED_OR_COPIED_EXACTLY
23	PROSE	f10r	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E023	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	shy	GENERATED_OR_COPIED_EXACTLY
24	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E024	Folgeansatz	PURE_COMPOSITION	OT+OR	Build OT+OR; WRITE_REGISTERED_CANONICAL_CARD	qotchor	GENERATED_OR_COPIED_EXACTLY
25	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E025	Ansatz	PURE_COMPOSITION	OR	Build OR; WRITE_REGISTERED_CANONICAL_CARD	chor	GENERATED_OR_COPIED_EXACTLY
26	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E026	danach im selben Gang weiter	PURE_COMPOSITION	OL+OT[SUBTYPE=CONTINUE_SAME_PROCESS]	Build OL+OT[SUBTYPE=CONTINUE_SAME_PROCESS]; WRITE_REGISTERED_CANONICAL_CARD	otol	GENERATED_OR_COPIED_EXACTLY
27	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E027	weiter	PURE_COMPOSITION	OL[SUBTYPE=PLAIN_CONTINUATION]	Build OL[SUBTYPE=PLAIN_CONTINUATION]; WRITE_REGISTERED_CANONICAL_CARD	chol	GENERATED_OR_COPIED_EXACTLY
28	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E028	derselbe Ansatz	PURE_COMPOSITION	OL+OR	Build OL+OR; WRITE_REGISTERED_CANONICAL_CARD	cholor	GENERATED_OR_COPIED_EXACTLY
29	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E029	weiter	PURE_COMPOSITION	OL[SUBTYPE=PLAIN_CONTINUATION]	Build OL[SUBTYPE=PLAIN_CONTINUATION]; WRITE_REGISTERED_CANONICAL_CARD	chol	GENERATED_OR_COPIED_EXACTLY
30	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E030	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	daiin	GENERATED_OR_COPIED_EXACTLY
31	PROSE	f10r	H2-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E031	davon	PURE_COMPOSITION	AR[SUBTYPE=SOURCE_ORIGIN]	Build AR[SUBTYPE=SOURCE_ORIGIN]; WRITE_REGISTERED_CANONICAL_CARD	dar	GENERATED_OR_COPIED_EXACTLY
32	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E032	Gefäß für den Ansatz	PURE_COMPOSITION	OR+OYK_VESSEL	Build OR+OYK_VESSEL; WRITE_REGISTERED_CANONICAL_CARD	oykchor	GENERATED_OR_COPIED_EXACTLY
33	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E033	Ansatz	PURE_COMPOSITION	OR	Build OR; WRITE_REGISTERED_CANONICAL_CARD	shor	GENERATED_OR_COPIED_EXACTLY
34	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E034	Ansatz	PURE_COMPOSITION	OR	Build OR; WRITE_REGISTERED_CANONICAL_CARD	chor	GENERATED_OR_COPIED_EXACTLY
35	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E035	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	chy	GENERATED_OR_COPIED_EXACTLY
36	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E036	die Arbeitsstufe setzen	PURE_COMPOSITION	IIN+K_BINDER	Build IIN+K_BINDER; WRITE_REGISTERED_CANONICAL_CARD	kaiiin	GENERATED_OR_COPIED_EXACTLY
37	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E037	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	dy	GENERATED_OR_COPIED_EXACTLY
38	PROSE	f10r	H2-S003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E038	Zugabemaß	PURE_COMPOSITION	AIIN+CHO_INPUT	Build AIIN+CHO_INPUT; WRITE_REGISTERED_CANONICAL_CARD	chodaiin	GENERATED_OR_COPIED_EXACTLY
39	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E039	Kochgut	LEARNED_WHOLE_SIGN	WHOLE_SIGN[tshol]	Copy the complete memorized prose nomenclator card	tshol	GENERATED_OR_COPIED_EXACTLY
40	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E040	Sudansatz	LEARNED_WHOLE_SIGN	WHOLE_SIGN[schoal]	Copy the complete memorized prose nomenclator card	schoal	GENERATED_OR_COPIED_EXACTLY
41	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E041	auswringen	LEARNED_WHOLE_SIGN	WHOLE_SIGN[cfhy]	Copy the complete memorized prose nomenclator card	cfhy	GENERATED_OR_COPIED_EXACTLY
42	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E042	eine vorgeschriebene Stehzeit einhalten	PURE_COMPOSITION	AIIN+SHFY_DURATION	Build AIIN+SHFY_DURATION; WRITE_REGISTERED_CANONICAL_CARD	shfydaiin	GENERATED_OR_COPIED_EXACTLY
43	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E043	nachseihen	LEARNED_WHOLE_SIGN	WHOLE_SIGN[cphy]	Copy the complete memorized prose nomenclator card	cphy	GENERATED_OR_COPIED_EXACTLY
44	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E044	Klarlauf	LEARNED_WHOLE_SIGN	WHOLE_SIGN[cheey]	Copy the complete memorized prose nomenclator card	shey	GENERATED_OR_COPIED_EXACTLY
45	PROSE	f11r	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E045	kalt stellen; Schluss	LEARNED_WHOLE_SIGN	WHOLE_SIGN[tchody]	Copy the complete memorized prose nomenclator card	tchody	GENERATED_OR_COPIED_EXACTLY
46	PROSE	f11r	H3-S002	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E046	Zugabeteil	PURE_COMPOSITION	YTY_PART	Build YTY_PART; WRITE_REGISTERED_CANONICAL_CARD	shoyty	GENERATED_OR_COPIED_EXACTLY
47	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E047	vom vorigen Arbeitsgang nehmen	PURE_COMPOSITION	D_PREVIOUS	Build D_PREVIOUS; WRITE_REGISTERED_CANONICAL_CARD	dchol	GENERATED_OR_COPIED_EXACTLY
48	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E048	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	chy	GENERATED_OR_COPIED_EXACTLY
49	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E049	den laufenden Posten bearbeiten	PURE_COMPOSITION	Y+K_BINDER[SUBTYPE=PROCESS_CURRENT_ITEM]	Build Y+K_BINDER[SUBTYPE=PROCESS_CURRENT_ITEM]; WRITE_REGISTERED_CANONICAL_CARD	kchy	GENERATED_OR_COPIED_EXACTLY
50	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E050	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	dy	GENERATED_OR_COPIED_EXACTLY
51	PROSE	f11r	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E051	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	daiin	GENERATED_OR_COPIED_EXACTLY
52	PROSE	f11r	H3-S004	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E052	zum nächsten Posten wechseln	PURE_COMPOSITION	OT+Y[SUBTYPE=SWITCH_TO_NEXT_PROCESS]	Build OT+Y[SUBTYPE=SWITCH_TO_NEXT_PROCESS]; WRITE_REGISTERED_CANONICAL_CARD	qotchy	GENERATED_OR_COPIED_EXACTLY
53	PROSE	f11r	H3-S004	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E053	die Fortsetzung einsetzen	PURE_COMPOSITION	OK	Build OK; WRITE_REGISTERED_CANONICAL_CARD	okchol	GENERATED_OR_COPIED_EXACTLY
54	PROSE	f11r	H3-S004	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E054	bereit	PURE_COMPOSITION	Y+CTH	Build Y+CTH; WRITE_REGISTERED_CANONICAL_CARD	cthy	GENERATED_OR_COPIED_EXACTLY
55	PROSE	f11r	H3-S004	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E055	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	dy	GENERATED_OR_COPIED_EXACTLY
56	PROSE	f55v	H4-S001	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E056	bemessen	PURE_COMPOSITION	OK+AIIN	Build OK+AIIN; WRITE_REGISTERED_CANONICAL_CARD	qokaiin	GENERATED_OR_COPIED_EXACTLY
57	PROSE	f55v	H4-S001	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E057	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	chaiin	GENERATED_OR_COPIED_EXACTLY
58	PROSE	f55v	H4-S001	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E058	erste Portion	PURE_COMPOSITION	AIN[SUBTYPE=FIRST_PORTION]	Build AIN[SUBTYPE=FIRST_PORTION]; WRITE_REGISTERED_CANONICAL_CARD	ykain	GENERATED_OR_COPIED_EXACTLY
59	PROSE	f55v	H4-S001	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E059	zweite Portion	PURE_COMPOSITION	AN	Build AN; WRITE_REGISTERED_CANONICAL_CARD	ykan	GENERATED_OR_COPIED_EXACTLY
60	PROSE	f55v	H4-S001	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E060	aus der Wärme nehmen und abkühlen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	DY+O_WITHDRAW	Build DY+O_WITHDRAW; WRITE_REGISTERED_CANONICAL_CARD	ody	GENERATED_OR_COPIED_EXACTLY
61	PROSE	f55v	H4-S002	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E061	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	daiin	GENERATED_OR_COPIED_EXACTLY
62	PROSE	f55v	H4-S002	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E062	überführen	PURE_COMPOSITION	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Build Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]; WRITE_REGISTERED_CANONICAL_CARD	chedy	GENERATED_OR_COPIED_EXACTLY
63	PROSE	f55v	H4-S002	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E063	verwahren; Schluss	LEARNED_WHOLE_SIGN	WHOLE_SIGN[talam]	Copy the complete memorized prose nomenclator card	talam	GENERATED_OR_COPIED_EXACTLY
64	PROSE	f55v	H4-S003	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E064	Sollportion	PURE_COMPOSITION	AIIN[SUBTYPE=EXTRACT_PORTION_MEASURE]	Build AIIN[SUBTYPE=EXTRACT_PORTION_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	ykaiin	GENERATED_OR_COPIED_EXACTLY
65	PROSE	f55v	H4-S003	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E065	Auszug aus der Quelle	PURE_COMPOSITION	CHEO	Build CHEO; WRITE_REGISTERED_CANONICAL_CARD	cheoar	GENERATED_OR_COPIED_EXACTLY
66	PROSE	f55v	H4-S003	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E066	länger bearbeiten	PURE_COMPOSITION	E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=GENERAL_LONG_ADJUSTMENT]	Build E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=GENERAL_LONG_ADJUSTMENT]; WRITE_REGISTERED_CANONICAL_CARD	cheeky	GENERATED_OR_COPIED_EXACTLY
67	PROSE	f55v	H4-S003	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E067	fertig; Arbeitsschritt festsetzen	PURE_COMPOSITION	OL+DY	Build OL+DY; WRITE_REGISTERED_CANONICAL_CARD	oldy	GENERATED_OR_COPIED_EXACTLY
68	PROSE	f55v	H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E068	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	aiin	GENERATED_OR_COPIED_EXACTLY
69	PROSE	f55v	H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E069	dorthin einsetzen	PURE_COMPOSITION	OK+AL	Build OK+AL; WRITE_REGISTERED_CANONICAL_CARD	okal	GENERATED_OR_COPIED_EXACTLY
70	PROSE	f55v	H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E070	die laufende Bereitung fortsetzen	PURE_COMPOSITION	OL+Y+TCH_PREPARATION	Build OL+Y+TCH_PREPARATION; WRITE_REGISTERED_CANONICAL_CARD	oltchy	GENERATED_OR_COPIED_EXACTLY
71	PROSE	f55v	H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E071	Ansatz	PURE_COMPOSITION	OR	Build OR; WRITE_REGISTERED_CANONICAL_CARD	or	GENERATED_OR_COPIED_EXACTLY
72	PROSE	f55v	H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E072	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	y	GENERATED_OR_COPIED_EXACTLY
73	PROSE	f55v	H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E073	Bereitungsanteil	PURE_COMPOSITION	AIN[SUBTYPE=PREPARATION_SHARE]	Build AIN[SUBTYPE=PREPARATION_SHARE]; WRITE_REGISTERED_CANONICAL_CARD	orain	GENERATED_OR_COPIED_EXACTLY
74	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E074	Zugabeansatz	PURE_COMPOSITION	OR+CHO_INPUT	Build OR+CHO_INPUT; WRITE_REGISTERED_CANONICAL_CARD	chochor	GENERATED_OR_COPIED_EXACTLY
75	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E075	weitere Zutat	PURE_COMPOSITION	CHO_INPUT	Build CHO_INPUT; WRITE_REGISTERED_CANONICAL_CARD	cho	GENERATED_OR_COPIED_EXACTLY
76	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E076	Zugabe am aktuellen Ziel	PURE_COMPOSITION	Y+CHO_INPUT[SUBTYPE=CURRENT_INPUT_AT_TARGET]	Build Y+CHO_INPUT[SUBTYPE=CURRENT_INPUT_AT_TARGET]; WRITE_REGISTERED_CANONICAL_CARD	chodaly	GENERATED_OR_COPIED_EXACTLY
77	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E077	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	daiin	GENERATED_OR_COPIED_EXACTLY
78	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E078	weitere Zutat	PURE_COMPOSITION	CHO_INPUT	Build CHO_INPUT; WRITE_REGISTERED_CANONICAL_CARD	sho	GENERATED_OR_COPIED_EXACTLY
79	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E079	weiter bearbeiten	PURE_COMPOSITION	K_BINDER[SUBTYPE=CONTINUATION_BINDER]	Build K_BINDER[SUBTYPE=CONTINUATION_BINDER]; WRITE_REGISTERED_CANONICAL_CARD	kchol	GENERATED_OR_COPIED_EXACTLY
80	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E080	Folgeansatz	PURE_COMPOSITION	OT+OR	Build OT+OR; WRITE_REGISTERED_CANONICAL_CARD	otchor	GENERATED_OR_COPIED_EXACTLY
81	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E081	einsetzen	PURE_COMPOSITION	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Build OK+Y[SUBTYPE=SET_CURRENT_ITEM]; WRITE_REGISTERED_CANONICAL_CARD	choky	GENERATED_OR_COPIED_EXACTLY
82	PROSE	f56r	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E082	dorthin	PURE_COMPOSITION	AL[SUBTYPE=TARGET_ADDRESS]	Build AL[SUBTYPE=TARGET_ADDRESS]; WRITE_REGISTERED_CANONICAL_CARD	dal	GENERATED_OR_COPIED_EXACTLY
83	PROSE	f56r	H5-S002	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E083	vom vorigen Arbeitsgang nehmen	PURE_COMPOSITION	D_PREVIOUS	Build D_PREVIOUS; WRITE_REGISTERED_CANONICAL_CARD	schol	GENERATED_OR_COPIED_EXACTLY
84	PROSE	f56r	H5-S002	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E084	aktuelle Zutat	PURE_COMPOSITION	Y+CHO_INPUT[SUBTYPE=CURRENT_INPUT]	Build Y+CHO_INPUT[SUBTYPE=CURRENT_INPUT]; WRITE_REGISTERED_CANONICAL_CARD	choy	GENERATED_OR_COPIED_EXACTLY
85	PROSE	f56r	H5-S002	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E085	einsetzen	PURE_COMPOSITION	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Build OK+Y[SUBTYPE=SET_CURRENT_ITEM]; WRITE_REGISTERED_CANONICAL_CARD	choky	GENERATED_OR_COPIED_EXACTLY
86	PROSE	f56r	H5-S002	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E086	auftragen; Schluss	LEARNED_WHOLE_SIGN	WHOLE_SIGN[cheeckhody]	Copy the complete memorized prose nomenclator card	cheeckhody	GENERATED_OR_COPIED_EXACTLY
87	PROSE	f56r	H5-S003	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E087	Stängel	LEARNED_WHOLE_SIGN	WHOLE_SIGN[sh]	Copy the complete memorized prose nomenclator card	sh	GENERATED_OR_COPIED_EXACTLY
88	PROSE	f56r	H5-S003	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	E088	weitere Zutat	PURE_COMPOSITION	CHO_INPUT	Build CHO_INPUT; WRITE_REGISTERED_CANONICAL_CARD	cho	GENERATED_OR_COPIED_EXACTLY
