state	surface	events	truth	recovered	correct
U	qotain	94	u	u	1
P	ytch	94	s	s	1
U	olkeey	94	s	s	1
U	qoteey	92	s	s	1
U	qotaiin	92	t	t	1
U	okal	91	l	l	1
U	saiin	91	l	l	1
S	l	91	b	b	1
P	ypch	90	l	l	1
U	am	90	o	o	1
S	eedaiin	90	l	l	1
U	dair	89	n	n	1
P	solk	86	o	o	1
U	qokchey	84	f	f	1
S	oly	84	d	d	1
P	shckh	84	f	f	1
S	aim	84	o	o	1
U	qokchdy	83	b	b	1
P	ykch	83	l	l	1
U	olkain	83	u	u	1
S	edol	83	l	l	1
U	dam	81	n	n	1
S	eeos	81	d	d	1
S	edair	80	l	l	1
P	otch	80	r	r	1
S	ary	80	t	t	1
P	dar	79	d	d	1
P	otsh	79	d	d	1
S	e	77	p	p	1
P	qolk	76	p	p	1
S	dor	76	m	m	1
U	qokey	76	v	v	1
S	g	76	g	g	1
U	oky	75	p	p	1
U	qokchy	75	g	g	1
S	eeal	75	m	m	1
P	ofch	74	p	p	1
S	eam	73	f	f	1
U	cheedy	73	d	d	1
S	dair	71	o	o	1
P	cph	70	g	g	1
P	olt	70	c	c	1
P	qockh	69	v	v	1
P	dal	69	d	d	1
S	edor	69	v	v	1
U	chor	68	d	d	1
P	os	68	n	n	1
P	q	68	m	m	1
U	oty	68	p	p	1
P	qofch	67	c	c	1
P	qoksh	67	p	p	1
P	oksh	66	o	o	1
P	lpch	65	x	x	1
S	as	64	p	p	1
U	lkain	63	d	d	1
U	olkar	63	m	m	1
S	ail	62	c	c	1
U	sheody	61	p	p	1
U	qotar	60	m	m	1
S	edo	60	x	x	1
U	air	59	o	o	1
S	dol	59	d	d	1
U	qokchedy	58	h	h	1
U	lchey	57	c	c	1
S	eesy	55	l	l	1
S	ory	53	b	b	1
P	ockh	53	l	l	1
P	d	52	m	m	1
S	eoy	52	b	b	1
U	olkal	50	l	l	1
P	of	50	q	q	1
P	sair	49	d	d	1
S	eeod	48	p	p	1
S	esy	48	c	c	1
U	qotal	46	l	l	1
U	shor	45	v	v	1
P	sar	45	v	v	1
U	qokor	45	x	x	1
P	dary	45	q	q	1
P	rsh	45	f	f	1
U	chckhey	45	d	d	1
S	oy	44	b	b	1
U	otchdy	44	b	b	1
U	shody	44	q	q	1
U	okchdy	43	b	b	1
S	als	43	q	q	1
P	osh	43	f	f	1
P	qokch	43	l	l	1
U	sar	43	c	c	1
S	daly	42	l	l	1
S	edaiiin	42	q	q	1
P	qolch	41	b	b	1
S	ols	41	q	q	1
P	es	40	q	q	1
S	saiin	40	g	g	1
U	otol	40	q	q	1
U	okol	39	q	q	1
P	solch	39	g	g	1
S	eedal	39	h	h	1
U	sheckhy	39	b	b	1
P	qotch	38	h	h	1
S	eoly	37	p	p	1
P	dor	37	b	b	1
S	eols	37	g	g	1
P	octh	37	b	b	1
U	otchy	36	g	g	1
P	orch	36	g	g	1
P	dyk	35	v	v	1
U	olkedy	35	d	d	1
S	eeeody	35	d	d	1
U	olky	34	p	p	1
S	sdy	33	v	v	1
U	shar	33	g	g	1
U	okchy	33	g	g	1
P	daly	33	v	v	1
P	qor	33	p	p	1
S	sy	33	v	v	1
S	eom	32	b	b	1
U	okchey	32	f	f	1
S	ais	32	p	p	1
U	otey	31	v	v	1
S	daiiin	30	f	f	1
P	ssh	29	g	g	1
S	a	28	d	d	1
S	iiin	28	f	f	1
P	qol	28	d	d	1
S	sd	27	v	v	1
U	otchey	27	f	f	1
U	okey	27	v	v	1
S	eeam	27	g	g	1
P	f	26	x	x	1
P	ly	26	f	f	1
P	air	26	q	q	1
P	dair	26	f	f	1
P	chcph	25	p	p	1
P	psh	25	b	b	1
U	okor	25	x	x	1
P	qolsh	25	x	x	1
P	qotsh	25	f	f	1
P	aly	25	h	h	1
S	ealy	24	q	q	1
S	do	23	f	f	1
S	ch	23	x	x	1
S	oiiin	23	q	q	1
P	dyt	22	g	g	1
P	oiin	22	h	h	1
S	aiis	21	v	v	1
U	qoty	21	p	p	1
U	olkchdy	21	b	b	1
P	do	21	x	x	1
U	qotchy	20	g	g	1
P	soiin	20	v	v	1
U	otor	20	x	x	1
S	ery	19	x	x	1
U	qotol	19	q	q	1
S	eeed	19	b	b	1
S	eeeo	18	v	v	1
P	ary	18	b	b	1
U	otchedy	17	h	h	1
U	okchedy	17	h	h	1
U	shaiin	17	x	x	1
S	eeeos	16	x	x	1
P	ory	16	h	h	1
P	oiiin	16	q	q	1
U	shal	16	f	f	1
P	qoch	16	h	h	1
U	olkey	15	v	v	1
S	eeoy	15	h	h	1
U	qotchdy	15	b	b	1
U	olkchey	15	f	f	1
U	olkol	14	q	q	1
U	qotey	14	v	v	1
U	qotchey	13	f	f	1
P	da	13	v	v	1
U	olkchy	13	g	g	1
U	shy	13	h	h	1
P	sy	13	g	g	1
S	ok	12	g	g	1
S	eel	12	f	f	1
S	eaiin	12	h	h	1
S	iir	12	g	g	1
P	olpch	11	y	y	1
S	er	11	h	h	1
S	eer	10	h	h	1
S	dl	10	x	x	1
S	eedo	10	x	x	1
U	qokdy	10	y	e	0
S	eedam	9	h	h	1
U	olkor	9	x	x	1
P	x	9	x	x	1
P	dk	9	x	x	1
P	qocth	8	h	h	1
S	sairy	8	f	f	1
U	olkchedy	8	h	h	1
S	oin	8	y	y	1
U	qotchedy	7	h	h	1
P	ry	7	y	y	1
U	qotor	7	x	x	1
S	osy	4	y	y	1
U	otdy	4	y	y	1
P	opsh	3	y	y	1
S	ry	3	y	y	1
U	shain	3	y	y	1
S	yl	3	y	y	1
S	eory	2	y	y	1
P	so	2	z	y	0
S	yr	2	y	y	1
P	ail	2	y	y	1
P	sk	1	y	y	1
U	olkdy	1	y	y	1
P	sok	1	y	z	0
U	qokeeedy	1	z	y	0
U	qoteeedy	1	z	y	0
