contradiction_id	level	affected_units	contradiction	support_count	severity	containment	status	source
PROSE_OCCURRENCE_017	PROSE_OCCURRENCE	H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Anteil.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E048
PROSE_OCCURRENCE_018	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Anwendungshäufigkeit.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E066
PROSE_OCCURRENCE_019	PROSE_OCCURRENCE	H1|H2|H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	7	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E003,E013,E017,E025,E027,E029,E071
PROSE_OCCURRENCE_020	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auflage.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E079,E083
PROSE_OCCURRENCE_021	PROSE_OCCURRENCE	H1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, Glas.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E007
PROSE_OCCURRENCE_022	PROSE_OCCURRENCE	H1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E008
PROSE_OCCURRENCE_023	PROSE_OCCURRENCE	H1|H3|H4|H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	4	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E011,E042,E065,E091
PROSE_OCCURRENCE_024	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Blütezeit.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E076
PROSE_OCCURRENCE_025	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Brusttrank.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E096
PROSE_OCCURRENCE_026	PROSE_OCCURRENCE	H1|H2|H3|H4|H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	8	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E009,E022,E030,E051,E057,E061,E077,E100
PROSE_OCCURRENCE_027	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Einwirkdauer.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E081
PROSE_OCCURRENCE_028	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E016
PROSE_OCCURRENCE_029	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Feuer.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E035
PROSE_OCCURRENCE_030	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Fraktion.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E020
PROSE_OCCURRENCE_031	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gabe.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E099
PROSE_OCCURRENCE_032	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsabschluss.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E067
PROSE_OCCURRENCE_033	PROSE_OCCURRENCE	H1|H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsreife.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E014,E054
PROSE_OCCURRENCE_034	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß, kühler Lagerort.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E060
PROSE_OCCURRENCE_035	PROSE_OCCURRENCE	H1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E005
PROSE_OCCURRENCE_036	PROSE_OCCURRENCE	H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gemütsbeschwerde, Brustbeschwerde.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E050
PROSE_OCCURRENCE_037	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Geschwür, Schwellung.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E038
PROSE_OCCURRENCE_038	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Handvoll.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E026
PROSE_OCCURRENCE_039	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Hautstelle.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E082
PROSE_OCCURRENCE_040	PROSE_OCCURRENCE	H4|H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Honig.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E072,E094
PROSE_OCCURRENCE_041	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Husten.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E097
PROSE_OCCURRENCE_042	PROSE_OCCURRENCE	H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Klarzustand.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E044
PROSE_OCCURRENCE_043	PROSE_OCCURRENCE	H1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leibschmerz, Vorratsgefäß.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E010
PROSE_OCCURRENCE_044	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leinwand, Klarstand.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E062
PROSE_OCCURRENCE_045	PROSE_OCCURRENCE	H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Lider, Auge, äußerliches Öl.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E055
PROSE_OCCURRENCE_046	PROSE_OCCURRENCE	H2|H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Olivenöl.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E021,E053
PROSE_OCCURRENCE_047	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Pflanzensaft, Tuch.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E019
PROSE_OCCURRENCE_048	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Posten.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E056
PROSE_OCCURRENCE_049	PROSE_OCCURRENCE	H1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Quellwasser.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E006
PROSE_OCCURRENCE_050	PROSE_OCCURRENCE	H1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Reinigung.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E002
PROSE_OCCURRENCE_051	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbe.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E036
PROSE_OCCURRENCE_052	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbenansatz.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E033,E034
PROSE_OCCURRENCE_053	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Schatten.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E088
PROSE_OCCURRENCE_054	PROSE_OCCURRENCE	H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Trank.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E049
PROSE_OCCURRENCE_055	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Trankanteil, Gabe.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E098
PROSE_OCCURRENCE_056	PROSE_OCCURRENCE	H3|H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Tuch.	3	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E041,E043,E093
PROSE_OCCURRENCE_057	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Umschlag.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E073
PROSE_OCCURRENCE_058	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Verträglichkeit, Wiederholung.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E085
PROSE_OCCURRENCE_059	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Vorrat.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E090
PROSE_OCCURRENCE_060	PROSE_OCCURRENCE	H2|H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Vorratsgefäß.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E037,E063
PROSE_OCCURRENCE_061	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Warze, Hühnerauge.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E080
PROSE_OCCURRENCE_062	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wasser.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E084
PROSE_OCCURRENCE_063	PROSE_OCCURRENCE	H3|H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wein.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E040,E092
PROSE_OCCURRENCE_064	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Weißwein.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E059
PROSE_OCCURRENCE_065	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wunde.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E064
PROSE_OCCURRENCE_066	PROSE_OCCURRENCE	H1|H2|H4|H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	4	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E012,E023,E070,E095
PROSE_OCCURRENCE_067	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerreibung.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E089
