state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	final_context_recipe	gdt566_selected_clause_de	owner_voice_working_clause_de	owner_bound_control_clause_de	owner_voice_changed	owner_voice_equals_owner_bound	adapter_card_count	adapter_card_ids	outer_template_id	structural_template_id	state_atom_alignment	guard
11	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	teody	T+E+O+DY	Stelle den Anteil ein; auf Grad I; zur Ausführung; abschließen.	Stelle den Teilwert ein; auf Grad I; zur Ausführung; schließe den Schritt.	Lege den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung; schließe den Schritt.	YES	NO	2	GDT567-A03|GDT567-A39	GDT565-O01	GDT565-T013	1:T=einstellen | 2:E=auf Grad I | 3:O=zur Ausführung | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
12	G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ols	OL+S	Weiter: wähle den Wert.	Weiter: wähle den Kennwert.	Weiter wähle den Kennwert [wie zuvor].	YES	NO	1	GDT567-A02	GDT565-O05	GDT565-T072	1:OL=weiter | 2:S=wählen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
13	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	otairin	OT+AIR+IIN	Danach: halte den Posten; entlang der Bahn; auf der Stufe.	Danach: halte den laufenden Eintrag; entlang der Lesebahn; auf der Stufe.	Danach im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; entlang der Lesebahn; auf der bezeichneten Stufe.	YES	NO	2	GDT567-A01|GDT567-A23	GDT565-O03	GDT565-T141	1:OT=danach | 2:AIR=entlang der Bahn | 3:IIN=auf der Stufe	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
14	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oteol	OT+E+OL	Danach: halte den Posten; auf Grad I; weiterführen.	Danach: halte den laufenden Eintrag; auf Grad I; weiterführen.	Danach und weiter im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	YES	NO	1	GDT567-A01	GDT565-O04	GDT565-T164	1:OT=danach | 2:E=auf Grad I | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
15	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oldain	OL+AIN	Weiter: halte den Anteil.	Weiter: halte den Teilwert.	Weiter im laufenden Gang halte den Teilwert fest.	YES	NO	1	GDT567-A03	GDT565-O05	GDT565-T072	1:OL=weiter | 2:AIN=den Anteil	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
16	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	Weiter: halte den Anteil.	Weiter: halte den Teilwert.	Weiter im laufenden Gang halte den Teilwert [wie zuvor] fest.	YES	NO	1	GDT567-A03	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
17	G407-E0113	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kol	K+OL	Weiter: gib den Posten.	Weiter: gib den laufenden Eintrag.	Weiter ordne den laufenden Eintrag [wie zuvor] zu.	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T072	1:K=geben | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
18	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	Weiter: gib den Posten.	Weiter: gib den laufenden Eintrag.	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
19	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	Weiter: gib den Posten.	Weiter: gib den laufenden Eintrag.	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
20	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	Weiter: halte die Einheit.	Weiter: halte die Eintragseinheit.	Weiter im laufenden Gang halte die Eintragseinheit [wie zuvor] fest.	YES	NO	1	GDT567-A04	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
21	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	pshol	P+SH+OL	Weiter: setze den Anteil ein und halte den Anteil.	Weiter: setze den Teilwert ein und halte den Teilwert.	Weiter setze den Teilwert [wie zuvor] ein und halte den Teilwert [wie zuvor] fest.	YES	NO	1	GDT567-A03	GDT565-O05	GDT565-T094	1:P=einsetzen | 2:SH=halten | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
22	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	dydyd	Y+DY+D_LABEL	Halte den Posten; hier; abschließen.	Halte den laufenden Eintrag; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	YES	NO	3	GDT567-A01|GDT567-A38|GDT567-A39	GDT565-O01	GDT565-T016	1:Y=den Posten | 2:DY=abschließen | 3:D_LABEL=hier	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
23	G407-E0137	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shol	SH+OL	Weiter: halte den Posten.	Weiter: halte den laufenden Eintrag.	Weiter halte den laufenden Eintrag [wie zuvor] fest.	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T072	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
24	G407-E0150	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	tol	T+OL	Weiter: stelle den Posten ein.	Weiter: stelle den laufenden Eintrag ein.	Weiter lege den laufenden Eintrag [wie zuvor] fest.	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T072	1:T=einstellen | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
25	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cthols	CH+T+OL+S	Weiter: nimm den Posten und stelle den Posten ein und wähle den Posten.	Weiter: nimm den laufenden Eintrag und stelle den laufenden Eintrag ein und wähle den laufenden Eintrag.	Weiter entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor].	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T099	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter | 4:S=wählen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
26	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	otol	OT+OL	Danach: gib den Posten; weiterführen.	Danach: gib den laufenden Eintrag; weiterführen.	Danach und weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	YES	NO	1	GDT567-A01	GDT565-O06	GDT565-T167	1:OT=danach | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
27	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	chol	OL	Weiter: nimm den Posten.	Weiter: nimm den laufenden Eintrag.	Weiter im laufenden Gang entnimm den laufenden Eintrag [wie zuvor].	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
28	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	chol	OL	Weiter: markiere den Posten.	Weiter: markiere den laufenden Eintrag.	Weiter im laufenden Gang kennzeichne den laufenden Eintrag [wie zuvor].	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
29	G407-E0184	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	okol	OK+OL	Weiter: setze den Wert.	Weiter: setze den Kennwert.	Weiter trage den Kennwert [wie zuvor] ein.	YES	NO	1	GDT567-A02	GDT565-O05	GDT565-T072	1:OK=setzen | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
30	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	cthol	CH+T+OL	Weiter: nimm den Wert und stelle den Wert ein.	Weiter: nimm den Kennwert und stelle den Kennwert ein.	Weiter entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest.	YES	NO	1	GDT567-A02	GDT565-O05	GDT565-T094	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
31	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	ctholdar	CH+T+OL+D_ADDR+AR	Weiter: nimm den Wert und stelle den Wert ein; hier; vom Ausgang.	Weiter: nimm den Kennwert und stelle den Kennwert ein; an der bezeichneten Stelle; von der Ausgangszeile.	Weiter entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile; an der bezeichneten Stelle.	YES	NO	3	GDT567-A02|GDT567-A21|GDT567-A38	GDT565-O03	GDT565-T093	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter | 4:D_ADDR=hier | 5:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
32	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	ochol	O+OL	Weiter: setze den Wert; zur Ausführung.	Weiter: setze den Kennwert; zur Ausführung.	Weiter im laufenden Gang trage den Kennwert [wie zuvor] ein; als Ausführung.	YES	NO	1	GDT567-A02	GDT565-O03	GDT565-T058	1:O=zur Ausführung | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
33	G407-E0200	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	shody	SH+O+DY	Halte den Posten; zur Ausführung; abschließen.	Halte den laufenden Eintrag; zur Ausführung; schließe den Schritt.	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	YES	NO	2	GDT567-A01|GDT567-A39	GDT565-O01	GDT565-T006	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
34	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	chol	OL	Weiter: stelle die Einheit ein.	Weiter: stelle die Eintragseinheit ein.	Weiter im laufenden Gang lege die Eintragseinheit [wie zuvor] fest.	YES	NO	1	GDT567-A04	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
35	G407-E0212	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	choty	CH+OT+Y	Danach: nimm den Posten.	Danach: nimm den laufenden Eintrag.	Danach entnimm den laufenden Eintrag.	YES	NO	1	GDT567-A01	GDT565-O05	GDT565-T139	1:CH=nehmen | 2:OT=danach | 3:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
36	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	chotey	CH+OT+E+Y	Danach: nimm den Posten; auf Grad I.	Danach: nimm den laufenden Eintrag; auf Grad I.	Danach entnimm den laufenden Eintrag; auf Grad I.	YES	NO	1	GDT567-A01	GDT565-O03	GDT565-T127	1:CH=nehmen | 2:OT=danach | 3:E=auf Grad I | 4:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
37	G407-E0219	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	pchodol	P+CH+O+D_ADDR+OL	Weiter: setze den Posten ein und nimm den Posten; zur Ausführung; hier.	Weiter: setze den Pflanzenposten ein und nimm den Pflanzenposten; zur Ausführung; an der bezeichneten Stelle.	Weiter setze den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	YES	NO	2	GDT567-A05|GDT567-A38	GDT565-O03	GDT565-T083	1:P=einsetzen | 2:CH=nehmen | 3:O=zur Ausführung | 4:D_ADDR=hier | 5:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
38	G407-E0229	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	otytchol	OT+Y+T+CH+OL	Danach: stelle den Posten ein und nimm den Posten; weiterführen.	Danach: stelle den Pflanzenposten ein und nimm den Pflanzenposten; weiterführen.	Danach und weiter stelle den Pflanzenposten ein und nimm den Pflanzenposten.	YES	NO	1	GDT567-A05	GDT565-O06	GDT565-T168	1:OT=danach | 2:Y=den Posten | 3:T=einstellen | 4:CH=nehmen | 5:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
39	G407-E0233	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qotor	OT+OR	Danach: stelle die Einheit ein.	Danach: stelle die Arbeitseinheit ein.	Danach im laufenden Gang stelle die Arbeitseinheit ein.	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T139	1:OT=danach | 2:OR=die Einheit	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
40	G407-E0238	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qotchy	OT+Y	Danach: stelle den Posten ein.	Danach: stelle den Pflanzenposten ein.	Danach im laufenden Gang stelle den Pflanzenposten ein.	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T139	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
41	G407-E0239	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	chol	OL	Weiter: stelle den Posten ein.	Weiter: stelle den Pflanzenposten ein.	Weiter im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein.	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
42	G407-E0253	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	ody	O+DY	Markiere die Einheit; zur Ausführung; abschließen.	Markiere die Arbeitseinheit; zur Ausführung; schließe den Schritt.	Im laufenden Gang markiere die Arbeitseinheit [wie zuvor]; als Ausführung; schließe den Schritt.	YES	NO	2	GDT567-A08|GDT567-A39	GDT565-O01	GDT565-T006	1:O=zur Ausführung | 2:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
43	G407-E0255	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qotchol	OT+CH+OL	Danach: nimm den Posten; weiterführen.	Danach: nimm den Pflanzenposten; weiterführen.	Danach und weiter nimm den Pflanzenposten [wie zuvor].	YES	NO	1	GDT567-A05	GDT565-O06	GDT565-T167	1:OT=danach | 2:CH=nehmen | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
44	G407-E0256	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	chol	OL	Weiter: nimm den Posten.	Weiter: nimm den Pflanzenposten.	Weiter im laufenden Gang nimm den Pflanzenposten [wie zuvor].	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
45	G407-E0262	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qoctholy	CARRIER_Q+O+CH+T+OL+Y	Weiter: nimm den Posten und stelle den Posten ein; am Beginn; zur Ausführung.	Weiter: nimm den Pflanzenposten und stelle den Pflanzenposten ein; am Beginn; zur Ausführung.	Weiter nimm den Pflanzenposten und stelle den Pflanzenposten ein; als neuen Einsatz und als Ausführung.	YES	NO	1	GDT567-A05	GDT565-O03	GDT565-T080	1:CARRIER_Q=am Beginn | 2:O=zur Ausführung | 3:CH=nehmen | 4:T=einstellen | 5:OL=weiter | 6:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
46	G407-E0268	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qokchol	OK+OL	Weiter: setze den Posten.	Weiter: setze den Pflanzenposten.	Weiter setze den Pflanzenposten [wie zuvor] im Arbeitsgang an.	YES	NO	1	GDT567-A05	GDT565-O05	GDT565-T072	1:OK=setzen | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
47	G407-E0277	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qotchor	OT+CH+OR	Danach: nimm die Einheit.	Danach: nimm die Arbeitseinheit.	Danach nimm die Arbeitseinheit.	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T139	1:OT=danach | 2:CH=nehmen | 3:OR=die Einheit	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
48	G407-E0279	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	otol	OT+OL	Danach: nimm die Einheit; weiterführen.	Danach: nimm die Arbeitseinheit; weiterführen.	Danach und weiter im laufenden Gang nimm die Arbeitseinheit [wie zuvor].	YES	NO	1	GDT567-A08	GDT565-O06	GDT565-T167	1:OT=danach | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
49	G407-E0280	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	chol	OL	Weiter: nimm die Einheit.	Weiter: nimm die Arbeitseinheit.	Weiter im laufenden Gang nimm die Arbeitseinheit [wie zuvor].	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
50	G407-E0281	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	cholor	OL+OR	Weiter: nimm die Einheit.	Weiter: nimm die Arbeitseinheit.	Weiter im laufenden Gang nimm die Arbeitseinheit.	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T072	1:OL=weiter | 2:OR=die Einheit	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
51	G407-E0282	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	chol	OL	Weiter: nimm die Einheit.	Weiter: nimm die Arbeitseinheit.	Weiter im laufenden Gang nimm die Arbeitseinheit [wie zuvor].	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
52	G407-E0292	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	oqotor	O+OT+OR	Danach: nimm die Einheit; zur Ausführung.	Danach: nimm die Arbeitseinheit; zur Ausführung.	Danach im laufenden Gang nimm die Arbeitseinheit; als Ausführung.	YES	NO	1	GDT567-A08	GDT565-O03	GDT565-T123	1:O=zur Ausführung | 2:OT=danach | 3:OR=die Einheit	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
53	G407-E0293	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	otor	OT+OR	Danach: nimm die Einheit.	Danach: nimm die Arbeitseinheit.	Danach im laufenden Gang nimm die Arbeitseinheit.	YES	NO	1	GDT567-A08	GDT565-O05	GDT565-T139	1:OT=danach | 2:OR=die Einheit	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
