master_card_id	master_form	registered_surfaces	family_parse	source_short_value_de	imperative_clause_de	conversion_method	event_count
MC101	ldalor	ldalor	AL+L	Endziel	Führe bis zum Endziel	CURATED_IMPERATIVE	1
MC102	rsheal	rsheal	AL+E_GRADE	Kurzhalt am Ziel	Halte den zugeführten Posten kurz am Ziel	CONTEXT_NARROWED_VERB	1
MC103	chokchy	chokchy|okchy|qokchy	OK+Y	den laufenden Posten einsetzen und weiterbearbeiten	Setze den laufenden Posten ein und bearbeite ihn weiter	CURATED_IMPERATIVE	3
MC104	keol	keol	K_BINDER	kurz weiterbearbeiten	Bearbeite ihn kurz weiter	CURATED_IMPERATIVE	1
MC105	chkain	chkain|kain	AIN	Portion	Nimm eine Portion	CURATED_IMPERATIVE	3
MC106	teol	teol	OL+E_GRADE	kurz weiterführen	Führe ihn kurz weiter	CURATED_IMPERATIVE	1
MC107	qotchy	qotchy	OT+Y	zum nächsten Posten wechseln	Wechsle zum nächsten Posten	CURATED_IMPERATIVE	1
MC108	etyd	etyd	WHOLE_SIGN[etyd]	kleiner Rest	Nimm den kleinen Rest	CURATED_IMPERATIVE	1
MC109	ytey	ytey	WHOLE_SIGN[ytey]	Kurzteil	Nimm einen kleinen Teil	CURATED_IMPERATIVE	1
MC110	chkeedy	chkeedy	E_GRADE+DY+CHK	Langwärmen	Wärme ihn lange	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC111	shfydaiin	shfydaiin	AIIN+SHFY_DURATION	eine vorgeschriebene Stehzeit einhalten	Lass ihn die vorgeschriebene Zeit stehen	CURATED_IMPERATIVE	1
MC112	octheol	octheol	OL+CTH	Fortsetzung vorbereiten	Setze den nächsten Durchgang an	CONTEXT_NARROWED_VERB	1
MC113	shedal	shedal	AL+SHED	am Ziel absetzen	Lass ihn am Ziel absetzen	CURATED_IMPERATIVE	2
MC114	sh	sh	WHOLE_SIGN[sh]	Stängel	Nimm den Stängel	CURATED_IMPERATIVE	1
MC115	qoctholy	qoctholy	OL+OT+Y	danach mit diesem Posten weiter	Arbeite danach mit diesem Posten weiter	CURATED_IMPERATIVE	1
MC116	schedair	schedair	AIR	Weiterlauf	Führe ihn im Lauf weiter	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC117	kchy	kchy	Y+K_BINDER	den laufenden Posten bearbeiten	Bearbeite den laufenden Posten	CURATED_IMPERATIVE	1
MC118	ly	ly	WHOLE_SIGN[ly]	Auffanggefäß	Stelle das Auffanggefäß bereit	CURATED_IMPERATIVE	1
MC119	cheey	cheey|shey	WHOLE_SIGN[cheey]	Klarlauf	Nimm den klaren Ablauf	CURATED_IMPERATIVE	4
MC120	okaiin	okaiin|qokaiin	OK+AIIN	bemessen	Messe den Posten ab	CURATED_IMPERATIVE	9
MC121	otar	otar	OT+AR	Folgequelle	Wechsle zur folgenden Quelle	CURATED_IMPERATIVE	1
MC122	kchey	kchey	Y+K_BINDER	den laufenden Posten kurz bearbeiten	Bearbeite den laufenden Posten kurz	CURATED_IMPERATIVE	1
MC123	chey	chey|chy|dy|shy|sy|y	Y	dies	Halte diesen Posten aktiv	CURATED_IMPERATIVE	18
MC124	lkedy	lkedy	WHOLE_SIGN[lkedy]	weiter abziehen	Ziehe ihn weiter ab	RECIPE_INFINITIVE_OR_CLAUSE	1
MC125	chochor	chochor	OR+CHO_INPUT	Zugabeansatz	Bereite den Zugabeansatz	CURATED_IMPERATIVE	1
MC126	pchedal	pchedal	AL+P+CHED_TRANSFER	Zielzuführung	Führe ihn dem Ziel zu	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC127	lched	lched	L+CHED_TRANSFER	Abführung	Führe ihn ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC128	cheedy	cheedy|shedy|tedy	E_GRADE+DY+SHED	kurz absetzen	Lass ihn kurz absetzen	PRODUCTIVE_NOUN_TO_IMPERATIVE	12
MC129	cfhy	cfhy	WHOLE_SIGN[cfhy]	auswringen	Wringe den Posten aus	CURATED_IMPERATIVE	1
MC130	lsho	lsho	LSH	Waschgang	Führe einen Waschgang aus	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC131	choy	choy	Y+CHO_INPUT	aktuelle Zutat	Nimm die aktuelle Zutat	CURATED_IMPERATIVE	1
MC132	sheckhy	sheckhy	E_GRADE+Y+CKH	Kurzpassage	Führe ihn kurz hindurch	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC133	lcheckhedy	lcheckhedy	L+CKHE	Trennabzug	Ziehe die getrennte Fraktion ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC134	qolky	qolky	OL	Weiterweg	Führe auf dem Weg weiter	CURATED_IMPERATIVE	1
MC135	otedy	otedy	OT+E_GRADE+DY	Kurzfolge	Führe ihn kurz zum Folgeschritt weiter	CONTEXT_NARROWED_VERB	2
MC136	kchoar	kchoar	K_BINDER	bearbeiteter Quellauszug	Nimm den bearbeiteten Quellauszug	CURATED_IMPERATIVE	1
MC137	shecthy	shecthy	E_GRADE+Y+CTH	Kurzvorbereitung	Bereite ihn kurz vor	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC138	dshedy	dshedy	WHOLE_SIGN[dshedy]	Frischwasser zugeben	Lass frische Spülflüssigkeit ein	CONTEXT_NARROWED_VERB	1
MC139	dchdy	dchdy	DY+CHED_TRANSFER	Transfer	Führe ihn über	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC140	qokeeedy	qokeeedy	OK+E_GRADE+DY	Volleinsatz	Setze ihn vollständig ein	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC141	tshey	tshey	T_FRAME+WHOLE_SHEY	Folgeklarlauf	Nimm danach den klaren Ablauf	CURATED_IMPERATIVE	1
MC142	dchol	dchol|schol	D_PREVIOUS	vom vorigen Arbeitsgang nehmen	Nimm ihn aus dem vorigen Arbeitsgang	CURATED_IMPERATIVE	2
MC143	shckhedy	shckhedy	CKHE	durchlassen	Lass ihn hindurch	RECIPE_INFINITIVE_OR_CLAUSE	3
MC144	chldaiin	chldaiin	AIIN	Sollabsetzung	Lass ihn bis zum Sollstand absetzen	CONTEXT_NARROWED_VERB	1
MC145	chedain	chedain	AIN+CHED_TRANSFER	Anteilstransfer	Führe einen Anteil über	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC146	chealror	chealror	AL+OR	Zielbereitung	Stelle ihn am Zielgefäß bereit	CONTEXT_NARROWED_VERB	1
MC147	cheky	cheky	E_GRADE+Y+CHK	kurz wärmen	Wärme ihn kurz	CURATED_IMPERATIVE	3
MC148	ykan	ykan	AN	zweite Portion	Nimm die zweite Portion	CURATED_IMPERATIVE	1
MC149	solshedy	solshedy	OL+DY+SHED	Folgeabsetzen	Lass danach den nächsten Posten absetzen	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC150	okeeol	okeeol	OK+OL+E_GRADE	Langfortsetzung	Setze den Gang lange fort	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC151	qokshedy	qokshedy	OK+DY+SHED	Einsatzabsetzen	Lass ihn nach dem Einsatz absetzen	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC152	ches	ches	WHOLE_SIGN[ches]	teilen	Teile den Posten	CURATED_IMPERATIVE	1
MC153	cheol	cheol|chol|ol|qol|sol|tol	OL	weiter	Arbeite weiter	CURATED_IMPERATIVE	19
MC154	al	al|chal|cheal|dal|sal|tal	AL	dorthin	Führe ihn dorthin	CURATED_IMPERATIVE	10
MC155	lchedy	lchedy	L+CHED_TRANSFER	abführen	Führe ihn ab	RECIPE_INFINITIVE_OR_CLAUSE	8
MC156	cphy	cphy	WHOLE_SIGN[cphy]	nachseihen	Seihe ihn danach erneut	CURATED_IMPERATIVE	1
MC157	cholor	cholor|olor	OL+OR	derselbe Ansatz	Verwende denselben Ansatz weiter	CURATED_IMPERATIVE	2
MC158	cthoor	cthoor	OR+CTH	den Ansatz bereitstellen	Stelle den Ansatz bereit	CURATED_IMPERATIVE	1
MC159	os	os	OS_RECEIVER	Aufnahmegefäß	Stelle das Aufnahmegefäß bereit	CURATED_IMPERATIVE	1
MC160	talam	talam	WHOLE_SIGN[talam]	verwahren	Verwahre ihn	RECIPE_INFINITIVE_OR_CLAUSE	1
MC161	checthy	checthy|cthy|shcthy	Y+CTH	bereit	Halte ihn bereit	CURATED_IMPERATIVE	7
MC162	qolchey	qolchey	OL+Y	Weiterposten	Nimm den nächsten Einsatzposten	CONTEXT_NARROWED_VERB	1
MC163	qotchol	qotchol	OL+OT	zum Folgegang wechseln	Wechsle zum Folgegang	CURATED_IMPERATIVE	1
MC164	qokylddy	qokylddy	WHOLE_SIGN[qokylddy]	befestigen	Befestige ihn	RECIPE_INFINITIVE_OR_CLAUSE	1
MC165	qockhey	qockhey	OK+E_GRADE+Y+CKH	Kurzdurchgang	Führe ihn kurz hindurch	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC166	chkeey	chkeey	E_GRADE+Y+CHK	Langwärmen	Wärme ihn lange	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC167	lochedy	lochedy	L+DY+CHED_TRANSFER+O_WITHDRAW	Abführung	Führe ihn ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC168	lcheckhy	lcheckhy	L+Y+CKH	Abführpassage	Führe ihn durch die Abführpassage	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC169	cthaiin	cthaiin	AIIN+CTH	die Sollvorbereitung setzen	Stelle die vorgeschriebene Vorbereitung ein	CURATED_IMPERATIVE	1
MC170	ykaiin	ykaiin	AIIN	Sollportion	Nimm die vorgeschriebene Portion	CURATED_IMPERATIVE	1
MC171	otchey	otchey	OT+Y	das nächste	Nimm das nächste	CURATED_IMPERATIVE	2
MC172	daiiin	daiiin	IIN	Endstufe	Stelle die Endstufe ein	CURATED_IMPERATIVE	1
MC173	qoteedy	qoteedy	OT+E_GRADE+DY	lange Folgestufe	Führe die lange Folgestufe aus	RECIPE_INFINITIVE_OR_CLAUSE	2
