latent_item	occurrences	interpretation
OP_05:VALUE_0105:STATE_02	49	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0042:STATE_01	48	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0035:STATE_03	48	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0111:STATE_01	48	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0103:STATE_02	48	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0027:STATE_04	47	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0058:STATE_04	47	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0012:STATE_07	47	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0041:STATE_04	47	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0097:STATE_02	46	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0069:STATE_05	46	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0125:STATE_01	45	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0088:STATE_01	45	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0100:STATE_02	45	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0031:STATE_01	44	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0032:STATE_03	44	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0051:STATE_01	44	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0006:STATE_02	44	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0008:STATE_01	44	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0039:STATE_02	43	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0130:STATE_01	43	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0001:STATE_03	43	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0027:STATE_05	42	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0080:STATE_02	42	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0128:STATE_02	42	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0001:STATE_04	41	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0050:STATE_01	41	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0064:STATE_01	41	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0096:STATE_01	41	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0003:STATE_02	41	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0032:STATE_04	41	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0072:STATE_01	41	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0045:STATE_03	40	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0062:STATE_01	40	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0008:STATE_06	40	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0011:STATE_05	40	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0001:STATE_03	40	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0108:STATE_01	40	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0064:STATE_01	40	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0119:STATE_01	39	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0114:STATE_01	39	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0002:STATE_04	39	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0083:STATE_01	39	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0121:STATE_01	39	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0104:STATE_02	38	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0078:STATE_01	38	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0049:STATE_01	36	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0094:STATE_04	36	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0127:STATE_02	36	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0004:STATE_06	35	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0124:STATE_01	35	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_08:VALUE_0005:STATE_01	35	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0133:STATE_02	35	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0022:STATE_06	35	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0050:STATE_01	35	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0107:STATE_02	35	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0078:STATE_01	34	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0001:STATE_03	34	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0146:STATE_01	34	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0098:STATE_01	34	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0052:STATE_02	33	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0013:STATE_06	33	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0067:STATE_04	33	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0155:STATE_01	33	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0066:STATE_01	33	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0099:STATE_01	33	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0005:STATE_01	33	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0021:STATE_04	32	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0148:STATE_01	32	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0132:STATE_02	32	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0021:STATE_04	32	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0095:STATE_01	32	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0161:STATE_01	31	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0110:STATE_04	31	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0169:STATE_01	31	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0060:STATE_04	31	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0061:STATE_01	31	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0001:STATE_05	31	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0167:STATE_01	30	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0093:STATE_04	30	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0173:STATE_01	30	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0090:STATE_01	30	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0089:STATE_01	29	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0116:STATE_01	29	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0007:STATE_07	29	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0058:STATE_03	29	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0170:STATE_01	29	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0159:STATE_01	29	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0126:STATE_01	29	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0006:STATE_04	29	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0079:STATE_02	28	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0090:STATE_01	28	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0086:STATE_01	28	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0001:STATE_06	28	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0183:STATE_01	28	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0019:STATE_01	28	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0004:STATE_04	28	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0054:STATE_03	28	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0070:STATE_01	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0086:STATE_01	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0045:STATE_06	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0019:STATE_01	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0156:STATE_01	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0149:STATE_01	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0083:STATE_01	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0005:STATE_01	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0091:STATE_04	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0071:STATE_01	27	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0060:STATE_03	26	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0032:STATE_04	26	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0003:STATE_04	26	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0184:STATE_01	26	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0120:STATE_01	25	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0077:STATE_04	25	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0007:STATE_07	25	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0019:STATE_03	25	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0201:STATE_02	25	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0070:STATE_01	25	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0069:STATE_01	25	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0004:STATE_03	25	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0001:STATE_04	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0191:STATE_01	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0192:STATE_01	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0056:STATE_01	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_09:VALUE_0006:STATE_02	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0098:STATE_01	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0003:STATE_04	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0099:STATE_01	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0061:STATE_01	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0196:STATE_01	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0185:STATE_01	24	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0053:STATE_04	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0028:STATE_04	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0020:STATE_05	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0135:STATE_02	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0001:STATE_04	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0142:STATE_01	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0079:STATE_02	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0033:STATE_04	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0195:STATE_01	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0131:STATE_04	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0157:STATE_01	23	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0028:STATE_04	22	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0217:STATE_01	22	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0189:STATE_01	22	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0014:STATE_04	22	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0001:STATE_04	22	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0002:STATE_03	22	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0140:STATE_03	22	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0002:STATE_02	21	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0008:STATE_01	21	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0165:STATE_01	21	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0001:STATE_07	21	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0117:STATE_04	21	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0004:STATE_03	21	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0162:STATE_01	21	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0019:STATE_01	21	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0008:STATE_01	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0178:STATE_01	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0080:STATE_02	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0123:STATE_02	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0212:STATE_02	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0059:STATE_05	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0150:STATE_01	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0215:STATE_01	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0226:STATE_02	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0002:STATE_03	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0234:STATE_01	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0029:STATE_01	20	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0052:STATE_02	19	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0144:STATE_01	19	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0055:STATE_05	19	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_07:VALUE_0004:STATE_04	19	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0082:STATE_01	19	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0179:STATE_01	19	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0005:STATE_01	19	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0040:STATE_06	19	ANONYMOUS_OR_LITERAL_EXPLORATORY
