candidate_row_id	current_status	source_neighbor_count	component_recipe	catalog_intake_tier	identity_route	identity_status	factor_gate_status	execution_route	execution_decision	incoming_action	incoming_argument	scope_context_mode	scope_incoming_action	visible_separated_chains	portable_factor_rules	amber_factor_rules	blocked_factor_rules	outgoing_action_v2	outgoing_argument_v2	execution_stop_preserves_state	identity_only_when_execution_stops	legacy_gdt445_route	legacy_gdt445_decision	gdt445_correction	identity_does_not_override_execution
G446-CAN-0011	ABSENT	1	AIIN+CH+E+O+D_ADDR+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|FOCUS:CH<-E|FOCUS:CH<-Y	NONE	NONE	CH	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0012	ABSENT	1	AIIN+CH+E+O+L	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|FOCUS:CH<-E|FOCUS:CH<-L	NONE	NONE	CH	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0013	ABSENT	1	AIIN+CH+E+O+R	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|FOCUS:CH<-E	NONE	NONE	R	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0014	ABSENT	1	AIIN+CH+K	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|PAIR:CH>K	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0015	ABSENT	1	AIIN+CH+K+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|FOCUS:K<-Y|PAIR:CH>K	NONE	NONE	K	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0016	ABSENT	1	AIIN+CH+O	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN	NONE	NONE	CH	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0017	ABSENT	1	AIIN+CH+O+CH+P+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|FOCUS:P<-Y|PAIR:CH>P	NONE	NONE	P	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0018	ABSENT	1	AIIN+CH+O+D_ADDR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN	NONE	NONE	CH	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0019	ABSENT	1	AIIN+CH+OR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN|FOCUS:CH<-OR	NONE	NONE	CH	OR	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0020	ABSENT	1	AIIN+CHD+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CHD<-AIIN|FOCUS:CHD<-Y	NONE	NONE	CHD	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0021	ABSENT	1	AIIN+DA+AM_ADDR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN	NONE	NONE	NONE	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0022	ABSENT	1	AIIN+DY	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	STOP__UNLICENSED_FACTOR	EXECUTION_STOP_CLOSE_NEEDS_ACTIVE_HEAD	STOP	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN	NONE	CLOSE:NO_ACTIVE_ACTION	NONE	NONE	YES	NO	STOP_CLOSE_NEEDS_ACTIVE_HEAD	STOP	NONE	YES
G446-CAN-0023	ABSENT	1	AIIN+DY+D_LABEL	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	STOP__UNLICENSED_FACTOR	EXECUTION_STOP_CLOSE_NEEDS_ACTIVE_HEAD	STOP	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN	NONE	CLOSE:NO_ACTIVE_ACTION	NONE	NONE	YES	NO	STOP_CLOSE_NEEDS_ACTIVE_HEAD	STOP	NONE	YES
G446-CAN-0024	ABSENT	1	AIIN+D_ADDR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN	NONE	NONE	NONE	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0025	ABSENT	1	AIIN+D_ADDR+AIIN	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIIN	NONE	NONE	NONE	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0026	ABSENT	1	AIIN+D_ADDR+AIR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_AMBER_LOCAL_APPENDIX	EXECUTE_KNOWN_FACTORS_AMBER	READ_AMBER	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN	FOCUS:OWNER<-AIR	NONE	NONE	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_AMBER	READ_AMBER	NONE	YES
G446-CAN-0027	ABSENT	1	AIIN+D_ADDR+AR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AR	NONE	NONE	NONE	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0028	ABSENT	1	AIIN+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:SH<-AIIN|FOCUS:SH<-AR|FOCUS:SH<-Y	NONE	NONE	SH	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0029	ABSENT	1	AIIN+D_ADDR+CH+O+S	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:CH<-AIIN	NONE	NONE	S	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0030	ABSENT	1	AIIN+D_ADDR+O+IIN	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN	NONE	NONE	NONE	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0031	ABSENT	1	AIIN+D_ADDR+OL+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-Y	NONE	NONE	NONE	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0032	ABSENT	1	AIIN+E+K+EE+S	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_VISIBLE_SLOT_CHAIN_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	3:K+EE+S__DIRECT_K>S_REMAINS_RED	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:K<-EE	NONE	NONE	S	AIIN	YES	NO	VISIBLE_SLOT_SEPARATED_CHAIN_GREEN	READ	NONE	YES
G446-CAN-0033	ABSENT	1	AIIN+K	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0034	ABSENT	1	AIIN+K+AIIN	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-AIIN	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0035	ABSENT	1	AIIN+K+AIN	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-AIN	NONE	NONE	K	AIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0036	ABSENT	1	AIIN+K+AIR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-AIR	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0037	ABSENT	1	AIIN+K+AL	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-AL	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0038	ABSENT	1	AIIN+K+AL+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-AL|FOCUS:K<-Y	NONE	NONE	K	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0039	ABSENT	1	AIIN+K+AN	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0040	ABSENT	1	AIIN+K+AR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-AR	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0041	ABSENT	1	AIIN+K+A_ADDR+K+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-Y	NONE	NONE	K	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0042	ABSENT	1	AIIN+K+CH+E+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:CH<-E|FOCUS:CH<-Y|PAIR:K>CH	NONE	NONE	CH	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0043	ABSENT	1	AIIN+K+CH+O	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|PAIR:K>CH	NONE	NONE	CH	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0044	ABSENT	1	AIIN+K+CH+OR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:CH<-OR|PAIR:K>CH	NONE	NONE	CH	OR	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0045	ABSENT	1	AIIN+K+CH+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:CH<-Y|PAIR:K>CH	NONE	NONE	CH	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0046	ABSENT	1	AIIN+K+CHD+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:CHD<-Y|PAIR:K>CHD	NONE	NONE	CHD	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0047	ABSENT	1	AIIN+K+E+DA+Y	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:K<-Y	NONE	NONE	K	Y	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0048	ABSENT	1	AIIN+K+E+DY	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-E|CLOSE:K	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0049	ABSENT	1	AIIN+K+E+O	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-E	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0050	ABSENT	1	AIIN+K+E+O+DY	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-E|CLOSE:K	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0051	ABSENT	1	AIIN+K+E+O+D_ADDR+AIN	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:K<-AIN	NONE	NONE	K	AIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0052	ABSENT	1	AIIN+K+E+OL+OL	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-E	NONE	NONE	K	AIIN	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
G446-CAN-0053	ABSENT	1	AIIN+K+E+OR	NONE	IDENTITY_NEW_VISIBLE_RECIPE	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	EXECUTE_KNOWN_FACTORS_GREEN	READ	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	FOCUS:K<-AIIN|FOCUS:K<-E|FOCUS:K<-OR	NONE	NONE	K	OR	YES	NO	KNOWN_FACTOR_COMPOSITION_GREEN	READ	NONE	YES
