candidate_id	formal_feature	visual_outcome	counterexample_type	group_id	token	residual_host	page	object_tags	relation_tags	description
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.21|G001	ockhy	ockhy	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 09:00 - nearest to center. Seven points, no core.
e26b8bd54faf	HOST_LENGTH:1	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.22|G001	ofcheor	ofcheor	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on 29 stars. || Label on star at center of diagram. Seven points, no core (but unpainted near center).
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f102r1.2|G001	otodeeodor	otodeeodor	f102r1	LABEL;PLANT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on row of plants 1 (top). || Above root of plant <f102r1>[1,1], below leaves.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f102r2.21|G001	koldarod	koldarod	f102r2	LABEL;PLANT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on row of plants 3 (bottom). || There are 2 plants and 2 labels. Pairing is quite clear. plant <f102r2>[3,1] - caterpillar-shaped root with tail and ribbed bulb on top. Above plant <f102r2>[3,1].
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.11|G001	okoaly	okoaly	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 11:00 - second from border. Seven points, no core.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.13|G001	octhey	octhey	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 01:00 - Southeast of sun. Seven points, no core.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.15|G001	otydy	oty	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 10:15 - mid-radius. Six points, blank core.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.17|G001	cphocthy	cphocthy	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 01:30 - halfway to border. Nine points, blank core.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.18|G001	ytchody	ytcho	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on 29 stars. || Label on star at 02:00 - near border. Eight points, blank core.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.20|G001	olor	olor	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 09:30 - middle of three. Seven points, dark core.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.21|G001	ockhy	ockhy	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT	Labels on 29 stars. || Label on star at 09:00 - nearest to center. Seven points, no core.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.22|G001	ofcheor	ofcheor	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on 29 stars. || Label on star at center of diagram. Seven points, no core (but unpainted near center).
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.24|G001	otykchs	otykchs	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on 29 stars. || Label on star at 02:30 - near border. Six points, blank core.
c7bdfb900408	HOST_EQ:o	REL_EXPLICIT_ATTACHMENT	OUTCOME_WITHOUT_FEATURE	f68r1.25|G001	otol	otol	f68r1	LABEL;STAR_OR_SKY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on 29 stars. || Label on star at 03:00 - next to border. Eight points, blank core.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	FEATURE_WITHOUT_OUTCOME	f102r2.21|G001	koldarod	koldarod	f102r2	LABEL;PLANT	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Labels on row of plants 3 (bottom). || There are 2 plants and 2 labels. Pairing is quite clear. plant <f102r2>[3,1] - caterpillar-shaped root with tail and ribbed bulb on top. Above plant <f102r2>[3,1].
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	FEATURE_WITHOUT_OUTCOME	f102v1.18|G001	opchdard	opchdard	f102v1	LABEL;PLANT	REL_PROXIMITY	Labels in row of plants 2 (bottom). || West of plant <f102v1>[2,3], ground level. Grove's 15.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	FEATURE_WITHOUT_OUTCOME	f102v2.14|G001	sarol	arol	f102v2	LABEL;PLANT	REL_PROXIMITY	Labels in plant row 2. || leaf <f102v2>[2,5] - leaf with six clubsuit-shaped fingers East of leaf <f102v2>[2,5], near stalk. Grove's 26.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	FEATURE_WITHOUT_OUTCOME	f102v2.15|G001	olrodar	olrodar	f102v2	LABEL;PLANT	REL_PROXIMITY	Labels in plant row 2. || leaf <f102v2>[2,6] - round leaf with many knob-shaped fingers East of leaf <f102v2>[2,6], near stalk. Grove's 14.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	OUTCOME_WITHOUT_FEATURE	f67r1.12|G001	sosaiir	osaiir	f67r1	LABEL	REL_ENCLOSURE	Radial labels in circle sectors. || At 04:00.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	OUTCOME_WITHOUT_FEATURE	f67r1.13|G001	oteey	oteey	f67r1	LABEL	REL_ENCLOSURE	Radial labels in circle sectors. || At 05:00.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	OUTCOME_WITHOUT_FEATURE	f67r1.15|G001	sheosam	eosam	f67r1	LABEL	REL_ENCLOSURE	Radial labels in circle sectors. || At 07:00.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	OUTCOME_WITHOUT_FEATURE	f67r1.16|G001	ykeeody	ykeeo	f67r1	LABEL	REL_ENCLOSURE	Radial labels in circle sectors. || At 08:00.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	OUTCOME_WITHOUT_FEATURE	f67r1.17|G001	okeol	okeol	f67r1	LABEL	REL_ENCLOSURE	Radial labels in circle sectors. || At 09:00.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	OUTCOME_WITHOUT_FEATURE	f67r1.17|G002	sal	al	f67r1	LABEL	REL_ENCLOSURE	Radial labels in circle sectors. || At 09:00.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	OUTCOME_WITHOUT_FEATURE	f67r1.18|G001	okeey	okeey	f67r1	LABEL	REL_ENCLOSURE	Radial labels in circle sectors. || At 10:00.
a9c4415fb9e1	HOST_CONTAINS:ar	REL_ENCLOSURE	OUTCOME_WITHOUT_FEATURE	f67r1.8|G001	otaldy	otal	f67r1	LABEL;STAR_OR_SKY	REL_ENCLOSURE	Radial labels in circle sectors. || At 00:00. This sector is just clockwise of the decorated square marker in text ring 2, and follows a sector with a star on a pedestal.
