page	locus	kind	reader	model	source_text	tokens	hypothesis_positions_1based	literal_hypotheses_json	confidence
f1r	f1r.4	P	rf1b_clean	N	soiin oteey oteor roloty ar daiin okaiin or okan	9	6,7	"[""[soiin]"", ""[oteey]"", ""[oteor]"", ""[roloty]"", ""[ar]"", ""viel?"", ""Pulver?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.4	P	rf1b_clean	G	soiin oteey oteor roloty ar daiin okaiin or okan	9	6,7	"[""[soiin]"", ""[oteey]"", ""[oteor]"", ""[roloty]"", ""[ar]"", ""viel?"", ""ist?"", ""[or]"", ""[okan]""]"	C0_UNCONFIRMED
f1r	f1r.8	P	zl3b_clean	N	yshey shody okchoy otchol chocthy os chy dain chor kos	10	4,8	"[""[yshey]"", ""[shody]"", ""[okchoy]"", ""dieses?"", ""[chocthy]"", ""[os]"", ""[chy]"", ""wenig?"", ""[chor]"", ""[kos]""]"	C0_UNCONFIRMED
f1r	f1r.8	P	zl3b_clean	G	yshey shody okchoy otchol chocthy os chy dain chor kos	10	4,8	"[""[yshey]"", ""[shody]"", ""[okchoy]"", ""dieses?"", ""[chocthy]"", ""[os]"", ""[chy]"", ""wenig?"", ""[chor]"", ""[kos]""]"	C0_UNCONFIRMED
f1r	f1r.8	P	it2a_clean	N	yshey shody okchoy otchol chocthy oschy dain chor kos	9	4,7	"[""[yshey]"", ""[shody]"", ""[okchoy]"", ""dieses?"", ""[chocthy]"", ""[oschy]"", ""wenig?"", ""[chor]"", ""[kos]""]"	C0_UNCONFIRMED
f1r	f1r.8	P	it2a_clean	G	yshey shody okchoy otchol chocthy oschy dain chor kos	9	4,7	"[""[yshey]"", ""[shody]"", ""[okchoy]"", ""dieses?"", ""[chocthy]"", ""[oschy]"", ""wenig?"", ""[chor]"", ""[kos]""]"	C0_UNCONFIRMED
f1r	f1r.8	P	rf1b_clean	N	yshey shody okchoy otchol chocthy oschy dain chor kos	9	4,7	"[""[yshey]"", ""[shody]"", ""[okchoy]"", ""dieses?"", ""[chocthy]"", ""[oschy]"", ""wenig?"", ""[chor]"", ""[kos]""]"	C0_UNCONFIRMED
f1r	f1r.8	P	rf1b_clean	G	yshey shody okchoy otchol chocthy oschy dain chor kos	9	4,7	"[""[yshey]"", ""[shody]"", ""[okchoy]"", ""dieses?"", ""[chocthy]"", ""[oschy]"", ""wenig?"", ""[chor]"", ""[kos]""]"	C0_UNCONFIRMED
f1r	f1r.23	P	zl3b_clean	N	ydoin chol dain cthal dar shear kaiin dar shey cthar	10	2,3,10	"[""[ydoin]"", ""trocken?"", ""wenig?"", ""[cthal]"", ""[dar]"", ""[shear]"", ""[kaiin]"", ""[dar]"", ""[shey]"", ""Wurzel?""]"	C0_UNCONFIRMED
f1r	f1r.23	P	zl3b_clean	G	ydoin chol dain cthal dar shear kaiin dar shey cthar	10	2,3,10	"[""[ydoin]"", ""trocken?"", ""wenig?"", ""[cthal]"", ""[dar]"", ""[shear]"", ""[kaiin]"", ""[dar]"", ""[shey]"", ""Wurzel?""]"	C0_UNCONFIRMED
f1r	f1r.23	P	it2a_clean	N	doin chol dain cthal dar shear kaiin dar shey cthar	10	2,3,10	"[""[doin]"", ""trocken?"", ""wenig?"", ""[cthal]"", ""[dar]"", ""[shear]"", ""[kaiin]"", ""[dar]"", ""[shey]"", ""Wurzel?""]"	C0_UNCONFIRMED
f1r	f1r.23	P	it2a_clean	G	doin chol dain cthal dar shear kaiin dar shey cthar	10	2,3,10	"[""[doin]"", ""trocken?"", ""wenig?"", ""[cthal]"", ""[dar]"", ""[shear]"", ""[kaiin]"", ""[dar]"", ""[shey]"", ""Wurzel?""]"	C0_UNCONFIRMED
f1r	f1r.23	P	rf1b_clean	N	ain chol dain cthal dar shear kaiin dar ey cthar	10	2,3,10	"[""[ain]"", ""trocken?"", ""wenig?"", ""[cthal]"", ""[dar]"", ""[shear]"", ""[kaiin]"", ""[dar]"", ""[ey]"", ""Wurzel?""]"	C0_UNCONFIRMED
f1r	f1r.23	P	rf1b_clean	G	ain chol dain cthal dar shear kaiin dar ey cthar	10	2,3,10	"[""[ain]"", ""trocken?"", ""wenig?"", ""[cthal]"", ""[dar]"", ""[shear]"", ""[kaiin]"", ""[dar]"", ""[ey]"", ""Wurzel?""]"	C0_UNCONFIRMED
f4r	f4r.3	P	zl3b_clean	N	otchol chol chy chaiin qotaiin daiin shain	7	1,2,6	"[""dieses?"", ""trocken?"", ""[chy]"", ""[chaiin]"", ""[qotaiin]"", ""viel?"", ""[shain]""]"	C0_UNCONFIRMED
f4r	f4r.3	P	zl3b_clean	G	otchol chol chy chaiin qotaiin daiin shain	7	1,2,6	"[""dieses?"", ""trocken?"", ""[chy]"", ""[chaiin]"", ""[qotaiin]"", ""viel?"", ""[shain]""]"	C0_UNCONFIRMED
f4r	f4r.3	P	it2a_clean	N	otchol chol chy chaiin qotaiin daiin shain	7	1,2,6	"[""dieses?"", ""trocken?"", ""[chy]"", ""[chaiin]"", ""[qotaiin]"", ""viel?"", ""[shain]""]"	C0_UNCONFIRMED
f4r	f4r.3	P	it2a_clean	G	otchol chol chy chaiin qotaiin daiin shain	7	1,2,6	"[""dieses?"", ""trocken?"", ""[chy]"", ""[chaiin]"", ""[qotaiin]"", ""viel?"", ""[shain]""]"	C0_UNCONFIRMED
f4r	f4r.3	P	rf1b_clean	N	otchol chol chy chaiin qotaiin daiin shain	7	1,2,6	"[""dieses?"", ""trocken?"", ""[chy]"", ""[chaiin]"", ""[qotaiin]"", ""viel?"", ""[shain]""]"	C0_UNCONFIRMED
f4r	f4r.3	P	rf1b_clean	G	otchol chol chy chaiin qotaiin daiin shain	7	1,2,6	"[""dieses?"", ""trocken?"", ""[chy]"", ""[chaiin]"", ""[qotaiin]"", ""viel?"", ""[shain]""]"	C0_UNCONFIRMED
f4r	f4r.4	P	zl3b_clean	N	qotchol chy yty daiin okaiin cthy	6	4,5	"[""[qotchol]"", ""[chy]"", ""[yty]"", ""viel?"", ""Pulver?"", ""[cthy]""]"	C0_UNCONFIRMED
f4r	f4r.4	P	zl3b_clean	G	qotchol chy yty daiin okaiin cthy	6	4,5	"[""[qotchol]"", ""[chy]"", ""[yty]"", ""viel?"", ""ist?"", ""[cthy]""]"	C0_UNCONFIRMED
f4r	f4r.4	P	it2a_clean	N	qotchol chy yty daiin okaiin cthy	6	4,5	"[""[qotchol]"", ""[chy]"", ""[yty]"", ""viel?"", ""Pulver?"", ""[cthy]""]"	C0_UNCONFIRMED
f4r	f4r.4	P	it2a_clean	G	qotchol chy yty daiin okaiin cthy	6	4,5	"[""[qotchol]"", ""[chy]"", ""[yty]"", ""viel?"", ""ist?"", ""[cthy]""]"	C0_UNCONFIRMED
f4r	f4r.4	P	rf1b_clean	N	qotchol chy yty daiin okaiin cthy	6	4,5	"[""[qotchol]"", ""[chy]"", ""[yty]"", ""viel?"", ""Pulver?"", ""[cthy]""]"	C0_UNCONFIRMED
f4r	f4r.4	P	rf1b_clean	G	qotchol chy yty daiin okaiin cthy	6	4,5	"[""[qotchol]"", ""[chy]"", ""[yty]"", ""viel?"", ""ist?"", ""[cthy]""]"	C0_UNCONFIRMED
f13r	f13r.5	P	zl3b_clean	N	shorodo shy tshy kchol dpchy qopchy otchol cfholdy	8	7	"[""[shorodo]"", ""[shy]"", ""[tshy]"", ""[kchol]"", ""[dpchy]"", ""[qopchy]"", ""dieses?"", ""[cfholdy]""]"	C0_UNCONFIRMED
f13r	f13r.5	P	zl3b_clean	G	shorodo shy tshy kchol dpchy qopchy otchol cfholdy	8	7	"[""[shorodo]"", ""[shy]"", ""[tshy]"", ""[kchol]"", ""[dpchy]"", ""[qopchy]"", ""dieses?"", ""[cfholdy]""]"	C0_UNCONFIRMED
f13r	f13r.5	P	it2a_clean	N	shorodo shy tshy kchol dpchy qopchy otchol cfhol dy	9	7	"[""[shorodo]"", ""[shy]"", ""[tshy]"", ""[kchol]"", ""[dpchy]"", ""[qopchy]"", ""dieses?"", ""[cfhol]"", ""[dy]""]"	C0_UNCONFIRMED
f13r	f13r.5	P	it2a_clean	G	shorodo shy tshy kchol dpchy qopchy otchol cfhol dy	9	7	"[""[shorodo]"", ""[shy]"", ""[tshy]"", ""[kchol]"", ""[dpchy]"", ""[qopchy]"", ""dieses?"", ""[cfhol]"", ""[dy]""]"	C0_UNCONFIRMED
f13r	f13r.5	P	rf1b_clean	N	shorodo shy tshy kchol dpchy qopchy otchol cfholdy	8	7	"[""[shorodo]"", ""[shy]"", ""[tshy]"", ""[kchol]"", ""[dpchy]"", ""[qopchy]"", ""dieses?"", ""[cfholdy]""]"	C0_UNCONFIRMED
f13r	f13r.5	P	rf1b_clean	G	shorodo shy tshy kchol dpchy qopchy otchol cfholdy	8	7	"[""[shorodo]"", ""[shy]"", ""[tshy]"", ""[kchol]"", ""[dpchy]"", ""[qopchy]"", ""dieses?"", ""[cfholdy]""]"	C0_UNCONFIRMED
f17r	f17r.1	P	zl3b_clean	N	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	10		"[""[fshody]"", ""[daram]"", ""[ydar]"", ""[chog]"", ""[opydy]"", ""[ypod]"", ""[chop]"", ""[otchy]"", ""[dody]"", ""[oldckhy]""]"	C0_UNCONFIRMED
f17r	f17r.1	P	zl3b_clean	G	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	10		"[""[fshody]"", ""[daram]"", ""[ydar]"", ""[chog]"", ""[opydy]"", ""[ypod]"", ""[chop]"", ""[otchy]"", ""[dody]"", ""[oldckhy]""]"	C0_UNCONFIRMED
f17r	f17r.1	P	it2a_clean	N	fshody daram ydarchom opydy ypod chop otchy dody oldckhy	9		"[""[fshody]"", ""[daram]"", ""[ydarchom]"", ""[opydy]"", ""[ypod]"", ""[chop]"", ""[otchy]"", ""[dody]"", ""[oldckhy]""]"	C0_UNCONFIRMED
f17r	f17r.1	P	it2a_clean	G	fshody daram ydarchom opydy ypod chop otchy dody oldckhy	9		"[""[fshody]"", ""[daram]"", ""[ydarchom]"", ""[opydy]"", ""[ypod]"", ""[chop]"", ""[otchy]"", ""[dody]"", ""[oldckhy]""]"	C0_UNCONFIRMED
f17r	f17r.1	P	rf1b_clean	N	fshody daram ydar chom opydy ypod chop otchy dody oldckhy	10		"[""[fshody]"", ""[daram]"", ""[ydar]"", ""[chom]"", ""[opydy]"", ""[ypod]"", ""[chop]"", ""[otchy]"", ""[dody]"", ""[oldckhy]""]"	C0_UNCONFIRMED
f17r	f17r.1	P	rf1b_clean	G	fshody daram ydar chom opydy ypod chop otchy dody oldckhy	10		"[""[fshody]"", ""[daram]"", ""[ydar]"", ""[chom]"", ""[opydy]"", ""[ypod]"", ""[chop]"", ""[otchy]"", ""[dody]"", ""[oldckhy]""]"	C0_UNCONFIRMED
f17r	f17r.2	P	zl3b_clean	N	ydair choky okshy qodar ckhody dor otchol qodcthy ods	9	7	"[""[ydair]"", ""[choky]"", ""[okshy]"", ""[qodar]"", ""[ckhody]"", ""[dor]"", ""dieses?"", ""[qodcthy]"", ""[ods]""]"	C0_UNCONFIRMED
f17r	f17r.2	P	zl3b_clean	G	ydair choky okshy qodar ckhody dor otchol qodcthy ods	9	7	"[""[ydair]"", ""[choky]"", ""[okshy]"", ""[qodar]"", ""[ckhody]"", ""[dor]"", ""dieses?"", ""[qodcthy]"", ""[ods]""]"	C0_UNCONFIRMED
f17r	f17r.2	P	it2a_clean	N	ydair shoky okshy qodar ckhody dor otchol qodcthy ods	9	7	"[""[ydair]"", ""[shoky]"", ""[okshy]"", ""[qodar]"", ""[ckhody]"", ""[dor]"", ""dieses?"", ""[qodcthy]"", ""[ods]""]"	C0_UNCONFIRMED
f17r	f17r.2	P	it2a_clean	G	ydair shoky okshy qodar ckhody dor otchol qodcthy ods	9	7	"[""[ydair]"", ""[shoky]"", ""[okshy]"", ""[qodar]"", ""[ckhody]"", ""[dor]"", ""dieses?"", ""[qodcthy]"", ""[ods]""]"	C0_UNCONFIRMED
f17r	f17r.2	P	rf1b_clean	N	ydair ch ky okshy qodar ckhody dor otchol qodcthy ods	10	8	"[""[ydair]"", ""[ch]"", ""[ky]"", ""[okshy]"", ""[qodar]"", ""[ckhody]"", ""[dor]"", ""dieses?"", ""[qodcthy]"", ""[ods]""]"	C0_UNCONFIRMED
f17r	f17r.2	P	rf1b_clean	G	ydair ch ky okshy qodar ckhody dor otchol qodcthy ods	10	8	"[""[ydair]"", ""[ch]"", ""[ky]"", ""[okshy]"", ""[qodar]"", ""[ckhody]"", ""[dor]"", ""dieses?"", ""[qodcthy]"", ""[ods]""]"	C0_UNCONFIRMED
f17r	f17r.3	P	zl3b_clean	N	chol or chy qodam okor chor okchom	7	1	"[""trocken?"", ""[or]"", ""[chy]"", ""[qodam]"", ""[okor]"", ""[chor]"", ""[okchom]""]"	C0_UNCONFIRMED
f17r	f17r.3	P	zl3b_clean	G	chol or chy qodam okor chor okchom	7	1	"[""trocken?"", ""[or]"", ""[chy]"", ""[qodam]"", ""[okor]"", ""[chor]"", ""[okchom]""]"	C0_UNCONFIRMED
f17r	f17r.3	P	it2a_clean	N	chol or chy qodam okor chor okchom	7	1	"[""trocken?"", ""[or]"", ""[chy]"", ""[qodam]"", ""[okor]"", ""[chor]"", ""[okchom]""]"	C0_UNCONFIRMED
f17r	f17r.3	P	it2a_clean	G	chol or chy qodam okor chor okchom	7	1	"[""trocken?"", ""[or]"", ""[chy]"", ""[qodam]"", ""[okor]"", ""[chor]"", ""[okchom]""]"	C0_UNCONFIRMED
f17r	f17r.3	P	rf1b_clean	N	chol or chy qod am okor chor okchom	8	1	"[""trocken?"", ""[or]"", ""[chy]"", ""[qod]"", ""[am]"", ""[okor]"", ""[chor]"", ""[okchom]""]"	C0_UNCONFIRMED
f17r	f17r.3	P	rf1b_clean	G	chol or chy qod am okor chor okchom	8	1	"[""trocken?"", ""[or]"", ""[chy]"", ""[qod]"", ""[am]"", ""[okor]"", ""[chor]"", ""[okchom]""]"	C0_UNCONFIRMED
f17r	f17r.4	P	zl3b_clean	N	tcho shol qokol qor olaiin opydg som ypchy ypaim	9		"[""[tcho]"", ""[shol]"", ""[qokol]"", ""[qor]"", ""[olaiin]"", ""[opydg]"", ""[som]"", ""[ypchy]"", ""[ypaim]""]"	C0_UNCONFIRMED
f17r	f17r.4	P	zl3b_clean	G	tcho shol qokol qor olaiin opydg som ypchy ypaim	9		"[""[tcho]"", ""[shol]"", ""[qokol]"", ""[qor]"", ""[olaiin]"", ""[opydg]"", ""[som]"", ""[ypchy]"", ""[ypaim]""]"	C0_UNCONFIRMED
f17r	f17r.4	P	it2a_clean	N	tcho shol qokol qor olaiin opydg som ypchy ypaim	9		"[""[tcho]"", ""[shol]"", ""[qokol]"", ""[qor]"", ""[olaiin]"", ""[opydg]"", ""[som]"", ""[ypchy]"", ""[ypaim]""]"	C0_UNCONFIRMED
f17r	f17r.4	P	it2a_clean	G	tcho shol qokol qor olaiin opydg som ypchy ypaim	9		"[""[tcho]"", ""[shol]"", ""[qokol]"", ""[qor]"", ""[olaiin]"", ""[opydg]"", ""[som]"", ""[ypchy]"", ""[ypaim]""]"	C0_UNCONFIRMED
f17r	f17r.4	P	rf1b_clean	N	tchor shol qokol qor olaiin opydg rom ypchy ypaim	9		"[""[tchor]"", ""[shol]"", ""[qokol]"", ""[qor]"", ""[olaiin]"", ""[opydg]"", ""[rom]"", ""[ypchy]"", ""[ypaim]""]"	C0_UNCONFIRMED
f17r	f17r.4	P	rf1b_clean	G	tchor shol qokol qor olaiin opydg rom ypchy ypaim	9		"[""[tchor]"", ""[shol]"", ""[qokol]"", ""[qor]"", ""[olaiin]"", ""[opydg]"", ""[rom]"", ""[ypchy]"", ""[ypaim]""]"	C0_UNCONFIRMED
f17r	f17r.5	P	zl3b_clean	N	ychekchy cthy chor shor cphor cphaldy dair cthey qody	9		"[""[ychekchy]"", ""[cthy]"", ""[chor]"", ""[shor]"", ""[cphor]"", ""[cphaldy]"", ""[dair]"", ""[cthey]"", ""[qody]""]"	C0_UNCONFIRMED
f17r	f17r.5	P	zl3b_clean	G	ychekchy cthy chor shor cphor cphaldy dair cthey qody	9		"[""[ychekchy]"", ""[cthy]"", ""[chor]"", ""[shor]"", ""[cphor]"", ""[cphaldy]"", ""[dair]"", ""[cthey]"", ""[qody]""]"	C0_UNCONFIRMED
f17r	f17r.5	P	it2a_clean	N	ychekchy cthy chor shor cphor cphaldy dair cthey qody	9		"[""[ychekchy]"", ""[cthy]"", ""[chor]"", ""[shor]"", ""[cphor]"", ""[cphaldy]"", ""[dair]"", ""[cthey]"", ""[qody]""]"	C0_UNCONFIRMED
f17r	f17r.5	P	it2a_clean	G	ychekchy cthy chor shor cphor cphaldy dair cthey qody	9		"[""[ychekchy]"", ""[cthy]"", ""[chor]"", ""[shor]"", ""[cphor]"", ""[cphaldy]"", ""[dair]"", ""[cthey]"", ""[qody]""]"	C0_UNCONFIRMED
f17r	f17r.5	P	rf1b_clean	N	ychekchy cthy chor shor cphor cphaldy dair cthey qody	9		"[""[ychekchy]"", ""[cthy]"", ""[chor]"", ""[shor]"", ""[cphor]"", ""[cphaldy]"", ""[dair]"", ""[cthey]"", ""[qody]""]"	C0_UNCONFIRMED
f17r	f17r.5	P	rf1b_clean	G	ychekchy cthy chor shor cphor cphaldy dair cthey qody	9		"[""[ychekchy]"", ""[cthy]"", ""[chor]"", ""[shor]"", ""[cphor]"", ""[cphaldy]"", ""[dair]"", ""[cthey]"", ""[qody]""]"	C0_UNCONFIRMED
f17r	f17r.6	P	zl3b_clean	N	tsho qof cho qokcheor cheteg	5		"[""[tsho]"", ""[qof]"", ""[cho]"", ""[qokcheor]"", ""[cheteg]""]"	C0_UNCONFIRMED
f17r	f17r.6	P	zl3b_clean	G	tsho qof cho qokcheor cheteg	5		"[""[tsho]"", ""[qof]"", ""[cho]"", ""[qokcheor]"", ""[cheteg]""]"	C0_UNCONFIRMED
f17r	f17r.6	P	it2a_clean	N	tsho qofcho qokcheor chekeg	4		"[""[tsho]"", ""[qofcho]"", ""[qokcheor]"", ""[chekeg]""]"	C0_UNCONFIRMED
f17r	f17r.6	P	it2a_clean	G	tsho qofcho qokcheor chekeg	4		"[""[tsho]"", ""[qofcho]"", ""[qokcheor]"", ""[chekeg]""]"	C0_UNCONFIRMED
f17r	f17r.6	P	rf1b_clean	N	tsho qof cho qokcheor cheteg	5		"[""[tsho]"", ""[qof]"", ""[cho]"", ""[qokcheor]"", ""[cheteg]""]"	C0_UNCONFIRMED
f17r	f17r.6	P	rf1b_clean	G	tsho qof cho qokcheor cheteg	5		"[""[tsho]"", ""[qof]"", ""[cho]"", ""[qokcheor]"", ""[cheteg]""]"	C0_UNCONFIRMED
f17r	f17r.7	P	zl3b_clean	N	ksheo qokchy choldshy zepchy d opchordy	6		"[""[ksheo]"", ""[qokchy]"", ""[choldshy]"", ""[zepchy]"", ""[d]"", ""[opchordy]""]"	C0_UNCONFIRMED
f17r	f17r.7	P	zl3b_clean	G	ksheo qokchy choldshy zepchy d opchordy	6		"[""[ksheo]"", ""[qokchy]"", ""[choldshy]"", ""[zepchy]"", ""[d]"", ""[opchordy]""]"	C0_UNCONFIRMED
f17r	f17r.7	P	it2a_clean	N	ksheo qokchy choldshy zepchy dsa opchordy	6		"[""[ksheo]"", ""[qokchy]"", ""[choldshy]"", ""[zepchy]"", ""[dsa]"", ""[opchordy]""]"	C0_UNCONFIRMED
f17r	f17r.7	P	it2a_clean	G	ksheo qokchy choldshy zepchy dsa opchordy	6		"[""[ksheo]"", ""[qokchy]"", ""[choldshy]"", ""[zepchy]"", ""[dsa]"", ""[opchordy]""]"	C0_UNCONFIRMED
f17r	f17r.7	P	rf1b_clean	N	ksheo qokchy choldshy zepchy opchordy	5		"[""[ksheo]"", ""[qokchy]"", ""[choldshy]"", ""[zepchy]"", ""[opchordy]""]"	C0_UNCONFIRMED
f17r	f17r.7	P	rf1b_clean	G	ksheo qokchy choldshy zepchy opchordy	5		"[""[ksheo]"", ""[qokchy]"", ""[choldshy]"", ""[zepchy]"", ""[opchordy]""]"	C0_UNCONFIRMED
f17r	f17r.8	P	zl3b_clean	N	dchchy dychear schar ykchy	4		"[""[dchchy]"", ""[dychear]"", ""[schar]"", ""[ykchy]""]"	C0_UNCONFIRMED
f17r	f17r.8	P	zl3b_clean	G	dchchy dychear schar ykchy	4		"[""[dchchy]"", ""[dychear]"", ""[schar]"", ""[ykchy]""]"	C0_UNCONFIRMED
f17r	f17r.8	P	it2a_clean	N	dchchy dychear schar ykchy	4		"[""[dchchy]"", ""[dychear]"", ""[schar]"", ""[ykchy]""]"	C0_UNCONFIRMED
f17r	f17r.8	P	it2a_clean	G	dchchy dychear schar ykchy	4		"[""[dchchy]"", ""[dychear]"", ""[schar]"", ""[ykchy]""]"	C0_UNCONFIRMED
f17r	f17r.8	P	rf1b_clean	N	dchchy dychear schar kchy	4		"[""[dchchy]"", ""[dychear]"", ""[schar]"", ""[kchy]""]"	C0_UNCONFIRMED
f17r	f17r.8	P	rf1b_clean	G	dchchy dychear schar kchy	4		"[""[dchchy]"", ""[dychear]"", ""[schar]"", ""[kchy]""]"	C0_UNCONFIRMED
f17r	f17r.9	P	zl3b_clean	N	soy chckho o das chypcham	5		"[""[soy]"", ""[chckho]"", ""[o]"", ""[das]"", ""[chypcham]""]"	C0_UNCONFIRMED
f17r	f17r.9	P	zl3b_clean	G	soy chckho o das chypcham	5		"[""[soy]"", ""[chckho]"", ""[o]"", ""[das]"", ""[chypcham]""]"	C0_UNCONFIRMED
f17r	f17r.9	P	it2a_clean	N	soy chckhy o dar chypcham	5		"[""[soy]"", ""[chckhy]"", ""[o]"", ""[dar]"", ""[chypcham]""]"	C0_UNCONFIRMED
f17r	f17r.9	P	it2a_clean	G	soy chckhy o dar chypcham	5		"[""[soy]"", ""[chckhy]"", ""[o]"", ""[dar]"", ""[chypcham]""]"	C0_UNCONFIRMED
f17r	f17r.9	P	rf1b_clean	N	soy chckho o das chypcham	5		"[""[soy]"", ""[chckho]"", ""[o]"", ""[das]"", ""[chypcham]""]"	C0_UNCONFIRMED
f17r	f17r.9	P	rf1b_clean	G	soy chckho o das chypcham	5		"[""[soy]"", ""[chckho]"", ""[o]"", ""[das]"", ""[chypcham]""]"	C0_UNCONFIRMED
f17r	f17r.10	P	zl3b_clean	N	dar chear dcheor sain y mol	6		"[""[dar]"", ""[chear]"", ""[dcheor]"", ""[sain]"", ""[y]"", ""[mol]""]"	C0_UNCONFIRMED
f17r	f17r.10	P	zl3b_clean	G	dar chear dcheor sain y mol	6		"[""[dar]"", ""[chear]"", ""[dcheor]"", ""[sain]"", ""[y]"", ""[mol]""]"	C0_UNCONFIRMED
f17r	f17r.10	P	it2a_clean	N	dar chear dsheor ain y mol	6		"[""[dar]"", ""[chear]"", ""[dsheor]"", ""[ain]"", ""[y]"", ""[mol]""]"	C0_UNCONFIRMED
f17r	f17r.10	P	it2a_clean	G	dar chear dsheor ain y mol	6		"[""[dar]"", ""[chear]"", ""[dsheor]"", ""[ain]"", ""[y]"", ""[mol]""]"	C0_UNCONFIRMED
f17r	f17r.10	P	rf1b_clean	N	dar chear dcheor sain mol	5		"[""[dar]"", ""[chear]"", ""[dcheor]"", ""[sain]"", ""[mol]""]"	C0_UNCONFIRMED
f17r	f17r.10	P	rf1b_clean	G	dar chear dcheor sain mol	5		"[""[dar]"", ""[chear]"", ""[dcheor]"", ""[sain]"", ""[mol]""]"	C0_UNCONFIRMED
f17r	f17r.11	P	zl3b_clean	N	otchol cthar okaiin chol daiiin	5	1,2,3,4,5	"[""dieses?"", ""Wurzel?"", ""Pulver?"", ""trocken?"", ""sehr viel?""]"	C0_UNCONFIRMED
f17r	f17r.11	P	zl3b_clean	G	otchol cthar okaiin chol daiiin	5	1,2,3,4,5	"[""dieses?"", ""Wurzel?"", ""ist?"", ""trocken?"", ""sehr viel?""]"	C0_UNCONFIRMED
f17r	f17r.11	P	it2a_clean	N	otchol cthar okaiin chol daiiin	5	1,2,3,4,5	"[""dieses?"", ""Wurzel?"", ""Pulver?"", ""trocken?"", ""sehr viel?""]"	C0_UNCONFIRMED
f17r	f17r.11	P	it2a_clean	G	otchol cthar okaiin chol daiiin	5	1,2,3,4,5	"[""dieses?"", ""Wurzel?"", ""ist?"", ""trocken?"", ""sehr viel?""]"	C0_UNCONFIRMED
