argument_provenance_ordinal	event_id	statement_id	physical_page	register	surface	recipe	inherited_argument_root	inherited_argument_value_de	argument_source_type	argument_source_event_id	source_card_distance	gdt539_pointer_match	resolved_microphrase_de	provenance_status
11	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	ochol	O+OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0195	1	NOT_STORED	Weiter: setze den Wert; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
12	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	chol	OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0208	2	NOT_STORED	Weiter: stelle die Einheit ein.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
13	G407-E0239	G407-S008	f10r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0238	1	NOT_STORED	Weiter: stelle den Posten ein.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
14	G407-E0253	G407-S008	f10r	HERBAL	ody	O+DY	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0251	2	NOT_STORED	Markiere die Einheit; zur Ausführung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
15	G407-E0256	G407-S009	f10r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0254	2	NOT_STORED	Weiter: nimm den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
16	G407-E0279	G407-S009	f10r	HERBAL	otol	OT+OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0278	1	NOT_STORED	Danach: nimm die Einheit; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
17	G407-E0280	G407-S009	f10r	HERBAL	chol	OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0278	2	NOT_STORED	Weiter: nimm die Einheit.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
18	G407-E0282	G407-S009	f10r	HERBAL	chol	OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0281	1	NOT_STORED	Weiter: nimm die Einheit.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
19	G407-E0302	G407-S009	f10r	HERBAL	otar	OT+AR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0301	1	NOT_STORED	Danach: stelle den Posten ein; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
20	G407-E0325	G407-S011	f11r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0324	1	NOT_STORED	Weiter: gib den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
21	G407-E0334	G407-S011	f11r	HERBAL	dchol	D_ADDR+OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0332	2	NOT_STORED	Weiter: nimm den Wert; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
22	G407-E0354	G407-S011	f11r	HERBAL	otol	OT+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0353	1	NOT_STORED	Danach: wähle den Posten; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
23	G407-E0375	G407-S012	f13r	HERBAL	dchol	D_ADDR+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0373	2	NOT_STORED	Weiter: nimm den Posten; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
24	G407-E0376	G407-S012	f13r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0373	3	NOT_STORED	Weiter: nimm den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
25	G407-E0377	G407-S012	f13r	HERBAL	dol	D_ADDR+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0373	4	NOT_STORED	Weiter: nimm den Posten; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
26	G407-E0419	G407-S013	f13r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0418	1	NOT_STORED	Weiter: setze den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
27	G407-E0423	G407-S013	f13r	HERBAL	oldy	OL+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0421	2	NOT_STORED	Weiter: setze den Posten; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
28	G407-E0433	G407-S014	f13r	HERBAL	oldy	OL+DY	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0432	1	NOT_STORED	Weiter: setze den Wert; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
29	G407-E0435	G407-S015	f13r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0434	1	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
30	G407-E0439	G407-S015	f13r	HERBAL	daldy	AL+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0437	2	NOT_STORED	Nimm den Posten; zum Zielort; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
31	G407-E0451	G407-S019	f17r	HERBAL	dody	D_ADDR+O+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0450	1	NOT_STORED	Nimm den Posten; hier; zur Ausführung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
32	G407-E0462	G407-S021	f17r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0460	2	NOT_STORED	Weiter: wähle den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
33	G407-E0486	G407-S022	f17r	HERBAL	qody	CARRIER_Q+O+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0485	1	NOT_STORED	Stelle den Posten ein; am Beginn; zur Ausführung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
34	G407-E0512	G407-S024	f17r	HERBAL	mol	M_LOCAL+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0511	1	NOT_STORED	Weiter: wähle den Posten; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
35	G407-E0516	G407-S024	f17r	HERBAL	chol	OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0515	1	NOT_STORED	Weiter: setze den Wert.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
36	G407-E0536	G407-S026	f18r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0535	1	NOT_STORED	Weiter: nimm den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
37	G407-E0555	G407-S027	f18r	HERBAL	chlol	L+OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0553	2	NOT_STORED	Weiter: stelle den Wert ein; über die Verbindung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
38	G407-E0569	G407-S027	f18r	HERBAL	doldy	OL+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0568	1	NOT_STORED	Weiter: halte den Posten; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
39	G407-E0573	G407-S028	f18r	HERBAL	olody	OL+O+DY	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0571	2	NOT_STORED	Weiter: gib die Einheit; zur Ausführung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
40	G407-E0577	G407-S029	f18r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0576	1	NOT_STORED	Weiter: markiere den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
41	G407-E0584	G407-S029	f18r	HERBAL	ol	OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0582	2	NOT_STORED	Weiter: setze die Einheit.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
42	G407-E0621	G407-S031	f24v	HERBAL	otol	OT+OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0620	1	NOT_STORED	Danach: nimm die Einheit; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
43	G407-E0648	G407-S032	f24v	HERBAL	olom	OL+O+AM_ADDR	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0646	2	NOT_STORED	Weiter: nimm den Anteil; zur Ausführung; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
44	G407-E0654	G407-S032	f24v	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0653	1	NOT_STORED	Weiter: wähle den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
45	G407-E0675	G407-S032	f24v	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0673	2	NOT_STORED	Weiter: nimm den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
46	G407-E0679	G407-S032	f24v	HERBAL	otolodal	OT+OL+O+D_ADDR+AL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0676	3	NOT_STORED	Danach: halte die Einheit; zur Ausführung; hier; zum Zielort; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
47	G407-E0695	G407-S033	f55v	HERBAL	dodyd	D_ADDR+O+DY+D_LABEL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0694	1	NOT_STORED	Gib den Wert; hier; zur Ausführung; hier; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
48	G407-E0705	G407-S034	f55v	HERBAL	qool	CARRIER_Q+O+OL	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0704	1	NOT_STORED	Weiter: setze den Anteil; am Beginn; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
49	G407-E0710	G407-S034	f55v	HERBAL	ol	OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0709	1	NOT_STORED	Weiter: wähle den Wert.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
50	G407-E0720	G407-S034	f55v	HERBAL	ody	O+DY	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0719	1	NOT_STORED	Setze den Anteil; zur Ausführung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
51	G407-E0725	G407-S035	f55v	HERBAL	ody	O+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0724	1	NOT_STORED	Gib den Posten; zur Ausführung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
52	G407-E0749	G407-S036	f55v	HERBAL	qol	OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0747	2	NOT_STORED	Weiter: setze den Wert.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
53	G407-E0750	G407-S036	f55v	HERBAL	otar	OT+AR	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0747	3	NOT_STORED	Danach: setze den Wert; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
54	G407-E0767	G407-S036	f55v	HERBAL	ol	OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0766	1	NOT_STORED	Weiter: gib den Wert.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
55	G407-E0773	G407-S036	f55v	HERBAL	otar	OT+AR	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0772	1	NOT_STORED	Danach: stelle den Wert ein; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
56	G407-E0777	G407-S036	f55v	HERBAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0776	1	NOT_STORED	Weiter: gib den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
57	G407-E0781	G407-S036	f55v	HERBAL	oldy	OL+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0780	1	NOT_STORED	Weiter: gib den Posten; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
58	G407-E0796	G407-S037	f55v	HERBAL	otam	OT+AM_ADDR	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0795	1	NOT_STORED	Danach: wähle den Wert; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
59	G407-E0808	G407-S039	f56r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0807	1	NOT_STORED	Weiter: nimm den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
60	G407-E0821	G407-S039	f56r	HERBAL	qot	OT	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0820	1	NOT_STORED	Danach: wähle den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
61	G407-E0876	G407-S040	f56r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0872	4	NOT_STORED	Weiter: wähle den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
62	G407-E0881	G407-S040	f56r	HERBAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0878	3	NOT_STORED	Weiter: stelle den Posten ein.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
63	G407-E0908	G407-S041	f67r2	CELESTIAL	oldy	OL+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0906	2	NOT_STORED	Weiter: wähle den Posten; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
64	G407-E0943	G407-S045	f67r2	CELESTIAL	ochol	O+OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0942	1	NOT_STORED	Weiter: wähle den Wert; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
65	G407-E0944	G407-S045	f67r2	CELESTIAL	olol	OL+OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E0942	2	NOT_STORED	Weiter: wähle den Wert; nochmals weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
66	G407-E0952	G407-S047	f67r2	CELESTIAL	chol	OL	AIIN	WERT	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: setze den Wert.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
67	G407-E1014	G407-S051	f67r2	CELESTIAL	olar	OL+AR	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1011	3	NOT_STORED	Weiter: setze den Wert; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
68	G407-E1079	G407-S056	f71v	CELESTIAL	otar	OT+AR	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: nimm den Posten; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
69	G407-E1081	G407-S056	f71v	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: setze den Posten; auf Grad I; zur Ausführung; hier; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
70	G407-E1093	G407-S056	f71v	CELESTIAL	arol	AR+OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1092	1	NOT_STORED	Weiter: gib die Einheit; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
71	G407-E1105	G407-S057	f71v	CELESTIAL	oto	OT+O	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1104	1	NOT_STORED	Danach: setze den Posten; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
72	G407-E1120	G407-S057	f71v	CELESTIAL	otal	OT+AL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1119	1	NOT_STORED	Danach: halte den Posten; zum Zielort.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
73	G407-E1139	G407-S060	f72r	CELESTIAL	chlol	L+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1138	1	NOT_STORED	Weiter: stelle den Posten ein; über die Verbindung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
74	G407-E1145	G407-S061	f72r	CELESTIAL	oteedy	OT+EE+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1143	2	NOT_STORED	Danach: bearbeite den Posten; auf Grad II; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
75	G407-E1147	G407-S062	f72r	CELESTIAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1146	1	NOT_STORED	Weiter: setze den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
76	G407-E1166	G407-S063	f72r	CELESTIAL	otam	OT+AM_ADDR	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1165	1	NOT_STORED	Danach: wähle den Wert; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
77	G407-E1167	G407-S063	f72r	CELESTIAL	otam	OT+AM_ADDR	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1165	2	NOT_STORED	Danach: wähle den Wert; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
78	G407-E1190	G407-S064	f72r	CELESTIAL	oteo	OT+E+O	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1189	1	NOT_STORED	Danach: stelle die Einheit ein; auf Grad I; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
79	G407-E1192	G407-S065	f72r	CELESTIAL	otar	OT+AR	OR	EINHEIT	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: stelle die Einheit ein; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
80	G407-E1198	G407-S065	f72r	CELESTIAL	otear	OT+E+AR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1197	1	NOT_STORED	Danach: nimm den Posten; auf Grad I; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
81	G407-E1202	G407-S065	f72r	CELESTIAL	otar	OT+AR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1200	2	NOT_STORED	Danach: setze den Posten; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
82	G407-E1211	G407-S066	f72r	CELESTIAL	chol	OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1210	1	NOT_STORED	Weiter: setze die Einheit.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
83	G407-E1213	G407-S066	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1210	3	NOT_STORED	Danach: setze die Einheit; auf Grad I; zur Ausführung; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
84	G407-E1226	G407-S067	f72r	CELESTIAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1223	3	NOT_STORED	Weiter: gib den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
85	G407-E1238	G407-S067	f72r	CELESTIAL	otar	OT+AR	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1237	1	NOT_STORED	Danach: gib den Wert; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
86	G407-E1258	G407-S067	f72r	CELESTIAL	otois	OT+O	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1257	1	NOT_STORED	Danach: wähle den Wert; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
87	G407-E1264	G407-S068	f72r	CELESTIAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1263	1	NOT_STORED	Weiter: setze den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
88	G407-E1266	G407-S068	f72r	CELESTIAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1263	3	NOT_STORED	Weiter: nimm den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
