drawer	master_card_id	master_form	registered_surfaces	semantic_atoms_for_memory_only	old_telegraphic_default_de	spoken_whole_card_value_de	event_count	records	learning_rule
D2_FILTER_WASH_FLOW	MC099	cheeckhody	cheeckhody	EE+CKH+HO+CLOSE	länger+Durchlass+Zutat+Schluss	länger · Durchgang · Zutat; schließen	1	H5	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC129	cfhy	cfhy	CFH+Y	auswringen+Posten	auswringen · Posten	1	H3	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC130	lsho	lsho	WASH	waschen	waschen	1	B1	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC132	sheckhy	sheckhy	CKH+E+Y	Durchlass+kurz+Posten	Durchgang · kurz · Posten	1	B2	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC133	lcheckhedy	lcheckhedy	L+CKHE+CLOSE	abführen+trennen+Schluss	abführen · trennen; schließen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC141	tshey	tshey	CHEEY	Ergebnis	Klarlauf	1	B2	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC156	cphy	cphy	CPH+Y	nachseihen+Posten	nachseihen · Posten	1	H3	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC165	qockhey	qockhey	OK+CKH+E+Y	ansetzen+Durchlass+kurz+Posten	einsetzen · Durchgang · kurz · Posten	1	B4	learn as one exact specialist card; do not promote a new universal stem
D2_FILTER_WASH_FLOW	MC168	lcheckhy	lcheckhy	L+CKH+Y	abführen+Durchlass+Posten	abführen · Durchgang · Posten	1	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC063	oteey	oteey	OT+EE+Y	danach+länger+Posten	danach · länger · Posten	2	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC073	qcthey	qcthey|shcthey	CTH+E+Y	bereit+kurz+Posten	bereitstellen · kurz · Posten	2	B2|B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC113	shedal	shedal	SHED+AL	absetzen+Ziel	absetzen · Zielstelle	2	B3|B5	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC135	otedy	otedy	OT+E+CLOSE	danach+kurz+Schluss	danach · kurz; schließen	2	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC173	qoteedy	qoteedy	OT+EE+CLOSE	danach+länger+Schluss	danach · länger; schließen	2	B2|B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen+länger+Schluss	absetzen · länger; schließen	1	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC018	qotedaiin	qotedaiin	OT+E+AIIN	danach+kurz+Sollmaß	danach · kurz · Sollmaß	1	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC020	solkeey	solkeey	SOLK+EE+Y	sammeln+länger+Posten	auffangen · länger · Posten	1	B6	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC021	oltchy	oltchy	OL+CTH+Y	weiter+bereit+Posten	weiter · bereitstellen · Posten	1	H4	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC036	solkaiin	solkaiin	SOLK+AIIN	sammeln+Sollmaß	auffangen · Sollmaß	1	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC043	shecthedchy	shecthedchy	CTH+CHD+Y	bereit+umsetzen+Posten	bereitstellen · übertragen · Posten	1	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC050	solkey	solkey	SOLK+E+Y	sammeln+kurz+Posten	auffangen · kurz · Posten	1	B4	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC052	qekey	qekey	KCH+E+Y	bearbeiten+kurz+Posten	bearbeiten · kurz · Posten	1	B6	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC061	sshkchdy	sshkchdy	SH+KCH+CHD+CLOSE	halten+bearbeiten+umsetzen+Schluss	halten · bearbeiten · übertragen; schließen	1	B1	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC076	dsheol	dsheol	SH+E+OL	halten+kurz+weiter	halten · kurz · weiter	1	B1	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC094	cheeety	cheeety	EEE+TY	vollständig+Teil	vollständig · Teil	1	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC095	sheey	sheey	SH+EE+Y	halten+länger+Posten	halten · länger · Posten	1	B4	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC096	qokeedal	qokeedal	OK+EE+AL	ansetzen+länger+Ziel	einsetzen · länger · Zielstelle	1	B1	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC100	ody	ody	ODY	kühlen	kühlen	1	H4	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC102	rsheal	rsheal	SH+E+AL	halten+kurz+Ziel	halten · kurz · Zielstelle	1	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC104	keol	keol	E+OL	kurz+weiter	kurz · weiter	1	H5	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC106	teol	teol	E+OL	kurz+weiter	kurz · weiter	1	B1	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC108	etyd	etyd	E+TY	kurz+Teil	kurz · Teil	1	H1	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC109	ytey	ytey	Y+E+TY	Posten+kurz+Teil	Posten · kurz · Teil	1	B1	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC110	chkeedy	chkeedy	CHK+EE+CLOSE	wärmen+länger+Schluss	wärmen · länger; schließen	1	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC111	shfydaiin	shfydaiin	SH+AIIN	halten+Sollmaß	halten · Sollmaß	1	H3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC112	octheol	octheol	CTH+OL	bereit+weiter	bereitstellen · weiter	1	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC114	sh	sh	SH	halten	halten	1	H5	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC115	qoctholy	qoctholy	CTH+OL+Y	bereit+weiter+Posten	bereitstellen · weiter · Posten	1	H2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC122	kchey	kchey	KCH+E+Y	bearbeiten+kurz+Posten	bearbeiten · kurz · Posten	1	H5	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC124	lkedy	lkedy	L+E+CLOSE	abführen+kurz+Schluss	abführen · kurz; schließen	1	B4	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC137	shecthy	shecthy	CTH+E+Y	bereit+kurz+Posten	bereitstellen · kurz · Posten	1	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC138	dshedy	dshedy	SHED+E+CLOSE	absetzen+kurz+Schluss	absetzen · kurz; schließen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC140	qokeeedy	qokeeedy	OK+EEE+CLOSE	ansetzen+vollständig+Schluss	einsetzen · vollständig; schließen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC144	chldaiin	chldaiin	SHED+AIIN	absetzen+Sollmaß	absetzen · Sollmaß	1	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC149	solshedy	solshedy	OL+SHED+CLOSE	weiter+absetzen+Schluss	weiter · absetzen; schließen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC150	okeeol	okeeol	OK+EE+OL	ansetzen+länger+weiter	einsetzen · länger · weiter	1	B4	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC151	qokshedy	qokshedy	OK+SHED+CLOSE	ansetzen+absetzen+Schluss	einsetzen · absetzen; schließen	1	B3	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC166	chkeey	chkeey	CHK+EE+Y	wärmen+länger+Posten	wärmen · länger · Posten	1	B2	learn as one exact specialist card; do not promote a new universal stem
D3_HEAT_SETTLE_STATE	MC169	cthaiin	cthaiin	CTH+AIIN	bereit+Sollmaß	bereitstellen · Sollmaß	1	H2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC057	otchedy	otchedy|qotchedy	OT+CHD+CLOSE	danach+umsetzen+Schluss	danach · übertragen; schließen	2	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC001	chdal	chdal	CHD+AL	umsetzen+Ziel	übertragen · Zielstelle	1	B5	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC008	lchy	lchy	L+Y	abführen+Posten	abführen · Posten	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC009	chary	chary	AR+Y	Quelle+Posten	Ausgang · Posten	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC011	lchedar	lchedar	L+CHD+AR	abführen+umsetzen+Quelle	abführen · übertragen · Ausgang	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC014	chair	chair	AIR	Lauf	Flüssigkeitslauf	1	H1	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC023	kair	kair	AIR	Lauf	Flüssigkeitslauf	1	B1	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC029	lar	lar	L+AR	abführen+Quelle	abführen · Ausgang	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC030	lo	lo	L	abführen	abführen	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC031	dalchdy	dalchdy	AL+CHD+CLOSE	Ziel+umsetzen+Schluss	Zielstelle · übertragen; schließen	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC042	cheedar	cheedar	CHD+AR	umsetzen+Quelle	übertragen · Ausgang	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC044	qokar	qokar	OK+AR	ansetzen+Quelle	einsetzen · Ausgang	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC046	raly	raly	AL+Y	Ziel+Posten	Zielstelle · Posten	1	B6	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC051	lchedal	lchedal	L+CHD+AL	abführen+umsetzen+Ziel	abführen · übertragen · Zielstelle	1	B1	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC054	qokaly	qokaly	OK+AL+Y	ansetzen+Ziel+Posten	einsetzen · Zielstelle · Posten	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC056	ral	ral	AL	Ziel	Zielstelle	1	B1	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC064	chedchy	chedchy	CHD+Y	umsetzen+Posten	übertragen · Posten	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC065	ls	ls	L	abführen	abführen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC067	otchdy	otchdy	OT+CHD+CLOSE	danach+umsetzen+Schluss	danach · übertragen; schließen	1	B5	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC070	pchedy	pchedy	P+CHD+CLOSE	zuführen+umsetzen+Schluss	zuführen · übertragen; schließen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC077	kchal	kchal	KCH+AL	bearbeiten+Ziel	bearbeiten · Zielstelle	1	H5	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC078	olsaly	olsaly	AL+Y	Ziel+Posten	Zielstelle · Posten	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC079	daldy	daldy	AL+CLOSE	Ziel+Schluss	Zielstelle; schließen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC081	okair	okair	OK+AIR	ansetzen+Lauf	einsetzen · Flüssigkeitslauf	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC089	skar	skar	SK+AR	ausgießen+Quelle	ausgießen · Ausgang	1	B4	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC091	dairydy	dairydy	AIR+Y+CLOSE	Lauf+Posten+Schluss	Flüssigkeitslauf · Posten; schließen	1	B4	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC092	lol	lol	L+OL	abführen+weiter	abführen · weiter	1	B5	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC101	ldalor	ldalor	AL	Ziel	Zielstelle	1	B6	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC116	schedair	schedair	AIR	Lauf	Flüssigkeitslauf	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC118	ly	ly	L+Y	abführen+Posten	abführen · Posten	1	B1	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC121	otar	otar	OT+AR	danach+Quelle	danach · Ausgang	1	B1	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC126	pchedal	pchedal	P+CHD+AL	zuführen+umsetzen+Ziel	zuführen · übertragen · Zielstelle	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC127	lched	lched	L+CHD	abführen+umsetzen	abführen · übertragen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC139	dchdy	dchdy	CHD+CLOSE	umsetzen+Schluss	übertragen; schließen	1	B1	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC145	chedain	chedain	CHD+AIN	umsetzen+Anteil	übertragen · Anteil	1	B3	learn as one exact specialist card; do not promote a new universal stem
D4_TRANSFER_SOURCE_TARGET	MC167	lochedy	lochedy	L+CHD+CLOSE	abführen+umsetzen+Schluss	abführen · übertragen; schließen	1	B2	learn as one exact specialist card; do not promote a new universal stem
D5_QUANTITY_PART_STAGE	MC033	oiiin	oiiin|soiiin	IIN	Stufe	Arbeitsstufe	2	B1|B3	learn as one exact specialist card; do not promote a new universal stem
D5_QUANTITY_PART_STAGE	MC097	olkain	olkain|qolkain	OL+AIN	weiter+Anteil	weiter · Anteil	2	B1|B4	learn as one exact specialist card; do not promote a new universal stem
D5_QUANTITY_PART_STAGE	MC047	ykain	ykain	Y+AIN	Posten+Anteil	Posten · Anteil	1	H4	learn as one exact specialist card; do not promote a new universal stem
D5_QUANTITY_PART_STAGE	MC048	kaiiin	kaiiin	IIN	Stufe	Arbeitsstufe	1	H2	learn as one exact specialist card; do not promote a new universal stem
D5_QUANTITY_PART_STAGE	MC069	otytchol	otytchol	OT+TY+OL	danach+Teil+weiter	danach · Teil · weiter	1	H1	learn as one exact specialist card; do not promote a new universal stem
D5_QUANTITY_PART_STAGE	MC148	ykan	ykan	Y+AIN	Posten+Anteil	Posten · Anteil	1	H4	learn as one exact specialist card; do not promote a new universal stem
D5_QUANTITY_PART_STAGE	MC170	ykaiin	ykaiin	Y+AIIN	Posten+Sollmaß	Posten · Sollmaß	1	H4	learn as one exact specialist card; do not promote a new universal stem
D5_QUANTITY_PART_STAGE	MC172	daiiin	daiiin	IIN	Stufe	Arbeitsstufe	1	B5	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC016	rol	rol	OL	weiter	weiter	1	B1	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC024	qokol	qokol	OK+OL	ansetzen+weiter	einsetzen · weiter	1	B4	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC041	okchol	okchol	OK+OL	ansetzen+weiter	einsetzen · weiter	1	H3	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC053	otol	otol	OT+OL	danach+weiter	danach · weiter	1	H2	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC090	kchol	kchol	KCH+OL	bearbeiten+weiter	bearbeiten · weiter	1	H5	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC107	qotchy	qotchy	OT+Y	danach+Posten	danach · Posten	1	H3	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC134	qolky	qolky	OL	weiter	weiter	1	B1	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC162	qolchey	qolchey	OL+Y	weiter+Posten	weiter · Posten	1	B4	learn as one exact specialist card; do not promote a new universal stem
D6_ORDER_CONTINUATION	MC163	qotchol	qotchol	OT+OL	danach+weiter	danach · weiter	1	H1	learn as one exact specialist card; do not promote a new universal stem
D7_APPLICATION_FASTEN_STORE	MC068	sotodan	sotodan	OT+DAN	danach+anwenden	danach · anwenden	1	H5	learn as one exact specialist card; do not promote a new universal stem
D7_APPLICATION_FASTEN_STORE	MC160	talam	talam	AL+AM	Ziel+verwahren	Zielstelle · verwahren	1	H4	learn as one exact specialist card; do not promote a new universal stem
D7_APPLICATION_FASTEN_STORE	MC164	qokylddy	qokylddy	OK+Y+LDDY	ansetzen+Posten+festbinden	einsetzen · Posten · festbinden	1	B4	learn as one exact specialist card; do not promote a new universal stem
D8_LOCAL_OPERATION	MC015	qokokchy	qokokchy	OK+OK+Y	ansetzen+ansetzen+Posten	einsetzen · einsetzen · Posten	1	H5	learn as one exact specialist card; do not promote a new universal stem
D8_LOCAL_OPERATION	MC117	kchy	kchy	KCH+Y	bearbeiten+Posten	bearbeiten · Posten	1	H3	learn as one exact specialist card; do not promote a new universal stem
D8_LOCAL_OPERATION	MC152	ches	ches	PARTITION	teilen	teilen	1	B2	learn as one exact specialist card; do not promote a new universal stem
