program_card_id	surfaces	program_action_de	selector_axis	selector_axis_de	occurrence_count	statement_ids	module_ids	pages	owner_sequences	modifier_slot_inventory	teaching_rule_de
78b3b3140714da19090d	daldy	Nebenöffnung	APPARATUS_CONFIGURATION	Gerätestellung	1	B2-S017	WM22	f82r	B2_LOWER_POOL_EDGE_STATIONS	MEDIUM	Die terminale Karte bestätigt die lokale Gerätehandlung, nicht den Stoffnamen.
7d25241b0e56c836372a	qokeedy	länger ansetzen	CONTACT_DURATION	Kontakt- oder Folgegrad	8	B2-S003|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005	WM16|WM22|WM25|WM29|WM31|WM32	f82r|f83r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_LOWER_POOL_EDGE_STATIONS|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR	QUANTITY|OPERATION|OWNER_ITEM	Die Programmmarke wählt kurz, länger, kurze Folge oder lange Folge; davor stehen gegebenenfalls Posten, Maß und Ziel.
7db18b2f0fb7ed0fcfd3	qokedy	kurz ansetzen	CONTACT_DURATION	Kontakt- oder Folgegrad	7	B1-S001|B1-S009|B1-S010|B3-S028|B3-S029|B4-S002|B4-S008	WM10|WM12|WM31|WM32	f81v|f83r	B1_SHARED_TWO_ROW_POOL|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR	OWNER_ITEM|OPERATION|STATE_GRADE|ORDER|TARGET|QUANTITY	Die Programmmarke wählt kurz, länger, kurze Folge oder lange Folge; davor stehen gegebenenfalls Posten, Maß und Ziel.
7f68f60279efe6b28cd7	rshedy	Waschung	WASHING	Waschen	1	B2-S019	WM22	f82r	B2_LOWER_POOL_EDGE_STATIONS	KEINE	Die Programmkarten trennen Waschung und Nachwaschen; Medium und Ziel können davor ergänzt werden.
87411f84689b4f93a303	qokchdy	umsetzen	TRANSFER_CONTINUE	Umsetzen oder fortführen	2	B3-S025|B5-S002	WM29|WM36	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B5_LEFT_OPEN_FRINGE_STATION	KEINE	Quelle, Ziel und Folge stehen vor der terminalen Transfer-/Fortsetzungskarte.
8aedd154964a78e555d6	dairydy	Wasserlauf schließen	APPARATUS_CONFIGURATION	Gerätestellung	1	B4-S014	WM33	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION	PREPARATION|OWNER_ITEM|OPERATION	Die terminale Karte bestätigt die lokale Gerätehandlung, nicht den Stoffnamen.
a84fbe3ad380df345b97	chkeedy	länger wärmen	HEATING	Erwärmen	1	B3-S002	WM23	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION	TARGET	Der Wärmegrad sitzt in der terminalen Programmkartenfamilie; Maß und Ziel stehen davor.
b958a512ca6a3559e86e	lkedy	nachwaschen	WASHING	Waschen	1	B4-S011	WM33	f83r	B4_MAIN_LEFT_OPEN_FRINGE_STATION	QUANTITY|OPERATION|STATE_GRADE|ORDER|OWNER_ITEM	Die Programmkarten trennen Waschung und Nachwaschen; Medium und Ziel können davor ergänzt werden.
bc4f1f5c006c74a4d26d	shedy|tedy	absetzen	SETTLING	Absetzen	9	B1-S004|B1-S008|B1-S019|B2-S008|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013	WM10|WM12|WM15|WM18|WM29|WM31|WM32|WM33	f81v|f82r|f83r	B1_SHARED_TWO_ROW_POOL|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR|B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION	OWNER_ITEM|OPERATION|ORDER|STATE_GRADE|QUANTITY|SOURCE|TARGET	ABSETZEN schließt die lokale Ruhe-/Klärzelle; WEITER ABSETZEN behält den Vorposten bei.
c1db6b0a28d5cbb5d3d2	lcheckhedy	abseihen	STRAINING	Seihen	1	B2-S004	WM16	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	TARGET|OPERATION|FLOW_TRANSFER|OWNER_ITEM|STATE_GRADE	Tuch, Ziel und Vorbehandlung stehen vor der gelernten Seihschlusskarte.
c45ebac60774620561e2	otedy	kurze Folge	CONTACT_DURATION	Kontakt- oder Folgegrad	1	B3-S032	WM31	f83r	B3_MAIN_ARCH_LINKED_PAIR	QUANTITY|OPERATION|OWNER_ITEM|ORDER	Die Programmmarke wählt kurz, länger, kurze Folge oder lange Folge; davor stehen gegebenenfalls Posten, Maß und Ziel.
d68bc8de3bcee09db23c	shckhedy	seihen	STRAINING	Seihen	3	B1-S020|B4-S006|B4-S007	WM15|WM32	f81v|f83r	B1_SHARED_TWO_ROW_POOL|B4_MAIN_ARCH_LINKED_PAIR	OPERATION|STATE_GRADE	Tuch, Ziel und Vorbehandlung stehen vor der gelernten Seihschlusskarte.
daa1347f456415fe8737	solshedy	weiter absetzen	SETTLING	Absetzen	1	B2-S009	WM18	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	KEINE	ABSETZEN schließt die lokale Ruhe-/Klärzelle; WEITER ABSETZEN behält den Vorposten bei.
db167f8e9b53eefb58f8	qokshedy	absetzen	SETTLING	Absetzen	1	B3-S019	WM29	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	KEINE	ABSETZEN schließt die lokale Ruhe-/Klärzelle; WEITER ABSETZEN behält den Vorposten bei.
de7321bface5628e35d6	lchedy	abführen	OUTFLOW_WITHDRAW	Abführen oder abziehen	5	B3-S003|B3-S008|B3-S020|B3-S023|B4-S012	WM23|WM25|WM29|WM33	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B4_MAIN_LEFT_OPEN_FRINGE_STATION	OWNER_ITEM|QUANTITY|TARGET	Die Schlusskarte unterscheidet Abfluss, Restabfluss und Fraktionsentnahme.
eb2e4bc143f623ee03ac	qokylddy	befestigen	APPARATUS_CONFIGURATION	Gerätestellung	1	B4-S004	WM32	f83r	B4_MAIN_ARCH_LINKED_PAIR	KEINE	Die terminale Karte bestätigt die lokale Gerätehandlung, nicht den Stoffnamen.
f2af6326898fb5b490a4	lochedy	Rest abführen	OUTFLOW_WITHDRAW	Abführen oder abziehen	1	B2-S022	WM22	f82r	B2_LOWER_POOL_EDGE_STATIONS	KEINE	Die Schlusskarte unterscheidet Abfluss, Restabfluss und Fraktionsentnahme.
ff178343c18e287ce3b7	qoteedy	lange Folge	CONTACT_DURATION	Kontakt- oder Folgegrad	2	B2-S020|B3-S027	WM22|WM31	f82r|f83r	B2_LOWER_POOL_EDGE_STATIONS|B3_MAIN_ARCH_LINKED_PAIR	KEINE	Die Programmmarke wählt kurz, länger, kurze Folge oder lange Folge; davor stehen gegebenenfalls Posten, Maß und Ziel.
