carrier_id	member_surface	global_surface_occurrences	page	locus	section	language	position_rule	quality_locus	quality_surface	distance_lines	observed_family	expected_family	family_match	v2_thermal	v2_moisture	v2_reading_de	working_role	claim_limit
FAMILY_KOARY	korary	1	f45v	f45v.1	H	A	LINE_HEAD	f45v.3	qokchy	2	KCH	KCH	1	HOT	DRY	heiß und trocken	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_KOARY	koary	1	f6v	f6v.1	H	A	LINE_HEAD	f6v.10	qokchod	9	KCH	KCH	1	HOT	DRY	heiß und trocken	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_KOOAIIN	kooiin	2	f29v	f29v.1	H	A	PAGE_HEAD	f29v.2	qotcheaiin	1	TCH	TCH	1	COLD	DRY	kalt und trocken	RHIZOME_OR_ROOTSTOCK_CANDIDATE	Concrete visual meaning is exploratory and koaiin lacks an immediate strict TCH contact
FAMILY_KOOAIIN	kooiin	2	f2v	f2v.1	H	A	PAGE_HEAD	f2v.2	qotcho	1	TCH	TCH	1	COLD	DRY	kalt und trocken	RHIZOME_OR_ROOTSTOCK_CANDIDATE	Concrete visual meaning is exploratory and koaiin lacks an immediate strict TCH contact
FAMILY_KOOAIIN	koaiin	1	f3v	f3v.1	H	A	PAGE_HEAD	NONE	NONE	NONE	NONE	TCH	0	NONE	NONE	NONE	RHIZOME_OR_ROOTSTOCK_CANDIDATE	Concrete visual meaning is exploratory and koaiin lacks an immediate strict TCH contact
FAMILY_PDAIR_ROOT	pdrairdy	1	f18r	f18r.1	H	A	PAGE_HEAD	f18r.2	qokchol	1	KCH	MIXED	0	HOT	DRY	heiß und trocken	ROOT_OR_UNDERGROUND_PART_CANDIDATE	The family is independent of temperament; do not read it as hot or dry
FAMILY_PDAIR_ROOT	podairol	1	f23v	f23v.1	H	A	PAGE_HEAD	f23v.1	qotchar	0	TCH	MIXED	0	COLD	DRY	kalt und trocken	ROOT_OR_UNDERGROUND_PART_CANDIDATE	The family is independent of temperament; do not read it as hot or dry
FAMILY_PDAIR_ROOT	podair	2	f31v	f31v.1	H	B	PAGE_HEAD	NONE	NONE	NONE	NONE	MIXED	0	NONE	NONE	NONE	ROOT_OR_UNDERGROUND_PART_CANDIDATE	The family is independent of temperament; do not read it as hot or dry
FAMILY_PDAIR_ROOT	pdair	1	f39v	f39v.1	H	B	PAGE_HEAD	f39v.8	qokchy	7	KCH	MIXED	0	HOT	DRY	heiß und trocken	ROOT_OR_UNDERGROUND_PART_CANDIDATE	The strict quality code is seven lines later and therefore not a local attachment
FAMILY_PDAIR_ROOT	pdsairy	1	f43v	f43v.1	H	B	PAGE_HEAD	f43v.5	qokchedy	4	KCH	MIXED	0	HOT	DRY	heiß und trocken	ROOT_OR_UNDERGROUND_PART_CANDIDATE	The family is independent of temperament; do not read it as hot or dry
FAMILY_SHODY	tshedy	10	f107v	f107v.11	S	B	LINE_HEAD	f107v.11	qokchey	0	KCH	KCH	1	HOT	DRY	heiß und trocken	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	tshedy	10	f113r	f113r.37	S	B	LINE_HEAD	NONE	NONE	NONE	NONE	KCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	tshedy	10	f115v	f115v.21	S	B	LINE_HEAD	NONE	NONE	NONE	NONE	KCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	fshody	1	f17r	f17r.1	H	A	LINE_HEAD	NONE	NONE	NONE	NONE	KCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	tshody	1	f37v	f37v.1	H	A	LINE_HEAD	f37v.3	qokchon	2	KCH	KCH	1	HOT	DRY	heiß und trocken	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	tshedy	10	f77v	f77v.27	B	B	LINE_HEAD	NONE	NONE	NONE	NONE	KCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	tshedy	10	f80v	f80v.14	B	B	LINE_HEAD	NONE	NONE	NONE	NONE	KCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	tshedy	10	f80v	f80v.2	B	B	LINE_HEAD	NONE	NONE	NONE	NONE	KCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	tshedy	10	f94v	f94v.1	H	B	LINE_HEAD	f94v.1	qokchedy	0	KCH	KCH	1	HOT	DRY	heiß und trocken	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_SHODY	kshedy	5	f95r2	f95r2.1	H	B	LINE_HEAD	NONE	NONE	NONE	NONE	KCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
