route_id	candidate_recipe	source_neighbor_recipe	register	source_observed_in_register	changed_atom_position	source_atom	source_local_value_de	target_atom	target_local_value_de	source_local_trace	target_local_trace	local_trace_delta_count	source_local_phrase_de	target_local_phrase_de	local_phrase_changed	target_matches_gdt431	decision
NR003	AL+AIN	AL+Y	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	Y	LAUFENDER EINTRAG	AIN	TEILWERT	1:RELATION=ZIELSPALTE | 2:ARGUMENT=LAUFENDER EINTRAG	1:RELATION=ZIELSPALTE | 2:ARGUMENT=TEILWERT	1	An der Zielspalte: laufenden Eintrag.	An der Zielspalte: Teilwert.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR003	AL+AIN	AL+Y	HERBAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	Y	PFLANZENPOSTEN	AIN	MATERIALANTEIL	1:RELATION=ZIELSTELLE | 2:ARGUMENT=PFLANZENPOSTEN	1:RELATION=ZIELSTELLE | 2:ARGUMENT=MATERIALANTEIL	1	An der Zielstelle: Pflanzenposten.	An der Zielstelle: Materialanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR003	AL+AIN	AL+Y	BIOLOGICAL	YES	2	Y	STATIONSPOSTEN	AIN	STATIONSANTEIL	1:RELATION=ZIELSTATION | 2:ARGUMENT=STATIONSPOSTEN	1:RELATION=ZIELSTATION | 2:ARGUMENT=STATIONSANTEIL	1	An der Zielstation: Stationsposten.	An der Zielstation: Stationsanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR003	AL+AIN	AL+Y	CELESTIAL	YES	2	Y	POSITIONSPOSTEN	AIN	SEKTORANTEIL	1:RELATION=ZIELPOSITION | 2:ARGUMENT=POSITIONSPOSTEN	1:RELATION=ZIELPOSITION | 2:ARGUMENT=SEKTORANTEIL	1	An der Zielposition: Positionsposten.	An der Zielposition: Sektoranteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR003	AL+AIN	AL+Y	PHARMA	YES	2	Y	DROGENPOSTEN	AIN	DROGENANTEIL	1:RELATION=ZIELGEFÄSS | 2:ARGUMENT=DROGENPOSTEN	1:RELATION=ZIELGEFÄSS | 2:ARGUMENT=DROGENANTEIL	1	Am Zielgefäß: Drogenposten.	Am Zielgefäß: Drogenanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR004	AL+AIN	L+AIN	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	L	EINTRAGSVERBINDUNG	AL	ZIELSPALTE	1:RELATION=EINTRAGSVERBINDUNG | 2:ARGUMENT=TEILWERT	1:RELATION=ZIELSPALTE | 2:ARGUMENT=TEILWERT	1	Über die Eintragsverbindung: Teilwert.	An der Zielspalte: Teilwert.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR004	AL+AIN	L+AIN	HERBAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	L	VERBINDUNG IM PFLANZENARTIKEL	AL	ZIELSTELLE	1:RELATION=VERBINDUNG IM PFLANZENARTIKEL | 2:ARGUMENT=MATERIALANTEIL	1:RELATION=ZIELSTELLE | 2:ARGUMENT=MATERIALANTEIL	1	Über die Verbindung im Pflanzenartikel: Materialanteil.	An der Zielstelle: Materialanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR004	AL+AIN	L+AIN	BIOLOGICAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	L	SICHTBARE VERBINDUNG	AL	ZIELSTATION	1:RELATION=SICHTBARE VERBINDUNG | 2:ARGUMENT=STATIONSANTEIL	1:RELATION=ZIELSTATION | 2:ARGUMENT=STATIONSANTEIL	1	Über die sichtbare Verbindung: Stationsanteil.	An der Zielstation: Stationsanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR004	AL+AIN	L+AIN	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	L	RINGVERBINDUNG	AL	ZIELPOSITION	1:RELATION=RINGVERBINDUNG | 2:ARGUMENT=SEKTORANTEIL	1:RELATION=ZIELPOSITION | 2:ARGUMENT=SEKTORANTEIL	1	Über die Ringverbindung: Sektoranteil.	An der Zielposition: Sektoranteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR004	AL+AIN	L+AIN	PHARMA	YES	1	L	GEFÄSSVERBINDUNG	AL	ZIELGEFÄSS	1:RELATION=GEFÄSSVERBINDUNG | 2:ARGUMENT=DROGENANTEIL	1:RELATION=ZIELGEFÄSS | 2:ARGUMENT=DROGENANTEIL	1	Über die Gefäßverbindung: Drogenanteil.	Am Zielgefäß: Drogenanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR005	AR+OR	AL+OR	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	AL	ZIELSPALTE	AR	AUSGANGSZEILE	1:RELATION=ZIELSPALTE | 2:ARGUMENT=EINTRAGSEINHEIT	1:RELATION=AUSGANGSZEILE | 2:ARGUMENT=EINTRAGSEINHEIT	1	An der Zielspalte: Eintragseinheit.	Von der Ausgangszeile: Eintragseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR005	AR+OR	AL+OR	HERBAL	YES	1	AL	ZIELSTELLE	AR	AUSGANGSMATERIAL	1:RELATION=ZIELSTELLE | 2:ARGUMENT=ARBEITSEINHEIT	1:RELATION=AUSGANGSMATERIAL | 2:ARGUMENT=ARBEITSEINHEIT	1	An der Zielstelle: Arbeitseinheit.	Vom Ausgangsmaterial: Arbeitseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR005	AR+OR	AL+OR	BIOLOGICAL	YES	1	AL	ZIELSTATION	AR	AUSGANGSSTATION	1:RELATION=ZIELSTATION | 2:ARGUMENT=STATIONSEINHEIT	1:RELATION=AUSGANGSSTATION | 2:ARGUMENT=STATIONSEINHEIT	1	An der Zielstation: Stationseinheit.	Von der Ausgangsstation: Stationseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR005	AR+OR	AL+OR	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	AL	ZIELPOSITION	AR	AUSGANGSPOSITION	1:RELATION=ZIELPOSITION | 2:ARGUMENT=POSITIONSEINHEIT	1:RELATION=AUSGANGSPOSITION | 2:ARGUMENT=POSITIONSEINHEIT	1	An der Zielposition: Positionseinheit.	Von der Ausgangsposition: Positionseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR005	AR+OR	AL+OR	PHARMA	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	AL	ZIELGEFÄSS	AR	AUSGANGSGEFÄSS	1:RELATION=ZIELGEFÄSS | 2:ARGUMENT=ANSATZEINHEIT	1:RELATION=AUSGANGSGEFÄSS | 2:ARGUMENT=ANSATZEINHEIT	1	Am Zielgefäß: Ansatzeinheit.	Vom Ausgangsgefäß: Ansatzeinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR006	AR+OR	AR+AIIN	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIIN	KENNWERT	OR	EINTRAGSEINHEIT	1:RELATION=AUSGANGSZEILE | 2:ARGUMENT=KENNWERT	1:RELATION=AUSGANGSZEILE | 2:ARGUMENT=EINTRAGSEINHEIT	1	Von der Ausgangszeile: Kennwert.	Von der Ausgangszeile: Eintragseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR006	AR+OR	AR+AIIN	HERBAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIIN	ARBEITSWERT	OR	ARBEITSEINHEIT	1:RELATION=AUSGANGSMATERIAL | 2:ARGUMENT=ARBEITSWERT	1:RELATION=AUSGANGSMATERIAL | 2:ARGUMENT=ARBEITSEINHEIT	1	Vom Ausgangsmaterial: Arbeitswert.	Vom Ausgangsmaterial: Arbeitseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR006	AR+OR	AR+AIIN	BIOLOGICAL	YES	2	AIIN	STATIONSWERT	OR	STATIONSEINHEIT	1:RELATION=AUSGANGSSTATION | 2:ARGUMENT=STATIONSWERT	1:RELATION=AUSGANGSSTATION | 2:ARGUMENT=STATIONSEINHEIT	1	Von der Ausgangsstation: Stationswert.	Von der Ausgangsstation: Stationseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR006	AR+OR	AR+AIIN	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIIN	POSITIONSWERT	OR	POSITIONSEINHEIT	1:RELATION=AUSGANGSPOSITION | 2:ARGUMENT=POSITIONSWERT	1:RELATION=AUSGANGSPOSITION | 2:ARGUMENT=POSITIONSEINHEIT	1	Von der Ausgangsposition: Positionswert.	Von der Ausgangsposition: Positionseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR006	AR+OR	AR+AIIN	PHARMA	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIIN	MENGENWERT	OR	ANSATZEINHEIT	1:RELATION=AUSGANGSGEFÄSS | 2:ARGUMENT=MENGENWERT	1:RELATION=AUSGANGSGEFÄSS | 2:ARGUMENT=ANSATZEINHEIT	1	Vom Ausgangsgefäß: Mengenwert.	Vom Ausgangsgefäß: Ansatzeinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR007	AR+OR	AR+Y	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	Y	LAUFENDER EINTRAG	OR	EINTRAGSEINHEIT	1:RELATION=AUSGANGSZEILE | 2:ARGUMENT=LAUFENDER EINTRAG	1:RELATION=AUSGANGSZEILE | 2:ARGUMENT=EINTRAGSEINHEIT	1	Von der Ausgangszeile: laufenden Eintrag.	Von der Ausgangszeile: Eintragseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR007	AR+OR	AR+Y	HERBAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	Y	PFLANZENPOSTEN	OR	ARBEITSEINHEIT	1:RELATION=AUSGANGSMATERIAL | 2:ARGUMENT=PFLANZENPOSTEN	1:RELATION=AUSGANGSMATERIAL | 2:ARGUMENT=ARBEITSEINHEIT	1	Vom Ausgangsmaterial: Pflanzenposten.	Vom Ausgangsmaterial: Arbeitseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR007	AR+OR	AR+Y	BIOLOGICAL	YES	2	Y	STATIONSPOSTEN	OR	STATIONSEINHEIT	1:RELATION=AUSGANGSSTATION | 2:ARGUMENT=STATIONSPOSTEN	1:RELATION=AUSGANGSSTATION | 2:ARGUMENT=STATIONSEINHEIT	1	Von der Ausgangsstation: Stationsposten.	Von der Ausgangsstation: Stationseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR007	AR+OR	AR+Y	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	Y	POSITIONSPOSTEN	OR	POSITIONSEINHEIT	1:RELATION=AUSGANGSPOSITION | 2:ARGUMENT=POSITIONSPOSTEN	1:RELATION=AUSGANGSPOSITION | 2:ARGUMENT=POSITIONSEINHEIT	1	Von der Ausgangsposition: Positionsposten.	Von der Ausgangsposition: Positionseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR007	AR+OR	AR+Y	PHARMA	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	Y	DROGENPOSTEN	OR	ANSATZEINHEIT	1:RELATION=AUSGANGSGEFÄSS | 2:ARGUMENT=DROGENPOSTEN	1:RELATION=AUSGANGSGEFÄSS | 2:ARGUMENT=ANSATZEINHEIT	1	Vom Ausgangsgefäß: Drogenposten.	Vom Ausgangsgefäß: Ansatzeinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR008	AR+OR	L+OR	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	L	EINTRAGSVERBINDUNG	AR	AUSGANGSZEILE	1:RELATION=EINTRAGSVERBINDUNG | 2:ARGUMENT=EINTRAGSEINHEIT	1:RELATION=AUSGANGSZEILE | 2:ARGUMENT=EINTRAGSEINHEIT	1	Über die Eintragsverbindung: Eintragseinheit.	Von der Ausgangszeile: Eintragseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR008	AR+OR	L+OR	HERBAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	L	VERBINDUNG IM PFLANZENARTIKEL	AR	AUSGANGSMATERIAL	1:RELATION=VERBINDUNG IM PFLANZENARTIKEL | 2:ARGUMENT=ARBEITSEINHEIT	1:RELATION=AUSGANGSMATERIAL | 2:ARGUMENT=ARBEITSEINHEIT	1	Über die Verbindung im Pflanzenartikel: Arbeitseinheit.	Vom Ausgangsmaterial: Arbeitseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR008	AR+OR	L+OR	BIOLOGICAL	YES	1	L	SICHTBARE VERBINDUNG	AR	AUSGANGSSTATION	1:RELATION=SICHTBARE VERBINDUNG | 2:ARGUMENT=STATIONSEINHEIT	1:RELATION=AUSGANGSSTATION | 2:ARGUMENT=STATIONSEINHEIT	1	Über die sichtbare Verbindung: Stationseinheit.	Von der Ausgangsstation: Stationseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR008	AR+OR	L+OR	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	L	RINGVERBINDUNG	AR	AUSGANGSPOSITION	1:RELATION=RINGVERBINDUNG | 2:ARGUMENT=POSITIONSEINHEIT	1:RELATION=AUSGANGSPOSITION | 2:ARGUMENT=POSITIONSEINHEIT	1	Über die Ringverbindung: Positionseinheit.	Von der Ausgangsposition: Positionseinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR008	AR+OR	L+OR	PHARMA	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	L	GEFÄSSVERBINDUNG	AR	AUSGANGSGEFÄSS	1:RELATION=GEFÄSSVERBINDUNG | 2:ARGUMENT=ANSATZEINHEIT	1:RELATION=AUSGANGSGEFÄSS | 2:ARGUMENT=ANSATZEINHEIT	1	Über die Gefäßverbindung: Ansatzeinheit.	Vom Ausgangsgefäß: Ansatzeinheit.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR009	CH+AR	CH+AIR	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIR	LESEBAHN	AR	AUSGANGSZEILE	1:ACTION_HEAD=ENTNEHMEN | 2:RELATION=LESEBAHN	1:ACTION_HEAD=ENTNEHMEN | 2:RELATION=AUSGANGSZEILE	1	Entnimm entlang der Lesebahn.	Entnimm von der Ausgangszeile.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR009	CH+AR	CH+AIR	HERBAL	YES	2	AIR	VERARBEITUNGSBAHN	AR	AUSGANGSMATERIAL	1:ACTION_HEAD=PFLANZENTEIL NEHMEN | 2:RELATION=VERARBEITUNGSBAHN	1:ACTION_HEAD=PFLANZENTEIL NEHMEN | 2:RELATION=AUSGANGSMATERIAL	1	Nimm entlang der Verarbeitungsbahn.	Nimm vom Ausgangsmaterial.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR009	CH+AR	CH+AIR	BIOLOGICAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIR	STATIONSBAHN	AR	AUSGANGSSTATION	1:ACTION_HEAD=POSTEN ENTNEHMEN | 2:RELATION=STATIONSBAHN	1:ACTION_HEAD=POSTEN ENTNEHMEN | 2:RELATION=AUSGANGSSTATION	1	Entnimm entlang der Stationsbahn.	Entnimm von der Ausgangsstation.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR009	CH+AR	CH+AIR	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIR	RINGBAHN	AR	AUSGANGSPOSITION	1:ACTION_HEAD=POSITION AUFNEHMEN | 2:RELATION=RINGBAHN	1:ACTION_HEAD=POSITION AUFNEHMEN | 2:RELATION=AUSGANGSPOSITION	1	Nimm entlang der Ringbahn auf.	Nimm von der Ausgangsposition auf.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR009	CH+AR	CH+AIR	PHARMA	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIR	TRANSFERBAHN	AR	AUSGANGSGEFÄSS	1:ACTION_HEAD=DROGENPOSTEN NEHMEN | 2:RELATION=TRANSFERBAHN	1:ACTION_HEAD=DROGENPOSTEN NEHMEN | 2:RELATION=AUSGANGSGEFÄSS	1	Nimm entlang der Transferbahn.	Nimm vom Ausgangsgefäß.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR010	CH+AR	CH+AL	SOURCE_SECTION_T	YES	2	AL	ZIELSPALTE	AR	AUSGANGSZEILE	1:ACTION_HEAD=ENTNEHMEN | 2:RELATION=ZIELSPALTE	1:ACTION_HEAD=ENTNEHMEN | 2:RELATION=AUSGANGSZEILE	1	Entnimm an der Zielspalte.	Entnimm von der Ausgangszeile.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR010	CH+AR	CH+AL	HERBAL	YES	2	AL	ZIELSTELLE	AR	AUSGANGSMATERIAL	1:ACTION_HEAD=PFLANZENTEIL NEHMEN | 2:RELATION=ZIELSTELLE	1:ACTION_HEAD=PFLANZENTEIL NEHMEN | 2:RELATION=AUSGANGSMATERIAL	1	Nimm an der Zielstelle.	Nimm vom Ausgangsmaterial.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR010	CH+AR	CH+AL	BIOLOGICAL	YES	2	AL	ZIELSTATION	AR	AUSGANGSSTATION	1:ACTION_HEAD=POSTEN ENTNEHMEN | 2:RELATION=ZIELSTATION	1:ACTION_HEAD=POSTEN ENTNEHMEN | 2:RELATION=AUSGANGSSTATION	1	Entnimm an der Zielstation.	Entnimm von der Ausgangsstation.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR010	CH+AR	CH+AL	CELESTIAL	YES	2	AL	ZIELPOSITION	AR	AUSGANGSPOSITION	1:ACTION_HEAD=POSITION AUFNEHMEN | 2:RELATION=ZIELPOSITION	1:ACTION_HEAD=POSITION AUFNEHMEN | 2:RELATION=AUSGANGSPOSITION	1	Nimm an der Zielposition auf.	Nimm von der Ausgangsposition auf.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR010	CH+AR	CH+AL	PHARMA	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AL	ZIELGEFÄSS	AR	AUSGANGSGEFÄSS	1:ACTION_HEAD=DROGENPOSTEN NEHMEN | 2:RELATION=ZIELGEFÄSS	1:ACTION_HEAD=DROGENPOSTEN NEHMEN | 2:RELATION=AUSGANGSGEFÄSS	1	Nimm am Zielgefäß.	Nimm vom Ausgangsgefäß.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR011	CH+AR	CH+L	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	L	EINTRAGSVERBINDUNG	AR	AUSGANGSZEILE	1:ACTION_HEAD=ENTNEHMEN | 2:RELATION=EINTRAGSVERBINDUNG	1:ACTION_HEAD=ENTNEHMEN | 2:RELATION=AUSGANGSZEILE	1	Entnimm über die Eintragsverbindung.	Entnimm von der Ausgangszeile.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR011	CH+AR	CH+L	HERBAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	L	VERBINDUNG IM PFLANZENARTIKEL	AR	AUSGANGSMATERIAL	1:ACTION_HEAD=PFLANZENTEIL NEHMEN | 2:RELATION=VERBINDUNG IM PFLANZENARTIKEL	1:ACTION_HEAD=PFLANZENTEIL NEHMEN | 2:RELATION=AUSGANGSMATERIAL	1	Nimm über die Verbindung im Pflanzenartikel.	Nimm vom Ausgangsmaterial.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR011	CH+AR	CH+L	BIOLOGICAL	YES	2	L	SICHTBARE VERBINDUNG	AR	AUSGANGSSTATION	1:ACTION_HEAD=POSTEN ENTNEHMEN | 2:RELATION=SICHTBARE VERBINDUNG	1:ACTION_HEAD=POSTEN ENTNEHMEN | 2:RELATION=AUSGANGSSTATION	1	Entnimm über die sichtbare Verbindung.	Entnimm von der Ausgangsstation.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR011	CH+AR	CH+L	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	L	RINGVERBINDUNG	AR	AUSGANGSPOSITION	1:ACTION_HEAD=POSITION AUFNEHMEN | 2:RELATION=RINGVERBINDUNG	1:ACTION_HEAD=POSITION AUFNEHMEN | 2:RELATION=AUSGANGSPOSITION	1	Nimm über die Ringverbindung auf.	Nimm von der Ausgangsposition auf.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR011	CH+AR	CH+L	PHARMA	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	L	GEFÄSSVERBINDUNG	AR	AUSGANGSGEFÄSS	1:ACTION_HEAD=DROGENPOSTEN NEHMEN | 2:RELATION=GEFÄSSVERBINDUNG	1:ACTION_HEAD=DROGENPOSTEN NEHMEN | 2:RELATION=AUSGANGSGEFÄSS	1	Nimm über die Gefäßverbindung.	Nimm vom Ausgangsgefäß.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR012	CH+AR	S+AR	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	S	AUSWÄHLEN	CH	ENTNEHMEN	1:ACTION_HEAD=AUSWÄHLEN | 2:RELATION=AUSGANGSZEILE	1:ACTION_HEAD=ENTNEHMEN | 2:RELATION=AUSGANGSZEILE	1	Wähle von der Ausgangszeile.	Entnimm von der Ausgangszeile.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR012	CH+AR	S+AR	HERBAL	YES	1	S	PFLANZENTEIL WÄHLEN	CH	PFLANZENTEIL NEHMEN	1:ACTION_HEAD=PFLANZENTEIL WÄHLEN | 2:RELATION=AUSGANGSMATERIAL	1:ACTION_HEAD=PFLANZENTEIL NEHMEN | 2:RELATION=AUSGANGSMATERIAL	1	Wähle vom Ausgangsmaterial.	Nimm vom Ausgangsmaterial.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR012	CH+AR	S+AR	BIOLOGICAL	YES	1	S	STATION WÄHLEN	CH	POSTEN ENTNEHMEN	1:ACTION_HEAD=STATION WÄHLEN | 2:RELATION=AUSGANGSSTATION	1:ACTION_HEAD=POSTEN ENTNEHMEN | 2:RELATION=AUSGANGSSTATION	1	Wähle von der Ausgangsstation.	Entnimm von der Ausgangsstation.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR012	CH+AR	S+AR	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	1	S	POSITION WÄHLEN	CH	POSITION AUFNEHMEN	1:ACTION_HEAD=POSITION WÄHLEN | 2:RELATION=AUSGANGSPOSITION	1:ACTION_HEAD=POSITION AUFNEHMEN | 2:RELATION=AUSGANGSPOSITION	1	Wähle von der Ausgangsposition.	Nimm von der Ausgangsposition auf.	YES	YES	LOCAL_CONTRAST_VISIBLE
