page	locus	token_ordinal	surface	v63_token_gloss_de	v64_token_gloss_de	v64_changed	v64_rule_id	decision_class	practical_head_de	live_rivals_de	preparation_span_count	preparation_roles	formal_routes	basis	v65_token_gloss_de	v65_changed	v65_rule_id	v65_composition	v65_family	v65_product_rival_de	v65_visible_tail	v65_whole_extension	v65_basis	v66_tournament_role	v66_rule_id	v66_fraction_de	v66_fraction_changed	v66_share_de	v66_share_changed	v66_stage_de	v66_stage_changed	v66_class_de	v66_class_changed	v66_selected_candidate	v66_selected_gloss_de	v66_selected_changed	v66_selected_semantic_role	v66_selected_override_id
f104v	f104v.2	10	oram	eine Maßportion Ansatz	eine Maßportion Ansatz	0	NONE	KEEP_V63	INHERITED	NONE	1	QUANTITY_OBJECT	LEARNED_WHOLE_OR_UNEXPORTED	NONE	eine Maßportion Ansatz	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	eine Maßportion Ansatz	0	eine Maßportion Ansatz	0	eine Maßportion Ansatz	0	eine Maßportion Ansatz	0	share	eine Maßportion Ansatz	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	1	dshees	eine Dosis vollständig eingeweichte Arzneimischung	eine Dosis vollständig eingeweichte Arzneimischung	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	eine Dosis vollständig eingeweichte Arzneimischung	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	eine Dosis vollständig eingeweichte Arzneimischung	0	eine Dosis vollständig eingeweichte Arzneimischung	0	eine Dosis vollständig eingeweichte Arzneimischung	0	eine Dosis vollständig eingeweichte Arzneimischung	0	share	eine Dosis vollständig eingeweichte Arzneimischung	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	2	yey	hieran anschließend	hieran anschließend	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	hieran anschließend	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	hieran anschließend	0	hieran anschließend	0	hieran anschließend	0	hieran anschließend	0	share	hieran anschließend	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	3	cheey	trocken am Ende des Grades	trocken am Ende des Grades	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	trocken am Ende des Grades	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	trocken am Ende des Grades	0	trocken am Ende des Grades	0	trocken am Ende des Grades	0	trocken am Ende des Grades	0	share	trocken am Ende des Grades	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	4	raiin	Wurzel, Charge III	Wurzel, Charge III	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	Wurzel, Charge III	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	Wurzel, Charge III	0	Wurzel, Charge III	0	Wurzel, Charge III	0	Wurzel, Charge III	0	share	Wurzel, Charge III	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	5	otchdy	kalt-trockener Ansatz, Anfangsstufe erreicht	kalt-trockene Zubereitung, Anfangsstufe erreicht	1	P016	INTERMEDIATE_DRY_PREPARATION	Trockenzubereitung	Kaltansatz|Trockenrückstand	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Anfangsstufe ist noch kein fertiger Rückstand.	kalt-trockene Zubereitung, Anfangsstufe erreicht	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	kalt-trockene Zubereitung, Anfangsstufe erreicht	0	kalt-trockene Zubereitung, Anfangsstufe erreicht	0	kalt-trockene Zubereitung, Anfangsstufe erreicht	0	kalt-trockene Zubereitung, Anfangsstufe erreicht	0	share	kalt-trockene Zubereitung, Anfangsstufe erreicht	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	6	qodor	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	0	NONE	KEEP_V63	INHERITED	NONE	1	QUANTITY_OBJECT	LEARNED_WHOLE_OR_UNEXPORTED	NONE	eine Portion Ansatz abmessen	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	CONTROL_OR_PORTION_ACTION	C009	eine Portion Ansatz abmessen	0	eine Portion Ansatz abmessen	0	eine Portion Ansatz abmessen	0	eine Portion Ansatz abmessen	0	share	eine Portion des Ansatzes abmessen	1	OR_INDEPENDENT_PORTION_ACTION	O001
f105r	f105r.2	7	ches	trockenes Drogenmaterial, Mittelstufe	trockenes Drogenmaterial, Mittelstufe	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	trockenes Drogenmaterial, Mittelstufe	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	trockenes Drogenmaterial, Mittelstufe	0	trockenes Drogenmaterial, Mittelstufe	0	trockenes Drogenmaterial, Mittelstufe	0	trockenes Drogenmaterial, Mittelstufe	0	share	trockenes Drogenmaterial, Mittelstufe	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	8	or	Drogenportion	Drogenportion	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	Drogenportion	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	CONTROL_OR_PORTION	C001	Drogenportion	0	Drogenportion	0	Drogenportion	0	Drogenportion	0	share	Drogenportion	0	OR_INDEPENDENT_PORTION	NONE
f105r	f105r.2	9	cheey	trocken am Ende des Grades	trocken am Ende des Grades	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	trocken am Ende des Grades	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	trocken am Ende des Grades	0	trocken am Ende des Grades	0	trocken am Ende des Grades	0	trocken am Ende des Grades	0	share	trocken am Ende des Grades	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	10	okees	Charge vollständig erhitzten Ansatzes	Charge vollständig erhitzten Ansatzes	0	NONE	KEEP_V63	INHERITED	NONE	1	GENITIVE_SOURCE	LEARNED_WHOLE_OR_UNEXPORTED	NONE	Charge vollständig erhitzten Ansatzes	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	Charge vollständig erhitzten Ansatzes	0	Charge vollständig erhitzten Ansatzes	0	Charge vollständig erhitzten Ansatzes	0	Charge vollständig erhitzten Ansatzes	0	share	Charge vollständig erhitzten Ansatzes	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	11	odar	erste Ansatzfraktion abmessen	erste Ansatzfraktion abmessen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	Fraktion I des Ansatzes abmessen	1	F005	O_PREP+D_MEASURE+AR_FRACTION_I	O_PREP_MEASURE	erste Auszugsfraktion abmessen		NONE	O-Rahmen plus bereits gebundener Messkopf und Fraktion I.	TARGET_41	H005	Fraktion I des Ansatzes abmessen	0	Anteil I des Ansatzes abmessen	1	Material des Ansatzes auf Stufe I abmessen	1	Ansatzstoff der Klasse I abmessen	1	share	Anteil I des Ansatzes abmessen	1	R_INDEXED_MATERIAL_SHARE_SELECTOR	NONE
f105r	f105r.2	12	cheody	getrockneter Ansatz	getrocknete Masse	1	P011	TERMINAL_DRY_RESULT	Masse	getrocknete Zubereitung|Trockenextrakt|Rückstand	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Ohne sichtbares Abziehen ist getrocknete Masse praktisch sicherer als Rückstand oder Extrakt.	getrocknete Masse	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	getrocknete Masse	0	getrocknete Masse	0	getrocknete Masse	0	getrocknete Masse	0	share	getrocknete Masse	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.2	13	qody	fertige Zubereitung	fertige Zubereitung	0	NONE	KEEP_V63	INHERITED	NONE	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	NONE	fertige Zubereitung	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	fertige Zubereitung	0	fertige Zubereitung	0	fertige Zubereitung	0	fertige Zubereitung	0	share	fertige Zubereitung	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	1	kodeey	vollständig erhitzte und abgeschlossene Zubereitungsdosis	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	share	vollständig erhitzte und abgeschlossene Zubereitungsdosis	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	2	lchl	getrocknetes Holz	getrocknetes Holz	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	getrocknetes Holz	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	getrocknetes Holz	0	getrocknetes Holz	0	getrocknetes Holz	0	getrocknetes Holz	0	share	getrocknetes Holz	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	3	shx	eingeweichtes Gummi	eingeweichtes Gummi	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	eingeweichtes Gummi	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	eingeweichtes Gummi	0	eingeweichtes Gummi	0	eingeweichtes Gummi	0	eingeweichtes Gummi	0	share	eingeweichtes Gummi	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	4	ar	Drogenfraktion I	Drogenfraktion I	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	Drogenfraktion I	0	F001	AR_FRACTION_I	NAKED_R_LADDER	Ansatzfraktion I		NONE	Nackte erste Stufe der r-Leiter.	TARGET_41	H001	Drogenfraktion I	0	Drogenanteil I	1	Drogenmaterial auf Stufe I	1	Drogenstoff, Klasse I	1	share	Drogenanteil I	1	R_INDEXED_MATERIAL_SHARE_SELECTOR	NONE
f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	in drei Bündel abfüllen und schließen	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	in drei Bündel abfüllen und schließen	0	in drei Bündel abfüllen und schließen	0	in drei Bündel abfüllen und schließen	0	in drei Bündel abfüllen und schließen	0	share	in drei Bündel abfüllen und schließen	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	share	vollständig bereitetes und abgeschlossenes Arzneikompositum	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	7	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im heißen Ansatz, Gradanfang	1	P043	LOCAL_CONTEXT_WHOLE	heißer Ansatz	Rohstoffklasse I der Heißzubereitung	1	LOCATIVE_CONTEXT	LEARNED_WHOLE_OR_UNEXPORTED	Lokale Relationsglättung, keine freie ok/al-Stammprognose.	Rohstoffklasse I im heißen Ansatz, Gradanfang	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	Rohstoffklasse I im heißen Ansatz, Gradanfang	0	Rohstoffklasse I im heißen Ansatz, Gradanfang	0	Rohstoffklasse I im heißen Ansatz, Gradanfang	0	Rohstoffklasse I im heißen Ansatz, Gradanfang	0	share	Rohstoffklasse I im heißen Ansatz, Gradanfang	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	8	lkedy	bis zur mittleren Heizstufe erhitztes Holz	bis zur mittleren Heizstufe erhitztes Holz	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	bis zur mittleren Heizstufe erhitztes Holz	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	bis zur mittleren Heizstufe erhitztes Holz	0	bis zur mittleren Heizstufe erhitztes Holz	0	bis zur mittleren Heizstufe erhitztes Holz	0	bis zur mittleren Heizstufe erhitztes Holz	0	share	bis zur mittleren Heizstufe erhitztes Holz	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	9	lkar	heiße Holzfraktion I	heiße Holzfraktion I	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	heiße Holzfraktion I	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	heiße Holzfraktion I	0	heiße Holzfraktion I	0	heiße Holzfraktion I	0	heiße Holzfraktion I	0	share	heiße Holzfraktion I	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	10	chedy	mittlere Trockenstufe erreicht	mittlere Trockenstufe erreicht	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	mittlere Trockenstufe erreicht	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	mittlere Trockenstufe erreicht	0	mittlere Trockenstufe erreicht	0	mittlere Trockenstufe erreicht	0	mittlere Trockenstufe erreicht	0	share	mittlere Trockenstufe erreicht	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	11	qokaiin	heiß, Grad III	heiß, Grad III	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	heiß, Grad III	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	heiß, Grad III	0	heiß, Grad III	0	heiß, Grad III	0	heiß, Grad III	0	share	heiß, Grad III	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105r	f105r.31	12	or	Drogenportion	Drogenportion	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	Drogenportion	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	CONTROL_OR_PORTION	C001	Drogenportion	0	Drogenportion	0	Drogenportion	0	Drogenportion	0	share	Drogenportion	0	OR_INDEPENDENT_PORTION	NONE
f105r	f105r.31	13	fchoky	heiß-trockene Blütenzubereitung in Grundform	heiß-trockene Blütenzubereitung in Grundform	0	NONE	KEEP_V63	INHERITED	NONE	1	COMPOUND_HEAD	LEARNED_WHOLE_OR_UNEXPORTED	NONE	heiß-trockene Blütenzubereitung in Grundform	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	heiß-trockene Blütenzubereitung in Grundform	0	heiß-trockene Blütenzubereitung in Grundform	0	heiß-trockene Blütenzubereitung in Grundform	0	heiß-trockene Blütenzubereitung in Grundform	0	share	heiß-trockene Blütenzubereitung in Grundform	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105v	f105v.1	1	polairy	zweite Pulverfraktion, abgeschlossen	zweite Pulverfraktion, abgeschlossen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	zweite Pulverfraktion, abgeschlossen	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	zweite Pulverfraktion, abgeschlossen	0	zweite Pulverfraktion, abgeschlossen	0	zweite Pulverfraktion, abgeschlossen	0	zweite Pulverfraktion, abgeschlossen	0	share	zweite Pulverfraktion, abgeschlossen	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105v	f105v.1	2	oair	zweite Ansatzfraktion	zweite Ansatzfraktion	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	Fraktion II des Ansatzes	1	F004	O_PREP+AIR_FRACTION_II	O_PREP_R_LADDER	Auszugsfraktion II		NONE	O-Rahmen plus zweite Stufe derselben r-Leiter.	TARGET_41	H004	Fraktion II des Ansatzes	0	Anteil II des Ansatzes	1	Ansatz auf Zubereitungsstufe II	1	Ansatz, Stoffklasse II	1	share	Anteil II des Ansatzes	1	R_INDEXED_MATERIAL_SHARE_SELECTOR	NONE
f105v	f105v.1	3	olpcheey	trocken gebundenes Holzpulver, Form II	trocken gebundenes Holzpulver, Form II	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	trocken gebundenes Holzpulver, Form II	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	trocken gebundenes Holzpulver, Form II	0	trocken gebundenes Holzpulver, Form II	0	trocken gebundenes Holzpulver, Form II	0	trocken gebundenes Holzpulver, Form II	0	share	trocken gebundenes Holzpulver, Form II	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105v	f105v.1	4	ykaiin	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	erhitze hiervon auf Stufe III	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	erhitze hiervon auf Stufe III	0	erhitze hiervon auf Stufe III	0	erhitze hiervon auf Stufe III	0	erhitze hiervon auf Stufe III	0	share	erhitze hiervon auf Stufe III	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f105v	f105v.1	5	olpchedy	fertiges Trockenpulver aus Holzansatz	fertiges Holzextraktpulver	1	P025	MATERIAL_RESULT_COLLAPSE	Holzextraktpulver	getrocknetes Holzpulver|Holzrückstand	1	GENITIVE_SOURCE	PROVISIONAL_LOCAL_SCOPE	O-L-P bindet Präparation, Holz und Pulver; Extraktpulver bewahrt die Zubereitungsrelation gegenüber rohem Holzpulver.	fertiges Holzextraktpulver	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	fertiges Holzextraktpulver	0	fertiges Holzextraktpulver	0	fertiges Holzextraktpulver	0	fertiges Holzextraktpulver	0	share	fertiges Holzextraktpulver	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
