edition	chol	grammar	paragraph	target	form	patient	patient_form	prior_actions	REP	REST	debts	row_status
RF1b	D	J	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	J	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	J	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
RF1b	H	J	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	M	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	M	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
RF1b	D	M	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	M	f86v5|f86v5.18-f86v5.25	f86v5.21:5	yteey	f86v5.21:4	okaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	M	f86v5|f86v5.18-f86v5.25	f86v5.21:9	yteey	f86v5.21:6	ytaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER	UNREAD_BETWEEN:f86v5.21:7	recorded
RF1b	H	M	f86v5|f86v5.18-f86v5.25	f86v5.22:2	ykeey	f86v5.22:1	ykaiin		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	B	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	B	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	J	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	J	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	D	M	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
RF1b	H	M	f102v2|f102v2.30-f102v2.39	f102v2.38:8	ykeey	f102v2.38:7	sho		NO_PRIOR_MATCHING_ACTION	NOT_TESTED_NO_QUALITY_TRANSFER		recorded
