component	concrete_root_lemma_de	shelf	atom_uses	previous_abstract_value_de	workshop_expansion_de	image_expansion_de	root_rule_de
SH	HALTEN	PRODUCTIVE_CONTRAST_CORE	219	HALT	Arbeitsgegenstand halten	Bezug festhalten	Der Stamm bedeutet nur HALTEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
AR	QUELLE	PRODUCTIVE_CONTRAST_CORE	201	QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	Der Stamm bedeutet nur QUELLE; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
K	ZUGEBEN	PRODUCTIVE_CONTRAST_CORE	194	ZUORDNUNG	Material zugeben	Wert zuordnen	Der Stamm bedeutet nur ZUGEBEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
AIIN	SOLLMASS	PRODUCTIVE_CONTRAST_CORE	191	SOLLWERT	Sollmaß	verzeichneter Sollwert	Der Stamm bedeutet nur SOLLMASS; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
S	AUSWÄHLEN	PRODUCTIVE_CONTRAST_CORE	182	WAHL	Arbeitsvariante auswählen	Bildklasse auswählen	Der Stamm bedeutet nur AUSWÄHLEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CHD	UMSETZEN	PRODUCTIVE_CONTRAST_CORE	164	WECHSEL	Arbeitsgut umsetzen	zu Gegen- oder Folgeplatz wechseln	Der Stamm bedeutet nur UMSETZEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
OR	ANSATZ	PRODUCTIVE_CONTRAST_CORE	151	EINTRAG	Ansatz oder Zubereitung	Eintragsklasse	Der Stamm bedeutet nur ANSATZ; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
L	LEITEN	PRODUCTIVE_CONTRAST_CORE	131	VERBINDUNG	entlang des Arbeitswegs führen	Bildverbindung	Der Stamm bedeutet nur LEITEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
T	EINSTELLEN	PRODUCTIVE_CONTRAST_CORE	127	EINSTELLUNG	Arbeitsgang einstellen	Platz oder Wert einstellen	Der Stamm bedeutet nur EINSTELLEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
AIN	PORTION	PRODUCTIVE_CONTRAST_CORE	105	EINHEIT	Portion	Einheit oder Index	Der Stamm bedeutet nur PORTION; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
R	MARKIEREN	PRODUCTIVE_CONTRAST_CORE	73	MARKE	Zustand kennzeichnen	Zustandsmarke	Der Stamm bedeutet nur MARKIEREN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
P	EINSETZEN	PRODUCTIVE_CONTRAST_CORE	60	EINSATZ	Material einsetzen	Platz besetzen	Der Stamm bedeutet nur EINSETZEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CTH	BEREIT	PRODUCTIVE_CONTRAST_CORE	59	BEREIT	bis bereit führen	Bereitschaftsklasse	Der Stamm bedeutet nur BEREIT; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
SHED	ABSETZEN	LEARNED_WORKSHOP_ROOT	59	ABSETZEN	absetzen lassen	Absetzklasse	Der Stamm bedeutet nur ABSETZEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CKH	DURCHLASS	PRODUCTIVE_CONTRAST_CORE	55	DURCHLASS	durch einen Durchlass führen	Verbindung oder Durchlass	Der Stamm bedeutet nur DURCHLASS; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
AM_ADDR	INNEN	FORMAL_ADDRESS_SIGN	47	INNEN	Innenstelle	Innenplatz	Der Stamm bedeutet nur INNEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CHEO	AUSZUG	PRODUCTIVE_CONTRAST_CORE	45	AUSZUG	Auszug	lokaler Eintrag	Der Stamm bedeutet nur AUSZUG; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
DA	ZWEIT	PRODUCTIVE_CONTRAST_CORE	38	ZWEIT	zweite Arbeitsstufe	zweite Bildstufe	Der Stamm bedeutet nur ZWEIT; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CARRIER_Q	BEGINNEN	LOCAL_WRITING_SIGN	36	EINTRITT	neuen Kartenblock beginnen	Eintrittsform einer Bildkarte	Der Stamm bedeutet nur BEGINNEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
A_ADDR	ORT	FORMAL_ADDRESS_SIGN	35	ADRESSE	lokale Arbeitsstelle	lokale Bildadresse	Der Stamm bedeutet nur ORT; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
AIR	LAUF	PRODUCTIVE_CONTRAST_CORE	33	LAUFWEG	Flüssigkeits- oder Stationslauf	Ringlauf	Der Stamm bedeutet nur LAUF; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CHK	BEHANDELN	PRODUCTIVE_CONTRAST_CORE	30	BEHANDLUNG	Arbeitsgegenstand behandeln	Behandlungsklasse	Der Stamm bedeutet nur BEHANDELN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
IIN	STUFE	PRODUCTIVE_CONTRAST_CORE	26	STUFE	Arbeitsstufe	Wertstufe	Der Stamm bedeutet nur STUFE; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
S_ADDR	STERNORT	FORMAL_ADDRESS_SIGN	24	STERNORT	bezeichnete s-Stelle	Stern- oder s-Stelle	Der Stamm bedeutet nur STERNORT; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
SOLK	AUFFANGEN	LEARNED_WORKSHOP_ROOT	22	SAMMELN	auffangen	Sammelstelle	Der Stamm bedeutet nur AUFFANGEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
EEE	VOLL	PRODUCTIVE_CONTRAST_CORE	18	VOLL	vollständig	dritter oder voller Grad	Der Stamm bedeutet nur VOLL; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
LSH	SPÜLEN	LEARNED_WORKSHOP_ROOT	17	SPUELEN	spülen	Spülklasse	Der Stamm bedeutet nur SPÜLEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
LOCAL_CHAR_F	NEBENWEG	LOCAL_WRITING_SIGN	13	NEBENPFAD	über einen Nebenpfad	Nebenreihe oder Seitenzweig	Der Stamm bedeutet nur NEBENWEG; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CPH	UMLEITEN	LEARNED_WORKSHOP_ROOT	12	GEGENLAUF	umleiten	Gegenplatz	Der Stamm bedeutet nur UMLEITEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
HO	TEILSTOFF	LEARNED_WORKSHOP_ROOT	11	TEIL	Teil des sichtbaren Gegenstands	Teil oder Mitglied der Bildklasse	Der Stamm bedeutet nur TEILSTOFF; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
AN	ZUSATZ	LEARNED_WORKSHOP_ROOT	9	ZUSATZ	weiteren Posten zugeben	zusätzlicher Eintrag	Der Stamm bedeutet nur ZUSATZ; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
G_LABEL	PRÜFEN	LOCAL_WRITING_SIGN	7	PRUEFMARKE	Prüfmarke setzen	Prüfmarke am Eintrag	Der Stamm bedeutet nur PRÜFEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
CFH	TRENNEN	LEARNED_WORKSHOP_ROOT	5	TRENNEN	trennen	Trennklasse	Der Stamm bedeutet nur TRENNEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
LOCAL_CHAR_G	EINMAL	LOCAL_WRITING_SIGN	5	EINMAL	einmal ausführen	Einzelmarke	Der Stamm bedeutet nur EINMAL; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
LOCAL_CHAR_I	UNTERSTUFE	LOCAL_WRITING_SIGN	5	UNTERINDEX	auf der Unterstufe	Unterindex	Der Stamm bedeutet nur UNTERSTUFE; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
OS	DAZU	LEARNED_WORKSHOP_ROOT	4	DAZU	dazu oder außerdem	zusätzlicher Bildposten	Der Stamm bedeutet nur DAZU; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
D_LABEL	RAND	LOCAL_WRITING_SIGN	3	RAND	am Rand abschließen	Randmarke	Der Stamm bedeutet nur RAND; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
S_LABEL	RAHMEN	LOCAL_WRITING_SIGN	3	RAHMEN	im markierten Rahmen	Rahmengrenze	Der Stamm bedeutet nur RAHMEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
LOCAL_CHAR_B	PAAR	LOCAL_WRITING_SIGN	2	PAAR	paarweise entnehmen	Paarmarke	Der Stamm bedeutet nur PAAR; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
M_LOCAL	MITTE	LOCAL_WRITING_SIGN	2	MITTE	im Mittelgang ausführen	Mittelplatz	Der Stamm bedeutet nur MITTE; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
Z_ADDR	AUSSEN	FORMAL_ADDRESS_SIGN	2	AUSSEN	am Außenplatz	Außenplatz	Der Stamm bedeutet nur AUSSEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
LD	BEFESTIGEN	LEARNED_WORKSHOP_ROOT	1	BEFESTIGEN	befestigen	Befestigungsstelle	Der Stamm bedeutet nur BEFESTIGEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
LOCAL_CHAR_J	VERBINDEN	LOCAL_WRITING_SIGN	1	VERBUND	im verbundenen Gang	Verbundstelle	Der Stamm bedeutet nur VERBINDEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
LOCAL_CHAR_Z	ZWISCHEN	LOCAL_WRITING_SIGN	1	ZWISCHEN	zwischen zwei Stellen	Zwischenadresse	Der Stamm bedeutet nur ZWISCHEN; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
RESUME_CARD	WIEDER	LEARNED_WORKSHOP_ROOT	1	WIEDER	vorigen Posten wieder aufnehmen	vorigen Bildbezug wieder aufnehmen	Der Stamm bedeutet nur WIEDER; Satzrollen und konkrete Besitzer kommen von Nachbarkarten und Bild.
