rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v41_translation_de	v41_unknown_tokens	comparison_scope
11	f16v.5	ytchy chyty chor chol ytchy dan	Nimm eine kalt-trockene Droge, trockne sie kurz und kühle sie ab. Gib einen Pflanzenteil und Trockengut hinzu, behandle nochmals kalt-trocken und nimm ein Maß.	Chyty als trocknen-dann-kühlen-Sequenz.	Eintrag: kalt-trockene Grundform; nach dem Trocknen leicht kühlen; Pflanzenteil; Trockengut; hierzu: kalt-trockene Grundform; Grad-/Maßwert I	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
12	f21v.8	cho l kchochaiin	Nimm einen Trockenansatz von einem Pfund, erhitze ihn und trockne ihn vollständig.	Freies l als Pfund; kein OL-Materialkompositum.	Trockenansatz; ein Pfund; Trockenansatz bis Stufe III erhitzt und getrocknet	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
13	f24r.10	qor cfhar chor s am chotaiin dy	Nimm eine Portion aus der ersten Blütenfraktion und einen weiteren Pflanzenteil. Gib ein Maß Saatgut hinzu, kühle den Trockenansatz vollständig und schließe ab.	Cfhar als riskante erste Blütenfraktion.	nimm eine Drogenportion: Blütenfraktion I; Pflanzenteil; Samen-/Saatgutposten; Maßeinheit I; trockene Zubereitung: kalt, Grad III.	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
14	f29v.6	dchor chol chaiin shaiin cthod dar chs shody	Miss einen Pflanzenteil ab, trockne ihn vollständig und feuchte ihn ebenso gründlich an. Gieße den Krautabsud ab, nimm die erste Fraktion und weiche das verbleibende Trockengut vollständig ein.	Cthod als Krautabsud-Abguss.	abgemessener Pflanzenteil; Trockengut; trocken, Grad III; feucht, Grad III; gieße den Krautansatz ab; abgemessene Fraktion I; Trockengut, Grundform; vollständig eingeweichter Ansatz	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
15	f30r.7	qor chain cthorchy	Nimm eine Portion Krautdroge, trockne sie zunächst mäßig und anschließend kurz nach.	Cthorchy als leicht getrocknete Krautportion.	nimm eine Drogenportion: trocken, Grad II; Portion Krautdroge, leicht angetrocknet	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
16	f31r.7	ykeedar saiin checkhey sheol qokedy ykeedy chedy ldy	Erhitze hiervon die erste Fraktion vollständig. Gib drei Teile Saatgut und die trockene Kräutermischung hinzu, feuchte an, erwärme mäßig, erhitze danach vollständig und trockne bis zur Mittelstufe; schließe mit der fertig aufbereiteten Holzdroge.	Ykeedar als anaphorische Heizhandlung.	erhitze hiervon die erste Fraktion vollständig; Samen/Saatgut, Typ/Charge III; trockenes Arzneikompositum in der Gradmitte; feuchtes Material; bis zur mittleren Heizstufe gebracht; Eintrag/Bezug: heiß am Gradende, abgeschlossen; bis zur mittleren Trockenstufe gebracht; Holzdroge, fertig aufbereitet	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
17	f32r.9	dytchor dary	Teile danach eine kalt-trockene Drogenportion ab und schließe die erste Fraktion.	Dy eröffnet die Folgehandlung.	danach eine kalt-trockene Drogenportion; abgemessene Fraktion I, abgeschlossen	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
18	f40v.18	saiin otain chckhy okal okair arol qokey okary	Nimm drei Teile Saatgut und kühle den Ansatz mäßig. Gib leicht getrocknete Kräutermischung, leicht erhitzte Rohdroge, die zweite heiße Fraktion und den Auszug der ersten Fraktion hinzu; erwärme bis zur Mittelstufe und schließe die erste heiße Ansatzfraktion ab.	Arol als Auszug der ersten Fraktion.	Samen/Saatgut, Typ/Charge III; kalt im Zubereitungsrahmen, Grad II; Arzneikompositum: trocken, Gradanfang; Rohstoff I, leicht erhitzt im Ansatz; heiße Drogenfraktion II im Ansatz; Grundauszug, Fraktion I; bis zur mittleren Heizstufe; heiße Ansatzfraktion I, abgeschlossen	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
19	f47r.5	dain olshey chokolg	Nimm zwei Maße Holzdrogenansatz, weiche ihn bis zur Mittelstufe ein und gib ein Gran heißen Trockenabsud hinzu.	Olshey nach OL-Revision; chokolg ist eine exakte Gran-Ganzkarte, kein Gefäßtransfer.	zwei Maße; Holzdrogenansatz bis zur mittleren Einweichstufe; ein Gran heißen Trockenabsud	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
20	f51v.8	olkeeody qokal qodaiin or l	Koche den Holzdrogenauszug vollständig aus. Gib eine leicht erhitzte Portion Rohdroge hinzu, bringe auf Heizstufe III und nimm davon eine Drogenportion zu einem Pfund.	Olkeeody nach finaler OL-Revision.	vollständig ausgekochter Holzdrogenauszug; Rohstoff I, heiß am Gradanfang; Stufe III; Drogenportion; ein Pfund	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
21	f54v.4	dar chor cheky chol okaiin chody chol dy	Miss die erste Pflanzenteilfraktion ab, trockne bis zur Mittelstufe und erwärme kurz. Gib Trockengut hinzu, erhitze den Ansatz vollständig und lasse den Trockenrückstand fertig trocknen.	Cheky als trocknen-dann-erhitzen; kein generischer Abschlussrenderer.	abgemessene Fraktion I; Pflanzenteil; bis zur mittleren Trockenstufe, dann leicht erhitzen; Trockengut; Ansatz auf Heizstufe III; Trockenansatz, abgeschlossen; Trockengut.	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
22	f6v.11	lor char otam ctho m dy	Nimm eine Holzportion und die erste Trockenfraktion, vermische sie mit einem Maß kalten Ansatzes und einer Handvoll Krautansatz und schließe ab.	M ist die Handvoll-Einheit.	Holzportion; Trockenfraktion I; ein Maß kalten Ansatzes; eine Handvoll Blatt- oder Krautansatz.	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
23	f75r.26	dain ol sheol dain ol qoly dar ajy	Nimm zwei Maße Grundansatz und eingeweichte Droge, danach nochmals zwei Maße Grundansatz. Gib alles zusammen, schließe die Zugabe, miss die erste Fraktion ab und fülle ein Bündel davon ab.	Beide nackten ol bleiben Grundansatz; qoly ist Zugabeabschluss.	zwei Maße; Grundansatz; feuchtes Material; Stufe II; Grundansatz; gib Vorstehendes hinzu und schließe die Zugabe ab; abgemessene Fraktion I; fülle ein Bündel ab und schließe	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
24	f75v.68	o cthey shedy otol chckhey ldy	Setze grob geschnittene Krautdroge an und weiche bis zur Mittelstufe ein. Gib gekühlten Grundauszug und eine trockene Kräutermischung hinzu; schließe mit der fertig aufbereiteten Holzdroge.	O und cthey werden occurrence-spezifisch als octhey gelesen.	Krautzubereitung, Form I; bis zur mittleren Einweichstufe gebracht; kaltes Zubereitungsgut; Arzneikompositum: trocken, Gradmitte; Holzdroge, fertig aufbereitet	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
25	f76v.28	saiin sheckhy cheolchey qokedy sair sheckhy l keedy lchedy	Nimm drei Teile Saatgut, feuchte die Kräutermischung leicht an, trockne den Drogenstoff nach und erwärme bis zur Mittelstufe. Gib die zweite Saatfraktion in eine frische feuchte Mischung, erhitze die Holzdroge vollständig und füge getrocknetes Drogenholz hinzu.	L und keedy werden occurrence-spezifisch als Holzdrogenform geglättet.	Samen/Saatgut, Typ/Charge III; feuchtes Arzneikompositum am Gradanfang; trockenen Drogenstoff bis Mittelstufe nachtrocknen; bis zur mittleren Heizstufe gebracht; Samenfraktion II; feuchtes Arzneikompositum am Gradanfang; Drogenholz, heiß am Gradende, abgeschlossen; getrocknetes Drogenholz	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
26	f78r.18	o l chedy qokain dar ar okain	Trockne den Grundansatz bis zur Mittelstufe und erhitze auf Stufe II. Miss die erste Fraktion ab, gib die erste Drogenfraktion hinzu und erwärme den Ansatz nochmals mäßig.	O und l werden occurrence-spezifisch als nacktes ol gelesen.	Grundansatz; bis zur mittleren Trockenstufe gebracht; heiß, Grad II; abgemessene Fraktion I; Drogenfraktion I; heiß im Zubereitungsrahmen, Grad II	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
27	f81r.12	ychedy tedy ol sheedy qokeey loly	Nimm die fertig getrocknete Droge, kühle mäßig, gib sie in den Grundansatz, weiche vollständig ein, erhitze vollständig und seihe den Holzabsud ab.	Nacktes ol bleibt Grundansatz; loly enthält die Abseihaktion oly.	Eintrag: getrocknete Droge, fertig; bis zur mittleren Kühlstufe gebracht; Grundansatz; vollständig eingeweicht; bis zur Heizendstufe; seihe den Holzabsud ab	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
28	f83r.21	solkeedy qokedy otedy sol chedy lkedy qokchedy qokedy chckhdy sar	Erhitze den Saatgrundstoff vollständig, führe ihn über mittlere Hitze und mittlere Kühlung, gib weiteres Saatgut hinzu und trockne bis zur Mittelstufe. Erhitze die Holzdroge, trockne sie heiß nach, schließe die Kräutermischung und nimm die erste Saatfraktion.	Sol bleibt Saatfamilie und gehört nicht zur OL-Holzdrogenrevision.	Saatgutansatz vollständig erhitzt; bis zur mittleren Heizstufe gebracht; Ansatz auf mittlerer Kühlstufe abgeschlossen; Samenmaterial/Saatgut; bis zur mittleren Trockenstufe gebracht; erhitzte Holzdroge, Mittelstufe, fertig; heiß und bis zur mittleren Trockenstufe gebracht; bis zur mittleren Heizstufe gebracht; Arzneikompositum: trocken, Gradanfang, abgeschlossen; Samenfraktion I	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
29	f83r.42	sol ol chcthdy l chedy lchdy	Vermische Saatgut mit dem Grundansatz, trockne die Krautdroge vollständig und gib getrocknete sowie kompakt getrocknete Holzdroge hinzu.	Nacktes ol bleibt Grundansatz; l plus chedy wird als Holzdroge geglättet.	Samenmaterial/Saatgut; Grundansatz; trockne die Krautdroge vollständig; getrocknetes Drogenholz; Drogenholz, getrocknete Kurz-/Kompaktform	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
30	f83v.22	char qokar cheolkain shckhey qokal cheor ols	Nimm die erste Trockenfraktion und die erste heiße Fraktion. Erhitze die getrocknete Droge auf Stufe II, feuchte die Kräutermischung mäßig an und gib leicht erhitzte Rohdroge, einen trockenen Pflanzenteil und eine Charge Holzdrogenansatz hinzu.	Ols nach finaler OL-Revision als Holzdrogenansatz.	Trockenfraktion I; heiße Drogenfraktion I; erhitze den getrockneten Drogenstoff auf Stufe II; Arzneikompositum: feucht, Gradmitte; Rohstoff I, heiß am Gradanfang; trockener Drogenteil; eine Charge Holzdrogenansatz	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
