passage_check_ordinal	statement_id	physical_page	register	owner_id	event_count	surface_sequence	gdt581_structural_reading_de	gdt582_concrete_reading_de	manual_house_sense_disposition	manual_note	guard
11	G407-S052	f68r1	CELESTIAL	mehrteilige Sternstellentafel	12	shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal tochso otchl qokeeedy	Halte den Positionsposten, setze ihn und nimm ihn auf. Nimm den Positionsposten auf und stelle ihn ein; auf Grad II. Danach: nimm den Positionsposten auf; auf Grad II. Weiter: nimm denselben Positionsposten auf und setze ihn ein. Nimm denselben Positionsposten auf und markiere ihn; auf Grad I und als Ausführung. Weiter: setze denselben Positionsposten ein und nimm ihn auf; als Ausführung und auf Grad II. Danach im laufenden Gang: nimm die Positionseinheit auf. Nimm den Positionsposten auf, nimm ihn auf und stelle ihn ein; als Ausführung und auf Grad III. Setze denselben Positionsposten und nimm ihn auf; zur Zielposition; als Ausführung. Stelle denselben Positionsposten ein, nimm ihn auf und wähle ihn; beim Einstellen: als Ausführung; beim Wählen: ebenfalls als Ausführung. Danach: nimm denselben Positionsposten auf; über die Ringverbindung. Setze denselben Positionsposten; auf Grad III; schließe den Schritt.	Halte fest; Trage ein; Lies ab: Ringposition. Lies ab; Stelle ein: auf Ringstufe II, Ringposition. Lies ab: Ringposition; im Steuerrahmen [CONTROL:G407-E1030@2:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1030:OT>G<END]: auf Ringstufe II. Lies ab; Setze ein; im Steuerrahmen [CONTROL:G407-E1031@3:OL]: weiter im selben Arbeitsgang. Lies ab: auf Ringstufe I; Markiere: in Eintragsform. Setze ein: in Eintragsform; Lies ab; bei der Handlungskette Einsetzen + Ablesen [ACTION_CHAIN:G407-E1033:P+CH]: auf Ringstufe II; im Steuerrahmen [CONTROL:G407-E1033@5:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1034@1:OT]: danach / neuer Arbeitsgang; beim Ablesen [ACTION:G407-E1033@3:CH]: Sektoreinheit. Lies ab: in Eintragsform; Lies ab; Stelle ein: auf Ringstufe III, Ringposition. Trage ein; Lies ab: in Eintragsform, zur Zielposition. Stelle ein: in Eintragsform; Lies ab; Wähle aus: in Eintragsform. im Steuerrahmen [CONTROL:G407-E1038@1:OT]: danach / neuer Arbeitsgang; Lies ab: über den Ringkontakt. Trage ein: auf Ringstufe III; im Steuerrahmen [CONTROL:G407-E1039@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
12	G407-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe A	4	al oteey chedal oteedy	Bezug auf den Besitzerrahmen [OWNER:Tierkreis-Ringgruppe A]: zur Zielposition [G407-A01127:G407-E1142@1:AL#1]. Bezug auf den Steuerungsrahmen [CONTROL:G407-E1143:OT>G<END]: auf Grad II [G407-A01128:G407-E1143@2:EE#1]. Bezug auf das folgende Bearbeiten [G407-E1144@1:CHD]: den Positionsposten [G407-A01129:G407-E1143@3:Y#1]. Strukturspur: OT@1→CONTROL:G407-E1143@1:OT. Bearbeite denselben Positionsposten; zur Zielposition. Danach im laufenden Gang: bearbeite denselben Positionsposten; auf Grad II; schließe den Schritt.	im Besitzerrahmen [OWNER:Tierkreis-Ringgruppe A]: zur Zielposition. im Steuerrahmen [CONTROL:G407-E1143@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1143:OT>G<END]: auf Ringstufe II; beim Berechnen [ACTION:G407-E1144@1:CHD]: Ringposition. Berechne: zur Zielposition. im Steuerrahmen [CONTROL:G407-E1145@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1145:OT>G<DY]: auf Ringstufe II; im Steuerrahmen [CONTROL:G407-E1145@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
13	G407-S082	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	7	kchedykary okeey qokar shyk chedy qotar shedy	Führe den äußeren Stationsposten und den inneren Stationsposten zu, bearbeite den äußeren Stationsposten und den inneren Stationsposten und führe den äußeren Stationsposten und den inneren Stationsposten zu; von der Ausgangsstation. Setze den Stationsposten im Stationsgang an; auf Grad II. Setze denselben Stationsposten im Stationsgang an; von der Ausgangsstation. Führe den Stationsposten zu. Bearbeite den Stationsposten. Danach im laufenden Gang: bearbeite denselben Stationsposten; von der Ausgangsstation. Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	Führe zu; Behandle: Stationsansatz; Führe zu: von der Ausgangsstation oder aus dem Ausgangsbecken, Stationsansatz. Beschicke oder bereite vor: auf Grad II, Stationsansatz. Beschicke oder bereite vor: von der Ausgangsstation oder aus dem Ausgangsbecken. Führe zu: Stationsansatz. Behandle: Stationsansatz. im Steuerrahmen [CONTROL:G407-E1430@1:OT]: danach / neuer Arbeitsgang; beim Behandeln [ACTION:G407-E1429@1:CHD]: von der Ausgangsstation oder aus dem Ausgangsbecken. Halte oder bade: auf Grad I; im Steuerrahmen [CONTROL:G407-E1431@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
14	G407-S083	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	5	dain shey ly ssheol qoldy	Im laufenden Gang halte den Stationsanteil. Halte den Stationsposten; auf Grad I. Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung. Weiter: wähle denselben Stationsposten und halte ihn; auf Grad I. Weiter im laufenden Gang: halte denselben Stationsposten; schließe den Schritt.	beim Halten oder Baden [ACTION:G407-E1433@1:SH]: Anwendungsportion. Halte oder bade: auf Grad I, Stationsansatz. beim Halten oder Baden [ACTION:G407-E1433@1:SH]: über den Stationskontakt oder die Leitung, Stationsansatz. Wähle oder leite um; Halte oder bade; bei der Handlungskette Auswählen oder Umleiten + Halten oder Baden [ACTION_CHAIN:G407-E1435:S+SH]: auf Grad I; im Steuerrahmen [CONTROL:G407-E1435@4:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1436@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E1436@2:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
15	G407-S086	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	8	shey kar chey ckhey r ain ol olsheedy	Halte den Stationsposten; auf Grad I. Führe denselben Stationsposten zu; von der Ausgangsstation. Im laufenden Gang führe den Stationsposten zu. Entnimm den Stationsposten und führe ihn zu; auf Grad I. Markiere denselben Stationsposten. Im laufenden Gang markiere den Stationsanteil. Weiter im laufenden Gang: markiere denselben Stationsanteil. Weiter: halte denselben Stationsanteil; auf Grad II; schließe den Schritt.	Halte oder bade: auf Grad I, Stationsansatz. Führe zu: von der Ausgangsstation oder aus dem Ausgangsbecken. beim Zuführen [ACTION:G407-E1460@1:K]: Stationsansatz. Entnimm oder lass ab; Führe zu: auf Grad I, Stationsansatz. Kennzeichne oder prüfe. beim Kennzeichnen oder Prüfen [ACTION:G407-E1463@1:R]: Anwendungsportion. im Steuerrahmen [CONTROL:G407-E1465@1:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E1466@1:OL]: weiter im selben Arbeitsgang; Halte oder bade; bei der Handlungskette Halten oder Baden [ACTION_CHAIN:G407-E1466:SH]: auf Grad II; im Steuerrahmen [CONTROL:G407-E1466@4:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
16	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	13	potchokor chcfhdy opshdy qolp chcphy chcphdy opshey qofshy opchdy sain as y dshedy	Danach: setze die Stationseinheit ein und entnimm sie und setze sie im Stationsgang an. Entnimm den Stationsposten und entnimm ihn; als Ausführung; bei der f-Kennmarke. Setze den Stationsposten ein und halte ihn; als Ausführung; an der D-Stelle. Weiter: setze denselben Stationsposten ein. Entnimm den Stationsposten zweimal und setze ihn ein. Entnimm den Stationsposten zweimal und setze ihn ein. Setze den Stationsposten ein und halte ihn; als Ausführung und auf Grad I. Setze den Stationsposten ein und halte ihn; als neuen Einsatz und als Ausführung; an der D-Stelle. Setze den Stationsposten ein und bearbeite ihn; als Ausführung. Wähle den Stationsanteil. Wähle denselben Stationsanteil; an der A-Stelle. Im laufenden Gang wähle den Stationsposten. Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	Bringe ein oder wende an; im Steuerrahmen [CONTROL:G407-E1833@2:OT]: danach / neuer Arbeitsgang; Entnimm oder lass ab; Beschicke oder bereite vor: Becken- oder Körpereinheit. Entnimm oder lass ab: in Anwendungsform; Entnimm oder lass ab: in Feinform, Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Halte oder bade: an der Stations-Arbeitsstelle, Stationsansatz. im Steuerrahmen [CONTROL:G407-E1836@1:OL]: weiter im selben Arbeitsgang; Bringe ein oder wende an. Entnimm oder lass ab; Entnimm oder lass ab; Bringe ein oder wende an: Stationsansatz. Entnimm oder lass ab; Entnimm oder lass ab; Bringe ein oder wende an: Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Halte oder bade: auf Grad I, Stationsansatz. Bringe ein oder wende an: als neuer Bad- oder Stationsansatz, in Anwendungsform; Halte oder bade: an der Stations-Arbeitsstelle, Stationsansatz. Bringe ein oder wende an: in Anwendungsform; Behandle: Stationsansatz. Wähle oder leite um: Anwendungsportion. Wähle oder leite um: an der Stations-Hauptstelle. beim Auswählen oder Umleiten [ACTION:G407-E1843@2:S]: Stationsansatz. Halte oder bade: auf Grad I; im Steuerrahmen [CONTROL:G407-E1845@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Stations- und Badrealisierung hält physische Anwendung offen	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
17	G407-S649	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	6	koay cphol orchor pcheoly otchol oldy	Gib den Drogenposten zu; als Ausführung; an der A-Stelle. Weiter: nimm denselben Drogenposten und setze ihn ein. Nimm die äußere Ansatzeinheit und die innere Ansatzeinheit. Setze den Drogenposten ein und nimm ihn; über die Gefäßverbindung; auf Grad I und als Ausführung. Danach: nimm denselben Drogenposten; führe den Gang weiter. Weiter im laufenden Gang: nimm denselben Drogenposten; schließe den Schritt.	Gib zu: in Arzneiform, an der Drogen-Hauptstelle, Drogencharge. Entnimm oder ziehe aus; Gib hinein; im Steuerrahmen [CONTROL:G407-E3844@3:OL]: weiter im selben Arbeitsgang. Entnimm oder ziehe aus: Gefäß- oder Arbeitseinheit, Gefäß- oder Arbeitseinheit. Gib hinein; Entnimm oder ziehe aus: auf Grad I, in Arzneiform, über den Gefäßkontakt, Drogencharge. im Steuerrahmen [CONTROL:G407-E3847@1:OT]: danach / neuer Arbeitsgang; Entnimm oder ziehe aus; im Steuerrahmen [CONTROL:G407-E3847@3:OL]: weiter im selben Arbeitsgang. im Steuerrahmen [CONTROL:G407-E3848@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3848@2:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
18	G407-S651	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	7	poeear sheoky olkeey cthol poldy s okoldy	Setze dieselbe Ansatzeinheit ein; vom Ausgangsgefäß; als Ausführung und auf Grad II. Halte den Drogenposten und setze ihn als Ansatz an; auf Grad I. Weiter: gib den Drogenposten zu; auf Grad II. Weiter: nimm denselben Drogenposten und stelle ihn ein. Weiter: setze den Drogenposten ein; an der D-Stelle. Wähle denselben Drogenposten. Weiter: setze denselben Drogenposten als Ansatz an; schließe den Schritt.	Gib hinein: in Arzneiform, auf Grad II, aus dem Ausgangsgefäß. Halte oder lass ziehen: auf Grad I; Setze den Ansatz an: Drogencharge. im Steuerrahmen [CONTROL:G407-E3884@1:OL]: weiter im selben Arbeitsgang; Gib zu: Drogencharge; bei der Handlungskette Zugeben [ACTION_CHAIN:G407-E3884:K]: auf Grad II. Entnimm oder ziehe aus; Stelle ein oder temperiere; im Steuerrahmen [CONTROL:G407-E3885@3:OL]: weiter im selben Arbeitsgang. Gib hinein: an der Drogen-Arbeitsstelle, Drogencharge; im Steuerrahmen [CONTROL:G407-E3886@2:OL]: weiter im selben Arbeitsgang. Wähle oder trenne ab. Setze den Ansatz an; im Steuerrahmen [CONTROL:G407-E3888@2:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3888@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
19	G407-S657	f88v	PHARMA	zweite Gefaess-/Zutatengruppe	3	opykey oldaiin qoteody	Setze den äußeren Drogenposten und den inneren Drogenposten ein und gib den äußeren Drogenposten und den inneren Drogenposten zu; als Ausführung und auf Grad I. Weiter im laufenden Gang: gib den Mengenwert zu; an der D-Stelle. Danach im laufenden Gang: gib denselben Mengenwert zu; auf Grad I und als Ausführung; schließe den Schritt.	Gib hinein: in Arzneiform, Drogencharge; Gib zu: auf Grad I, Drogencharge. im Steuerrahmen [CONTROL:G407-E3972@1:OL]: weiter im selben Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3972:STATE_CARD]: an der Drogen-Arbeitsstelle; beim Zugeben [ACTION:G407-E3971@4:K]: Dosis- oder Mengenmaß. im Steuerrahmen [CONTROL:G407-E3973@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3973:OT>G<DY]: auf Grad I; im Steuerrahmen [CONTROL:G407-E3973:STATE_CARD]: in Arzneiform; im Steuerrahmen [CONTROL:G407-E3973@4:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
20	G407-S659	f88v	PHARMA	zweite Gefaess-/Zutatengruppe	6	ykeeor chockhy otol cheeol cheody qotody	Gib den Drogenposten und die Ansatzeinheit zu; auf Grad II. Nimm den Drogenposten und gib ihn zu; in der bezeichneten Klasse. Danach im laufenden Gang: gib denselben Drogenposten zu; führe den Gang weiter. Weiter: halte denselben Drogenposten; auf Grad II. Nimm den Drogenposten; auf Grad I und als Ausführung. Danach im laufenden Gang: nimm denselben Drogenposten; als Ausführung; schließe den Schritt.	Gib zu: Drogencharge, auf Grad II, Gefäß- oder Arbeitseinheit. Entnimm oder ziehe aus: in der Oberklasse; Gib zu: Drogencharge. im Steuerrahmen [CONTROL:G407-E3995@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3995@2:OL]: weiter im selben Arbeitsgang. Halte oder lass ziehen; bei der Handlungskette Halten oder Ziehenlassen [ACTION_CHAIN:G407-E3996:SH]: auf Grad II; im Steuerrahmen [CONTROL:G407-E3996@3:OL]: weiter im selben Arbeitsgang. Entnimm oder ziehe aus: auf Grad I, in Arzneiform, Drogencharge. im Steuerrahmen [CONTROL:G407-E3998@1:OT]: danach / neuer Arbeitsgang; im Steuerrahmen [CONTROL:G407-E3998:STATE_CARD]: in Arzneiform; im Steuerrahmen [CONTROL:G407-E3998@3:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	Drogencharge konkret; einzelne Zutat kommt aus gelerntem Namensslot	FOUR_COMPLETE_STATEMENTS_PER_REGISTER__FIXED_EVENT_IDS_AND_SLOT_HOSTS
